a	b	c	d	e
					: eDamigella
					vo' m avete fatto a maraviglia lieto di ciò
					che vo' m avete detto
					si vo ne dono in guiderdone quello de miei castelli
				Damoisele vous maues fait moult lie de ce	
				que vous maues dit	
				si vous doins en guerredon celui de mes chastiaus	
			e ante toda su corte ala donzella todas sus nuebas de don lançarote		
			e quando el Rey esto oyo fue tan alegre		
357|358	qui mielz vos plaira|Et cele l an chiet as piez	si tost cõme il uous orra parler	que no podia ome del mundo|mas ser|e dixole alli ante todos donzella vos me feçistes tan gran plazer|e me distes tan gran alegria en mi corazon	qui miex vous plaira|Et elle len chiet as pies	che meglio vo paràs|quella ne li cade a' piedi
359	et li am baise le soler	⁊ uenes tost a luy	por estas nuebas|que me traxistes	et len baise le soullier	e li ne bascia li asolieri
360|361	Ele li demande le chastel de Louezeph|por ce	car mõlt me tarde quil sache ceste nouuelle|lois la maine deuant le roy siluy fait dire ce q̃lle luy auoit cõpte|Et quat le roy lolt	que no vos podria deçir el alegria|que ende vbo mi corazon|e porende vos	Si li demande le chastel de louerzephe pour ce	e li domanda il castello de Luerzeppo|per ciò
			do en albriçias el castillo de toda mi tierra deque		
362	que nee en avoit esté	si en est monlt ioieulx	mas vos pagaredes señor dixo la donzella muchas merçedes y|luego finco los ynojos ante el y le veso el pie	que elle y auoit este nee	che nata n era stata
363	et li rois li donne tot erramment	et dist oy ãs tous ses uarons	e dixole señor avuestra merçed plega deme dar el castillo de Coruersa|porque señor ay yo fui casada y el Rey selo otorgo y diole ende buen preuilegio sellado consu sello	Et li roys li donne erranment	e l re lo dona tutto immantenente
364|365	Lors conmance par laienz la joie|si grant	Samoyselse uous me anes fait a merueilles ioyeux de ce q̃ uoꝰ me aues dist	entonçe se començo el alegria atan grande enel palaçio	Lors commence par laiens la ioie|si grant	PAllor comincia per là entro la gioia|si grande
366|367	que l an n i orst pas Deu tonant;|si semont li uns l autre d estre joianz	si uous en dõne en guerdon celluy de mes cha¬ steaux qͥ mieulx uoꝰ plaira	que nunca|ome vio maior|ca el Rey deçia a todos	que len ni oist pas dieu tounant|Si semont li vns lautre destre lies	che l uom non udisse Dio tonante|si sermona l un l altro d essere lieto
368	et liez;	et celle luy chiect aux piez|et luy baisele soullier	que fiçiesen la mayor alegria	et ioians	e gioiente
369	mais sor touz	Et apres lup demãde le chastel de louerzes|⁊ le rop lui dõ ne Lors cõmencẽt a mener grãt ioie par leans mes sur tous	que pudiesen	mais sor tous	; “ma sopra tutti gli altri
370|371	et sor toutes est la roine joieuse|et lie	⁊ toutes est la ropne ioyeuse	e mucho fueron todos bien andantes los dela corte con estas nuebas|e asi	& sour toutes est la royne ioieuse|et lie	e altre est la reina gioiosa|e lieta
372	si garist de sa maladie de jor en jor	sy garist de sa mal adie|et amẽ de de iour en iour	como heran tristes de antes	si garist de sa maladie de iour en iour	si guarisce tosto di sua malattia
373|374|375|376|377|378	et revient en sa grant biauté|si que s ele ot onques esté liee|et joiant or est plus;|si rit|et joue o les chevaliers ne n antant mes fors a prier Dieu qu i garde celui de mescheance|por qui ele a tant maux sofferz	et reuiẽt en sa beaulte|et est plus ioieuse q̃ on ques mes|Et les cheualiers entẽdent a prier dieu qͥl gar de celluy de mescheãce par|qui ilz ont tant de maulx souffers	ansi fueron alegres|que hera marauilla|asi los chicos	Et reuint en sa grant biaute|Et se elle ot onques este lie|& ioiant|ore est encore plus|Si iue|& rit auec lez cheualiers|ne nentent fors a prier dieu : quil gart celui de mescheance pour|qui elle a tant de mauls soffert	e amenda di giorno in giorno|si riviene in sua gran biltà|si che s ella ebbe alquanto stata malata|or non è ella piû|:|si ride|e giuoca con esso i cavalieri|né none intende mai fõrse|ch a pregare Domenedio|che lle guardi colui di misaventura per cui ella à tanti ma' soferti
379|380|381	Si let ore li contes a parler de lui|et de la roine|et retorne a Lancelot del Lac	A tans sen taist le compte|et retourne a lancelot	como los grandes y sobre todos la Reyna hera|mas alegre|e con mayor plazer	Si se taist ore li contes a parler del roy|& de la royne|et retorne a parler de lancelot dell lac	Si lascia ora il conto atanto a parlare di lei|e del re|e ritorna a Lancelotto de Lac
382|383|384	Or dit li contes|que quant Lanceloz se fu partiz de la blanche abaie ou il out la nuit geu|que il ot la damoisele envoié a cort qu il chevaucha liez	Cõment lancesot punt lẽuenimemẽt ala fontaine|donc a pou qͥl ne mourust|⁊ cõmẽt E|xix|il cõquist le duc lrarles	e de magra	Or dist li contes|que quant lancelot ot geu a la blance abbaye ou y il fu uenus le ior quil ot la damoisele envoie a cort	Olr dice il conto che|quando Lancelotto|si fu partito della bianca abadia ov egli ebbe la notte giaciuto|ch ell à la damigella inviata alla corte del re Artù
				Lendemain en parti entre lui	
385	et joianz	ꝑdit le compte	e amarilla	et la vielle	ch elli cavalca lieto
				Il cheuauche lies	
386|387	por les noveles qu il avoit anvoies a sa dame la roine|car bien savoit qu ele en seroit liee ;	que quant lancelot se fut parti de lablanche abbaie qͥl cheuaucha ioieusem̃t poui les nou uelles quil mãdoit a la ropne:|car hien sauoit|que elle en seroit ioieuse	que hera torno muy sana	& ioians pour les nouelles ke il manda a sa dame la royne|Car bien sauoit ke elle en seroit lie	e gioiente per le novelle|ch elli aveva inviate a sua dama la reina|ché ben sapea|ch ella ne sarebbe molto lieta
				& ioiant Je	
388|389|390|391	si demande a a la vielle ou ele le voldra mener|Sire faît ele ja ne le savrez devant|que vos i soiez|Et il en lait atant la parole	Il demãda a la uiel¬ le ou elle le uoulloit mener|Gire fait elle ia ne le saurez deuant q̃ uous y soiez|⁊ plus nen parle lancel ot	e muy alegre|e cada dia mejoraua en su paresçer y ensu beldad	Si demande a la uielle ou elle le voldra mener|Sire fet elle vous ne le saurois ia deuant|que vous y ueignies|Et il en laisse alpaosaltant la parole ester	Si domanda alla vecchia ov'ella il vorà menare||diss ella|già nol saprete davanti|che vo' vi siates|Elli ne lascia attanto la parola
392	Si ont tant chevauchié qu il vindrent en une praerie grant	Si ont tãt cheuauche q̃ ilz sõt uenus en une praerie belle	e torno tan fermosa	si cheualchent tant quil vindrent en vne praerie|qui ert grant	Si ànno tanto cavalcato|ch elli vengono in una prateria grande
393	et bele	⁊ gente	e mas	et bele	e bella
394|395	et il faisoit moult grant chaut|si conme a feste saint Jehan	⁊ la õt trou ue dessoubz lombre de deux sicamors une bet¬ le fontaine	que nunca fuera|e hauia sauor de jugar|ca bien sabia|el que seria ella muy alegre Porende el yendo	et il faisoit moult grant chaut|si comme a feste saint iehan	|si come ne la festa di Sancto Giovanni
			e de Reir conlas dueñas		
			e conlos caualleros no façia ningund mal continente sino lo mejor		
			que ella podia		
			e Rogaua adios cada dia quele guardase del mal aquel porquien tanto mal		
			e Cuita sufria Como don lançarote		
			e la vieja llegaron ala fuente		
			do estaua el Cauallero		
			e las donzellas Dize el Cuento		
			que quando don lanzarote se partio dela donzella		
			que ymbiara ala corte del Rey artur		
			que andubiera todo aquel dia muy alegre		
			porque ymbiara mandado asu señora		
396|397|398|399|400	Si ont illuec trouvé desouz l ombre de JI|sicamors I|fontainne bele|et clere ou il avoit II|chevaliers	⁊ empres estoit ung cheualier|⁊	ansi pensando enla Reyna pregunto ala donzella vieja|que ado lo lleuaua señor dixo ella vos no lo deueis sauer fastaque ay seades y el se callo|e ansi andubieron fastaque llegaron avnos prados muy fermosos	si ont illuec trouue desouz lombres de|ij|sycamors vne fontaine bele|et clere|ou il auoit|i|cheualier &	;|si ebono ne luogo trovato|disotto l ombra d un seccomoro|una fontana bella|e chiara ov egli aveva un cavaliere
401|402|403|404|405	et II|damoiseles|qui orent fait estandre J|blanche touaille sor l erbe|et manjoient illuec moult anvoisiement	ii|damoiselles lesq̃lz beuoiẽt|⁊ mẽgoiẽt ensem¬ ble moult ioieusemẽt	e muy grandes|e façia muy gran calura|ansi como fuese	ij|damoiseles|qui orent fait estendre vne blance touaille par desor lerbe uert|& mangoient illuec moult enuoisiement	e due damigelle|ch avieno fatto stendere una bianca tovaglia sopra l erba verde|e mangiavano ne luogo molto invisiosamente
406|407	Et quant il voient Lancelot|si se lievent encontre lui	Et quant ilz uoiẽt ue¬ nir lancelot	por San Ju	Et quant il : voient lancelot uenir|si se lieuent encontre lui	Ouand e' vidono Lancelotto venire|si si levano incontro a llui
408|409|410|411|412	et dient|que bien soit il venuz;|si le font descendre|por mengier;|et quant il ot son hiaume osté	si se drecẽt cõtre lui:|⁊ diẽt qͥl soit le bien uenu	(o|)an|entonçes vieronse cauo vna fuente|que estaua çerca devnos sagromores muy fermosos vn cauallero	& li dient|que bien soit il venus|si le font descendre pour mangier|Et quant il ot oste son heaume	e dicono|che ben sia elli venuto|: sì l fanno discendere per mangiare|E quand egli ebbe su' elmo tratto
413|414|415|416|417|418|419|420	si leve ses mains|et s asiet;|et il ot eu chaut|et fu vermauz a desmesure|et fu de toutes|Et por la grant biauté de lui le conmança a resgarder encore bonne pucele|et estoit|si bele de cors	si le fõt descẽdre pour mengier a uec eulx Il oste son heaume laue ses mains|⁊ puis se assiet auec eulx|Il auoit chault|si fut moult uermeil	e dos donzellas conel y tenian vnos manteles blancos sobre la yerba berde tendidos|e Comian a muy gran sauor todos tres|e quando Vieron a don lanzarote leuantaronse Contrael y Resçiuieronlo muy bien fiçieronlo asçender|por que comiese conellos y desque el tiro el yelmo y el almofar Cauo sus manos|e pusose a comer conellos y el estaua colorado dela calentura grande	si laue: sez mains|& puis sassiet|Et il ot eu chaut|si fu uermaus a desmesure|Et fu de toutes biautes|Et pour la grant biaute|qui en lui estoit|Et estoit|si bele de cors	si lava sue mani|e s asiede|:|e elli ebbe avuto caldo|e fu vermiglio a dismisura|e fu di tutte biltà|si guernito
				le commencha a regarder lune dez damoiseles	
				qui estoit suer als cheualier	
				qui auec elles estoit	
				Et fu encore bone pucele	
				si plains	
				que nus nen puet estre mieuls garnis	
421	et de		que façia	& de fachon	
				que en tout le pais nauoit tant bele	
				ne cheualier	
422|423|424	si puissant|que volentiers ne la preist|por sa biauté; amé par amors ne onques n avoit veu ne roi ne garde Lancelot tout adés tant com il menja	⁊ pour la beaute de lui le com menca a regarder lune des damoisesles seur au cheual er laq̃lle estoit ẽcores pucelle:	asi que el hera tan fermoso|como todas las beldades del mundo	si poissant|qui uolentiers ne la presist pour sa biaute|Mais elle nen auoit talent de nul prendre|quar onques nauoit ame par amors|ne onques nauoit veu roy ne conte	che natura non potesse fare huom più bello
				qui elle daignast amer	
				Et elle regarde lancelot ades tant comme elle manga	
425|426	et vit sa poïst faire car onques|mais a son esciant dame ne samblent Il		e ningund ome del mundo no lo podia	& vit sa bouche vermeille comme vne cerise|mais a son escient dame ne damoisele ne vit	E per la gran biltà di lui il cominciò a risguardare una delle damigelle
				si bele	
				Elle regarde ses iex	
				qui li resamblent	
				ij	
				si en a tele enuie	
				que elle ne set quele en puist faire Car onques	
427	cleres esmeraudes			cleres esmeraudes :	ch era serocchia del cavaliere
428|429	et voit son front bel|et d or	⁊ tãt estoit belle de corps	mas ser	et voit son front bel|& sa cheueleure crespe|& sores	:'ed era ancora buona pulcella|ed era
430|431	et voit an lui tant de biauté qu ele ne cuidoit pas Amors|si tranchanment qu ele tressaut toute	⁊ de facon q̃ au pais ne a¬ uoit sa pareille:	porque hera tan fermoso començolo de mirar vna delas dueñas tan de Corazon	dont li cheuel li samblent dor|Et tout maintenant le fiert amors|si trenchamment|que elle en tressaut trestoute	
			que hera marauilla y ella hera hermana del cauallero		
432|433	et li chemorne|que merveille li samble ;	⁊ nauoit cheualier	e donzella|que hera tan fermosa	Et li cheualiers	
434|435	si li demande|que ele se Dieu plest	si puissãt au pais qͥ par sabeaute ne la p̃nistuoulẽtiers se elle uoul sist	como todas las dueñas del mundo		
436|437|438|439|440|441	resgarde la fontainne|et la voit|si bele qu il d or|qui devant lui estoit|si l amplist de la fontainne biautez|si garniz	mais elle nauoit tallent de nul prẽdie|car oncq̃s nauoit apme par amours:	e ningund ome del mundo no lo pudiera|mas ser y en toda aquella tierra no hauia cauallero tan poderoso|que conella no casase de grado porsu paresçer|mas ella no hauia corazon de tomar a ninguno	qui estoit ses freres le regarda|si le voit pale|& si morne	
442|443	que nus ne poïst estre|si biaux	et õcq̃s nauoit ueu|si grãt q̃ elle uouf sist apmer Cel le regar de lacelot mengier	que nunca tal amor	qua grant merueille li samble|si li demande	si bella di corpo
444|445|446|447|448|449|450	l une des damoiseles|qui estoit suer au chevalier|et fu facon|que an tout le païs n avoit|si bele ne chevalier|mais ele n avoit talant de nul pranre|car onques n avoit conte ne chevalier qu ele daingnast amer	si uoit sa bou che uermeille ses peulx qͥ resemblẽt deux bel¬ les esmeraudes sa cheueleure crespe|⁊ iaune cõ me fin or|⁊ uoit en lui tant debeaute q̃ elle ne cuidoit pas q̃ en paradis eust ung	ouiera de ninguno ni|que asi quisiese y ella|asi cataua adon lançarote|que sus ojos pareçian piedras preçiosas y sus cauellos|que hauia vn poco crespos le paresçian filos de oro	que elle a|Et elle dist|que elle est malade|mais elle garira ia se dieu plaist	e di fazzione|che n tutto il paese non avea una|si bella né cavaliere ssil possente|che volentier no la prendesse per sua biltà||ché unque non avea amato per amore|né unque non avea veduto né re né conte né cavaliere|ch ella degnasse amare
					
451	Et ele resbouche vermeille;		e tan fermoso le paresçio		e vide sua bocca vermiglia|:
452|453	si en a tel anvie qu ele ne set qu ele damoisele ne vit|si bel	si beau ãge Gi la frappe force damours au cueur telle	que cuidaua|que en paraiso no hubiese ninguno tan fermoso|como el	Et lancelot	si n à tal pena|ch ella non sa|si bella
					
					e lucenti
					ch ella possa fare
					ché unque mai
					a su' sciente
					a dama né a pulcella non ne vide una
454|455	Ele resgarde ses ieulz|qui li sa cheveleure crespe	mẽt q̃ elle tressault toute Son frere la regar de	e luego le finco la saeta del amor enel corazon tan fuertemente|que toda trasudaua con cuita de amor	qui ot eu chaut a cheualchier regarde la fontaine	e vari|che le sembiano due chiari ismeraldi|e vide sua fronte bella|e sua capellatura crespa
456|457	et sore|dont li chevoux sambloient qu en paradis eust nul	et la uoit palle	e su hermano la cato|e la vio estar tan amarilla	& le voit	e sora|ch ella non crede mica|che n paradiso avesse nullo più bello agnelo
					Immantanente la fiede d amore
					si tendamente
					ch ella trasalta tutta
					;
					donde i capegli sembiavano a essere d oro fine
					;
					e avea in lui tanto di biltà
458|459|460	si bel ange a Maintenant la fiert valiers ses freres la resgarde|si la voit|si pale	si lui demãde q̃ elle a	e tan cuitada|que fue marauillado|e dixole hermana	si biele quil li em prent moult grant talent de boiure	e 'l cavaliere|che su'fratello era|la riguarda|si la vide|si palida
					e si sbigottita
					che maraviglia li sembia
461|462	et si a|et ele dist	Et et le dit q̃ elle est mallade	que auedes señor dixo ella so maltrecha|que me tomo gran dolor enel Corazon|que marauilla es		;|si le domanda|ch ella ha|e ella dice
463|464	que ele est malade|mais ele garra bien	mais q̃ elle garira biẽ se dieu plaist	e bien cuido ser guarida çedo	Si prent vne cope dor	ch ell è malata|ma ella guarrà ben
					se Dio piace
465|466	Et Lanceloz|qui ot eu chaut a chevauchier l am prant grant talant de boivre;	Et lancelot auoit eu chault au cheuaucher	si dios quisiere Como don lançarote bebio del agua dela fuente y tomole atan gran dolor enel corazon|que cuido morir sin confision y estaua	qui deuant lui estoit|si lemple de la fontaine : kisal	“E Lancelotto|ch ebbe avuto caldo al cavalcare|riguarda la fontana
467	si prant I	si regarda la fõtaine laq̃lle estoit belse	como muerto Don Lanzarote		e la vide|si bella
					che ne li prese gran talento di bere
468|469	coupe|si la boit toute plainne	⁊ clere Il prẽt une couppe dargẽt|si lẽple de eaue	que gran calura ouiera aquel dia|quando vio la fuente tan fermosa ouo muy gran sauor de veuer de aquella agua	& le boit toute plaine	Si prende una coppa d argento|che davanti li era|si l empie della fontana|si la beve tutta piena
		⁊ la boit toute plaine:			
470|471|472	et la troeve bonne|et froide|si li fu avis a ce qu il avoit grant chaut;	car il la trouua bonne|⁊ froide se lui fut auis:	e tomo vna Copa de plata|que ay estaua|e beuio de aquella agua	& le trueue boine|et froide ce li fu auis a ce quil auoit grant chaut	:|e truova l acqua buona|e fredda|ciò li fu aviso|acciò|ch elli avea avuto gran caldo
473|474|475	si am but outre mesure|por ce|que il cuida bien faire	⁊ en beut large|ment cuidant bien faire:	porque estaua fria tanta della|porque el supo bien	Ensi en but outre mesure pour ce|que il quida Bien faire	Si ne beve oltre misura|per ciò|ch elli crede ben fare
476|477	si que ançois|que il partist de la table fu	mais ains quil par¬ tist de la table il fut	que luego le tomo tan gran dolor	Si que aincois|que il partist de la table fu il	si che|inanzi|ch elli partisse dalla tavola|fu elli
478|479|480	si malades qu il cuida bien morir|Et il se pasme de la grant angoisse|que il sant au cuer	si mal lade quil cuida biẽ mourir sans confession Il se pasme de la dou leur quil sentist au cueur	que Cuido ser muerto sin confision y amorteçiose dela gran cuita|que ouo enel Corazon	si malades quil quida bien morir|si se pasme de la grant angoisse quil ot a son cuer	si malato|ch elli crede ben morire|E elli|si spasima della grande angoscia|che lli sera a su' cuore
481	et gist grant piece comme morz		e yogo vna gran pieça|por muerto	Et iut grant piece comme mors	e giacque gran pezza insi come morto
482|483	Et quant il puet parler|et li cuers li revient	Et quant il peut parler	e quando aCordo dixo Señora agora muero sinvos|e paresçerme ya esta muerte muy sabrosa	Et quant il pot parler|et li cuers li fu reuenus	E quando e' può parlare|e l cuore li riviene
					si disse
					
484|485|486	si dist Ha dame or morrai je sanz vos|Moult me samblast ceste mort debonnaire se je moreusse entre voz braz|Atant s estant de l angoisse qu il sant	si dit|Haa ma dame ie meurs cy sans uous mieulx me semblast ceste moit debõnai re se ie mourusse entre ses bras|Et lors sestẽt de langoise quil a	si muriese envuestros braços|e luego se estendio	Si fu ize el dist ha : dame or morrai iou yci sans vous Moult me samble ceste mors debonaire se iou morusse entre voz bras|A fant sestent de langoisse|que il sent	mia dama|or morrò io qui sanza voi||s i' morisse intra vostre braccia|Atnto|si tace Lancelotto|e si stende della grande angoscia|che sente
487|488|489	si li tornent andui li oil de la teste|et gist em pasmoisons en autel manniere|com s il fust morz	si gisten pasmoison ainsi Partie|comme sil feust moit	e boluio los ojos conla Cuita|e yogo gran pieça estendido|como muerto	Si li tornent amdoi li oel en la teste|et gist en pamisons en austrejtel maniere com sil fust mors	i gli|si volgono aminduni li occhi nella testa|e giacque in ispasimagione in tal maniera come|si fosse morto
490	Quant la vielle le voit	Et quant la uielle se uoit	e quando la donzella vieja lo vio|ansi cuido	Et quant la vielle le voit	Ouando la vecchia il vide
			que hera muerto		
			e Començo de llorar		
491	si destroit	si destroit elle commence a crier	e de Rasgarse	si destroit	si distretto
492|493	si commance a crier Sainte Marie aide! Morra|donc ci en tel manniere li mieldres chevaliers del monde	Gaĩcte marie aide mourra cy le meilleut cheualier du mõde	e de dar vozes|e de deçir santa maria señora valedme aqui|que no muera el mejor Cauallero del mundo	si commence a crier sainte marie aide : morra chi en tel maniere li mieldres cheualiers del monde	si comincia a gridare|Santa Maria|aiuta|! Morrà quelli dunque in tal maniera|il miglior cavaliere del mondo
					? Al
494	? — Ha dame fait li chevaliers	dame fait le cheualier			dama|disse il cavaliere
495|496|497|498	qui est il donques|? Dites le nos|— Ja est ce mes sires Lanceloz del Lac li mieldres chevaliers del monde|que l an saiche	qui est il|dictes le nous Sire dit elle cest messire lancel ot du lac	e dixo el otro Cauallero ay donzella|e deçidme quien es este Cauallero señor dixo ella este es don lanzarote del lago el mejor cauallero del mundo		chi è elli dunque|?eSire|diss ella|già est ciò monsignor Lancelotto de Lac|il miglior cavaliere|che l uom sappia nel mondo
					ditel noi
					! —
499|500	Mais a|por Dieu metez i conseil se vos le savez	pour dieu mettez ꝑ cõseil se uous le sauez	e señor poned Vos aqui algund Consejo	Pour dieu metes y conseil entre vous se vous saues	Ma per Dio|mettetevi consiglio se vo' sapete
501	car je cuit	car ie cuide	si sauedes	quar iou croi	ch io credo
502|503	que ceste fontainne|dont il a beu soit envenimee	que ceste fontaine|dont il a beu soit enuenimee:	que bien creo|que el agua desta fuente|que el beuio es enponçoñada	que ceste fontaine soit envenimee|dont il a beu	che questa fontana dond egli à bevuto sia invelenata
					;
504|505	S'i moroit en tel maniere touz li mondes ne me garantiroit|que je ne m oceise	⁊ sil mourroit en ceste maniere cer tainement ie me occiroie	e selo a fecho y|si el ental guisa muere todo el mundo no puede guaresçerme|que luego ni sea muerto	Et sil moroit en tel maniere tous li mondes ne me ra garantiroit mie|que iou ne mochesisse	e s elli muore in tal maniera|tutto il mondo non mi guarentirebbe|ch i non m ucidesse
506|507|508|509	car jamais la perte de lui ne seroit restoree se il muert|Si com il parloient einsi|si voient de la fontainne issir Il|culuevres granz	Icomme ilz parloient ensemble issirẽt de sa fontaine deux culeuures grandes cĩh̃ideuses	que tal perdida no puede ser Cobrada Como la donzella Curo de don lançarote porel agua|que beuio Ellos enesto fablando vieron salir dela fuente dos Culebras muy grandes	Car iamais la perte de lui ne seroit restoree se il moroit|n ce quil parloient ensi|si voient de la fontaine issir ij oueuures grans	ché giamai la perdita di lui non sarebbe ristorata s elli ne muores|i come parlavano insi|si vidono della fontana uscire due coulevres grandi
510|511	et hideuses|et longues		e muy espantables	& hideuses|et longues	e nvidiose|e lunghe
512	qui s aloient entrechaçant	qui se alloient entrechassãt		qui sentraloient entrecachant	che s andavano intracacciando
					; ”e quand
513|514|515	Et quant eles se sont grant piece entrechacies|si rantrent en la fontainne|l unne aprés l autre	⁊ quat ilz se sont grant piece entrechasseez ilz rentrẽt en la fõtaine	que Corria la vna enpos dela otra	Et quant elles se furent grant piece entrecachies|si rentrerent en la fontaine arriere lune apres lautre	e|si sono gran peza intracacciati|si rientrarono nella fontana l una apresso l altra
516|517|518	Ha sire fait la vielle or poez bi ir|que par cels II|bestes la est la fontainne envenimee	Seau sire fait lauielle or pouez bien sauoir q̃ par ces deux bestes est la fontai ne enuenimee de quoy ce cheuasier a beu	e despues|que trauejaron vna gran pieça tornaronse ala fuente ay señor dixo la donzella vieja agora podedes vien ver porestas culebras quela fuente es enponzoñada	Ha : biau seignor fet la vielle or poes bien sauoir|quel par ches|ij|bestes la|est la fontaine envenimee	Hail|sire|che per queste due bestie est la fontana invelenata
					disse la vecchia
					or potete ben sapere
519|520	dont cist gentilz hom est morz|Lors conmance a crier	Et lois commẽce a crier	por que el mejor delos buenos es muerto	dont cils gentils homs est mors|Lors commenche a crier	donde questo gentile huomo est morto|Allor comincia a gridare
521|522|523	et a braire|et a faire le grein r duel del monde|Et li chevaliers dit a sa suer Ha douce seror lairez vos	⁊ faire le greigneur deul du monde|Et quant le cheualier uoit ce il dit a sa seur|Haabelle seur laisseret uous ce che	e luego comenzo a fazer El mayor duelo del mundo y el cauallero dixo asu hermana ay my buena hermana	& a faire le gregnor doel del monde|Et licheualiers dist a sa suer|ha y bele suer laires vous	e a braire|e affare il più gran duol del mondo|ME 'l cavaliere disse a ssua serocchia|
					bella dolce serocchia
524|525	donc cest chevalier morir par vostre defaute|? Ja soliez vos plus savoir de la force des herbes	ualier mourir par uostre faulte Uous sauez plus de la force des herhes q̃ damoiselle qͥ soit au mõde	ansi dexades vos morir aeste buen cauallero	dont chest cheualier morir par vostre desfaute|Ia saues vous de la force des herbes plus	lascerete vo' dunque questo cavaliere morire per vostra difalta|? Già sapete voi della forza dell erbe più
526|527	que pucele|qui soit ou monde	⁊ de oster u	que vos sabedes	que nuls homs|qui soit el monde	che pulcella|che ssia nel mondo
528|529|530	et d anvenimement oster d antre home ne cuit je pas qu il ait|si sachanti el monde|En non Dieu onques mes ne vos vi	lin deentour le cueur de lõme ne cuide ie pas quil soit uostre seblable ence mõde|Par dien oncq̃s ne uiz	mas dela fuerça delas yerbas|que donzella sea enel mundo y pordios nunca vos vi tan pereçosa	Et denuenimement oster dentour homme ne cuit iou pas quil ait|si sachant el monde|& puis li dist|Enon dieu : iou ne vous ui onques	e d invelenamento trarre a uomo non cred i' passo|ch elli abbia|si sapiente nel mondo|nome di Dio|unque mai non vo vidi
531|532|533|534	si lente d aidier a nul gentil home come hore|— Par Dieu sire fait ele je estoie|si esbahie|que je ne cuidoie pas	si lente de aider ung gẽtil hõme cõme uous estes|Siie dit elle ie estoie|si esbahie|que ie ne cuidoir pas	por dar la vida a un buen|ome señor dixo ella yo estaua tan espantada y tan marauillada del|que no me menbraua	mais si lente daidier a nul gentil homme comme iou vous uoi ore|Par dieu sire fet elle iou ne cuidoie pas	si lenta d atare a nullo gentile huomo com ora|—PPer Dio|sire|si sbigottita|ch i'non credea passo
					diss ella
					i' era
535|536|537	que mes sans li eust mestier|spuis|que je voi	que mon sẽs lui eust mestier|mais puis	que mi seso lo pudiese valer	que mes sens li eust mestier|mais puis|que iou uoi	che mi'senno li avesse mistieri||ch i' veggio
538|539	que li besoing|? est venu je ferai mon pooir de lui aidier	que ie uoy le besoing ie feray mon pouoir de le aider	mas puesque veo quele es menester yo me trauajare delo guaresçer lo	que li besoins en est uenus iou ferai mon pooir de lui aidier	che l bisogno n è venuto|i' farò mi' podere di lui atare
540	Lors vait par la praerie	Et lors ua parmi la praerie cue llant des her bes celles	mas ayna	Lors uait par la proiere de son frere	
541|542	et quelt herbes teles come ele cuide bonnes a venin oster|puis revient	que elle congnoit pour oster se ueni	que yo pudiere|entonçes cogio delas yerbas del campo aquellas|que	et coille herbes teles comme elle quide|que bones li soient a uenin oster|puis reuint arriere	e coglie erbe tali com ella crede|che bisogno le sieno a veleno trarre|
543	et les trible au pont de l espee Lancelot en la coupe meismes qu il ot beu		ouo menester parale sanar la ponçoña y pusolas enla Copa	& lez trible au poing de lespee lancelot en la coupe meisme ou il ot beu	e le pesta al pome della spada di Lancelotto nella coppa medesima ove elli ebbe bevuto
544|545|546|547|548	et met avec triacle|puis li oevre la bouche|et l an met anz I|petit|Et il les boit	puis les met auec du triacle|⁊ lui euure la bou che silui en boute dedẽs ung petit|It estoit ia enfle	e pisolas conla mançana del espada|e saco el zumo dellas|e triaca fina	et met auec triacle|& puis li oeure la bouce|et li en met ens vn petit|Et il en but	e mette con esso utriaca|Poscia apre la bocca|e lui el mette entro un poco|e elli il bevve
549|550	si com il puet;|mais il estoit ja		e fue adon lanzarote abriole la boca y echoselo poco apoco enla boca y el lo ueuio	si comme il pot|Et il ert ia	si come puote|Ma elli era già
551|552	si anflez|que ses jambes n estoient pas mains grosses	si q̃ ses iambes nestoient pas maĩs gros ses	como mejor pudo y el hera tan inchado quelas sus piernas eran tan gruesas	si enfles|que sez gambes nestoient pas mains grosses	si enfiato|che sue gambe non erano passo men grosse
553|554	que J|home par mi le piz	que ung homme parmi le pis	como el Cuerpo	que vns homme est parmi le pis seal	che uno huomo est per me' el petto
				et parmi le cors	
555	Quant Lanceloz ot beu ce	Uantlancel ot eut beu ce	e desque el beuio todo aquello	Auant lancelot ot beu ce	Qluando Lancelotto ebbe bevuto ciò
556|557	que la damoisele li ot donné|si commance a enfler plus	que la da|moiselle lui auoit donne|si commen	que la donzella le dio començo a desinchar todauia	que la damoisele li ot donne|si commencha a O emfler plus	che la damigella li ebbe donato|si comincia a enfiare più
558	et plus	ca ã eñfier de plus en plus fãt quil deuint aus	mas asi	& plus	e più
559|560	et tant qu il devint ausi gros com L|tonnel	si gros comme ung tonneau	que enla çinta fue|mas grueso	Et tant quil deuint ausslsi gros comme vns touniaus	tanto che divene altresi grosso come un tinello
					
