micha-iv-75-2	fr111-iv-75-2	sommer-iv-75-2	inc-iv-75-2	fr333-iv-75-2	fr751-iv-75-2	lanzarote-iv-75-2	lancellotto-iv-75-2
Ensi crioient tuit grant et petit contre Lancelot 	Ainsi crioyent tous grans et petis encontre lancelot 	Si crioient tout grant et petit encontre lancelot del lac. 	AInsi crioient tous contre lancelot grans et petis 	Einssi crioient tuit et grant et petit contre lancelot. 	Bien uaingne li mieudres des bons		Insi gridavano tutti, grandi e piccoli, incontro a Lancelotto, 
et il avoit moult grant honte de ce  qu’il disoient 	et il auoit moult grant honte de ce  qu ilz le seignor issoient 	Ensi li disoient:e tout a vne vois tant donor  quil en auoit grant honte. 	et il auoit grant hente de ce  quilz disoient. 	Et cil auoit molt grant honte de ce  quil disoient ce. 	Et il a grant honte de ce  quil dient. 	todos le deçian el mejor delos buenos 	e elli avea molto grande onta di ciò  che li dicevano, 
et moult a li pesoit  qu’il le seingnorisoient tant, ja soit ce  qu’il l’eust bien deservi.	tant ia soit  quil leust bien desseruy. 	et moult li pesoit de chou  quil les segnorissoient tant.  Ia soit ce  quil leust bien deserui. 	Et moult lui pesoit de ce  quilz le seigneurisoient tant. ia soit ce  quil leust bien desserui. 	et molt li pesoit de ce  quil le seignorissoient tant.  ia soit ce  quil leust bien deserui. 	et mout li poise de ce  qu il lonorent 	y flor de toda caualleria  e desque llego al gran palaçio fallolo encortinado de muy Ricos paños de muy gran balia 	e molto li pesava di ciò  ch’elli il signoregiavan tanto, già fosse  ch’e' l’avesse ben servito.
Quant Lanceloz vient en mie la rue,  si la trouva toute portandue de dras de soie et de pailles  et fu toute encortinee contre lui por honor de lui. 	Quant lancelot uint en la rue  si la treuue toute tendue de draps de soye et toute encourtinee pour honneur de luy. 	Auant lancelot uint en la vile  si le trouua toute pourtendue de dras de soie de pailes  et fu toute encortinee pour lonour de lui. 	Quant lancelot uint enmy la rue il la trouua toute tendue de draps de soie:  et toute encourtinee pour lamour de lui. 	Quant lanc̃. uint enmi la rue.  si la trouua toute portendue de dras de soie. et de pailes roez.  et fu toute encortinee contre lui. pour honor de lui. 	.si quant il uiennent parmi les rues  si les trueue totes couertes de cendax. et de pailes. et toute la uille encontre lui. 	e muy Ricos estrados  y esto fazian porle fazer onrra a don lançarote  y alli fue el Resçeuido con gran fiesta y con gran alegria 	Quando Lancelotto venne per me la ruga,  si la truova tutta portenduta di seta e di pali rasati  e fu tutta incortinata incontra lui per onor di 
Si le reçoivent a si grant feste	si le recourent a la plus grant ioye 	Si le rechurent a si grant honour 	Si le receurent a la plus grant ioie	si le recoiuent a si grant feste 	Si le resoiuent a si grant honor	e luego fueron puestas las mesas 	lui.“i l ricevono arssi gran festa 
com il pueent plus, 	quilz peurent. 	comme il porent plus. 	quilz peurent. 	comme il pueent plus. 	comme il porrent plus. 	e comieron e olgaron con gran alegria 	come possono più: 
et il l’orent desarmé,  si li aportent I. robe de cendal vermeille tote fresche. 	Et quant ilz leurent desarme si luy aporterent une robe de cendal uermeil toute fresche. 	Et quant il lorent desarme :  si li aportent vne robe toute noeues de uermeil cendal. 	Quant ilz le eurent desarme  si lui apporterent une robe de sandal uermeil toute fresche. 	Et quant il lorent desarme.  si li aportent une robe de cendal uermeil toute fresche. 	et quant il lorrent desarme  si li aportent Robe de cendal tote fresche 	e desque ouieron comido dixeron los çinco hermanos a don lançarote 	e quando l’ebono disarmato,  si gli aportarono una roba di zendado vermiglio tutta fresca, 
Et quant il est vestuz et apparilliez, il demande a veoir les III.  qui pris estoient, cels  qui estoient armé tuit d’unne manniere  et il les avoit toute jor trop couvoitiez a veoir, 	et quant il est uestu  et appareille il demande a ueoir les troys cheualiers qui estoient pris tous armez dune maniere 	Et quant il fu uestus et cauchies si demanda a ueoir lez. iij. cheualiers  qui pris estoient. ceuls  qui estoient arme tot dune maniere.  Car il les auoit tout le iour moult couoities a ueoir. 	Et quant il est uestu  si demande a ueoir les trois prisenniers  qui prins estoient et ceulx  qui estoient armez tous dune maniere:  car toute iour les auoit trop couuoitie a ueoir: 	Et quant il est uestuz et apareilliez  si demande a ueoir les .iii. cheualiers.  qui pris estoient. cels  qui estoient arme tout dune maniere.  Et il les auoit tote iour trop couuoitie a ueoir 	Qnent lanc̃ fu uestus et aparilliez si demanda a ueoir les .iii. chrl̃s  qui furent orains pris. Cex  qui estoient tuit arme dune maniere.  Car i les auoit le Ior mout counoitiez a ueoir 	señor mucho deuemos agradeçer a dios e avos  por quanto bien e onrra nos fezistes 	e quand’egli è vestito e apparechiato,  si domanda a vedere i tre cavalieri  che presi erano,  quelli ch’erano armati tutti d’una maniera.  eE elli li avea tutto giorno troppo disiderato, 
car moult l’avoient bien fait en la bataille, 	car moult lauoient bien fait en la bataille. 	quar moult lauoient bien fait en la bataille.	car moult lauoient bien fait en la bataille. 	Car molt lauoient bien fet en la bataille. 	car il lauoient. mout bien fait le Ior a la bataille. 	ca porvos auemos acauado nuestra guerra 	ché molto l’avien ben fatto nella battaglia, 
et ce estoient li III. frere. 	Et il les auoit toute iour trop couuoitie a ueoir.  et cestoyent les troys freres. 	et cestoient li troi frere. 	et cestoient les trois freres. 	Et ce estoient li .iii. frere. 	et cestoient li .iii .frere. 	e cobrada nuestra tierra  que teniamos perdida 	e ciò erano i tre fratelli. 
Et l’an les vait ! querre maintenant	et len les uait querre maintenant.	Et on lez uait querre maintenant. 	et len les lui ua querre 	et len les uait maintenant querre. 	et len les uait maintenant	e demas tenemos en nuestra prision tres hermanos caualleros 	ME-ll’uom li va immantenente a chiedere 
et quant il les vit venir,  si les connut bien,  mais por ce  qu’il ne voloit mie 	Et quant il les uit uenir  si les cogneut bien. et par ce  quil ne uouloit pas 	Et quant il lez vit uenir  si lez connoist bien tantost.  mais pour ce  quil ne veult mie 	Quant il les uist uenir il les congneust bien.  mais pource  quil ne uoulloit pas 	Et quant il les uit ueuir.  si les cognut bien. mes  por ce que il ne uoloit mie 	querre.et si tost comme il les uit  si les connut bien de loing.  et pour ce  quil ne uoloit mie 	porlos quales fuimos perdidos e confundidos  e porende señor abedes avuestro mandado tales çinco hermanos  como nos somos 	ed e li vide venire,  si gli conobbe ben tutti e tre;  ma per ciò che non volea 
qu’il le conneussent, les fist metre arriere.	quilz le cogneussent  si les fist retourner.	quil le connoissent  lez fist il metre arieres. 	quilz le congneussent les fist il mener arriere. 	quil le conneussent. les fist mener arriere. 	quil le queneussent les fist il remener ariere. 	y podedes fazer denos y denuestra tierra todo vuestro plazer 	ch’elli il conoscessono,  si fec’elli menare adietro. 
Si est tant dolanz de ce 	et est tant doulent de ce 	si est tant dolans de ce 	Si est tant dollent 	Si est tant dolenz de ce 	Mais il est si dolent  et si courreciez de cen 	y don lançarote selo agradesçio mucho 	eEsi è tanto dolente di ciò 
qu’il a esté contre els en ceste bataille 	quil a este contreulx en ceste bataille 	quil a este contre euls en ceste bataille 	quil a este contre eulx en ceste bataille 	quil a este contre euls en ceste bataille. 	quil a este contre eus en la bataille 	y tanto fablaron delos tres hermanos 	ch’egli à stato incontro a lloro in questabattaglia 
que il ne set 	quil ne sceit 	quil ne set 	qu il ne scait 	quil ne set 	quil ne set 	que don lanzarote sopo 	che non sa 
qu’il doie faire:  car moult amoit Gaheriet de grant amor, 	quil doit faire.  car moult amoit gaheries de grant amour. 	quil doie faire  Car moult amoit Gaheriet de grant amour. 	que faire  car moult aymoit gaheriet. 	quil doie fere. Car molt amoit Gaher. de grant amor. 	quil doie dire  ne faire del courrous  quil en a car mout amomoit Gaherret de grant amor. 	que heran guerres y gariet y again hermanos de don galuan y pesole ende mucho 	che debbia fare,  ché molto amava Gariet di grande amore; 
et d’autre part il l’am poise moult  por amor de Gauvain lor frere: 	Et dautre part il luy in poise moult pour amour de gauuain son frere. 	Et dautre part il li en poise moult pour lamour monseignor Gauuain lor frere. 	Et dautre part moult lui poise pour lamour de messire gauuain leur frere 	Et de lautre part. il lem poise molt  por lamor de monseignor .G. lor frere. 	et dautre part il len pesoit mout  por amor monsignor .G. lor frere. 	y dixo alos çinco  hermanos  yo vos Ruego 	e d’altra parte, e'ne li pesa molto per amore di monsignor Galvano lor fratello. 
puis conmande a cels de laienz  qu’il lor ? facent tant d’onor 	Lors commande a ceulx de leans  quilz leur facent le plus donneur 	puis commande a ceuls de laiens quil lor facesnt  tant donour 	puis commande a ceulx de leans quilz leur facent autant de honneur 	puis commande a ceus de laienz  quil lor facent tant doneur 	si commande a ciax de laiens  quil leur facent donor 	que mandedes luego sacar alos tres caualleros dela prision 	MPoscia comanda a quelli di là entro  ch’elli loro facciano tanto d’onore 
com il porront, « 	quilz pourront. 	comme il porront. 	comment ilz pourront 	comme il porront.	tant comme il pueent. 	y los manden depositar envna camara 	come possono, 
car je vos di, fait il, 	car ie uous dy bien fait ilz 	quar iou vous di fet il 	car ilz sont de hault lignage et bens cheualiers.  Et se ie eusse cuide 	Car ge uous di fet il 	Car ie uos di fait il loiaument 	y que se les faga toda honrra porla buena Caualleria 	«ch’i' vo dico, diss’elli, 
qu’il sont moult prodome et de haut lignage et bon chevaje 	quilz sont moult bons cheualiers. preudommes de hault lignage.  Et si ieusse cuide 	que il sont moult preudomme et de haut lignage et bon cheualier.  Et sachies 	quilz eussent este contre uous ie ny eusse ia escu  prins pout eulx greuer. 	quil sont et molt preudome.  et de hault lignage.et bon cheualier. 	que il sont mout preudome et de haut lignage.  et si uos di uraiement 	que es enellos señor muy de grado lo faremos  pues avos plaze 	ch’elli sono molto produomini e d’alto lignaggio e buon cavalieri;  e sappiate 
							che s’i' credesse 
				Et sacchiez se ge quidasse 			
		se iou quidaisse 					
		quil fussent contre vous. iou ni eusse ia escu pris pour euls greuer. 					
n’i eusse ja escu font cil oster de la prison	quilz eussent este contre uous ie neusse ia pris escu pour les greuer.  Lors les font oster de la prison et les menent en une chambre haulte et belle 	Lors lez font cil oster de la prison.  si les ont mis en vne cambre cointe et bele 	Lors les font ceulx oster de la prison 	qui il fussent contre uous.  ge ni eusse ia escu pris 	que ce ie cuidaisse  que il fussent contre uous. Ie ni eusse ia escu pris 	entonzes los fizieron sacar de entrelos otros presos 	che fossono incontro a voi,  i' non avesse già scudo preso 
				por euls greuer.			
				Lors les font cil oster de la prison. 			
				et les font metre en une chambre cointe et bele. 			
				et font regarder les plaies de Gaher. 			
			si les font mettre en une chambre coincte et belle 				
			et font regarder les plaies de gaheriet 				
		Si font regarder la plaie gaheriet. 					
	et font regarder les playes gaheries 						
et les font a metre en l por aux grever. » 	et luy font tous les biens  quilz peuent. 	et li font tout le bien  quil pueent. 	et et lui font tant de bien  comment ilz peuent.	et li font tout le bien  quil pueent. 	ne cop feru  por eus greuer. 	e pusieronlos envna camara muy fermosa 	per lor gravare».  Me Allor li fanno 
							que' trarre di prigione 
							e li fanno mettere in una camera conta e bella, 
				Si les tindrent molt honorablement 			
		Si les tindrent moult honorablement pour lonour de lancelot 					
	et les tindrent moult honnoureement pour amour de lancelot du lac 						
Lors les oriez les en avoit. 	qui les en auoit priez. 	qui proiet lor en auoit. 	Si les tindrent moult honnourablement pour lamour de lancelot.  qui prie les en auoit. 	por lamor de lanc̃.  qui priez les en auoit 	Lors les font li frere mestre hors de prison.  et mener en une chambre mout bele et mout riche. et font regarder la plaie Gaheriet. 	e fizieron dellos pensar muy bien segund lo hauian menester  Como don Lançarote Rogo alos çinco hermanos 	e fanno riguardare la piaga di Gariet e-lli fanno tutto il ben  che possono. 
							MSi li tenero molto onorabilmente per amor di Lancelotto 
Cele nuit fu la joie et la feste moult grant el demander ; 	celle nuyt fut la ioye  et la feste moult grant de lancelot. 	Bele nuit fu la ioie  et la feste moult grant. 	CElle nuit fut la feste  et la ioie grande au chasteau: 	Cele nuit fu la ioie  et la feste molt grant el chastel. 	et li font tout le bien  que il pueent 	que soltasen a gariet y asus hermanos dela prision Mucho fue grande la fiesta 	che pregati ne li avea. l sQuella notte fu la gioia e-lla festa grande nel castello 
				Et se lanc̃. 			
				fu bien seruiz ce ne fet mie a demander. 			
		et se lancelot fu bien seruis. 					
		ce ne fet mie a demander. 					
	et ne fait pas a demander 						
si le couchent a aise et a moult grant onor. 	sil fu bien seruy.  si le coucheut a moult grant aise et a grant honneur 	si le couchent moult a aise et a moult grant honor. 	et se lancelot fut bien serui  ce ne fait pas a demander. 	si le colchent a ese et a molt grant honor. 	Si le uirent mout honorablement  por ce que lanc̃. lauoit commande. 	quelos del castillo fiçieron con don lançarote 	e se Lancelotto fu ben servito, ciò non fa passo a domandare:  si coricarono ad agio e a molto grande honore. 
Et l’andemain  qu’il ot oïe messe, vint a vielle 	et landemain quant il eut ouy messe uint a la uieille 	Et lendemain  quant il ot oy messe vint lancelot a la uielle 	Si le couchent aise/  et a moult grant honneur. Lendemain  quant il eut ouy messe uint a la uielle 	Et lendemain quant il ot oy la messe. uint a la uieille 	Car proiez les en ni auoit  Cele nuit fu mout grans la feste et la Ioie el chastel.  et ce lanc̃ fu bien seruis et honores de tout Lor pooir ce ne fait mie a demander.  et le coucherent mout souef et mout a aise. A landemai, quant il ot messe  oie il uint a la uielle 	e todos se trauajauan de le fazer plazer  e desque fue ora de dormir echaronlo envn Rico lecho y folgo y durmio toda la noche  e desque fue demañana leuantose  y oyo misa 	Allo ndomane,  quand’egli ebbe udito messa, venne alla vecchia 
qui laienz l’avoit amené 	qui lauoit leans amener 	qui laiens lot amene 	qui leans lauoit amene	qui laienz lauoit amene. 	qui laiens lauoit amene. 	y dixo ala donzella vieja  quelo ay lleuara donzella vieja cumplido vos 	che là entro l’avea amenato 
et li dist: « Dame, je e sui vers vos aquitez. il, par la riens  que vos plus amez Sire, fait ele, ofl. —  Or vos quue vos a home 	et luy dist. Dame ie me suys uers uous acquite. Sire fait elle il est uoir.  Or uous pry ie donc tant que ie  puis que a homme 	si li dist Dame me sui iou bien aquites uers vous.  Et elle li dist Sire oil. Or uous pri iou  dont fait il pour la riens el monde que vous plus ames  que: uous a nullui 	et lui dit. Dame me suis ie a uous bien aquite. Sire oy.  Or uous prie fist il par la chose  que uous aymez plus que uous a homme 	si li dist. Dame me sui ge uers uous bien aquitiez. Sire fet ele oil.  or uous pri ge  que uous a home	et li dit dame  sui ie bien aquites enuer uous. Certes sire fait ele oil mout bien.  Or uos pri ge donc fait il par la riens  que uos plus amez an cest monde	e vien lo que vos prometi señor  dixo ella  muy bien graçias a dios y avos  pues agora vos Ruego 	e le disse: aDama, mi sono inverso voi bene achetato?  - Sire, diss’ella,  oil.  — Or vo priegh’io, diss’elli,  per la cosa 
qui demant de moi  ne dioiz mon non ie ne faites savoir  qui je sui. 	qui demande de moy ne dictes mon nom ne ni faictes sauoir  qui ie suys. 	qui de moi demant ne dites mon non  ne ne faites sauoir  qui iou sui. 	qui de moy demande  ne diez ne faictes sauoir  qui ie suis. 	qui de moi demant  ne diez mon non.  ne ne fetes sauoir qui ge sui. 	que uos a nelui  qui de moi demant ne dites mon non. ne  qui Ie sui. 	dixo lançarote  que no digades cosa demi façienda a ninguno 	che vo più amate,  che vo' a uomo  che di me vo domandi non diciate mi nome,  né facciate assapere  chi sono. 
Et savez vos  por quoi je le di ? Cil III. chevalier prison sont frere mon signor Gauvain 	Et scauez uous pour quoy ie le dy. Ces troys cheualiers  qui sont en prison sont freres messire gauuain 	Et saues uous pourcoi iou le di ie vous en pri fet il por ce  que cil troi cheualier  qui sont prison chaiens sont frere monseignor Gauuain. 	Et sauez uous  pour quoy ie le dis Ces trois cheualiers sont freres a menseigneur gau. 	Et sauez uous  por quoi. ie le di: Cil .iii. cheualier. prison. sont frere monseignor Gauuain. 	et sauez uos  por quoi gel di. Cil troi cheualier prison  que Ie mandai er soir sont frere monsignor .G.	que vos pregunte pormi por quanto aquellos tres caualleros 	eEsapete vo'  perché i''l dico? Que tre cavalieri son fratelli di monsignor Galvano, 
et tant les aim que je ne voudroie mie 	et tant les ayme  que ie ne uoudroye pas	Et iou lez aime tant  que iou ne uoldroie mie	et ie ne uouldroie pour riens 	Et tant les aim.  que ie ne uoldroie mie 	Si les ain tant de bone amor  que ie ne uoroie por rien 	que yo fize sacar dela prision son mis amigos 	e tanto li amo  ch’i' non vorei mica
qu’il seussent 	qu ilz sceussent 	que il seussent 	qu ilz sceussent 	quil seussent 	quil seussent 	e son hermanos de don galuan  y si por ventura supiesen ellos 	ch’elli sapessono 
que je eusse esté contre aux,  car il m’an harroient par aventure; 	que iaye este contre eulx.  car ilz men hairoient par auanture 	que iou eusse este encontre euls.  Car il men harroient par auenture. 	que ie eusse este encontre eulx/ car ilz men herroient par aduanture/ 	que geusse este contr els.  Car il me harroient par auenture. 	que ie eusse este contre eus en ceste bataille. Car il me harroient par auanture. 	que yo fuera enesta vatalla siempre me querrian ende mal 	ch’io avessi stato incontro a llor,  ch’elli me n’odierebbono per aventura. 
et por ce ne voil je mie 	et pour ce ne uueil ie pas 	Et por ce ne voel iou mie 	et pour ce ne uueil ie mie 	et  por ce ne uoil ge mie	et  por ce ne ueil ie mie 	y por esto no querria 	E perciò non voglio mica 
qu’il sachent mon non. »  Et ele dist 	qu ilz sachent mon nom.  Et elle dit 	que il sachent mon non.  Et elle dist 	quilz sachent men nom/  et elle luy dist 	quil sachent mon non.  Et ele dit 	quil saichent mon non.  ni  qui ie sui. et la uielle dit 	que supiesen mi nombre señor dixo ella 	ch’elli sappiano mi nomes.  E ella dice 
qu’ele nel descouverra ja a nul home. Il vient as .V. freres  et lor dit 	qu elle ne le descouuerra ia a nul homme. Il uient aux cincq freres  et leur dit 	que elle ne le descouuerra ia a nul homme.  Lors sen uait as. v. freres :  et lor dist 	quelle ne le descouurira ia a homme uiuant.  Lors uint aux .u. freres/  si leur commanda 	quele nel descouuerra a nul home.  Et il uient as .u. freres.  et leur dit 	qu ele ne le descouuera Ia a home ne.  et lors uint lanc̃ a .u.  freres.et lor dit 	en quanto vos quisieredes nunca 	ch’ella nol discupirà già a nullo huomo.  eE elli viene a' cinque fratelli  e-llor dice 
que li III. chevalier soient quite et mis fors de prison et cil dient 	que les troys cheualiers soyent quictes et mis hors de prison.  et ilz dient	que li troi cheualier soient quite Let mis hors de prison. Et cil dient 	que les troys freres feussent deliures/  et ceulx dient 	que li .iii. cheualier. soient quite et mis hors de prison.  et cil dient	quil wet  que li cheualier soient cuite et mis hors de prison.  et cil dient 	pormi seredes descubierto 	ch’e tre cavalieri sieno cheti e messi fuor di prigione,  e quelli il dicono 
qu’il le feront tot a sa volenté; «  et ancore vos pri je, fait il, 	qu ilz le feront tout a sa uoulente  et encor uous pry ie 	que il feront toute sa uolente.  Et encore fet il vous prie iou y 	que sy feront ilz tout a sa uoullente.  Et encor uous prie ie fist il/ 	que il le feront tout a ssauolente.  Et encor uous pri ge	quil en feront sa uolente.  et encor uos pri ge fait lanc̃. 	entonçes dixo alos çinco hermanos lançarote yo quiero 	ch’elli il faranno tutt’a sua volontã. αAncor vo priegh’io, diss’elli, 
que quant je m’en serai alez, que vos retaingniez les III. freres çaienz 	que quant ie men seray ale  que uous tiengnez les troys cheualiers 	que quant iou men serai ales.  que vous les reteigniez chaiens 	que quant ie men seray alle/  que uous detiengnies les troys freres ceans 	que quant ge men serai alez.  que uous reteigniez les .iii. cheualiers caienz. 	que si tost comme ien ferai ales les tenes trois Iours ou quatre. 	que soltedes estos tres caualleros hermanos 	che quando me ne sarò andato,  che vo ritegniate i tre cavalieri  qua entro 
et lor faites tant d’amor et d’onor 	et leur faictes tant donneur 	et lor fetes tant donor 	et leur faictes tant de honneur 	et leur fetes tant honneur 	et les ceiornes tout a ais  et lor faites tant donor 	e desque yo fuere ydo 	e-llor fate tanto d’onore 
que je vos en saiche gré; 	que ie uous en sache gre.	que iou vous en sache gre. 	comment uous pourres/ 	que ge uous en sache gre.	que ie uos en saicle gre. 	quelos fagades aqui estar 	ch’i' ve ne sappia grado, 
car bien sachiez  qu’il sont mi ami. »  Et il dient  que si feront il sanz faille.  Lors demande Lanceloz ses armes  et cil dient?  qu’il demort encore,	car sachez  quilz sont mes amys.  et ilz dient  que si feront ilz sans faille.  Lors demande lancelot ses armes.  et ilz dient  quil demeure encores 	Et bien sachies  que ce sont mi ami. et cil dient  que si feront il.  Lors demande sez armes et sarma entre lui et lyonel. 	car bien sachies  qu il sont mes amis.  Et ilz dient sans faille que si feront ilz. LOrs demande ses armes/  et ceulx dient  quil demourra encore/ 	Car bien sachiez  quil sont mi ami.  Et il dient  que si feront il sanz faille.  Lors demande lanc̃. ses armes.  et cil li dient  que il demort encore. 	Car bien saichiez uos uraiement  qu il sont mout mi ami.  et cil respondent  quil en soit tout asseur  que si feront il.  Atant demande lancelos ses armes.  et cil dient  que il demoure encor laiens 	fastaque sean sanos y guaridos  y queles fagades toda honrra y plazer quanta yo aya gradesçer señor dixeron ellos faremos todo vuestro mandado  entonçes demando sus armas don lançarote  y armose el y lionel 	ché ben sappiate  ch’elli sono miei amici».  eE elli dicono  che si faranno elli anza fallo.  Allor domanda Lancelotto sue armi,  e quelli li dicono  ch’elli dimori ancora, 
car trop a poi demoré avec aux; mes il dist  qu’il ne remaindroit en nule mannierea; 	car trop peu a demoure auec eulx .  Mais il dit  quil ny demourra plus. 	et puis se partent de laiens. 	mais il dist  quil ne remaindroit en nrulle maniere. 	Car trop a poi demore auec els. mes il dit  quil ne demorroit en nule maniere. 	que tͦp petit i a ceiorne.  mais il dit  quil ne demorroit plus en nulle maniere. 	e despidieronse delos çinco hermanos e de toda la otra compaña 	ché troppo à poco dimorato con esso loro,  ma elli dice  che non dimorebbe i'nulla maniera, 
si s’em part entre lui et Lion.  Et quant il sont monté, li V. frere viennent a Gaheriet 	si sem partent luy et lion.  Et quant ilz furent montez les .u. freres uiennent a gaheries 	Et li . v. frere vienent a Gaheriet 	Si sen part entre luy et lyonnel  et quant ilz furent montes lez cinq freres uindrent a gaheriet/ 	Si sen part entre lui et lyon.  Et quant il sont monte li .u. frere uienent a Gaher. 	Si sen part atant entre lui et lionnel.  et quant il fuostret ale li .u. frere uinrent a gaher 	e fueronse de y  luego se fueron los çinco hermanos a guariet e sus hermanos 	si si parte intra lui e Lion.  E quand’e' sono montati, i cinque fratelli venero a Gariet 
et le metent fors de prison  et li font toute la joie 	et le mectent hors de prison  et luy font toute la ioye 	et le metent hors de prison entre lui et sez freres. 	si le mettent hors de prison:  et luy font toute la ioie 	et le metent hors de prison.  et li font toute la ioie 	et losterent de prison.  et lor firrent tote la feste 	e fiçieronles mucha honrra  e dixeronles 	e l misono fuor di prigione elli feciono tutta la gioia 
qu’il li pueent faire a lui et a ses freresb. 	qu ilz peuent a luy et a ses freres 		qu ilz peuent a luy et a ses freres. 	quil li pueent fere a lui et a ses freres. 	quil porrent. 	señores vos sodes libres porel Cauallero  que dio çima anuestra guerra señores 	ch’elli poterono fare a-llui e a suoi fratelli. 
Et il demande maintenant	Et ilz demandent lors 	Et il lor demandent maintenant 	Et ilz demandent maintenant 	Et il demande maintenant 	et lor demandent a ciax de laiens 	dixo gariet 	E elli domandarono immantenente 
qui li chevaliers est 	qui est le cheualier 	qui li cheualiers est 	qui est le cheualier 	qui li cheualiers est 	que li cheualier̾s estoit 	quien es aquel cauallero 	chi l cavaliere est 
par cui il ont esté desconfit 	par qui ilz ont este desconfiz. 	par qui il ont este desconfit. 	par qui ilz ont este uaincus: 	par qui il ont este uaincu. 	qui les auoit ainsi desconfis en la bataille. 	porquien nos somos libres çierto 	per cui elli ànno stati vinti, 
et il dient 	et ilz dient	Et il dient 	et ceulx dient 	Et cil dient 	et cil dient 	dixeron ellos 	e que' lor dicono 
qu’il ne sevent,  se Diex lor aïst. — 	quilz ne scauent. 	que il ne seuent. 	quilz ne scaiuent  se dieu leur aist. 	quil ne seuent se diex lor ait. 	qu il nen seuet riens. 	no lo sauemos  Como puede esto ser 	che non sanno,  se Dio loro aiuti. 
Par foi, fait Gaheriez,  ce ne puet estre, 	Certes fait gaheries ce ne puet estre 	par foy fet Gaheries  ce ne puet estre. 	Par ma foy dist gaheriet ce ne peult estre/ 	par foi fet Gaħ. ce ne puet estre 	Certes fait Gaher.  ce ne puet estre. 	dixo gariet ca delos vuestros hera 	.Per fé, disse Gariet,  ciò non può essere, ché di vo' fu elli 
car des voz fu il et avec vos vint il çaienz. — 	car il fut des uostres  et auec uous uint il leans 	quar des uos fu il. 	car des uoz fut il 	Car de uos fu il.  Et auec uous uint il caienz. 	car de uos gens cuideroie ge bien  quil fust. 	y conbusco entro enel castillo  pordios dixeron ellos 	e con esso voi fu elli qua entro. 
Par foi, font ? il, de notre gent ne fu? il pas, 	Certes fait il des noustres gens ne sont ilz pas 	Par foy font il des nostres  ne fu il pas 	et auec uous uint il ceans par ma foy font il de nostre gent ne fut il mie/ 	par foi font il de nostre gent ne fu il pas 	Sachiez font il uraiement  que non lestoit. 	el  no es de nuestra Compaña 	—Per fé, dicon elli, di nostra gente non fu elli passo,
mais il nos aidoit por l’amor d’une dame 	mais ilz nous aiderent pour lamour dune dame 	mais il nous aida por lamour de vne dame 	mes il nous aidoit pour lamour de une dame 	Mes il nous aidoit por lamor dune dame 	Mais cest uerites  qu il nous aidoit por amour une dame 	mas el nos ayudo  por amor devna donzella 	ma elli noi atò per amore d’una dama 
qui ceanz est,  ne onques son non  ne nos vost dire ne onques ne le veismes.  Mais il nos pria tant de vos servir et de faire toute l’onor 	qui uint ceaus  ne oucquez son nom  ne nous ueult dire.  mais il nous a tant prie di uous seruir et faire tout lonneur 	qui chaiens est.  ne onques son nom ne nous volt dire.  mais il nous pria moult de uous seruir.  Et de faire toute lonour 	qui est ceans/  ne encques son nen ne nous uoullut dire/  ne encques ne le ueismes/  mes il nous pria molt de uous seruir et de uous faire toute lamour 	qui caienz est.  ne onques son non ne nos uolt dire.  ne onques ne le ueismes.  Mes il nous pria  et trop de uous seruir. 	qui saian est  et saichiez  que son non ne nous uout il onques dire.  ne soi descourir.  Mais il nous pria au departir  que nous nus pennissiens de uos ceruir. 	que nos aqui troxo y nunca nos quiso deçir su nombre  mas el nos Rogo de Corazon  que vos fiçiesemos mucha honrra y mucho seruiçio 	che qua entro est; né unque su' nome non volle dire,  né unque mai nol  vedemo;ema elli no pregò troppo di vo servire  e di fare voi tutto l’onore 
				et desre toute loneur 			
que nos porrions, 	que nous pourrions. 	que nous porriemes. 	que nous pourriens/ 	que nous porrions. 	et donorer a nostre pooir. 	y ansi lo faremos 	che no' potremo, 
car il dist	car il dit 	Car il nous dist 	car il dit 	Car il dist 	Car il nous dit 	por amor del que nos dixo 	ch’elli no disse 
que vos estiez moult si ami. »  Lors se merveillent trop 	que uous estes trop ses amys.  Lors se merueillent 	que vous esties moult si ami. Et li troi frere sen esmerueillerent moult. 	que uous estes menlt grandement ses amis.  Lors se merueillent menlt tous ensemble 	que uous esties molt si ami.  Lors se merueillent il trop 	que uos estiez mout ci ami.  quant cil oirent ceste nouelle  si se meruillerent mout 	que vos amaua mucho  y que herades buenos caualleros  y esto sauemos nos bien 	che voi eravate molto amici». Allor si maravigliano e' troppo 
