micha-ii-48	lancellotto-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48
et chevalchoit I. palefroi noir a molt riehe lorain et a molt cointe sele de l'oevre d’Engleterre. Il salue la damoisele 	e a molto bella sella dell’opera d’Inghilterra  e a molto ricco freno, uno capelletto foderato di zendado in sua testa 	et cheuauchoit .i. palefroi noir a mout riche lomin  et a mout riche cele de lueure dangeterre. Il salue la damoisele 	si cheualchoit vn moult riche palefroy a vn moult cointe lorain et a vne sele dengletere Il salue la damoisele 	qui moult faisoit grant deul et cheuauchoit ung palefroy noir a moult riche loram  et a moult cointe sele de lueure de angleterre Il salue la damoisele		e andaua envn palafren morçillo  que traia vna muy Rica silla y freno 
et ele lui. « Damoisele, fet il, 	per lo  caldo. E'saluta la damigella 	et ele autresi lui. Damoisele fait lanc̃ 	et elle li rent son salut. Damoisele fet il 	et elle aussi luy. Damoisele. fait il 	et lui dit. Dame dictes moy 	e el saluo la donçella e ella ael donzella dixo lançarote deçidme 
kar me dites,  s’il vos plest, 	ed ella gli rende suo saluto molto cortesemente. Damigella, disse  Lancellotto, ch’or mi dite ora perché vo piagnete? — Certo,  sire,  diss’ella, s’i vi credesse avere 	car me dites ore ce il uos plait 	sil vous plaisoit iou sauroie volentiers 	or me dictes	pour quoy uous plourez  sil uous plaist	porque llorades  si vos plaze çierto dixo la donçella  si yo supiese 
por quoi vos plorés. —  Certes, sire, fet ele,  se je i' cuidoie avoir preu, je le vos diroie. — Damage, fet il, ll’i avrez vos ja,  se Dieu plest,  mais dites le moi  par covent	pro,  si 'l vo dire' io.— Damaggio, disse  Lancellotto, non ci arete vo'  già, se Dio  piace, ma ditelme per convento che, s’i vo ne posso aiutare o 	que uos auez.  et por coi uus plorez.  Certes sire fait ele  se ie i cuidoie  auoir preu ie le uos diroie. Damage fait il ni aurez uos ia  se dieu plait.  Mais dites le moi  par couant 	pourcoi vous plores. Sire  certes dist elle se iou y  qui doie auoir aucun preu iou le vous diroie Damage fait il ni aurois vous ia se dieu plaist. Dites le moi par tel conuent 	pour quoy uous plourez.  Certes fait elle  si ie y cuidoye  auoir preu ie le uous diroye.  Dommaige fait il ny aurez uous pas  si dieu plaist.  Mais dictes le moy par conuent 	Certes sire  se ie y cuidoie  auoir prouffit ie uous le diroie.  Dommage fait il ny aurez uous ia  se dieu plaist. 	que me vernia Prouecho enello  yo voslo diria muy de grado çierto dixo donçella enmelo deçir no aueredes vos daño  si auos pluguiere  e vos dezidmelo  por conuenençia 
que,  se je vos puis aidier a vos esleecier, je vos aiderai a mon pooir. — En non Dieu, sire, fet ele, 	consigliare, io vo n’atrò di tutto mio  podere. — ll A nome di  Dio, 	que ie uos en aiderai a eslaicier. a mon paoir  ce ie uos en puis aidier.  En non dieu sire fait ele 	que se iou vous puis aidier a esclairier vostre cuer iou le ferai a mon pooir. Enon dieu sire fet elle	que si ie uous puis aider a uous aider.  it uous aideray a mon pouoir.  En nom dieu sire fait elle  dont uous diray ie. Il est uoir 	car se ie uous puis aider ie uous aideray a esclercir uostre cueur a mon pouoir. 	que vos ayude yo a todo mi Poder en todas las cosas que hubieredes menester e espeçialmente enesta 
donc le vos dirai je. ll est voirs que Meleagans, li fiz al roi Baldemagu, ala a la cort le roi Artu por la roine Genievre conquerre, s’il peust; 	diss’ella, dunque il vo dirò io. Egli è vero che Meleagante, il figliuolo del re Bando di  Maguzo, andò uguanno alla corte del re Artù  per la reina Ginevra 	dont ie uos dirai ge. Il est uoirs  que meleagant li fiz le roi bademagu ala oan a la cort le roi artu.  Por la roine reconquerre ce il peust. 	dont le vous dirai iou IL fu voirs  que melyagans li fiex au roy baudemagu ala a la cort au roy artu pour la royne genieure conquiere. 	que meleagant le filz du rop bandemagu alla a la court du roy artus  pour conquerre la royne genieure sil eust peu. 	Par dieu sire  denc fait elle le uous diray ie. Il fut uoir 	por que vos llorades 
et endementiers fist tant une damoisele 	conquidere, se potesse. eE dimentre, fece tanto una damigella ch’era sua serocchia ch’ella gittò Lancellotto di Lac d’una torre ove Meleagante 	et andementiers fist tant une damoisele 	Et endementres fist tant vne damoisele 	Cependant fist tant une damoisele 	que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre. En dementiers fist tant une damoiselle 	Ca yo porne enello el mejor Remedio 
qui estoit? sa suer 	l’avea messo in 	qui estoit suers meleagan: 	qui sa suer estoit. 	qui estoit sa seur 	qui sa seur estoit	que puede ser 
qu’ele geta Lancelot d’une tor  ou Meleagans l’avoit mis en prison, ne sai por quoi. 	pregione, non so 	que ele ieta lanc̃ dune tor  ou meleagans lauoit mis en prison. 	que elle geta lancelot de prison dune tour  ou il estoit mis : iou ne sai porcoi 	quelle gecta lancelot du lac dune tour  ou meleagant lauoit mis en prison ie ne scay  pour quoy	que elle iecta lancelot hors de prison de une tour la  ou il lauoit mis. 	si es cosa que vos pueda ayudar Enel nombre de dios dixo la donçella  pues vos os afincades tanto  que vos diga enque manera es  e que cosa es lo 
Quant ele l’ot delivré,  si le tint avec li tant 	perché. Quand’ella l’ebbe  dilivero,  si l tenne con esso lei 	et puis lenuoia a la cort le roi artu	Ouant elle lot deliure. si le tint aueques li. 	Quant elle leut deliure  si le tint auecquez luy tant 	Quant elle leust deliure elle le tint auec elle 	porque yo lloro  yo voslo dire  asi es que fiço tanto vna donçella 
qu’il fu garis, kar molt avoit eu mesaise en la prison, 	non so quanto, tanto ch’ella el  guari, ché molto avea avuto misaggio nella  prigione. 	ou il ocit .mel̾.  ci sauons nos ore bien. 	tant quil fu garis  Car moult auoit eu mesaise en la prison.  Et Io puis	quil fu guery.  car moult auoit eu mesaise en la prison. 	tant qu il fut gary:  et moult y auoit eu mesaise. 	Que hera hermana de Meliangas 
	Quand’e fu tornato a 					
et puis l’envoia a la cort le roi Artu  ou il ocist Meleagan, ce savons nos or bien.  Mais si tost com li parent sorent 	guarigione, sillo inviò alla corte del re  Artù, ov’elli uccise  Meleagant, ciò sapiamo noi ora bene.Ma si tosto come i parenti di Meleagante seppono ch’ella avea tratto di pregione 	mais si tost  com cil parent sorrent 	quant il fu garis  si lenvoia a la cort au roy artu  ou il ochist melyagant chou sauons nous bien. Mais si tost  que si parent le sorent 	Et puis lenuoya a la court du roy artus  ou il occist meleagant  ce scauons nous ores bien. mais si tost  que les parens meleagant sceurent 	et puis lenuoia a la court du roy artus la  ou il occist meleagant.  mais tantost  que ses parens sceurent 	que saco dela prision a lançarote  quelo tenia envna torre Meliangas no sabia  porque 
qu’ele avoit Lancelot osté de la prison, si distrent  qu’ele l’avoit fait por Meleagan ocirre; 	Lancellotto, sì dissono ch’ella l’avea fatto per Meleagante 	que ele auoit iete lanc̾ de prison;  si dirrent  que ele lauoit fait  por mes. ocirre. 	que elle auoit lancelot gete de prison  Si distrent  que elle lauoit fet pour melyagant ocirre 	quelle auoit oste lancelot de la prison  si distrent  quelle lauoit fait pour occire meleagant. 	que elle auoit iecte lancelot hors de prison ilz la occuperent de la mort de meleagant. 	e quando el fue libre ella lo tubo en su poder fastaque fue guarido  ca mucho auia enpeorado dela prision 
si le pristrent a force  et l’acheisonerent de sa mort 	uccidere, si-lla presono a forza e la cagionarono di sua morte, e dissono 	Si la prissent a force  et locoisonent de sa mort. 	Si le pristrent a force et locoisonnerent de sa mort. 	Et la prindrent a force  et laccuserent de sa mort 		e des que fue guarido fuese ala corte del Rey Artur  e Mato alla a meliangas  segund cuido que oystes mas tan ayna como sus parientes lo supieron  que ella auia hechado dela prision a lançarote Dixeron 
et distrent		et dirent 	Et distrent 	et distrent 	et fut dit 	quelo auia fecho 
que,  s’ele ne trovoit  qui l’en desfendist.  qu'il feroient de lui justice si grant 	che, s’ella non trovasse chilla  difendesse, ch’elli farebono giustitia di lei 	que cele ne trouoit  qui la desfandit  quil feroient de li iustice tele 	que se elle ne trouuast  qui len deffendist  que on feroit de li autel iustice 	que selle ne trouuoit  qui la dessendist  quilz feroient telle iustice de lie 	que se elle ne trouuoit  qui la deffendist  que len feroit de elle telle iustice 	por amor de Meliangas delo matar  e tomaronla afuerça e pusieronla en prision  e dixeron que si no fallare quien la defender de aquesto  que farian della grand justiçia 
com l’en doit fere de cele	si grande come l’uomo dee fare di femina 	com len deuoit faire de fame 	com on deueroit faire de femme 	que len deuroit faire de femme 	que len deuoit faire de femme 	Como deuen de fazer de muger 
qui son frere ocist.  Et ele dist 	che suo fratello uccide. Ed ella disse ch’ella il troverebbe bene chi ne la 	qui son frere ocist.  et ele dist	qui son frere auoit ocis.  Et elle dist 	qui son frere a occis.  Et elle dist 	qui son frere auoit occis. Et elle dit 	que asu hermano auia muerto e ella dixo 
qu’ele troveroit bien  qui la desfendroit: 	difenderebbe, sì ànno messo giorno d’a- menare uno cavaliere 	que le troueroit bien  qui la desfanderoit. 	quele le trouueroit bien	quelle trouueroit bien  qui la defendroit 	que elle trouueroit bien  qui len deffendroit.	que bien fallaria quien la defendiese 
si mist jor d’amener I. chevalier por li desfendre, 	per lei  difendere, 	Si mist ior damener .i. cheualier  por li desfandre. 	Si mist iour dun cheualier amener auant.  pour li desfendre.	si a mis iour damener auant ung cheualier  pour la deffendre. 	Si lui fut iour determine de trouuer ung cheualier pour elle deffendre. 	e luego pusieronle dia señalado Parase defender  Por cauallero 
si s’est puis porchaciee en Pluisors liex, mais onques ne trova chevalier 	si se n’è poscia procacciata in più  luogora, ma unque non trovò ancor cavaliere 	Si cest puis porchacie en plusors lieus.  mais onques ne troua cheualier 	Si sen est puis pourchascie en pluisors lieus.  mais onques ne troua cheualier 	si sest puis pourchacee en plusieurs lieux.  mais oncquez ne trouua cheualier 	Et elle a depuis pour chasse en plusieurs lieux  mais oncques ne trouua cheualier 	e ella ymbio a buscar por muchos lugares quien le defendiese mas nunca a podido fallar Cauallero 
qui ses armes en osast prendre contre celui 	che sue armi osasse imprendere incontro a colui 	qui ses armes en ossast prandre encontre celui 	qui sez armes en osast prendre encontre celui 	qui armes en osast prendre encontre celuy 	qui ses armes osast prendre centre celui 	que armas quiera tomar contra aquel Cauallero 
qui apelee l’avoit. 	che apellato 	qui apelee len auoit.	qui apelee len auoit. 	qui lauoit appellee. 	qui lauoit appelle. 	que deste pleito la a Reptado 
Or si est tant la chose alee  que li jors est aterminés a hui ; 	l’à. IOr si è tanto la cosa andata  che 'l giorno est aterminato a oggi, si non à ancor trovato la pulcella 	Or si est tant la chose alee  que li iors fu A termines a hui. 	Ore est la chose  tant alee  que li iors fu atermines a hui. 	Ores est tant la chose alee  que le iour est termine a huy. 	Or est tant la chose allee  que le iour est ennuy termine: 	e el Plazo se cumple Mañana ental manera 
si n’a trové la pucele nul desfendeor et por ce dient li un et li autre  qu’ele est atainte del meffet 	difenditore,  e perciò dicono gli uni  e gli altri ch’ella è agiunta del misfatto 	Si ne trueue la pucele nul desfandeor.  et  por ce dient et li un et li autre  que ele est atainte dou meffait : 	si na trouue nul desfendeour  Et pour chou dient li vn et li autre  quele est atainte del mesfait 	si na encor trouue la pucele nul deffendeur.  Et par ce dient les ungs et les autres  quelle est atainte du meffait 	si na trouue nul desfendeur. 	que si fasta ora de terçia no falla defensor tomaran della luego vengança 
que l’en li met sus :  si l’ont jugiee,  ce m’est vis, a ardoir le matin  et por ce  qu’il m’en membroit,  or em ploroie je si durement,	che l’uomo le mette suso. Si-ll’anno  giudicata, ciò m’è aviso, ad ardere domattina,  e per ciò che me ne  ricordo, ora quand’io vo vidi piagnea io si 	que len li met sus.  Si lont iugie ce mest uis le matin a ardoir.  et por ce  quil men menbroit ore ploroie ge si durement. 	que on li a mis sus.  si lont iugiee lal ardoir le matin.  Et pour chou  quil men ramenbroit ore ploroie iou 	que len luy mect sus.  si lont iugee  si mest aduis a ardoir le matin.  Et pour ce  quil men menbroit ores plouroye ie si fort. 	et pource lont iugiee a estre arse au matin  et cest la cause  qui me fait plourer	e la vengança sera tal  que la Quemaran  e poresto lloro yo asi tan fuertemente 
kar certes ele estoit une des plus cortoises damoiseles ! del monde et une des plus vaillans. — 	duramente, ché certo ella era una delle più belle  e delle più cortesi damigelle del mondo 	Car certes ele est une des plus cortoises damoileles dou monde et une des plus uaillans. 	Car elle estoit vne des plus hautes damoiseles del monde et des plus uaillans 	car elle estoit une des plus uaillans et des plus courtoises damoiseles du monde De celle mesmes matiere dessus dicte. 	car elle estoit une des plus haultes damoiselles du monde: et des plus uaillantes. 	porque aquella es vna delas altas donzellas del mundo 
Or me dites, damoisele, fet Lancelos, 	e una delle più valentri». Or mi dite, damigella, disse 	Or me dites damoisele fait lanc̃. 	CAr me dites  dont damoisele fait lancelot. 	Or me dictes damoisele fait lancelot 	OR me dictes damoiselle fait lancelot	agora me deçid donçella dixo lançarote 
et s’ele trovoit demain 	Lancellotto, s’ella trovasse domane 	se le trouoit	se elle trouoit demain  O 	et selle trouuoit demain 	se elle trouuoit demain 	si ella fallase 
qui la deffendist, 	chi ne la 	qui la desfendist 	qui le desfendist	qui la deffendist ne seroit alle pas 	qui la deffendist 	tras quien la defendiese 
dont ne seroit ele quite del jugement  que l’en a fet ? — Sire, fet ele, je ne sai. —  Et est ce, fet il, gaires loing  que ele est ? — Sire. fet ele, il n’i a que. VI. lieues englesches.  Se vos leviés demain matin, vos i seriés ains prime. — 	difendesse, dunque non sarebbe ella  cheta del giudicamento  che l’uomo l’à fatto? - Sire, disse  ella, i' non sO. — Est  ciò,  diss’elli, guari lungi dov’ella est? — Sire, disse ella, e' non ci à  che sei leghe  inghilesche:se vo' vi levate domane mattino 	dont ne seroit ele quite del iugement que len li a fait. sire fait ele ie ne sai.  et esse fai il gaires long. sire il ni a que .ui. lieues englesches.  se uous leuiez demain matin uus i seriez ains tierce. 	dont: ne seroit elle quite del iugement. Sire fait elle iou ne sai.  Et est chou fait il loing de ci. Sire fait elle il ni a  que vi lieues englesches.  Se vous moues demain matin vous y seres dedens prime 	quicte du iugenent  que lon a fait. Sire fait elle ie ne scay.  et est ce fait il gueres loing  quelle est. Sire fait elle il ny a que six lieues anglesches.  se uous leuiez demain matin uous y seriez auant prime 	ne seroit elle pas quicte du iugement. Sire dit elle ie ne scay. Et esse fait il gaires loingz dicy. Sire dit elle il ny a que six lieues anglesches/  et se uous partiez demain matin uous y seriez demain a prime. 	seria ella quita del todo  señor  dixo ella no se E es muy lexos de aqui ado ella esta dixo lançarote  señor dixo ella no ay mas de aqui alla de seis leguas ynglesas  e si quisieredes Bien podedes yr alla a ora de Prima Ado la podre fallar 
Ou le porrai je, fet il, trover ? —  Al chastel a, fet ele, de Floego 	vo' vi sarete inanzi prima. —E ove la potrò io, disse, trovare?-Al  castello, diss’ella, di  Fleego, 	Ou la porroie ge fait il trouer. Au chastel fait ele de floego. 	Et ou le porroie iou fait il trouuer. En la forest fait elle de floregas. 	Ou la pourray ie fait il trouuer ou chastel de fleago fait ella 	Et ou la pourroie ie fait il trouuer.  En la forest de florega: 	dixo lançarote enla floresta de donseglorega dixo la donçella 
et cis chemins vos i menra droit,  se vos le volés tenir. — 	e questo camino vo' vi menerà tutto diritto se voi il volete tenere. — Or vo comando a dDio, damigella, 	et ciz chemins uos i merroit  se uos le uoliez tenir. 	Et chis chemins vous y menra tot droit  se vous le saues tenir	et ce chemin uous y mennra droit  se uous le uoulez tennir. 	et ce chemin icy uous y menera tout droit  se uous le sauez tenir. Il se part de la damoiselle 	e este camino vos lleuara alla  si lo supieredes guardar 
Or vos commant a Dieu, damoisele », fet il.  Si s’em part atant  et cele s’en vet faisant son duel. 	diss’ell». Si si parte  atanto, ed ella se ne va faccendo suo  duolo, ed e' cavalca 	Or uos comant a dieu damoisele fait il.  si sen part. et sele sen ua faisant son duel. 	Or vous commanch iou  a dieu damoisele fait il.  si sen torne atant.  Et cele sen uait faisant son doel. 	Oe uous commande ie a dieu damoisele fait il.  si sem part atant et elle sen uait faisant son deul. 	et la commande a dieu.  Et celle sen reua faisant son deul. 	Pues a dios vos encomiendo dixo el  e luego se partio el vno del otro  e la donçella yua llorando 
Et il chevalche tant 	tanto che viene fuori della 	et il cheuauche	Et lancelot cheualche tant 	Et il cheuauche  tant	et il cheuauche  tant 	e la donçella yua agora tanto  porsu camyno 
qu’il vint fors de la forest,  si vit devant lui une maison de religion  et il torne cele part  por herbergier. Et quant il i vint,  si trueve a la porte IlII. des freres  qui ja avoient chanté complie  et estoient venu hors? al serain; 	foresta, si vide davanti lui una magion di  riligion. Elli torna in quelle parti per albergare  e quand’e' vi  viene, si truova alla porta quatro de' frati di là entro che avieno già cantato compieta  e erano venuti di fuori al 	tant quil uient fors de la forest.  Si uoit deuant lui une maison de religion.  et il torne cele part por herbreger.  et quant il i est uenus  si trueue a la porte iiii freres.  qui ia auoient chantee complie et estoient uenu au serain. 	que il vint hors de la forest.  si voit deuant lui vne maison de religion. si torne cele part pour herbergier.  Et quant il vint la si trouua. ij. freres  qui auoient cante complie.  Si estoient venu au serain. 	quel uient hors de la fourest  si uoit deuant luy une maison de religion.  et il tourne celle part pour herbrega.  Et quant il y uint  si treuue a la porte quatre des freres  qui ia auoient chante complies. et estoient uenuz au serain. 	quil uint hors de la forest  si uoit deuant lui une maison de religion.Il tourne celle part pour hebergier.  Et quant il uint la si trouua deux freres  qui auoient chantee complie: et ilz estoient uenus hors au serain 	fastaque salio dela floresta  e llego avna casa de Religion  e el fue alla por aluergar  e fallo ala puerta dos frailes  que auian dicho conpletas  e estauan al ayre 
si saillent encontre lui  por fere descendre 	sereno. S salgono incontro a-llui  per lui discendere 	Si saillent encontre lui por liu dessandre. 	si saillent sus encontre lui  por lui desarmer. 	si saillent encontre luy pour le descendre 	si saillent encontre lui  pour le descendre 	e ellos fueron contrael 
et dient  que bien soit il venus;  si le font entrer laiens  et li demandent  s’il a mengié,  et il dist  que nenil, 	e dicono che bene  sia elli venuto; sì 'l fanno entrare là entro  e lo domandano s’egli à  mangiato, ed e' dice che 	Oroient  que bien soit il uenus. sire font entrer laiens.  et li demandent cil a mengue  et il dit  que nennil. 	et dient  que bien soit il venus.  si le font entrer laiens  et li demandent  sil manga hui. Et il dist  que nenil. 	et dient  que bien soit il uenu.  si le font entrer leans.  et luy demandent  sil a mange et il dit  que non. 	et dient  que bien soit il uenu.  aprez lui demandent  sil menga huy. Il dit  que nenny. 	porlo ayudar a desçender e dixeron que vien fuese venido  e Metieronlo enel monesterio  e los frailes le dixeron señor auedes  / oy comido no señores dixo el 
et il font erraument mettre la table,  mais il dist  qu’il ne mengera devant  qu’il ait esté al mostier,  lar il n’i entra hui. 	non, ed e' fanno isnellamente mettere le  tavole, ma e' dice che non mangerà davanti ch’egli abbia stato nel  mestieri, ché non v’entrò tre giorni 	et il font erraumet mestre la la table.  mais il dit  quil ne mangera deuant  quil ait este en mostier.  Car il ni entra encor hui. 	Et il font maintenant metre la table a lor sergans et la nape ;  et puis le pain et le vin dessus.  Et il dist quil ne mangera mie  deuant ce quil ait este el moustier.  si y dira sez orisons.  Car il ni auoit hui este. 	Et ilz font erraument mectre la table.  Mais il dit  quil ne mangera deuant ce  quel ait este au monstier.  Car il ny entra huy.	et ilz font incentinent mettre la table le pain et le uin dessus  mais il dit  qu il ne mengera  deuant  quil ait este au monstier dire ses oraisons car il ny auoit  huy este 	e luego mandaron ellos quele pusiesen la mesa  mas lançarote no quiso luego comer  ante dixo 
Lors entre en l’eglise.  por orer et en ce 	avea. Allora entrò nella chiesa per adorare,  e'n ciò che si fu 	Lors entre lanceloz en lesglise  por orer et en ce 	Lors sen entre en leglise pour orer.  Et en ce 	Lors entre en leglise pour orer 	Lors entre en leglise et ainsi 	que entraria enla yglesia  por fazer oraçion 
qu’il se fu agenoilliés,  si regarde a destre 	aginocchiato, si riguarda a destra 	quil se fu agenoilliez  si garde a destre 	quil su a genoillons  si regarde deuers destre partie 	Et ainsi  quil sen fu agenouille  si regarde a destre 	quil fut agenoullons  si regarde a dextre partie	e desque el entro enla yglesia finco los ynojos  e el façiendo oraçion cato asu diestro 
et voit unes prones d’argent trop richement fetes a floretes d’or et a oisials et a bestes,  et dedens avoit V. chevaliers armés, les hialmes es testes, les espees es mains,  ausi apresté de deffendre 	e vide uno intagliamento d’argento troppo riccamente fatto a fioretti d’oro e a uccelli e a  bestie,  e di dentro avea v. cavalieri armati.? Elli isguarda lo  ntagliamento, che troppo est  ricco, molto lungamente, si vide ch’e cavalieri avieno gli elmi in  testa, le spade in  mano, altresi aprestati d’asalire 	si uoit unes prones de fer dargent trop richemet faites et florestes dor. et a oisiax et a bestes.  et dedans auoit u.. cheualiers tous armes les hiaumes laciez les espees es mains ausi aprestes de desfandre: 	et voit. j. prones de fer  et dargent moult bien faites a flor cestes: dor et a bestes et a oisiaus de diuerses manieres et dedens auoit. v. Cheualiers armes de toutes armes  si com de heaumes en testes et despees es mains  et aussi pres de euls desfendre	et uoit unes prones dargent trop richement faute a flouretes dor et a oiseaux et a bestes.  et dedans auoit cincq cheualiers armez ses heaumes es testes les espees es mains  aussi aprestez de deffendre 	et uoit unes prones dargent moult bien faictes a florectes dor a bestes et a oiseaulx de diuerses manieres Dedens auoit cinq cheualiers armez de toutes armes les espees en leurs mains  ainsi prestz a deffendre 	e vio vnos arcos de plata muy Ricamente fechos a flores de oro  e a bestias de diuersas maneras  e ante ellos estauan çinco caualleros armados de todas armas elos yelmos enlas cabezas  e las espadas enlas manos  como si quisiesen defender de algunos 
que se l’en les volsist asaillir.  De ce se merveilla molt Lancelos ;  si se drece erraument et vet cele part, 	come se l’uomo gli dovesse  manomettere. api ciò si maraviglia molto  Lancellotto, si diriza isnellamente e va in quelle 	comme se len les uosist asaillir. Si se meruilla mout lanc̃.  si se dresce erraument.  et ua cele part 	que se on les volsist assaillir.  Ne chou sesmerueille moult lancelot.  et se drece em pies  si vait cele part	commen se len les uoulsist assaillir . De ce se merueille moult lancelot.  si se drece erranment  et uait celle part 	comme se len uoulsist assaillir. De ce se merueille lancelot  si se dresse sur piez et ua celle part 	quelos quisiesen acometer  Desto se marauillo mucho lançarote 
si salue les chevaliers  et il dient 	parti, si saluta i  cavalieri,  e dicono che ben sia elli 	et salue les cheualiers.  et il dient	et salue lez cheualiers.  Et il li dient 	si salue les cheualiers.  et ilz dient 	et salue les cheualiers.  Et ilz dient 	e fue alla contraellos e ellos le dixeron 
que bien soit il venus. 	venuto. Ed elli entra di dentro el  chiuso, ov'era lo 	que bien soit il uenus . 	que bien soit il venus. 	que bien soit il uenu. 	que bien soit il uenu. 	señor bien seades venido 
Et il entre dedens les prones par un petit huisselet a  et esgarde les prones qui tant sont riches 	nta. elli ella glio, per un piccolo uscio di  ferro, e guarda lo ntaglio  che tanto est ricco 	et il entre dedens les prones par .i. petit usselet.  et esgarde les prones qui tant sont riches 	Et lancelot entre dedens les prones  qui tant sont beles et riches. 	Et il entre parmy ung petit huisset dedans les proues.  Et regarde les prones  qui sont tant riches 	et lancelot entre dedens les prones par ung petit huysset  et regarde les prones  qui tant sont belles et riches 	e el les rrindio sus saludes  e lançarote cato vn poco los arcos  Porque heran muy Ricos e muy fermosos 
			Et regarde lez prones			
qu’il ne cuide pas  que nus rois les peust esligier; 	che non crede passo  che nullo re il potesse fare  fare, 	quil ne cuide pas  que uus rois les poist eligier. 	quil ne quide pas  que vns roys lez peust esligier.	que il ne cuide pas  que ung roy les peust esliger. 	quil ne cuide pas  que ung roy les peust esligier. 	que vien cuidaua Que vn Rey No los podia tales façer 
puis voit delés les chevaliers une tombe, la plus riche 	e vide dallato il cavaliere una tomba, la più ricca ch’unque fosse veduta per 	et puis uoit deles les cheualiers une tonbe la plus riche 	Et voit deles lez cheualiers vne tombe la plus riche	Et puis uoit de la les cheualiers une tombe la plus riche 	et uoit delez les cheualiers une tombe la plus riche 	e el asi Catando vio dentro enlos arcos vna muy Rica tumba 
qui onques fust fete par home, kar ele ert tote d’or fin a chieres pierres precioses	huomo, ch’ell’era tutto d’oro  fine a pietre pretiose 	qui onques fust ueue. par home .  Car ele ert tote dor fin a pierres precieusez 	que onques fust ueue de nul cheualier  Car elle estoit toute de fin or a pierres precieuses 	qui oncquez fust ueue par hom̃e.  car elle estoit toute dor fin a pierres precieuses	que encques feust ueue de nul homme:  car elle estoit de fin or a pierres precieuses 	qual nunca tal viera el  ni ome del mundo que hera toda de oro fino e de piedras preçiosas 
qui molt valoient miels d’un grant roialme.  Se la tumbe fu de grant bialté,  nient ne monte la bialtés envers la richece  dont ele estoit 	che più valieno d’uno gran reame.Se-lla tomba fu di gran  biltà, niente fu della biltà inverso la riccheza dond’ella era piena e  Pntorniata, 	qui plus ualoient dun roiamne. et dee la conbe fu de grant biaute.  Noiant monte a la richesce  dont ele estoit. 	qui valoient. j. grant royalme.  Et se la tombe estoit de grant biaute. noient fu de la grant rikece  dont elle estoit. 	qui plus ualoient dung grant royaume De la tombe fu de grant beaute riens ne monte la biaute enuers la richece  dont elle estoit. 	qui plus ualloient que ung grant royaume. Et se la tombe fut de grant beaute/  ce nestoit riens enuers la grant richesse: 	que estaua toda labrada de diuersas maneras  e de muy muchas cosas de figuras e de otras cosas  que tal tumba de tal manera nunca viera  ni ome del mundo  que la non ouiese visto  no podria asmar la fermosura 
et avec ce estoit ele la greignor 	e con esso ciò era ella la magiore 	et auec ce estoit ele la grignors 	Et auec tout chou estoit elle la plus grande 	et auec ce estoit elle sa plus grant 	et auec ce estoit elle la greigneure 	que enella auia de tales cosas 
que Lancelos eust onques veue : 	che Lancellotto avesse unque veduta.Molto lungamente riguarda Lancellotto la tomba che troppo gli sembia oltragiosamente piena di gran  riccheza, 	que lanc̃. ueist onques. 	quil eust ao onques mais veue. 	que lancelot eut oncquez ueue 	qu il uist encques. 	como enella estauan e don lançarote se marauillo 
si se merveille molt 	si sarebbe a suo aviso al re  Artù, 	Si se merueille mout 	Si sen est trop merueillies 	si se merueille moult 	si est moult esmerueillie	e dixo entresi mesmo 
qui puet estre li princes 	e molto si maraviglia chio può essere el principe 	qui pot estre li princes 	qui li princes pooit estre 	qui puet estre le prince 	qui pouoit estre le prince 	Quien podria ser el prinçipe 
qui dedens fu mis. Il demande as chevaliers 	che di dentro fu messo. Quand’egli à molto  isguardato, si domanda e cavalieri 	qui dedens fu mis.  si demande as cheualiers	qui illueques estoit mis  Et il demande as cheualiers 	qui dedans fu mis Il demande es cheualiers 	qui fut illec mis.  Et il demande aux cheualiers 	que enella yaçia  e lançarote pregunto alos caualleros 
qui sont iluec. « Sire, font il, nos gardons le cors 	che fanno nel luogo. Sire, dicono  elli, noi guardiamo il corpo 	que il font illuec. Sire font il nos garoons le cors 	que il font illueques. Sire font il nous gardons le cors 	quilz font ilecquez. Sire font ilz nous gardons le corps 	qui illec sont  de quoy ilz seruent. Sire nous gardons le corps 	e dixo señores  que estades aqui façiendo señor dixeron los caualleros nos guardamos el cuerpo 
qui en ceste tumbe est. 	che in questa tomba giace 	qui est dedens ceste tonbe 	qui chi gist en ceste tombe	qui est en ceste tombe 	qui gist dedens ceste tombe 	que yaze enesta tumba 
qu'il n’en soit portez fors de çaiens; si somes. V. 	che no ne sia portato fuori di qua entro; sì siamo qui v. 	que il nen soit portes hors de saiens.  Si i somes .u. 	quil nen soit portes de chaiens.  Si sommes. v. 	quil nen soit porte de ceans. 	qu il ne soit porte hors de ceans.  Si sommes cinq 	quelo no lleuen dende aqui 
	per lui guardare ciascuno 					
por garder le de jors, par nuit en i a autres. V. 	giorno,  e per la notte ce n’à altri 	por le garder chascun ior.  et par nuit en i a autre .u. 	por lui garder cascun ior.  Et la nuit en y a autres. v. 	si y sommes u. pour le garder chascun iour.  Et de nuyt en y a autre cincq 	pour le garder chacun iour:  et par nuit en y a autres cinq 	e nos lo guardamos çinco caualleros de dia 
