	micha-ii-61-2	fr111-ii-61-2	sommer-4-ii-61-2	inc-ii-61-2	fr751-ii-61-2	lanzarote-ii-61-2	lancellotto-ii-61-2
290	si s’en alerent hors del palés 	si sen alerent tous hors du palays 	si sen alerent tuit del palais.	et sen allerent lun cha laultre la/ 	si sen alerent tuit fors del palais. 	fueronse todos los de palaçio 	si n’andaro tutti fuor del palagio 
291	et se departirent li uns ça, li autres la, 	si sempartirent lun ca et lautre la |si	et sen partirent 	si	Li uns sa et li autres la. 	los vnos aca |e los otros alla 	e|si dipartirono tutti l’uno qua e l’altro là, 
292|293	si que mesire Gauvain ne sot |qu’il estoient devenu. 	que messire gauuain ne sceut |quilz estoient deuenuz. 	si que mesires Gauuain ne sot |quil furent deuenu.	que monsieur gau. ne sceust encques |qu ilz estoient deuenus. 	Si que messires .G. ne sot que il estoient deuenu. 	mas don galuan no supo 	sicché monsignor Galvano non seppe |che si fossono divenuti. 
294|295	Et quant il volt descendre|por venir en la cort, 	Et quant il ueult descendre |pour uenir en la court 	Et quant il volt descendre |por uenir en la cort aual. 	Et quant il uoult descendre du pallaiz |pour uenir 	et quant il uot dessandre |por entrer en la cort 	que fazer que el quando cuido de salir del palaçio al corral 	E quand’e se ne volle discendere per venire nella corte, non poté di là entro uscire, 
296	si ne pot de laiens issir, lKar il trova les huis del palés molt bien fermés. 	si ne sceit yssir de leans.|car il trouue les huys du palays moult bien fermez. 	si ne pot de laiens issir. |quar li huis furent bien ferme. 	aual il ne peust/ |car il trouua les huys fermes/ 	si ne pot de laiens issir |Car il troua les huis del palais mout bien fermes. 	fallo las puertas del palaçio bien çerradas 	ché trovò gli usci del palagio molto bene fermati. 
297|298|299|300	Et quant il voit ce, |si se vet apuier a une des renestres |et commence|a penser molt durement » tenoit en sa main I. baston, 	et quant il uoit ce |si se ua apuyer a une des fenestres et commence a penser moult fort |et lors uoit yssir ung nain dune chambre |qui tenoit ung baston en sa main 	Et|quant il vit chou |si se uait apoier a vne fenestre|et commenche moult durement a penser a chou 	et quant il uist ce: |si se ua appuier a une des fenestres |et commenche a penser. |Et lors uist issir de une chambre ung naym/ |qui tenoit en sa main ung baston. 	Et quant il uoit ce |si se ua apuier a une fenestre |et comance a panser trop durement. et|lors uoit issir un nain dune chambre an sa main .i. mout gnt baston. 	e quando el vido aquesto fuese a sentar avna delas ventanas |e començo a cuidar muy fieramente 	E quand’e' vide ciò,|si s’andò apoggiare a una delle finestre |e comincia a pensare duramente. Allor vide venire d’una camera uno nano 
301|302|303|304	et la |ou il voit mon seignor |Et lors voit issir d’une chambre un naim |qui Gauvain, 	et la ou il uoit messire gauuain |et luy dit 	quil auoit ueu. |Et|lors uit issir dune cambre. j. nain |qui tenoit. j. baston et vait la |ou il vit monseignor Gauuain 	et la |ou il uoit mensieur gauuain 	et la |ou il uoit monsignor .G. 	e luego vido salir devna camara vn enano |que traia vn baston enla mano |e vino para el 	che teneva in sua mano uno bastone, |e là ove e' vide monsignor Galvano 
305|306|307|308	si li dist: |«Que est ce, dans malvais chevaliers ? |Que par male aventure soiés vos apoiés a nos fenestres ! |Fuiés vos en, vos n’i devés pas estre, 	que il se ouste de la|et quil ne doit pas estre apuye aux fenestres fuyez uous fait il de cy. 	si li dist. |Que est ce maluais cheualiers. |que par male auenture soies vous apoies a noo fenestres. Fuies |quar vous ni deues pas estre. 	si luy dist.|Haa mauuais cheualier fuies uous en dicy/ uous ny deues mie estre.	si li dit.|Ques ce dans mauuais cheualiers |que par male auanture soiez uos apoiez a nos fenestres fuies uos en |car uos ni deues pas estre.	e le dixo |que es eso don mal cauallero que mala uentura vos traxo a posar enesa ventana fuid |ca non deuedes ay estar 	si gli disse:|eChe est ciò, danzi malvagio cavaliere, |che per male aventura sè tu apogiato a nostre finestre? Fugite voil, |ché vo non ci dovete mica essere, 
309	kar trop a en vos vil chose, 	car trop a en uous uile chose 	quar trop a en vous vil chose. 	car en uous a trop uille chose. 	Car trop a en uos uil chose. 	ca mucho ay envos vil cosa 	ché troppo à in voi vil cosa, 
310	mais alés vos repondre ? en aucune de ces chambres, 	Mais alez uous repondre en aucune de ses chambres 	mais ales vous repondre en aucune de ches cambres		Mais alez uos repondre en aucune de ses chanbres 	e ydvos a echar envna cama desas 	si voi andate a riporre in alcuna di quelle camere, 
311|312|313	que l’en ne vos voie !» |Lors hauce le baston |por ferir mon seignor Gauvain, 	que len ne uous uoye.|Lors hauce le baston |pour ferir messire gauuain. 	que on ne vous voie. |Lors hauce le baston |por ferir monseignor Gauuain. 	Lors haucha le naym le baston |pour ferir monsieur gau. 	que on ne uos uoie. |et lors hauce le baston |por ferir monsignor .G. 	que vedes e luego alço el enano el baston |por le ferir |mas don galuan le trauo primero del 	che-ll’uomo non vo |vega».Allora alza il bastone per fedire monsignor Galvano, 
314|315	mais il gete le bras encontre,|si li tolt; 	mais il gecte les braz encontre |si luy toult. 	mais il geta le bras enfu teocleontre |si li toli le baston. 	Mes il ietta le bras encentre |si luy toult le baston. 	mais il geste Son bras encontre|si li tost. 	e tiroselo dela mano 	ma e'getta il braccio incontro, |si gliele toglie; 
316|317	et quant li nains voit ce, |si li dist: « 	et quant le nain le uoit si luy dist 	Et quant li nains vit chou |si li dist. 	Et quant le naym le uoit |si luy dist. 	et quant li nains uoit ce |Si li dit.	e quando el enano aquello vido dixo 	e quando el nano vide ciò, |si gli disse: 
318	Ha, chevalier, ce ne te valt rien. 	haa cheualier |ce ne uault riens 	ha : maluais cheualiers. |che ne tel vault riens. 	haa cheualier ce ne te uault riens: 	Ha : cheualiers |se ne te uaut riens. 	ay don cauallero çierto eso non te vale cosa 	aAl, malvagio cavaliere, non ti val nulla. 
		certes tu ne te					
319	Certes tu ne te poes de çaiens partir sans honte avoir. » 	puis partir de ceans |sans auoir honte. 	Certes tu ne te pues de chaiens partir sans honte auoir. 	car tu ne peulz de ceans partir |sans auoir hente. 	Certes tu ne puez de saiens departir sans honte auoir. 	ca non puedes tardeçer |para yr sin auer desonrra 	Certo, tu non ti puoi di qua entro dipartire sanza onta avere». 
320	Lors s’en revet en une chambre 	Los sen uait en une chambre. 		lors sen reua en une aultre chambre 	Lors sen reua en une chanbre.	entonçes se metio el enano envna camara 	Allora si ritorna nella camera 
321	et mesire Gauvain regarde a a l’un des chief de la sale, 	et messire gauuain regarde a lun des boutz de la sale	Lors sen uait mesires Gauuain el chief de la sale. 	et mensieur gau. regarde ens au chief de la salle/ 	et messires .G. regarde a lun des chiez de la salle. 	e don galuan paro mientes al vn lado del palaçio 	donde venne,|e monsignor Galvano riguarda a uno de capi della sala, 
322	si i voit le plus riche lit del monde et il vet maintenant cele part, 	si uoit le plus riche lit du monde. |et il sen uait celle part 	si y uit vn des plus riches lis del monde. |Et il uait maintenant cele part, 	si uoit ung des plus riches lytz du monde |et il sen ua celle part 	si uoit le plus riche lit del monde. |et il ua maintenant cele part 	e vido vno delos mas fermosos lechos del mundo |y el fuese alla 	si vi vide uno de più ricchi letti del mondo; |ed e' va immantanente in quelle parti, 
323|324|325	kar il s’i bee a cochier ».|Et en ce qu’il s’i voloit asseoir. |si ot une damoisele	car il se y ueult coucher |Et ainsi |quil si uouloit asseoir |si y eut une damoisele 	car il baoit a couchiera |Et en ce |quil si dut asseoir: |si oit vne damoisele 	car il se uoulloit coucher |Si ost maintenant une damoyselle	Car il se ue a couchier. |et en ce |quil se uoloit aseoir |si oit une damoisele 	para se enel hechar |y el que se quiso enel asentar oyo vna donzella quele daua vozes 	ché vi si badava riposare. |E n ciò |che-ssi voleva asedere, |si udi una damigella 
326|327	qui li crie: « |Ha, chevaliers, tu morras ja, 	qui luy crie haa cheualier tu mourras 	qui li crie |ha : cheualiers tu morras ia 	qui lui crie |haa cheualier tu mourras 	qui crie. |ha : cheualiers tu morras ia 	e le deçia cauallero muerto 	che-llo sgrida: |Hal, cavaliere, tu morrai già, 
328	se tu t’i cochies desarmés, 	se tu te y couches desarme 	se tu ti couches desarmes. 	se tu le couches desarme/	ce tu ti couches desarmes. 	heres si te ay hechas desarmado 	se tu vi ti corichi disarmato, 
329	kar c’est li Lis Aventuros. 	Car cest le lieu auantureux. 	Car chest li lis auentureus. 	car cest le lit aduantureux. 	Car cest li liz auantureus.	ca este es el lecho abenturoso 	ché ciò è el Letto Aventuroso; 
330|331|332	Mais veés la unes armes,|si les pren |et puis si t’i aseu, 	mais uoy la unes armes so les prens |et puis ty couches 	mais vois la vnes armes |si ten armes |se tu veuls |et puis ti couches. |se tu es tels 	uoy tu la unes armes ua si les pren/ |et puys te couche 	mais ueez la unes armes |si les pran |si tarme |et puis ce ti coche 	mas cata ay vnas armas |y armate primero y despues hechate ay si quisieres 	ma vede là una armadura, |si lla prendi, |poscia si vi ti asiedi 
333|334|335|336|337|338|339	se tu vels. » Mesire Gauvain cort la |ou il voit les armes, |si les prent|et s’en appareille al miels |qu’il puet. |Et quant il est tos armés de hauberc et de hialme et d’escu et d’espee », si se vet aseoir el lit, |mais si tost com il fu assis,	se tu ueulx. Messire gauuain court la |ou il uoit les armes |si les prent |et sen appareille au mieulx |quil puet. |Et|quant il est tout arme de haubert et de heaulme descu et despee |si si uait asseoir ou lit |Mais si tost |quil y fu assis 	que tu ti voelles couchier |Lors cort mesires Gauuain cele part |ou il uit les armes |si sen apparelle aux miex|quil puet. |Et quant il sest bien appareillies |si sen uait au lit et si assiet. |mais si tost |quil y fu assis. 	se tu ueulz, monsieur gau. court la |ou il uoit les armes |si sen arme. |et quant il est arme il se assiect au lit/ |et si tost comment il fut assiz 	ce tu wes. Messires .G. cor la |ou il uoit les armes |si les prant |et si sen apareille au miex|quil puet. |et quant il est tous armes |si ua asseeir ou lit |et si tost comme il i fu assis 	e don galuan fue adonde estauan las armas |e tomolas |e armose lo mejor que pudo |e desque fue armado vino a sentarse enel lecho mas asi como se asento oyo vnas vozes 	se tu vuoglis. |Monsignor Galvano va colà |ove vide l’armi, sille prende |e se ne aparecchia al meglio |ch’egli sa, |e quand’egli è armato, |si se ne va a sedere nel letto. |Ma|si tosto come vi si fu aseduto, 
340	si ot un cri, le plus let et le plus hisdeus e	si ouy ung cry le plus lait et le plus hideux 	Si oy une vois la plus hideuse 	si ot ung cri le plus hideux 	si oit .i. cri le plus lait et le plus hideus 	las mas espantables |y las mas laidas 	si udi uno grido, el più oribile 
341|342	qu’il onques mes orst, |et bien cuide 	quil ouy oncquez mais et bien cuide 	quil eust onques mais oi. |Si quide bien 	que encques mes ouist. et bien cuide 	quil onques oist. et bien cuide 	que nunca jamas ouiese oydo |e vien Cuido 	ch’elli unque udisse, |e ben credé 
343	que ce soit de deable.	que ce soit uoye de deable. 	que chou soit vois de deable. 	que ce soit uoix de deable. 	que ce soit uois de diable. 	que fuesen vozes de diablos 	che ciò fosse boce di diavolo. 
344	Et maintenant voit issir d’une chambre une lance 	et maintenant uoit yssir une lance 	et maintenant voit issir dune cambre vne lance 	Et erraument uoit issir de une chambre une lance 	et maintenant uoit issir dune chambre une lance 	e luego vido salir devna camara vna lança 	Immantanente vide usire d’una camera una lancia 
345|346	dont li fers est tos enflamés, |si fiert mon seignor Gauvain si durement 	dont le fer estoit tout enflambe dune chambre |et fiert messire gauuain si fort 	dont li fers estoit tous enflammes. si fiert monseignor Gauuain si durement. 	donc le fer estot tout emflambe/ |si fiert mensieur gau. sy durement 	dont li fers est tous en flammes. |Si fiert mon signor .G. si durement 	que el fierro ardia a llamas |e firio adon galuan asi duramente 	donde l ferro era tutto infiamato, |e viene bruiando tutto diritto a monsignor Galvano e l fiede si duramente 
347|348	que por l'escu ne |por le haubere ne remaint 	que pour lescu ne pour le haubert ne remaint 	que pour escu ne pour hauberc ne remaint 	que pour escu ne pour haubert ne demeure 	que por lescu ne por le haubert ne remaint 	que porel escudo ni porla loriga no finco 	che per lo scudo né per lo asbergo non rimane 
349|350	que li fers ne li soit passés par mi l’espaule d’outre en outre, |et il se pasme.	que le fer ne luy soit passe doutre en oultre parmi lespaule. |et il se pasme 	que li fers ne soit passes doutre en outre parmi sespaulle. |Et il se pasme de langoisse |quil sent 	qu il ne luy mette le fer dedens lespaule de oultre en oultre/ |et lors il se pausme 	que li fers ne li soit passez parmi lespaule doutre en outre. |et il se pasme. 	quele non pasase de parte en parte y don galuan finco pasmado 	che per me' la spalla no gli passi d’oltre in oltre, |ed e’si spasima. 
351|352|353|354	Et lors ont la lance esrachiee a hors de s’espaule. |mais il ne set |qui li oste ; |si saine molt merveillosement, 	Et|lors sent arracher la lance hors de lespaule |mais il ne sceit|qui luy oste |si seigne moult fort 	Et quant il fu reuenus de pasmisons |si sent le fer esrachier hors de sespaulle.|mais! il ne set |qui li oste. |si saine moult durement. 	et sent la lance erracher/ |mes il ne scait |qui luy oste/ |sy tire monlt ruddement 	LOrs sent la lance estagier de cespaule. |Mais il ne cest |qui li oste. |si sainne trop durement. 	y la lança se arranco luego |mas el non vido quien la arranco |y el finco alli |y dixo 	eAllor sente la lancia arappare, |ma e'non sa chill sinsegna molto duramente, 
355|356	mais del lit ne s’est remués, |ains dist 	mais il ne sest remue du lit 	mais onques del lit pour Chou ne se remua. |ains dist 	mes de illec ne se remue aincois dist 	mais dellit ne cest remuez |ains dit 	que del lecho no se apartaria |antes dixo 	ma del letto non s’è rimutato, anzi dice 
357	qu’il i morra tos frois ou il verra plus 		quil morra tous frois |ou il uerra encore plus 	quil y mourra tout froit 	quil i morra tous frois |ou il uerra encor plus 	que el moriria |o veria aquel quelo hauia llagado 	che ne morrà tutto freddo |o e” vedrà più 
358|359	qu’il n’a encore veu; |mais molt se sent navrés durement. 		quil na ueu. |Mais moult se sent durement naures. 	ou il uerra encore plus 	quil na ueu. |mais mout ce sent naurez durement. 	mas mucho se sentia muy mal llagado e ferido 	che non à ancora veduto, |ma molto si sente inaverato duramente. 
360|361|362|363	Molt grant piece demora iluec mesire Gauvain. |tant qu’il i fu si anuitié |que l’en veist laiens malvaisement, |se ne fust la clartés de la lune 	et dit 	Si y demora en te maniere tant|que il su anuitie. |si capaines y pooit on ueoir. |Et de chou |que on y ueoit estoit de la clarte de la lune	qui na fait. Grant piece demonra illec monsieur gau. |et quant il fut anuictie |sy |que len y ueoit mauuessement fors que de la lune 	Grant piece demora messires .G. illuc. |tant quil anuitit|et que lan ueist laiens mauuaissemet |ce ne fust la clartes de la lune 	Como don galuan vido estando enel lecho como se Conuatia el leon pardo |e la serpiente Gran pieça estubo asi don galuan muy triste |y el non pudiera ver cosa |sino fuera porla luna 	Iol Gran peza dimora nel letto monsignor Galvano; |e quand’e fu si anotato |che l’uomo vi vedesse malvagiamente, |se non fosse la chiarità della luna 
364	qui laiens entroit par plus de XL. fenestres		qui laiens entroit par les fenestres 	qui luisoit par plus de .xl. fenestres 	qui laiens entroit. par plus de .xl. fenestres 	que entraua porlas finiestras del palaçio que heran mas de quarenta 	che là entro entrava per più di Xl. finestre 
365	qui totes estoient overtes. 		qui estoient ouuertes 	qui toutes estoient ouuertes: 	qui totes estoient ouertes. 	que estauan todas auiertas entonçes 	che tutte erano aperte, 
366|367|368|369	Lors esgarde en une chambre, en cele |qui plus estoit prochaine de lui, |si vit.I. serpent, le plus grant et le plus merveillos |qu’il onques mes veist, 	quil y mourra 	Et lors esgarde mesires Gauuain |et voit en vne cambre. j. serpent 	lors regarda mensieur gau. en une chambre |qui estoit pres de luy. |si uit ung serpent le plus grant |qui leust oncques ueu 	Lors esgarde uers une chanbre cele |qui de lui estoit plus prochainne. |Si uoit dedens .i. serpant le plus grant et le plus meruilleus |quil onques mais ueist. 	paro mientes don galuan avna camara |que estaua çerca del |e vio ende vna serpiente la mayor 	allora isguarda in una camera |che presso di lui era:|Csi vide uno serpente, el più grande |ch’egli avesse unque ma' veduto,
370|371	ne il n’a home el monde |qui del veoir 		tel quil na homme el monde. |qui de lui ueoir ne deust auoir paour.	ne il nauoit homme eu monde|qui de le uoir neust grant paour/ 	ne il na home el monde|qui del ueoir ne deust auoir tote paour. 	que nunca ome del mundo ouiese visto 	si non à huomo nel mondo |che del vedere non dovesse avere tutta paura, 
372|373	ne deust avoir tote poor ne il n'est el siecle nule maniere de color |dont l’en ne peust en ui veoir, 	ou 	Car il nest el siecle nulle maniere de colour. |con ne peust ueoir sor lui; 	ne il nauoit eu siecle nulle maniere de coulleur |que len ne peust sur luy ueoir: 	Ne il nest en ce siecle |nulle maniere de color |con ne peust en lui ueoir	que della no hubiese miedo |y hera de tantas colores |que nunca enel mundo pudiesen ser vistas 	si non è nel secolo tante maniere di colori 
374|375|376|377|378	kar il estoit vermals et indes et jaunes et noirs et vers et blans. Il avoit les iex roges et gros et enflés|et la bochie lee i et grant, |et fu gros par mi le pis e; |si commença a aler amont et aval par mi la chambre, juant soi de sa coe |et batant la terre. E		Et moult estoit hideus a esgarder. |et li serpens commencha a aler et a uenir |par deuant lui amont et aual parmi la cambre ifouant soi de sa keue |et batant la terre. 	et menlt estoit merueilleux/ il commencha a aller amont |et aual parmy la chambre iouant de sa queue |et batant la terre 	Car il estoit uermaus et indes et iaunes et uers et noirs et blans. |et auoit les yex roges et gros |et enflez et la bouche lee et grant. |et fu gros parmi le piz. si coumansa a aler amont et aual parmi la chanbre iouant fu de sa coe |et batant la terre. 	mas y mucho era marauillosa y la serpiente començo andar porla camara arriba jugando conla cola |e dando conella en tierra |e desque hubo andado ansi vna pieza jugando echose en tierra 	che l’uomo non potesse in lui vedere. |Allor comincia el serpente andare a monte e a valle per me la camera, giucando di sua coda e battendo la terra; 
379|380	quant il s’est grant piece joez, |si se torne ce desos deseure		Et quant il se fu ioues grant piece |si se torne chou desous deseure. 	Et quant il se fut bien ioue |si se tourne sen dessus dessoulz/ 	et quant il est grant piece ioez ; |Si torne ce desous desoure. 	e comenzo a se Reuoluer devna parte a otra 	e quand’e se n’ebbe alquanto giucato, |si volge quello di sotto di sopra 
381	et commence a giendre et a braire et a faire la plus fort tin del monde. 		et commence a crier et a braire. et a faire la plus forte fin del monde 	et commenche a braire et a crier |et faire la plus terrible fin du monde. 	et conmance a giendre et a braire et a faire la plus fort fin del monde 	e a gemir y a bramar |y hazer la mas mala fin del mundo 	e comincia si a storcere e a fremire e a fare la più laida fine del mondo. 
382|383|384|385|386|387	Et quant il s’est ensi grant piece debatus, |si s’estent tot ensi |com s’il fust mors, |et mesire Gauvain|qui molt s’en merveille voit |qu’il gete de sa boche serpentials jusqu’a cent 	quil uerra encores plus	Et quant il sest ensi grant piece debatus |si sestent aussi |comme sil fust mors |Et mesires Gauuain sen esmerueille moult durement |Car il uit |quil getoit de sa bouche serpentiaus plus de. V. 	Et quant il se fut par longue espasse de temps ainsi debatu |comme se il fut mort mensieur gauuain sen merueille menlt si uoit |quil iette serpenteaux de sa bouche iusques a cinq cens 	et|quant il cest grant piece debatus: |si cestant ausi comce il fust mors. |et messires .G. uoit |quil geste de sa boche petis cerpantiax iusqua .u. 	e desque ella se hubo |asi Reuoluido vna pieça estendiose como sy fuese muerta |e don galuan se marauillo desto mucho mayormente |quando vido que la serpiente echo por su voca 	SE|quand’e' s’è gran peza insi dibatuto, |si si stende altresi |come se fosse morto.“Di questa cosa si maraviglia molto monsignor Galvano, |si l riguarda|e vede |che cetta di bocca serpentelli infino a cento 
388	qui tuit estoient vif. 		qui tout estoient uif. 	qui tous estoient en uie. 	qui tuit estoient uif. 	mas que çinco serpentinos viuos 	che tutti erano vivi. 
389|390|391	Et quant il a ce fet, |si se part de la chambre |et vient el grant palés, 		Et quant il ot chou fait |si sen vint el grant palais. 	Et quaut il a ce fait/ |si se part de la chambre |ou il estoit |et uint au grant pallais	et quant il a ce fait|si uient fors de la chambre |et entre el grant palais. 	e desque esto ouo fecho partiose dende la serpiente dela camara de lado al grande palaçio |e fallo 	E quand’egli à ciò fatto, |si si parte della camera|e viene nel gran palagio, 
392|393	si trueve un lieupart, le plus fier del monde, |et il li cort tantost sus 		si y trueue. j. grant lupart le plus fier del monde |si li cort sus 	si trouua ung liepart le plus fier du monde |et il lui court tantost sus: 	si trueue .i. lupart le plus fier del monde. |et li cort tantost sus 	y vn leon pardo el mas fuerte del mundo 	si vi truova uno leopardo, el più visto del mondo: |ed e' gli corre tantosto suso, 
394|395	et cil a lui |Si commence entr’ets deus la plus fiere bataille del monde, 	qu il na ueu 	et cil a lui. |si commence la bataille entreuls. ij: la plus fiere del monde. 	et il a lui. |Si commencerent entre eulx la plus fiere bataille 	et cil a lui |si commancent entr aus deus la plus grant meslee Del monde 	e dexose correr el vno contrael otro e començaron entresi la mas fuerte vatalla del mundo 	e quelli a-llui.|Si cominciano intr’amenduni la più fiera battaglia del mondo, 
396	lar li serpens cuide totes voies venir al desus del lieu Part, 		quar li serpens |quidoit toutes voies uenir au dessus del lupart 	qui oncques feust |car le serpent cuidoit tousiours uenir au dessus du liepart 	que li serpens cuide toteuoies uenir au deseur dou lieupart. 	e todauia Cuidaua la serpiente vençer al leon pardo 	ché l serpente crede tuttavia venire al di suso del leopardo, 
397|398|399|400	mes il ne puet. |Et en ce qu’il se combatoient issi, avint a mon seignor Gauvain tels aventure |qu’il ne pooit veoir gote; |si luisoit la lune molt cler. 	mais il se sent fort naure Grant piece dura la bataille des deux bestes |que messire gauuain ne scauoit 	fmais il ne poet. Entrues kil se combatent ensi auint a monseignour gauwain |kil ne uit goute. |Si luisoit la lune mout clere. 	mais il ne peut. |Et en ce |quilz se combatoient ainsi auint a monseigneur gauuain |quil ne uist goutte: |si luisoit la lune moult clere: 	Mais il ne puet et en ce |quil se conbatoient auint a monsignor .G. une auanture |que il ne puet ueoir gore|si luisoit la lune mout clere. 	mas no lo podia fazer |y en quanto se conuatian auino a don galuan que no veya gota mager |quela luna entraua muy clara enel palaçio 	ma e' non può.|E n ciò |che-ssi combattieno insi, avenne a monsignor Galvano tale aventura|che non vide nulla, |e si lucea la luna molto chiara. 
401	Mais a chief de piece li fu rendue la clartés des iex 		Mais au chiet de piece li fu rendue sa clartes 	mais au chef de piece lui fut sa ueue rendue: 	mais au chief de piece li fu rendue la clartes des iex. 	mas a Cabo de pieça cobro la vista |asi que vien podia ver el leon pardo e la serpiente que aun se Conbatian 	Ma in capo di peza gli fu renduta la chiarità degli occhi, 
402|403	si qu’il pot veoir le lieupart et le serpent |qui encor se combatoienta. Grant piece dura la bataille des. II. bestes, 	qui auoit le pire ou le meilleur. 	si kil pot bien ueoir le lupart |et le sierpent ki encore se combatoient. Grant piece dura la mellee de euls. ij. si	si quil peut bien ueoir le liepart |et se serpent |qui encores se combatoient. GRant piece dura la bataille des deux bestes: en telle maniere 	si quil pot ueoir le serpent et le lieupart |qui encor se combatoent. GRant piece dura la bataille des .ii. bestes 	Como la serpiente mato alos serpentinos |y los serpentinos aella |y del duelo |que fazian las donzellas 	sicché poté vedere el leopardo e l serpente |che s ancor si combattieno. Gran peza durò la battaglia delle due bestie 
404	que mesire Gauvain ne savoit liquels en avoit le peior ne le miels. 		que mesires Gauuain ne sauoit liquels en auoit le meillor. 	que messire gauuain ne sauoit |qui en auoit du meilleur. 	que messires .G. ne sauoit |qui en auoit le millor. ne le pior. 	Gran pieza duro la vatalla delas dos vestias ental manera que don galuan no sabia |qual hauia lo mejor ni lo peor 	che monsignor Galvano non lsapleva el |quale se n’avesse el peggiore, 
							né qual meglio n’avesse.
405	Et quant li serpens veoit	Et quant le serpent uit 	Et|quant li serpens vit 	Et quant le serpent uist 	et quant li serpens uit 	quando la serpiente vio 	E quando il serpente vide 
406|407	qu’il ne porroit venir al desus del lieupart, |si s’en revet en la chambre 	quil ne pourroit uenir au dessus du liepart |si sen uait en la chambre. 	quil ne porroit uenir au desus del lupart.|si sen retorna en la cambre 	qu il ne pourroit uenir au dessus du lieppart il sen retourna en la chambre 	quil ne porroit uenir au desus do lupart : |si sen reuait en la chambre	que no podia conquerir al leon |pardo tornose ala camara 	che non poteva venire al di suso del leopardo, |si se ne va nella camera 
408	dont il estoit issus. 	dont il estoit yssu. 	dont il estoit issus. 	dent il estoit uenu. 	dont il estoit issus. 	donde hauia salido 	dond’egli era uscito,
409|410	Et si tost com il i est entrés, |si li corent sus li serpentel 	Et si tost |quil y fu entre|si luy courent sus les serpenteux 	si corent li serpentel a lui 	et si tost comme il entra ens lui coururent sus ses serpenteaulx 	et si tost comme il i fu entres li coret sus li serpantel 	e tan ayna como enla camara entro corrieron aella los serpentinos |que ansi auian fincado 	e si tosto come e' n’è entrato gli corsono suso e serpentelli
411|412|413	et il a els;|et cil se deffendent molt durement |et aide li uns a l’autre de tot son pooir: 	et il a eulx. |Et il se deffendent moult fort |et aide lun a lautre de son pouoir	et il a aus Se desfendent li serpentel moult durement |et aide li uns a lautre de tout son pooir.	et il a eulx. |et ilz se deffendirent moult durement|et aida lun a lautre tout a son pouoir. 	et il aus. |et cil se desfandent mlt᷑ durement |et s aiuent li uns lautre. de son pooir. 	e ella aellos |asi que començaron vna batalla muy braba entre si e los serpentinos ayudauanse los vnos alos otros muy bien atodo su poder 	e elli a'lloro, |e que' si difendono duramesnte, |si aiuta l’uno a l’altro a suo podere. 
414	si dure la meslee d’els grant piece de la nuit 	si dure la meslee deulx grant piece de la nuyt 	Et dura la mellee ensi grant piece de la nuitl 	Si dura la bataille grant piece 	si dure la meslee dax grant piece de la nuit 	de manera que duro la vatalla muy gran pieça desa noche tanto 	i dura la battaglia di loro gran peza della notte 
415	tant que en la fin ocist li grans serpens les serpentials et li serpentel ocistrent lui. 	tant quen la fin occist le grant serpent les serpanteaux. et les serpenteaux aussi loccistrent. 	Et tant|que en la fin ochist li grans serpens lez petis serpentiaus. et li serpentel aussi lui 	tant que le grant serpent occist les serpenteaulx et les serpenteaulx lui. 	tant que en la fin ocient li petis serpantiax le grant serpent |et il aux.	que ala fin la serpiente mato alos serpentinos y ellos aella 	tanto che nella fine uccise el gran serpente i serpentelli|e i serpentelli uccisono lui. 
416	Et lors commencent totes les fenestres de la sale a flatir l’une encontre l’autre; 	Et lors commencent toutes les fenestres de la sale a flatir lune contre lautre 	Et lors commenchent les fenestres du palais a flatir lune a lautre. 	Lors commencerent toutes les fenestres du pallais a flatir lune apres lautre 	et lors comance totes les fenestres de la sale a flatir lune contre lautre. 	y luego començaron las puertas delas finiestras del palaçio |a tremir 	Allora incominciarono tutte le finestre della sala a percuotere l’una incontro a l’altra, 
417	si font si grant debatois et si grant noisse 	si font si grant debat 	Si font si grant noise et si grant ln teral debateis. 	et firent si grant tempeste 	si font si grant debatiz et si grant noisse 	y a darse vnas con otras |e fazian tan gran Ruido e tan gran buelta que semejaua que el palaçio se queria fundir 	si fanno si gran dibatito e si gran romore 
418	qu’il samble 	quil semble 	quil samble bien 	qu il sembloit 	quil sanble 	y luego entro enel palaçio vn gran viento |y ensi Reçio 	che sembia 
419	que tos li palés doie fondre. 	que tout le pays doye fondre 	que li palais doiue fondre. 	que tout le pallais deut fendre. 	que tous le palais doie fondre. 	que todos los juncos 	che tutto el palagio debba 
