0	el Pere et el Fiz et el Saint Esperit; n’a fors un Dieu 	le pere le filz |et le saint esperit 	0|1
443	qu’il erra par devant la maison Mathamas 	si lui auint |quil se trouua deuant la maison de mathanias 	318|319
444	qui tenoit Saigremor en prison et il avoit si grant talent de dormir 	qui tenoit saigremor en prison. 	320
445|446	qu’il ne savoit |ou il aloit; 	et monseigneur gauuain cheuauchoit tout pensif 	321
447|448	si avint |qu’il chevalcha par devant Mathamas 	et auoit si grant tallent de dormir 	322
449|450	qui estoit a sa porte, |ne onques ne li dist mot, 	quil ne sauoit 	323
451|452	et si l’avoit Mathamas salué.|Quant Mathamas vit ce, si cuida 	ou il aloit. Mathanias estoit deuant sa porte 	324
453|454	qu’il le feist par orgueil|qu’il ne li deignast respondre; 	mais encques messire gauuain ne lui dit mot	325
455	si entre en sa maison 		
456	et demande ses armes a grant besoing: 		
457	et si escuier li aportent isnelement. 	et si lauoit mathanias salue. 	326
458	Et cil de laiens li demandent 	Quant mathanias uoit 	327
459|460	ou il velt aler |et il dist	quil ne lui dit mot si cuide 	328
461|462	qu’il ira aprés le plus orgueillos chevalier |qu’il onques mes veist, «	que se soit par orgueil. Il entra incontinent a sa maison 	329
463	kar ie le saluai, fet il, 		
464|465	et si ne me deigna respondre:|si me pesera molt durement, 	et demanda ses armes: 	330
466	se je ne li abat ancui grant parti de son orgueil.; 		
467|468	Lors monte |et s’en va tos les esclos 	puis monta a chenal 	331
469|470	qu’il trueve, |tant qu’il aconsieut mon seignor Gauvain a l’entree d'unes broches 	et courut aprez mefsire gauuain 	332
471|472	et il li escrie de si loing |com il le voit: «Tornés ça cel escu, sire chevaliers, 	tant quil le uist a lentree dune forest si lui escria. Sire cheualier tournez sa lescu. 	333
473	ou je vos ferrai par derieres : 		
474|475	si i avrois greignor honte. a» |Atant s’esveille mesire Gauvain, 	Adonc sesueille monseigneur gauuain et uoit uenir le cheualier: 	334
476	si se regarde 	si se merueille 	335
477	et voit venir le chevalier tot apresté de lui ferir;		
478	si se merveille 		
479	por quoi ce est; 	pour quoy cest. 	336
480|481	si enbrace l’escu |et alonge le glaive 	Lors embrasse lescu 	337
482	et se retorne devers lui, 	et se retourne deuers lui 	338
483	si le fiert si durement	si le fiert si durement 	339
484	qu’il le porte del cheval a terre. 	quil le porte du cheual a terre. 	340
485|486	Et lors descent, |kar requerre nel voldroit il mie a cheval; 	Et lors descent de son cheual	341
487	si atache son destrier a un arbre », 		
488	puis trait l’espee 	et trait son espee 	342
489	et cort sus a celui 	et court sus a mathanias 	343
490	qui ja se relevoit, 	qui ia se releuoit 	344
491	si le fiert si durement 	et le fiert si durement 	345
492	qu’il le rabat a terre tot estordi. 	qu il le rabat a terre	346
493	Et Iors li esrache le hialme de la teste si felenesement 	et lui arrache le heaume de la teste si fellennessement 	347
494	qu’a pou qu’il ne li a le nes tot eschachié,	qui a peu |quil ne lui arrache les yeulx de la teste. 	348|349
495	si saine molt durement. 	Si saigne mathanias moult durement. 	350
496	Et lors li dist 	et menseigneur gauuain lui dit 	351
497	qu’il se rende ou il l'ocirra sans plus atendre; 	qu il se rende|ou il lui couppera la teste. 	352|353
498|499	et cil jut en pasmison, |kar trop grant anguoisse i 	Et celui geut a terre grant piece 	354
500	ot fet mesire Gauvain al hialme esrachier. 	quil ne lui respondist mot. 	355
501	Et il li dit totes voies 	et monseigneur gauuain lui dit 	356
502	qu’il se rende 	que sil ne se rent 	357
503	ou il li coupera le chief; 	qu il loccira sans plus attendre. 	358
504	et cil se ressort a grant paine. 	Et celui respont a monlt grant paine 	359
505	si crie merci et dist 	et crie mercy/ et dist. 	360
506|507	qu’il ne l’ocie pas, « lear vos n’i gaignierés, |fet il, sire chevaliers, fors vos metre en pechié mortel et moi ocirre. 	Haa sire cheualier ne me occhies pas/ 	361
508	Et certes je ne vos cuit pas 	car uous ne y gaigneries riens/ 	362
509|510	Ei tant avoir forfet |que vos me doiés ocirre 	et	363
511	comment avés vos non ? fet mesire Gauvain. — J’ai non, fet il, Mathamas. — 	comment aues uous a nen fait mensieur gauuain. Ie suis fait il appelle mathanias/ |haa fait mensieur gau. uous estes mathanias chilex 	364|365
512	Ha, Mathamas, fet il, vos estes celui chiés cui Saigremors li Desreés ala entre lui et Dodinel le Salvage! a Par mon chief, je vos ocirai 	qui saigremor|et dodinel allerent querir a menger a la royne/ par mon chief ie uous occhiray 	366|367
513	ou vos m'en dirois ce 	ou uous me en dires ce 	368
514	que vos en savés. — 	que uous en saures/ 	369
515|516	Ha, sire, fet il, |por Dieu merci ! 	haa sire pour dieu mercy. 	370
517	Certes se vos me volés laissier atant, je vos rendrai Saigremor 	Certes se uous me uoulles a tant lessier: ie uous rendray saigremor 	371
518	ains qu’il soit nuit. — Voire, fet mesire Gauvain, par mon chief. 	ains que il soit anuittie/ uoire fait mensieur gau. par men chief 	372
519	et je vos lairai; 	et ie uous lesseray donc/ 	373
520	mais je vueil 	mes ie uueil 	374
521	que vos me fiançois	que uous me fianches 	375
522	que vos ensi le ferois 	aincois que uous le feres ainsi	376
523	com vos le m’avés dit 	comment uous laues dist: 	377
524|525	et que vos irois en prison la |ou je vos voldrai envoier.» 	et que uous pres en prison la ou ie uous enuoieray/ 	378
526	Et cil li niance 	et mathanias lui fianche: 	379
527|528	Lors monte mesire Gauvain |et cil ausi, 	lors mente mensieur gauuain sur son cheual/ 	380
529	mais ce fu a grant paine, 	et mathanias au sien: 	381
530|531	kar molt estoit las et traveilliés a; retornerent tot le chemin |qu’il estoient venu 	si retournerent tout le chemin 	382
532	tant 	tant	383
533	qu’il vindrent al chastel Mathamas.	qu ilz uindrent au chastel mathanias. 	384
534	Et quant cil de laiens sorent 	Et quant ceulx de leans sceurent	385
535	que lor sires estoit conquis, 	que leur seigneur estoit conquis/ 	386
536|537	si voloient corre sus a mon seignor Gauvain, |quant Mathamas lor deffendi sor les iex de lor testes 	Si uoulurent courrir sus a monsieur gauuain/ mes mathanias leur deffendist sur les yeulx de leurs testes. 	387
538	qu’il nel tochaissent »; 		
539	et i avoit laiens plus de XXX. chevaliers, 		
540	si que mesire Gauvain n’i peust avoir duree, 		
541|542	s’il l’euissent assailli |Lors fet Mathamas traire Saigremor hors de prison	Et lors fist mathanias traire saigremor de prison/ 	388
543|544	si le rent a mon seignor Gauvain |si sain 	et le rendist a mensieur gau	389
545|546	com il estoit|Et quant il le vit, 	Et quant mensieur gauuain le uist si dist 	390
547|548	si li dist |qu’il n’avoit pas eu male prison : 	qu il nauoit pas eu trop malle prison/ 	391
549	et de ce disoit il voir, 	et de ce disoit il uoir 	392
550|551	kar molt li avoit aide ia file Mathamas |et molt l’avoit honoré en la prison	car moult luy auoit aide la fille mathanias. 	393
552	Quant Saigremors vit mon seignor Gauvain, 	Quant saigremor uist monsieur gauuain 	394
553	si fist molt grant joie	si luy fist grant ioye/ 	395
554|555	et demanda ses armes, |por ce que aler s’en voloit, 	et il a luy: 	396
556	et l’en li aporte. 	lors demandent leurs armes	397
557|558	Et quant il fu tot pres comme de monter, |si vient a la damoisele 	car ilz sen uouldrent aller de leans/ 	398
559|560	por prendre congié, |si la commande molt a Dieu 	et mensieur gau. appelle mathanias	399
561|562	et dist |qu’il es ses chevaliers en quel lieu 	si luy dist/ 	400
563	qu’il soit,	quil conuient 	401
564|565	et cele l’en mercie molt. |Atant se volent aler de laiensa et mesire Gauvain apele Mathamas 	qu il uoise a la court du roy artus 	402
566|567	et li dist: «Je vos commant |que vos aillois a la cort mon seignor le roi Artu et vos metés en sa prison de par Gauvain son neveu ; 	et se mette du tout en sa prison de par gauuain son nepueu/ 	403
568|569	et dites a ma dame la roine |que tot ensi ai trové Saigremor; 	et mathanias dist 	404
570|571	et s’ele vos demande |qu’il est devenus, 	qne si fera il uoulenlentiers/ 	405
572|573	si poés dire |qu’il est entrés en la queste de Lancelot aprés les autres. » 	Mes	406
574|575	Et sans faille il avoit ja conté a Saigremor la queste |ou il estoient entré;	a 	407
576|577	et cil li avoit fet tot autel sairement |com li autre firent.	tant se taist ores le compte de eulx tous 	408
578|579	Et Mathamas dist |que ce fera il volentiers. 	et retourne maintenant a parler de hector des mares. 	409
580	Si se departent li dui compaignon de laiens 	Comme hector des mares se trouua au chastel 	410
581	et s’en vont lor chemin ensamble. 		
582	Mes atant se taist ore li contes d'els, 		
583|584	kar assés en a parlé a ceste fois |et bien i savra retorner, 	ou dodinel estoit en prison et le deliura/ et	411
585|586	quant lieu en iert, |si parole d’une aventure 	comme tous les compaignons se trouuereut a la blance croix 	412
587	qui avint a Hestor 		
588|589	qui ne fet pas a oublier, |ains le doit l’en bien ramentevoir el livre. 	et recommencerent leur queste. 	413
590	Or dist li contes 	OR dist le compte 	414
591	que quant Hestor se fu partis de ses compaignons, 	que quant hector des mares se fust parti de ses compaignons/ 	415
592	qu’il erra par mi la forest V. iors entiers, I. hore avant et autre arrieres, 	quil erra parmy la forest uiii. iours entiers/ une heure auant 	416
593|594	et sans aventure trover |que l’en vos doie dire, 	et laultre arriere sans aduanture trouuer: 	417
595|596	et tos jors demandoit noveles de Lancelot |par la 	et tousiours demandoit nouuelles de lacelot/ 	418
597	ou il venoit; 		
598	mais onques ne trova 	mes onques ne trouua 	419
599|600	qui de rien l’en asenast. |Al cinquime jor li avint 	qui de rien len assenast: au. neuuiesme iour luy aduint 	420
601|602	que ses chemins l’amena a la planche |dont Dodiniais estoit chaois en Peve. 	que son chemin le mena ou dodinel estoit cheu en leaue/ 	421
603	Et quant il vint ta, 	et quant il uint la 	422
604	si vit bien 	sy uist bien 	423
605	qu’il ne porroit outre passer fors par la planche: 	quil ne pouoit pas par ailleurs passer/ 	424
606	si descent 	que par illeuc si deschent 	425
607	et atache son cheval a un arbre 	et atache son cheual a ung arbre/ 	426
608	et dist 	et dist 	427
609	que por la perte del cheval ne remaindra il pas 	que la perte du cheual ne lessera il mie 	428
610|611	qu’il ne past outre ; |« 	qu il ne passe oultre/	429
612	lar je voi bien, fet il, 		
613	que ceste planche fu fete si estroite 		
614	por les chevaliers errant retenir. ; 		
615	Lors se met desus la planche tos armés 	lors se met sur la planche tout arme 	430
616	et passe outre molt hardiement, comme cil 	et passe oultre menlt hardiement: |car il ne doubtoit nulle aduanture 	431|432
617	qui tant estoit hardis	que il trouuast 	433
618	que nule aventure ne le puist esmaier. 	ne |quil ueist. 	434|435
619	Et quant il est venus a l’autre rive, 	Et quant il est uenu a la riue daultre part 	436
620	si voit le chastel 	si uist le chastel 	437
621|622	a qui pres d’ilueq estoit |et il s’adrece cele part, 	ou dodinel le sauuaige estoit en prison. Il se adreche celle part. 	438
623	kar il i voldra herbergier 		
624|625	Et|quant il se regarde, 	Et il regarde/ 	439
626	si voit de laiens issir I. chevalier armé sor I. grant destrier 	sy uoit de leans issir ung cheualier tout arme sur ung grant destrier/ 	440
627|628	qui li acort lance levee |et li dist	si accourust lance leuee et luy dist 	441
629	qu’il se rende 	qu il se rende/ 	442
630|631	ou il morra ja. |Mais Hestor ne s’en esmaie mie, 	mes hector ne se esmaye mie	443
632	ains alonge le glaive 	ains allongne son glaiue 	444
633	et met l’escu devant lui. 	et mect son escu deuant luy 	445
634|635	Et quant il chevaliers le vient aprochant |et il li guenchist, 	Et quant ilz uindrent pres lun de laultre sy le guenchi celluy 	446
636	kar il ne l’ose a cop atendre, 	qui ne lose attendre. 	447
637	por e 	Et hector fiert celluy 	448
638|639	que trop estoit fors; |et il fiert le chevalier si durement 	qui dessus le cheual estoit sy	449
640	qu’il le porte del cheval a terre,	quil le porte a terre 	450
641	puis trait l’espee 	puys trait lespee 	451
642	e le fiert par mi le hialme si durement	et le fiert par dessus le heaulme 	452
643|644	que cil est se estordis |qu’il ne set 	si que celluy est sy estourdi 	453
645|646	s’il est nuit ou ior; |si chiet adens a terre » 	quil ne fcait sil est iour ou nuit: hector le prent au heaulme 	454
647|648	et Hestor le prent al hialme, |si le traine pres d’une lan ce loing, 	et le traine la longueur de une lance/ 	455
649	kar li las del hialme estoient tort, 	puys luy donne du pommel tel coup sur la teste 	456
650|651	et il le fiert del pont de l’espee|si qu’il li fet les mailes de la coife entrer dedens le chief; 	que le sang luy sault parmy le nez	457
652|653	si l’atorne tel |que li sans li saut par mi le nes et par mi les oreilles 	et parmy les oreilles/ 	458
654	Lors li trenche les las del hialme 	et apres luy couppe les las du heaulme	459
655	et dist 	et dist 	460
656	qu’il li coupera le chief, 	quil luy couppera le teste 	461
657	s’il ne se tient por outré, 	se il ne se rent/	462
658	et cil ne respont mot, 	et celluy ne luy respont mot 	463
659|660	lar encore gisoit il en pasmison. |Et Hestor le laisse reposer 	car encore estoit en pausmoison et hector le lesse reposser 	464
661	tant que cil a s’alaine reprise; 		
662	et quant il puet parler, 	et quant il peult parler 	465
663	si dist a Hestor 	si dist a hector 	466
664	qu’il ne r'ocie pas, 	qui ne lochie mie 	467
665	kar se tient por outré. 	car il se tient pour oultre et	468
666	Et en ce qu’il disoit cele parole, 	ainsi |quil disoit celle parolle 	469|470
667	si soslieve tot belement le pan del haubert Hestor, 	se leuoit tout bellement |et soulleuoit le pan du haubert a hector/ 	471|472
668	kar il li voloit boter l’espee dedens le ventre. 	car il luy uoulloit lespee bouter parmy le uentre/ 	473
669	Mais Hestor raert par le poing, 	mes hector laert par le poing 	474
670	si li tout l’espee a force 	si lui toult lespee	475
671	et li dist: «	et lui dist/ 	476
672	Ha, fel traïtre, desloiala, ja ne vos garantira 	haa couart desloyal uren trayson |ne uous y aura ia mestier ne ne uous garrantira 	477|478
673	que vos ne muiriés. » 	que uous ne y moures. 	479
674	Maintenant hauce l’espee 	MAintenant hauche hector lespee 	480
675	et li coupe la teste. 	si luy coupe la teste 	481
676	Et lors voit issir del chastel jusqu'a XIl. escuiers 	et tantost uist yssir de leans iusques a .xii. escuyers 	482
677	qui li chieent as piés	qui tous luy chirent aux pies	483
678	et dient: « 	et luy dient. 	484
679	Ha, sire, beneois soiés vos, 	Haa sire benoict soyes uous 	485
680	qui nos avés vengié de l’home el monde 	qui nous aues uengies de lomme du monde 	486
681|682	que nos plus haiom |et venés laiens avec nos, 	que plus nous heons/ or uenes auec nous	487
683|684	que li chastials sera vostres des ore mes, |puis que vos en avés le seignor conquis. 	car le chastel est uostre. 	488
685	Et sachiés, 	Et sachies 	489
686	quant cil de laiens en savront ja la verité, il vos en ameront miels 	que quant ceux de leans en sauront la uerite |ilz uous aymeront plus 	490|491
687	que se vos aviés doné a chescun cent mars d’or. » 	que se uous leur auies donne Cent marcz dor. 	492
688|689	Lors s’en vont .IIII. escuier el chastel |et content la novele 	Lors sen uont au chasteau quatre de eulx 	493
690|691	qui molt plest a tos cels a |qui l’oent dire; 	et comptent la nouuelle a tous. 	494
692|693	si vienent hors de laiens |et amainent I. buen cheval a Hestor, 	Si issent du chasteau et uiennent a hector 	495
694	si li donent 	et lui amainent ung bon cheual 	496
695	et puis l'enmainent el chastel a fine force, 	et puis le mainent a force au chasteau 	497
696	si li dient 	et lui dient 	498
697	qu’il remaindra laiens 	quil demeure leans auec eulx 	499
698	et sera sire d’els tos, 	et sera sire de eulx tous. 	500
699	mes il dit 	Et il dit 	501
700	qu’il ne le feroit en nule maniere. 	que non fera en nulle maniere. 	502
701	Totes voies le font desarmer 	Toutesuoies le firent ilz desarmer 	503
702	et le mainent el mestre palés,	et le menerent au maistre pallais. 	504
703	et lors encontre la damoisele 	Et lors encontrerent la damoiselle 	505
704	que Dodinials avoit sievie jusqu’a la planche.	que dodineau auoit suiue iusques a la planche. 	506
705	Et quant ele encontre Hestor, 	Quant elle encontre hector 	507
706|707	si le salue molt cortoisement et il li. |Et ele avoit esté amie al chevalier ocis, 	si le salue et lui elle. elle auoit este amie du cheualier 	508
708	mes il estoit si desloials et si traïtres 	que hector auoit conquie|mais il estoit si traitre et si desloyal 	509|510
709	qu’ele ne l’amast por riens. La nuit, 	que elle ne leust ayme pour riens. La nuit 	511
710	quant il orent mengié, demanda la damoisele a Hestor 	quant ilz eurent mengie demanda la damoiselle a hector 	512
711	dont il estoit 	dont il estoit. 	513
712	et il dist 	Et il dit 	514
713	qu’il est de la maison le roi Artu. « 	quil estoit de la maisen du roy artus. 	515
714	Par foi, fet ele, ce m’est molt bel. 	Par ma foy fait elle de ce me est il moult beau 	516
715	Ausi a il çaiens un chevalier de la maison le roi Voire ? fet Hestor. Amenés le avant, 	car aussi en a il ung ceans Uoire fait hector: amenez le auant 	517
716	si le verrom.; 	si le uerrens 	518
717|718	Et elle le fet amener. |Et	Et elle le fait amener. 	519
719|720	quant Hestor le voit, |si conoist 	Quant hector le uit si congneut tantost 	520
721|722	que c’est Dodinials li Salvages, |si saut en estant 	que cestoit dodineau le sauuage. 	521
723	et li cort les bras tendus; 	et il lui court les bras tendus 	522
724	si fet li uns a l’autre molt grant joie. 	et fait lun a lautre moult grant ioie. 	523
725	Et Hestor li demande 	Et hector lui demande. 	524
726	quele aventure l’amena a cest chastel 	quelle mesauanture uous amena icy. 	525
727	et il li conte 	Et il lui dit 	526
728	comment une damoisele l’avoit amené jusqu’a la planche 	comment une damoiselle lauoit amene iusques a la planche 	527
729	ou il dut estre noiés; 	ou il cuida mourir. 	528
730	et quant il fu venus a rive, 	et quant il fut uenu a la riue 	529
731	si le prist I. chevaliers 	si le print ung cheuasier 	530
732	et le fist metre en prison. 	et le fist mettre en sa prison 	531
733	Et lors voit la damoisele devant lui 	Et lors uint deuant lui la damoiselle 	532
734	si le conoist 	si la congueut bien: 	533
735	et li demande 	et lui demanda 	534
736	por quoi ele l’avoit fet venir cele part. « 	pour quoy elle lauoit amene cclle part. 	535
737	Par foi, fet ele, 	Par|ma foy fait elle 	536|537
738	ce vos dirai je bien. Il est voirs 	ce uous diray ie bien. Il est uoir	538
739	que mes amis, 	que mon ami 	539
740|741	qui ore est mors, |vos haoit sor tos homes por une plaie 	qui ores est mort uous hayoit sur tous hommes pour une plaie 	540
742	que vos li feistes antan a une assamblee; 	que uous lui fistes antan a une assemblee. 	541
743	si me dist 	Si me dist 	542
744	que iamés ne duerroie a lui 	que iamais ne dureroie a lui 	543
745	qu’il ne m'oceist, 	quil ne me occist	544
746	se je ne faisoie tant 	se ie ne faisoit tant 	545
747	que je vos amenaisse ceste part.	que ie uous amenasse celle part. 	546
748	Si me fist aler a la cort le roi Artu por vos querre, 	si men fist aler a la court du roy artus |pour uous querre.	547|548
749	et bien m’avoit commandé 	et bien mauoit commande 	549
750|751	que je ne revenisse mie sans vos.|Et por ce fis ie tant 	que ie ne reuenisse pas sans uous. pour ce fiz ie tant 	550
752	que vos a venistes avec moi 	que uous uenistes aprez moy 	551
753	et passastes l’eve. 	et passastes leaue.	552
754	Et quant il sot 	Et quant il sceut 	553
755	que cestiés vos, 	que se estiez uous 	554
756	si se fist armer 	si se fist armer	555
757	et vos corut sus 	et uous courut sus 	556
758	si tost com il pott	et uous print 	557
759	et vos fist metre en prison, 	et uous mist en prison	558
760	ensi com vos veistes, 	comment uous auez este 	559
761	et disoit bien 	et disoit bien 	560
762	que jamés n’en istriés. 	que iamais nen istriez: 	561
763	Mais or vos en est si bien avenu 	mes ores est si bien auenu 	562
764	que cist chevaliers vos en a vengié, 	que cest cheualier uous en a mis hors 	563
765|766	kar il li a la teste coupee. |Si vos ai dit ce 	car il lui a la teste couppee. Sire fait dodineau le sauuage 	564
767	que vos me demandastes. — Sire, fet Dodinials a Hestor, 		
768|769	or covient il |que vos me diois, 	or me dictes 	565
770	s'il vos plest, 		
771	quete acheison vo amena ceste part. »	quelle achaison uous a amene celle part. 	566
772	Et il li conte 	Et il lui compte 	567
773	comment li compaignon de la cort le roi sont meu por querre Lancelot del Lac 	comment les compaignons de la table ronde sont esmeuz pour querre lancelot du lac/ 	568
774	et li dit la novele	et lui dit la nouuelle 	569
775	que la roine en aporta a cort. « 	que la royne apporta a court 	570
776	Si avom, fet il, juré 	Si ont fait il les dix compaignons iure sur sains 	571
777	que jamés ne finerom d’aler 	que iamais ne fineront de aller 	572
778	tant que nos sachons veraies noveles de sa mort ou de sa vie. — 	tant |que ilz sachent uraies nouuelles de sa mort ou de sa uie. 	573|574
779	Puis qu’il est ensi, fet Dodinials, je vos creant loialment 	Certes puis quil est ainsi fait dodineau ie uous promes loiaument 	575
780|781	que jamés en la cort mon seignor le roi |Artu n’enterrai devant 	que iamais en la court du roy artus ne entreray 	576
782	que li autre i soient venu:	deuant que les autres y serout uenus. 	577
783	si devieng orendroit compains de ceste queste. » 	Si deuiens cy endroit compaignon de ceste queste. 	578
784	Et Hestor en est molt liés. 	Et hector en est moult ioyeux. 	579
785	Cele nuit orfrirent cil de laiens a Hestor la seignorie del chastel, 	Celle nuit lui offrirent ceulx de leans la seigneurie du chasteau/ 	580
786	mes il n’en ot talent del prendre, 	mais il nauoit tallent de la prendre 	581
787	ains s’em parti al matin entre lui et Dodinel 	ains sen partist lui et dodineau 	582
788	et errerent tant 	et errerent 	583
789	qu’il vindrent al jor devisé a la Blanche Crois a l’issue de la forest. si avint si bele aventure 	tant quilz uindrent le iour deuise a la blanche croix. |Si auint si belle auanture 	584|585
790	que tuit li compaignon i vindrent a hore et a tens; 	que tous les compaignons y uindrent a celle heure 	586
791	et quant il s’entrevirent, 	Et quant ilz sentretrouuerent 	587
792	si furent molt liez et molt orent grant joie des trois compaignons 	si en fureut moult ioyeux |et eurent moult grant ioye de trois compaignons 	588|589
793	qu’il cuidoient avoir perdus, 	quilz eurent trouuez |quilz cuidoient auoit perdus 	590|591
794|795	et or les voient sains et haitiés. |Si conta chescuns ce 	Et lors compte chacun ce 	592
796	qu’il avoit trové en la semaine, 	quil a trouue en la sepmaine 	593
797	mais de Lancelot n’i ot nul 	mais il ny a celui 	594
798	qui noveles en aportast a : 	qui apportast nouuelles de lancelot. 	595
799|800	si en furent tuit molt dolent et molt corocié. |Et mesire Gauvain dist, 	Si en furent courroucez et dolens. et messire gauuain dist	596
801	puis qu’il n’en ont rien oI,	que puis quilz ne ont riens trouuez 	597
802	que or se pueent il departir del tot; 	quilz peuent bien departir du tout. 	598
803|804	si oste son hialme de sa teste tos premiers |et ausi fet chescuns le son ;	Lors oste chacun son heaume de sa teste 	599
805	si s’entrebaisent tuit al departir 	si se sentrebaisent tous au departir 	600
806	et plorent de la pitié 	et plourent tous de pitie 	601
807	qu’il ont de ce 	pour ce 	602
808	qu’i ne se cuident mes a piece reveoir ausi ensamble	qu ilz scaiuent bien |quilz ne sentre uerront mais a piece 	603|604
809|810	com il sont ore. |Si font trop grant duel a lor departement, mes mesire Gauvain se part d’els tos premiers, si grant duel faisant	Et monseigneur gauuain sen part de eulx tout le premier faisant si grant deul 	605
811	com s’il veist devant Iui mort tot le monde. 	comme sil uist |que tous son lignage feust mort 	606|607
812	Et ausi plorent tuit li doze compaignon. 	et aussi plourent les autres douze compaignons 	608
813	Si tient sa voie chescuns par soi 	et tint chacun sa uoie a part. 	609
814	Mais or se taist li contes d’els 	Mais atant laisse le compte a pacler de eulx 	610
815	et parole de mon seignor Gauvain premierement. 	et retourne a monseigneur gauuain	611
816	se fu de ses compaignons partis, 	comme il se partist de ses compaignons. 	612
817	si com li livres vos a 	Comme messire gauuain |et hector se trouuerent deuant le chasteau du moulin la 	613|614
818	Or dit ii contes 	ou hector uainquist ung tournoiement |et puis cheuaucherent ensemble iusques a la chappelle gastee. C.uiii. OR dit le compte 	615|616
819	que, quant mesire Gauvain devisé, 	que quant monseigneur gauuain se fut party de ses compaignens 	617
820	qu’il s’en ala tos sols 	quil sen ala tout seul 	618
821	et passa mainte terre et tos jors par la	et passa maintes terres et par la 	619
822	ou il venoit aloit demandant noveles de Lancelot, 	ou il passoit demandoit nouuelles de lancelot 	620
823	mais onques ne trova	mais oncques ne trouua	621
824	qui de rien l’en puist asener, 	qui de riens len peut assener 	622
825|826	et tant qu’il ot bien alé Il. semaines |et plus sans aventure trover 	et tant quil est bien alle douze iours sans auanture trouuer 	623
827	qui face a amentevoir ;		
828	si vint a un samedi al soir en une blanche abeie et iluec laissa ses armes 	Si sen uint a ung samedi au soir a une blanche abbaie/ |et illec lessa ses armes 	624|625
829	et prist unes autres; 	et print unes aultres. 	626
830	et l’endemain remest laiens tot le jor, 	Et lendemain demoura leans pour ce 	627
831	por ce que diemenches estoit 	que dimence estoit/ 	628
832|833	Al lundi matin |s’em	et au lundi matin sen partist 	629
834	parti,si tost com il ot messe of̈e 	si tost |comment il eust messe onye	630|631
835|836	et erra la plus droite voie |qu’il savoit vers le roialme d’Estrangore. et froide, et la gravele reluisoit com argent; 	et chenaucha uers la terre destrangorre. 	632
837|838	et tot |Et lors vint a une fontaine 	Et lors uint a une fontaine	633
839|840	dont l’eve estoit |et clere entor avoit grant plenté d’arbres vers; 	donc leaue estoit froide et clere/ 	634
841	si en estoit la fontaine avironee, 	et la grauelle reluisant 	635
842	si donoient si grant ombre al lieu 	comment argent/	636
843	que l’eve n’avoit garde des agais del soleil: 	et tout entour auoit grant plante de erbe uerte/ 	637
844	si en estoit la fontaine trop plus delitable. 	et estoit la fontaine toute auirenner de arbresseaux 	638
845|846	Mesire Gauvain vient cele part, |si voit la fontaine si bele 	si que leaue nauoit garde du ray du solleil. Mensieur gauuain uist la fontaine belle 	639
847	qu’il i em prent talens de boivre; 	si luy print grant tallent de en boire/ 	640
848	si descent de son cheval 	si deschent de son cheual 	641
849	et oste son hialme 	et osta son heaulme 	642
850	et s’asiest delés la fontaine »,	et saillit de les la fontaine: 	643
851	si en boit molt volentiers. 	si en bust monlt uoulentiers/	644
852	Et en ce qu’il se reposoit iluec, 	et ainsi 	645
853|854	es vos venir tot le chemin une damoisele sor I. palefroi|qui venoit la grant ambleure. 	quil se reposoit ueci uenir une damoiselle sur uug palleffroy	646
855	Et quant ele voit mon seignor Gauvain,	et quant elle uoit monsieur gauuain 	647
856|857	si le conoist molt bien, |kar encor n’avoit il mie son hialme relascié; 	sy le sallue: 	648
858|859	si le salue al plus bel |qu’ele set 	car bien le cengnoissoit. 	649
860	et il dist	Et il dit 	650
861	que bone aventure li doinst Diex. « Mesire Gauvain, fet ele, 	que bonne aduanture luy doint dieu. Mensieur gauuain dist elle 	651
862|863	quel part irois vos ? — |Si m’aït Diex, fet il, damoisele, je ne sai. — 	ou ires uous/ damoiselle fait il ie ne scay/ 	652
864	Et qu’alés vos querant ? fet ele. — 	et|que alles uous querant fait elle. 	653|654
865	Certes, fet il, je quier 	Certes fait il ie quiere 	655
866|867	se je puisse trover |qui noveles me deist de Lancelot. — 	se nul me sauroit dire nouuelle de lancclot. 	656
868	Coment ? fet ele. 	Quesse fist elle |que uous dictes 	657|658
869	Ou est il done ? — 	ou est il donc, 	659
870	Par foi, fet il, l’en cuide a la cort 	par ma foy dist il len cuyde	660
871	qu’il soit mors 	quil soit mort/ 	661
872|873	et nos somes meu jusqu’aXII. chevaliers |por enquerre 	et nous sommes meuz iusques a .xii. cheualiers pour sauoir 	662
874	se ce est voirs : 	se il est mort ou uif 	663
875	si ne poons mes revenir a cort devant 	si ne pouens mie reuenir a court 	664
876	que nos en sachom verité a. — 	deuant que nous en sachons la uerite. 	665
877	Certes, fet ele, de lui ne sai je rien, 	Certes fait la damoiselle de luy ne scay ie riens 	666
878	fors tant que ce seroit trop outrageus damages, 	mes trop seroit grant dommage	667
879	se il estoit ensi avenu. 	se il estoit mort. 	668
880	Et ja, 	Et ia 	669
881	se Dieu plest, ceste novele ne sera vraie, 	se dieu plaist celle aduanture ne sera uraye/ 	670
882	kar trop en seroit chevalerie abaissiee. 	car trop en seroit cheualerie abaissie. 	671
883	Si vos pri par amor 	Si uous prie par amours 	672
884	que vos veignois anuit mes herbergier o moi 	que uous uiengnies ennuyt herbeger auec moy/ 	673
