	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
326	et je vos di al mien cuidier 	et ie uos di au mien cuidier 	Et iou quit bien a mon escient 	et ie cuide bien a mon cuider 	et ie cuide bien a mon aduiz 	e yo vos digo ami cuidar 	e vo dico al mio credere 
327|328|329	que ce est cil |que vos querez : |si vos prie 	que cest ciz |que uus querez. 	que che soit cil|que vous queres |Si vous pri 	que cest cil |que uous querez. |si uous pry 	que cest celuy |que uous queres sy uous prie 	Que este es el que bos buscades |e Ruego vos 	che ciò est quelli cu' voi chiedete.|Si vi priego 
330	que vos me laissiés o vos aler tant que trové l’aions 	Si uous pri que uous me laissiez a uos Aler |tant que troue laions 	que vous me laissies aler aueques vous tant que nous laions trouue. 	que me lessez aller o uous tant |que nous layons trouue. 		que me dexedes convos yr fasta 	che voi mi lasciate con voi andare |tanto che trovato l’abiate, 
331|332	et lors savrai l’acheison |por quoi il laissa mon ostel a tel ore. — Il m’est molt bel, fet cele de Honguefort, 	et lors saurai locoson |por coi il a laisier mon ostel a tel eure. il met mout bel fait cele de hongefort. 	Et lors si nous dira locoison pourcoi il a laissie mon ostel en tel maniere. Il men est bel fait cele de hongrefort 	Et lors scauray lachoison pour|quoy il a lesse mon houstel a telle heure Il mest moult bel fait celle de hunguefort 	que me lessiez aller auecques uous tant que laurens trouue. Il mest monlt bel dyt celle de honguesfort 	Quelo fallemos e sepa la rrazon |Porque se fue demi castillo ental manera |Mucho me Plaze dixo la donzella de ongeforte 	allora saprò io la cagione per |ch’egli à mio ostello lasciato a tale ora. |— E' me n’è molto bello, disse quella d’Unguelforte, 
333|334|335	que vos i viegniés, |puis|qu’il vos plest. » 	que uous i uangnerez|de que il uos plait. 	que vous y ueignies |puis quil vous plaist. 	que uous y uieguez |quant il uous plaist. 	que uous uiengnies auec moy |puis quil uous plaist. 	Que vengades |Pues vos plaze 	che vo' vegniate, da che vo piace». 
336|337|338	Ensi remistrent la nuit laiens |et al matin. |si tost com eles ! virent le jor, 	Ainsi remesent laiens la nuit. |et au matin |si tost comme eles uirent le ior: se leuerent 	Ensi remestrent cele nuit laiens. |et lendemain quant il virent le ior sen alerent 	Ainsi demeurent la nuyt leans. |Et au matin |si tost quelles uirent le iour se leuerent 	ainsi demeurent la nuyt leans. et au matin |quant ilz uirent le iour 	ansi fincaron toda aquella noche enla mañana tanto Como fue de dia se leuantaron 	lnsi rimasono la notte là entro, |e al mattino, |si tosto com'elle vidono il giorno, 
339|340	si leverent et se partirent del chastel |et entrerent en la queste de lor chevalier.	et se partirent del chastel. |Si entrent en la quese de lor cheualier mais	et partirent del castel. |et entrerent en la queste del cheualier 	et se partirent du chastel. |si entrent en la queste de leur cheualier. 	si sen partirent du chastel |et entrerent en la queste de leur cheualier. 	e fueronse del castillo enla demanda del buen cauallero 	si levarono |e si partirono dal castello, |si entrarono nella chesta del loro cavaliere. 
341	Mais or laisse atant li contes a parler d’eles et de Boort	or laisse li contes a parler atant deles et de behort. 	Mais ore laisse li contes a parler daus et de bohort 	Mais or laisse le compte a parler deulx et de boort. 	Or lessons maintenant le compte de boors et des deux dames 	Agora dexa el cuento de fablar dellas e de boores 	Ma or lascia il conto atanto a parlare di loro e di Boordo 
342|343|344|345|346|347	et retorne a parler de Lancelot la |ou il est entrez en la forest de Sarpenic, |si com li contes a devise ariers. |Or dist li contes |qu’il fist grant chaut le jor |que Lancelos entra en la forest de Sarpenic 	et retorne a parler de lancͣ. la |ou il est entrer en la forest de sarpenic GRant chaut cedit li contes fist le ior |que lanc̃. entra en la foret de sarpenic. 	et retorne a parler de lancelot del lac. |si comme il entra en la forest de la sapine |si comme li contes a deuise. |Ne dist li contes |que trop grant chaut fist celui ior |que lancelot fu entres en la forest de la sapine 	et retourne a parler de lancelot |quant il entra en la fourest de sarponie sicomme le compte a deuise. Cy fine le comte. |Et parle de lancelot du lac. |Or dit le conte |quil faisoit grant chault le iour |que lancelot entra en la fourest de serpeme. 	et retourons a parler de lancelot du lac le|quel est entre en la forest de la sapine. |Comment lancelot emporta le corps de gallehaut |que plusieurs cheualiers gardoient: |et comment il rescouist la seur de meleagant |que len uouloit ardre iiii.xx. xiiii. Grant chault fist dit le compie le iour |que lancelot fut entre en la sapinoie 	e torna A Lançarote Que entro enla floresta Serpentina |Asi como el cuento lo a deuisado |Dize el cuento que gran calentura façia el dia |que lançarote entro enla floresta 	e ritorna a parlare di Lancellotto, |là ov’elli est entrato nella foresta di Sapernic, |si come il conto à divisato. Gran caldo, ciò dice il conto, fece il giorno |che Lancellotto entrò nella foresta di Sarpenic, 
348|349|350	et por ce ne remest il mie|qu’il ne chevalchast jusqu’à none; |si li avint ensi 	et por ce ne remest il pas |que lanc̃ ne cheuanchast iusques a none. |Si auint 	Et por chou ne remest il mie |quil ne cheualchast iusques a nonne|Si li auint ensi 	et pour ce ne demoura il pas |quil ne cheuauchast iucqua nonne. |Si luy aduint 	et pour ce ne demoura il pas |quil ne cheuauchast iusques a uespres 	mas poreso no finco que el no andubiese todo el dia |fasta nona 	e per ciò e' non rimase passo |che non cavalcasse infin qua a nona, |si gli avenne insi 
351|352|353|354	qu’il n’encontra home ne feme jusqu’al vespre; |mais lors sans faille, |si com il dut issir de forest |qui tot le jor li ot duré, encontra une damoisele 	quil nancontra home ne fame iuscau uespre. |mais lors sans faille |Si comme il dut issir de la forest |qui tote ior li ot dure|Si encontra une damoisele 	quil nencontra ne homme ne femme iusques a uespres. |Mais lors sans faille |si comme il dut issir de la forest |si encontra vne damoisele 	quil nencontra homme ne femme iucqua uespres. |mais lors quil deut yssir de la fourest |qui tout le iour luy auoit dure il encontra une damoisele 	sans rencentrer homme ne femme. |Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy. Il salue la damoiselle 	que no encontro ome ni muger |mas a hora de visperas sin falta |quando queria salir dela floresta |que todo el dia le auia durado encontro vna donzella 	che non incontrò huomo né femina insino a vespero. |?Ma allora sanza fallo, |si come dovea uscire della foresta |che tutto giorno gli avea durata, |si incontrò elli una damigella 
355	qui molt faisoit grant duel 	qui mout faissoit grant duel. 	qui moult faisoit grant doel. 	qui moult faisoit grant deul 		que mucho façia gran duelo 	che molto facea gran duolo, 
356|357|358|359|360	et chevalchoit I. palefroi noir a molt riehe lorain |et a molt cointe sele de l'oevre d’Engleterre. Il salue la damoisele |et ele lui. « Damoisele, fet il, |kar me dites, |s’il vos plest, 	et cheuauchoit .i. palefroi noir a mout riche lomin |et a mout riche cele de lueure dangeterre. Il salue la damoisele |et ele autresi lui. Damoisele fait lanc̃ |car me dites ore ce il uos plait 	si cheualchoit vn moult riche palefroy a vn moult cointe lorain |et a vne sele dengletere Il salue la damoisele |et elle li rent son salut. Damoisele fet il |sil vous plaisoit iou sauroie volentiers 	et cheuauchoit ung palefroy noir a moult riche loram et a moult cointe sele de lueure de angleterre Il salue la damoisele|et elle aussi luy. Damoisele. fait il or me dictes 	et lui dit. Dame dictes moy pour quoy uous plourez |sil uous plaist 	e andaua envn palafren morçillo |que traia vna muy Rica silla y freno |e el saluo la donçella e ella ael donzella dixo lançarote |deçidme porque llorades si vos plaze |çierto dixo la donçella |si yo supiese 	e cavalcava in uno palafreno nero a molto ricca sambuca e a molto bella sella dell’opera d’Inghilterra e a molto ricco freno, uno capelletto foderato di zendado in sua testa per lo caldo. |E'saluta la damigella |ed ella gli rende suo saluto molto cortesemente. Damigella, disse Lancellotto, |ch’or mi dite ora 
361|362|363|364	por quoi vos plorés. — |Certes, sire, fet ele, |se je i' cuidoie avoir preu, je le vos diroie. — Damage, fet il, ll’i avrez vos ja, |se Dieu plest, 	que uos auez.|et por coi uus plorez. |Certes sire fait ele |se ie i cuidoie auoir preu ie le uos diroie. |Damage fait il ni aurez uos ia se dieu plait. 	pourcoi vous plores. Sire certes dist elle se iou y |qui doie auoir aucun preu iou le vous diroie Damage fait il ni aurois vous ia se dieu plaist. Dites le moi par tel conuent 	pour quoy uous plourez. |Certes fait elle |si ie y cuidoye auoir preu ie le uous diroye. |Dommaige fait il ny aurez uous pas |si dieu plaist. 	Certes sire |se ie y cuidoie auoir prouffit ie uous le diroie. Dommage fait il ny aurez uous ia se dieu plaist. 	que me vernia Prouecho |enello yo voslo diria muy de grado çierto dixo donçella |enmelo deçir no aueredes vos daño |si auos pluguiere 	perché vo piagnete? |— Certo, sire, diss’ella, s’i vi credesse avere pro, |si 'l vo dire' |io.— Damaggio, disse Lancellotto, non ci arete vo' già, se Dio piace, 
365|366|367	mais dites le moi par covent |que, |se je vos puis aidier a vos esleecier, je vos aiderai a mon pooir. — En non Dieu, sire, fet ele, 	Mais dites le moi par couant |que ie uos en aiderai a eslaicier. a mon paoir |ce ie uos en puis aidier. |En non dieu sire fait ele 	que se iou vous puis aidier a esclairier vostre cuer iou le ferai a mon pooir. Enon dieu sire fet elle 	Mais dictes le moy par conuent |que si ie uous puis aider a uous aider. it uous aideray a mon pouoir. |En nom dieu sire fait elle 	car se ie uous puis aider ie uous aideray a esclercir uostre cueur a mon pouoir. 	e vos dezidmelo por conuenençia |que vos ayude yo a todo mi Poder en todas las cosas que hubieredes menester 	ma ditelme per convento |che, s’i vo ne posso aiutare o consigliare, io vo n’atrò di tutto mio podere. |— ll A nome di Dio, diss’ella, 
368	donc le vos dirai je. ll est voirs 	dont ie uos dirai ge. Il est uoirs 	dont le vous dirai iou IL fu voirs 	dont uous diray ie. Il est uoir 	Par dieu sire denc fait elle le uous diray ie. Il fut uoir 	e espeçialmente enesta |por que vos llorades 	dunque il vo dirò io. Egli è vero
369|370	que Meleagans, li fiz al roi Baldemagu, ala a la cort le roi Artu por la roine Genievre conquerre, |s’il peust; 	que meleagant li fiz le roi bademagu ala oan a la cort le roi artu. |Por la roine reconquerre ce il peust. 	que melyagans li fiex au roy baudemagu ala a la cort au roy artu pour la royne genieure conquiere. 	que meleagant le filz du rop bandemagu alla a la court du roy artus pour conquerre la royne genieure |sil eust peu. 	que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre. 	Ca yo porne enello el mejor Remedio |que puede ser si es cosa |que vos pueda ayudar 	che Meleagante, il figliuolo del re Bando di Maguzo, andò uguanno alla corte del re Artù per la reina Ginevra conquidere, |se potesse. 
371	et endementiers fist tant une damoisele 	et andementiers fist tant une damoisele 	Et endementres fist tant vne damoisele 	Cependant fist tant une damoisele 	En dementiers fist tant une damoiselle 	Enel nombre de dios dixo la donçella |pues vos os afincades tanto 	eE dimentre, fece tanto una damigella 
372	qui estoit? sa suer 	qui estoit suers meleagan: 	qui sa suer estoit. 	qui estoit sa seur 	qui sa seur estoit 	que vos diga enque manera es 	ch’era sua serocchia 
373|374	qu’ele geta Lancelot d’une tor ou Meleagans l’avoit mis en prison, ne sai por quoi. |Quant ele l’ot delivré, 	que ele ieta lanc̃ dune tor ou meleagans lauoit mis en prison. 	que elle geta lancelot de prison dune tour |ou il estoit mis : iou ne sai porcoi |Ouant elle lot deliure. 	quelle gecta lancelot du lac dune tour ou meleagant lauoit mis en prison ie ne scay |pour quoy|Quant elle leut deliure 	que elle iecta lancelot hors de prison de une tour la |ou il lauoit mis. |Quant elle leust deliure elle le tint auec elle |tant qu il fut gary: 	e que cosa es lo |porque yo lloro 	ch’ella gittò Lancellotto di Lac d’una torre |ove Meleagante l’avea messo in pregione, non so perché.|Quand’ella l’ebbe dilivero, 
375|376|377	si le tint avec li tant |qu’il fu garis, |kar molt avoit eu mesaise en la prison, 		si le tint aueques li. tant|quil fu garis |Car moult auoit eu mesaise en la prison. 	si le tint auecquez luy |tant quil fu guery. |car moult auoit eu mesaise en la prison. 	et moult y auoit eu mesaise. 	yo voslo dire |asi es |que fiço tanto vna donçella |Que hera hermana de Meliangas |que saco dela prision a lançarote |quelo tenia envna torre Meliangas no sabia porque 	si l tenne con esso lei non so quanto, tanto ch’ella el guari, |ché molto avea avuto misaggio nella prigione. 
						e quando el fue libre ella lo tubo en su poder fastaque fue guarido 	
						ca mucho auia enpeorado dela prision 	
378|379	et puis l’envoia a la cort le roi Artu |ou il ocist Meleagan, ce savons nos or bien.	et puis lenuoia a la cort le roi artu |ou il ocit .mel̾. ci sauons nos ore bien. 	Et Io puis quant il fu garis |si lenvoia a la cort au roy artu |ou il ochist melyagant chou sauons nous bien. 	Et puis lenuoya a la court du roy artus |ou il occist meleagant ce scauons nous ores bien. 	et puis lenuoia a la court du roy artus la ou il occist meleagant. 	e des |que fue guarido fuese ala corte del Rey Artur |e Mato alla a meliangas 	Quand’e fu tornato a guarigione, sillo inviò alla corte del re Artù, |ov’elli uccise Meleagant, ciò sapiamo noi ora 
380	Mais si tost com li parent sorent 	mais si tost com cil parent sorrent 	Mais si tost |que si parent le sorent 	mais si tost |que les parens meleagant sceurent	mais tantost |que ses parens sceurent 	segund cuido que oystes mas tan ayna como sus parientes lo supieron 	bene.Ma si tosto come i parenti di Meleagante seppono 
381|382	qu’ele avoit Lancelot osté de la prison, si distrent |qu’ele l’avoit fait por Meleagan ocirre; 	que ele auoit iete lanc̾ de prison; |si dirrent |que ele lauoit fait por mes. ocirre. 	que elle auoit lancelot gete de prison |Si distrent |que elle lauoit fet pour melyagant ocirre 	quelle auoit oste lancelot de la prison si distrent |quelle lauoit fait pour occire meleagant. 	que elle auoit iecte lancelot hors de prison ilz la occuperent de la mort de meleagant. 	que ella auia hechado dela prision a lançarote Dixeron |quelo auia fecho |por amor de Meliangas delo matar 	ch’ella avea tratto di pregione Lancellotto, |sì dissono |ch’ella l’avea fatto per Meleagante uccidere, 
383|384|385|386|387	si le pristrent a force |et l’acheisonerent de sa mort |et distrent |que, s’ele ne trovoit |qui l’en desfendist. 	Si la prissent a force et locoisonent de sa mort. |et dirent |que cele ne trouoit |qui la desfandit 	Si le pristrent a force |et locoisonnerent de sa mort. |Et distrent |que se elle ne trouuast |qui len deffendist 	Et la prindrent a force |et laccuserent de sa mort et distrent |que selle ne trouuoit qui la dessendist 	et fut dit |que se elle ne trouuoit |qui la deffendist	e tomaronla afuerça e pusieronla en prision |e dixeron |que si no fallare quien la defender de aquesto 	si-lla presono a forza |e la cagionarono di sua morte, |e dissono |che, s’ella non trovasse chilla difendesse, 
388	qu'il feroient de lui justice si grant com l’en doit fere de cele 	quil feroient de li iustice tele com len deuoit faire de fame 	que on feroit de li autel iustice com on deueroit faire de femme 	quilz feroient telle iustice de lie |que len deuroit faire de femme 	que len feroit de elle telle iustice |que len deuoit faire de femme 	que farian della grand justiçia |Como deuen de fazer de muger 	ch’elli farebono giustitia di lei si grande come l’uomo dee fare di femina
389|390	qui son frere ocist. |Et ele dist 	qui son frere ocist. |et ele dist 	qui son frere auoit ocis. |Et elle dist 	qui son frere a occis. |Et elle dist 	qui son frere auoit occis. |Et elle dit 	que asu hermano auia muerto e ella dixo 	che suo fratello uccide. |Ed ella disse 
391|392	qu’ele troveroit bien |qui la desfendroit: 	que le troueroit bien|qui la desfanderoit. 	quele le trouueroit bien 	quelle trouueroit bien |qui la defendroit	que elle trouueroit bien |qui len deffendroit. 	que bien fallaria quien la defendiese 	ch’ella il troverebbe bene |chi ne la difenderebbe, 
						e luego pusieronle dia señalado 	
393	si mist jor d’amener I. chevalier por li desfendre, 	Si mist ior damener .i. cheualier por li desfandre.	Si mist iour dun cheualier amener auant. |pour li desfendre. 	si a mis iour damener auant ung cheualier |pour la deffendre. 	Si lui fut iour determine de trouuer ung cheualier |pour elle deffendre. 	Parase defender Por cauallero |e ella ymbio a buscar 	sì ànno messo giorno d’a- menare uno cavaliere per lei difendere, 
394|395	si s’est puis porchaciee en Pluisors liex,|mais onques ne trova chevalier 	Si cest puis porchacie en plusors lieus. |mais onques ne troua cheualier	Si sen est puis pourchascie en pluisors lieus. |mais onques ne troua cheualier 	si sest puis pourchacee en plusieurs lieux. |mais oncquez ne trouua cheualier 	Et elle a depuis pour chasse en plusieurs lieux |mais oncques ne trouua cheualier 	por muchos lugares quien le defendiese mas nunca a podido fallar Cauallero 	si se n’è poscia procacciata in più luogora, |ma unque non trovò ancor cavaliere 
396	qui ses armes en osast prendre contre celui 	qui ses armes en ossast prandre encontre celui 	qui sez armes en osast prendre encontre celui 	qui armes en osast prendre encontre celuy 	qui ses armes osast prendre centre celui 	que armas quiera tomar contra aquel Cauallero 	che sue armi osasse imprendere incontro a colui
397	qui apelee l’avoit. 	qui apelee len auoit.	qui apelee len auoit. 	qui lauoit appellee. 	qui lauoit appelle. 	que deste pleito la a Reptado 	che apellato l’à. 
398|399	Or si est tant la chose alee |que li jors est aterminés a hui ; 	Or si est tant la chose alee |que li iors fu A termines a hui. 	Ore est la chose |tant alee |que li iors fu atermines a hui. 	Ores est tant la chose alee |que le iour est termine a huy. 	Or est tant la chose allee |que le iour est ennuy termine: 	e el Plazo se cumple Mañana ental manera 	IOr si è tanto la cosa andata |che 'l giorno est aterminato a oggi, 
400|401	si n’a trové la pucele nul desfendeor |et por ce dient li un et li autre 	Si ne trueue la pucele nul desfandeor. et por ce dient et li un et li autre 	si na trouue nul desfendeour |Et pour chou dient li vn et li autre	si na encor trouue la pucele nul deffendeur. |Et par ce dient les ungs et les autres 	si na trouue nul desfendeur. 	que si fasta ora de terçia no falla defensor tomaran della luego vengança 	si non à ancor trovato la pulcella difenditore, |e perciò dicono gli uni e gli altri 
402|403	qu’ele est atainte del meffet |que l’en li met sus : 	que ele est atainte dou meffait : |que len li met sus. 	quele est atainte del mesfait |que on li a mis sus. 	quelle est atainte du meffait |que len luy mect sus. 		e la vengança sera tal 	ch’ella è agiunta del misfatto |che l’uomo le mette suso. 
404|405	si l’ont jugiee, |ce m’est vis, a ardoir le matin 	Si lont iugie ce mest uis le matin a ardoir. 	si lont iugiee lal ardoir le matin. 	si lont iugee |si mest aduis a ardoir le matin. 	et pource lont iugiee a estre arse au matin 	que la Quemaran 	Si-ll’anno giudicata, ciò m’è aviso, ad ardere domattina, 
406|407	et por ce qu’il m’en membroit, |or em ploroie je si durement, 	et por ce quil men menbroit ore ploroie ge si durement. 	Et pour chou |quil men ramenbroit ore ploroie iou 	Et pour ce |quil men menbroit ores plouroye ie si fort. 	et cest la cause |qui me fait plourer 	e poresto lloro yo asi tan fuertemente 	e per ciò che me ne ricordo, |ora quand’io vo vidi piagnea io si duramente, 
408|409	kar certes ele estoit une des plus cortoises damoiseles ! del monde et une des plus vaillans. — |Or me dites, damoisele, fet Lancelos, 	Car certes ele est une des plus cortoises damoileles dou monde et une des plus uaillans. |Or me dites damoisele fait lanc̃. 	Car elle estoit vne des plus hautes damoiseles del monde et des plus uaillans CAr me dites |dont damoisele fait lancelot.	car elle estoit une des plus uaillans et des plus courtoises damoiseles du monde De celle mesmes matiere dessus dicte. |Or me dictes damoisele fait lancelot	car elle estoit une des plus haultes damoiselles du monde: et des plus uaillantes. |OR me dictes damoiselle fait lancelot 	porque aquella es vna delas altas donzellas del mundo agora me deçid donçella dixo lançarote 	ché certo ella era una delle più belle e delle più cortesi damigelle del mondo e una delle più valentri». |Or mi dite, damigella, disse Lancellotto, 
410|411|412	et s’ele trovoit demain |qui la deffendist, |dont ne seroit ele quite del jugement 	se le trouoit |qui la desfendist |dont ne seroit ele quite del iugement 	se elle trouoit demain O |qui le desfendist dont: ne seroit elle quite del iugement. Sire fait elle iou ne sai. 	et selle trouuoit demain |qui la deffendist ne seroit alle pas quicte du iugenent 	se elle trouuoit demain |qui la deffendist ne seroit elle pas quicte du iugement. Sire dit elle ie ne scay. 	si ella fallase tras quien la defendiese |seria ella quita del todo 	s’ella trovasse domane |chi ne la difendesse, |dunque non sarebbe ella cheta del giudicamento 
413|414|415	que l’en a fet ? — Sire, fet ele, je ne sai. —|Et est ce, fet il, gaires loing |que ele est ? — Sire. fet ele, il n’i a que. VI. lieues englesches. 	que len li a fait. sire fait ele ie ne sai. |et esse fai il gaires long. sire il ni a que .ui. lieues englesches. 	Et est chou fait il loing de ci. Sire fait elle il ni a|que vi lieues englesches. 	que lon a fait. Sire fait elle ie ne scay.|et est ce fait il gueres loing |quelle est. Sire fait elle il ny a que six lieues anglesches. 	Et esse fait il gaires loingz dicy. Sire dit elle il ny a que six lieues anglesches/ 	señor dixo ella no se |E es muy lexos de aqui |ado ella esta dixo lançarote |señor dixo ella no ay mas de aqui alla de seis leguas ynglesas 	che l’uomo l’à fatto? - Sire, disse ella, i' non sO. |— Est ciò, diss’elli, guari lungi dov’ella est? |— Sire, disse ella, e' non ci à che sei leghe 
416	Se vos leviés demain matin, vos i seriés ains prime. — 	se uous leuiez demain matin uus i seriez ains tierce. 	Se vous moues demain matin vous y seres dedens prime 	se uous leuiez demain matin uous y seriez auant prime 	et|se uous partiez demain matin uous y seriez demain a prime. 	e si quisieredes Bien podedes yr alla a ora de Prima Ado la podre fallar dixo lançarote 	inghilesche:se vo' vi levate domane mattino vo' vi sarete inanzi prima. 
417	Ou le porrai je, fet il, trover ? — Al chastel a, fet ele, de Floego 	Ou la porroie ge fait il trouer. Au chastel fait ele de floego. 	Et ou le porroie iou fait il trouuer. En la forest fait elle de floregas. 	Ou la pourray ie fait il trouuer|ou chastel de fleago fait ella 	Et|ou la pourroie ie fait il trouuer. En la forest de florega:	enla floresta de donseglorega dixo la donçella 	—E ove la potrò io, disse, trovare?-Al castello, diss’ella, di Fleego, 
418	et cis chemins vos i menra droit, 	et ciz chemins uos i merroit 	Et chis chemins vous y menra tot droit 	et ce chemin uous y mennra droit 	et ce chemin icy uous y menera tout droit 	e este camino vos lleuara 	e questo camino vo' vi menerà tutto diritto 
419	se vos le volés tenir. — 	se uos le uoliez tenir. 	se vous le saues tenir 	se uous le uoulez tennir. 	se uous le sauez tenir. Il se part de la damoiselle 	alla si lo supieredes guardar 	se voi il volete tenere. 
420|421	Or vos commant a Dieu, damoisele », fet il.|Si s’em part atant 	Or uos comant a dieu damoisele fait il. |si sen part. 	Or vous commanch iou a dieu damoisele fait il. |si sen torne atant. 	Oe uous commande ie a dieu damoisele fait il. |si sem part atant 	et la commande a dieu. 	Pues a dios vos encomiendo dixo el |e luego se partio el vno del otro |e la donçella yua llorando 	— Or vo comando a dDio, damigella, diss’ell». |Si si parte atanto, 
422|423|424	et cele s’en vet faisant son duel. |Et il chevalche tant |qu’il vint fors de la forest, 	et sele sen ua faisant son duel. |et il cheuauche tant quil uient fors de la forest. 	Et cele sen uait faisant son doel. |Et lancelot cheualche tant |que il vint hors de la forest. 	et elle sen uait faisant son deul. |Et il cheuauche |tant quel uient hors de la fourest	Et celle sen reua faisant son deul. |et il cheuauche tant|quil uint hors de la forest 	e la donçella yua agora tanto porsu camyno |fastaque salio dela floresta 	ed ella se ne va faccendo suo duolo, |ed e' cavalca |tanto che viene fuori della foresta, 
425|426	si vit devant lui une maison de religion |et il torne cele part por herbergier.	Si uoit deuant lui une maison de religion. |et il torne cele part por herbreger. 	si voit deuant lui vne maison de religion. |si torne cele part pour herbergier. 	si uoit deuant luy une maison de religion. |et il tourne celle part pour herbrega. 	si uoit deuant lui une maison de religion.Il tourne celle part pour hebergier. 	e llego avna casa de Religion 	si vide davanti lui una magion di riligion. Elli torna in quelle parti per albergare e
427	Et quant il i vint, 	et quant il i est uenus 	Et quant il vint la 	Et quant il y uint 	Et quant il uint la	e el fue alla 	quand’e' vi viene, 
428	si trueve a la porte IlII. des freres 	si trueue a la porte iiii freres. 	si trouua. ij. freres 	si treuue a la porte quatre des freres 	si trouua deux freres 	por aluergar |e fallo ala puerta dos frailes 	si truova alla porta quatro de' frati di là entro 
429	qui ja avoient chanté complie 	qui ia auoient chantee complie 	qui auoient cante complie. 	qui ia auoient chante complies. 	qui auoient chantee complie: 	que auian dicho conpletas 	che avieno già cantato compieta 
430	et estoient venu hors? al serain; si saillent encontre lui 	et estoient uenu au serain. 	Si estoient venu au serain. |si saillent sus encontre lui 	et estoient uenuz au serain. |si saillent encontre luy 	et ilz estoient uenus hors au serain |si saillent encontre lui 	e estauan al ayre |e ellos fueron contrael 	e erano venuti di fuori al sereno. |S salgono incontro a-llui per lui discendere 
431|432|433|434	por fere descendre |et dient |que bien soit il venus; |si le font entrer laiens 	Si saillent encontre lui por liu dessandre. |Oroient que bien soit il uenus. sire font entrer laiens. 	por lui desarmer. |et dient |que bien soit il venus. |si le font entrer laiens 	pour le descendre |et dient |que bien soit il uenu. |si le font entrer leans. 	pour le descendre |et dient|que bien soit il uenu. aprez lui demandent sil menga huy. Il dit 	porlo ayudar a desçender e dixeron que vien fuese venido |e Metieronlo enel monesterio 	e dicono |che bene sia elli venuto; |sì 'l fanno entrare là entro 
435|436	et li demandent |s’il a mengié, 	et li demandent cil a mengue 	et li demandent |sil manga hui.	et luy demandent sil a mange 	que nenny. 	e los frailes le dixeron señor auedes / oy comido no señores dixo el 	e lo domandano s’egli à mangiato, 
437|438	et il dist que nenil, |et il font erraument mettre la table, 	et il dit |que nennil. |et il font erraumet mestre la la table. 	Et il dist |que nenil. |Et il font maintenant metre la table a lor sergans et la nape ; |et puis le pain et le vin dessus. 	et il dit |que non. |Et ilz font erraument mectre la table. 	et ilz font incentinent mettre la table le pain	e luego mandaron ellos quele pusiesen la mesa 	ed e' dice |che non, |ed e' fanno isnellamente mettere le tavole, 
					et le uin dessus 		
439|440|441	mais il dist |qu’il ne mengera devant |qu’il ait esté al mostier, 	mais il dit|quil ne mangera deuant quil ait este en mostier. 	Et il dist |quil ne mangera mie deuant ce|quil ait este el moustier. |si y dira sez orisons. 	Mais il dit |quil ne mangera deuant ce quel ait este au monstier. 	mais il dit |qu il ne mengera deuant|quil ait este au monstier dire ses oraisons 	mas lançarote no quiso luego comer ante dixo |que entraria enla yglesia 	ma e' dice |che non mangerà davanti |ch’egli abbia stato nel mestieri, 
442|443	lar il n’i entra hui. |Lors entre en l’eglise. por orer 	Car il ni entra encor hui. |Lors entre lanceloz en lesglise por orer et en ce 	Car il ni auoit hui este. |Lors sen entre en leglise pour orer. 	Car il ny entra huy. |Lors entre en leglise pour orer 	car il ny auoit huy este |Lors entre en leglise |et ainsi 	por fazer oraçion 	ché non v’entrò tre giorni avea. |Allora entrò nella chiesa per adorare, 
444|445|446|447	et en ce qu’il se fu agenoilliés, |si regarde a destre|et voit unes prones d’argent trop richement fetes a floretes d’or et a oisials et a bestes, |et dedens avoit V. chevaliers armés, les hialmes es testes, les espees es mains, 	quil se fu agenoilliez |si garde a destre |si uoit unes prones de fer dargent trop richemet faites et florestes dor. |et a oisiax et a bestes. |et dedans auoit u.. cheualiers tous armes les hiaumes laciez les espees es mains 	Et en ce |quil su a genoillons |si regarde deuers destre partie et voit. j. prones de fer et dargent moult bien faites a flor cestes: dor et a bestes et a oisiaus de diuerses manieres et dedens auoit. v. Cheualiers armes de toutes armes |si com de heaumes en testes et despees es mains 	Et ainsi |quil sen fu agenouille |si regarde a destre |et uoit unes prones dargent trop richement faute a flouretes dor et a oiseaux et a bestes. |et dedans auoit cincq cheualiers armez ses heaumes es testes les espees es mains 	quil fut agenoullons si regarde a dextre partie |et uoit unes prones dargent moult bien faictes a florectes dor a bestes et a oiseaulx de diuerses manieres Dedens auoit cinq cheualiers armez de toutes armes les espees en leurs mains ainsi prestz a deffendre 	e desque el entro enla yglesia finco los ynojos e el façiendo oraçion cato asu diestro |e vio vnos arcos de plata muy Ricamente fechos |a flores de oro e a bestias de diuersas maneras |e ante ellos estauan çinco caualleros armados de todas armas elos yelmos enlas cabezas |e las espadas enlas manos 	e'n ciò |che si fu aginocchiato, |si riguarda a destra |e vide uno intagliamento d’argento troppo riccamente fatto a fioretti d’oro e a uccelli e a bestie, |e di dentro avea v. cavalieri armati.? Elli isguarda lo ntagliamento, |che troppo est ricco, molto lungamente, 
