	micha-ii-48	fr751-ii-48	fr111-ii-48	inc-ii-48	sommer--ii-48	lanzarote-ii-48	lancellotto-ii-48
497|498|499|500|501|502|503|504|505	que, se je vos puis aidier a vos esleecier, |je vos aiderai a mon pooir. |— |En non Dieu, |sire, |fet ele, |donc le vos dirai je. |ll est voirs |que Meleagans, 	que ie uos en aiderai a eslaicier. |a mon paoir ce ie uos en puis aidier. |En non dieu sire fait ele |dont ie uos dirai ge. |Il est uoirs 	que si ie uous puis aider a uous aider. |it uous aideray a mon pouoir. |En nom dieu sire fait elle |dont uous diray ie. |Il est uoir 	puis aider ie uous aideray a esclercir uostre cueur a mon pouoir. |Par dieu sire denc fait elle le uous diray ie. |Il fut uoir 	que se iou vous puis aidier a esclairier vostre cuer iou le ferai a mon pooir. |Enon dieu sire |fet elle |dont le vous dirai iou |IL fu voirs 	Ca yo porne enello el mejor Remedio |que puede ser |si es cosa |que vos pueda ayudar |Enel nombre de dios dixo la donçella |pues vos os afincades tanto |que vos diga enque manera es 	s’i vo ne posso aiutare o consigliare, |io vo n’atrò di tutto mio podere. |— ll A nome di Dio, diss’ella, |dunque il vo dirò io. |Egli è vero che Meleagante, 
506|507|508|509|510	li fiz al roi Baldemagu, |ala a la cort le roi Artu |por la roine Genievre conquerre, |s’il peust; |et endementiers fist tant une damoisele 	que meleagant li fiz le roi bademagu ala oan a la cort le roi artu. |Por la roine reconquerre |ce il peust. |et andementiers fist tant une damoisele 	que meleagant le filz du rop bandemagu alla a la court du roy artus |pour conquerre la royne genieure sil eust peu. |Cependant fist tant une damoisele 	que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre. |En dementiers fist tant une damoiselle 	que melyagans li fiex au roy baudemagu ala a la cort au roy artu |pour la royne genieure conquiere. |Et endementres fist tant vne damoisele 	e que cosa es lo |porque yo lloro yo voslo dire |asi es que fiço tanto vna donçella 	il figliuolo del re Bando di Maguzo, |andò uguanno alla corte del re Artù |per la reina Ginevra conquidere, |se potesse. |eE dimentre, fece tanto una damigella 
511|512	qui estoit? |sa suer 	qui estoit suers meleagan: 	qui estoit sa seur 	qui sa seur estoit 	qui sa suer estoit. 	Que hera hermana de Meliangas 	ch’era sua serocchia 
513|514|515|516|517|518|519|520	qu’ele geta Lancelot d’une tor |ou Meleagans l’avoit mis en prison, |ne sai por quoi. |Quant ele l’ot delivré, |si le tint avec li |tant qu’il fu garis, |kar molt avoit eu mesaise en la prison, |et puis l’envoia a la cort le roi Artu 	que ele ieta lanc̃ dune tor |ou meleagans lauoit mis en prison. |et puis lenuoia a la cort le roi artu |ou il ocit 	quelle gecta lancelot du lac dune tour |ou meleagant lauoit mis en prison |ie ne scay |pour quoy |Quant elle leut deliure |si le tint auecquez luy |tant quil fu guery. |car moult auoit eu mesaise en la prison. |Et puis lenuoya a la court du roy artus 	que elle iecta lancelot hors de prison de une tour |la ou il lauoit mis. |Quant elle leust deliure |elle le tint auec elle |tant qu il fut gary: |et moult y auoit eu mesaise. |et puis lenuoia a la court du roy artus 	que elle geta lancelot de prison dune tour |ou il estoit mis : |iou ne sai porcoi |Ouant elle lot deliure. |si le tint aueques li. |tant quil fu garis |Car moult auoit eu mesaise en la prison. |Et Io puis quant il fu garis |si lenvoia a la cort au roy artu 	que saco dela prision a lançarote |quelo tenia envna torre Meliangas no sabia porque e quando el fue libre ella lo tubo en su poder |fastaque fue guarido |ca mucho auia enpeorado dela prision |e des que fue guarido fuese ala corte del Rey Artur 	ch’ella gittò Lancellotto di Lac d’una torre |ove Meleagante l’avea messo in pregione, |non so perché. Quand’ella l’ebbe dilivero, |si l tenne con esso lei non so quanto, |tanto ch’ella el guari, |ché molto avea avuto misaggio nella prigione. |Quand’e fu tornato a guarigione, |sillo inviò alla corte del re Artù, 
521|522	ou il ocist Meleagan, |ce savons nos or bien. 	.mel̾. ci sauons nos ore bien. 	ou il occist meleagant ce scauons nous ores bien. 	la ou il occist meleagant. 	ou il ochist |melyagant chou sauons nous bien. 	e Mato alla a meliangas |segund cuido |que oystes 	ov’elli uccise Meleagant, |ciò sapiamo noi ora bene. 
523	Mais si tost com li parent sorent 	mais si tost com cil parent sorrent 	mais si tost que les parens meleagant sceurent 	mais tantost que ses parens sceurent 	Mais si tost que si parent le sorent 	mas tan ayna como sus parientes lo supieron 	Ma si tosto come i parenti di Meleagante |seppono 
524|525	qu’ele avoit Lancelot osté de la prison, |si distrent 	que ele auoit iete lanc̾ de prison; |si dirrent 	quelle auoit oste lancelot de la prison |si distrent 	que elle auoit iecte lancelot hors de prison 	que elle auoit lancelot gete de prison |Si distrent 	que ella auia hechado dela prision a lançarote |Dixeron 	ch’ella avea tratto di pregione Lancellotto, 
526|527	qu’ele l’avoit fait |por Meleagan ocirre; 	que ele lauoit fait por mes. ocirre. 	quelle lauoit fait |pour occire meleagant. 	ilz la occuperent de la mort de meleagant. 	que elle lauoit fet |pour melyagant ocirre 	quelo auia fecho |por amor de Meliangas delo matar 	sì dissono ch’ella l’avea fatto per Meleagante uccidere, 
528|529	si le pristrent a force |et l’acheisonerent de sa mort 	Si la prissent a force |et locoisonent de sa mort. 	Et la prindrent a force et laccuserent de sa mort 	et fut dit 	Si le pristrent a force et locoisonnerent de sa mort. 	e tomaronla afuerça |e pusieronla en prision 	si-lla presono a forza |e la cagionarono di sua morte, 
530|531|532	et distrent |que, s’ele ne trovoit |qui l’en desfendist. 	et dirent |que cele ne trouoit |qui la desfandit 	et distrent |que selle ne trouuoit |qui la dessendist 	que se elle ne trouuoit |qui la deffendist 	Et distrent |que se elle ne trouuast |qui len deffendist 	e dixeron |que si no fallare quien la defender de aquesto 	e dissono che, |s’ella non trovasse chilla difendesse, 
533	qu'il feroient de lui justice si grant 	quil feroient de li iustice tele 	quilz feroient telle iustice de lie 	que len feroit de elle telle iustice 	que on feroit de li autel iustice 	que farian della grand justiçia 	ch’elli farebono giustitia di lei 
534	com l’en doit fere de cele 	com len deuoit faire de fame 	que len deuroit faire de femme 	que len deuoit faire de femme 	com on deueroit faire de femme 	Como deuen de fazer de muger 	si grande come l’uomo dee fare di femina 
535	qui son frere ocist. 	qui son frere ocist. 	qui son frere a occis. 	qui son frere auoit occis. 	qui son frere auoit ocis. 	que asu hermano auia muerto 	che suo fratello uccide. 
536	Et ele dist 	et ele dist 	Et elle dist 	Et elle dit 	Et elle dist 	e ella dixo 	Ed ella disse |ch’ella il 
537|538|539|540	qu’ele troveroit bien |qui la desfendroit: |si mist jor d’amener I. chevalier |por li desfendre, 	que le troueroit bien |qui la desfanderoit. |Si mist ior damener .i. cheualier por li desfandre. 	quelle trouueroit bien |qui la defendroit |si a mis iour damener auant ung cheualier |pour la deffendre. 	que elle trouueroit bien |qui len deffendroit. |Si lui fut iour determine de trouuer ung cheualier |pour elle deffendre. 	quele le trouueroit bien |Si mist iour dun cheualier amener auant. |pour li desfendre. 	que bien fallaria quien la defendiese |e luego pusieronle dia señalado |Parase defender Por cauallero |e ella ymbio a buscar 	troverebbe bene chi ne la difenderebbe, |sì ànno messo giorno d’a- |menare uno cavaliere per lei difendere, 
541	si s’est puis porchaciee en Pluisors liex, 	Si cest puis porchacie en plusors lieus. 	si sest puis pourchacee en plusieurs lieux. 	Et elle a depuis pour chasse en plusieurs lieux 	Si sen est puis pourchascie en pluisors lieus. 	por muchos lugares |quien le defendiese 	si se n’è poscia procacciata in più luogora, 
542	mais onques ne trova chevalier 	mais onques ne troua cheualier 	mais oncquez ne trouua cheualier 	mais oncques ne trouua cheualier 	mais onques ne troua cheualier 	mas nunca a podido fallar Cauallero 	ma unque non trovò ancor cavaliere 
543|544	qui ses armes en osast prendre contre celui |qui apelee l’avoit. 	qui ses armes en ossast prandre encontre |celui qui apelee len auoit. 	qui armes en osast prendre encontre celuy |qui lauoit appellee. 	qui ses armes osast prendre centre celui |qui lauoit appelle. 	qui sez armes en osast prendre encontre |celui qui apelee len auoit. 	que armas quiera tomar contra aquel Cauallero |que deste pleito la a Reptado 	che sue armi osasse imprendere incontro a colui che apellato l’à. 
545|546	Or si est tant la chose alee |que li jors est aterminés a hui ; 	Or si est tant la chose alee |que li iors fu A termines a hui. 	Ores est tant la chose alee |que le iour est termine a huy. 	Or est tant la chose allee |que le iour est ennuy termine: 	Ore est la chose tant alee |que li iors fu atermines a hui. 	e el Plazo se cumple Mañana 	IOr si è tanto la cosa andata |che 'l giorno est aterminato a oggi, 
547|548	si n’a trové la pucele nul desfendeor et por ce dient li un et li autre |qu’ele est atainte del meffet 	Si ne trueue la pucele nul desfandeor. |et por ce dient et li un et li autre |que ele est atainte dou meffait : 	si na encor trouue la pucele nul deffendeur. |Et par ce dient les ungs et les autres |quelle est atainte du meffait 	si na trouue nul desfendeur. 	si na trouue nul desfendeour |Et pour chou dient li vn et li autre |quele est atainte del mesfait 	ental manera que si fasta ora de terçia no falla defensor 	si non à ancor trovato la pulcella difenditore, |e perciò dicono gli uni e gli altri |ch’ella è agiunta del misfatto 
549|550|551|552|553	que l’en li met sus : |si l’ont jugiee, |ce m’est vis, a ardoir le matin |et por ce qu’il m’en membroit, |or em ploroie je si durement, 	que len li met sus. |Si lont iugie ce mest uis le matin a ardoir. |et por ce quil men menbroit ore ploroie ge si durement. 	que len luy mect sus. |si lont iugee |si mest aduis a ardoir le matin. |Et pour ce quil men menbroit ores plouroye ie si fort. 	et pource lont iugiee a estre arse au matin |et cest la cause |qui me fait plourer 	que on li a mis sus. |si lont iugiee lal ardoir le matin. |Et pour chou quil men ramenbroit ore ploroie iou 	tomaran della luego vengança |e la vengança sera tal que la Quemaran |e poresto lloro yo asi tan fuertemente 	che l’uomo le mette suso. |Si-ll’anno giudicata, |ciò m’è aviso, |ad ardere domattina, |e per ciò che me ne ricordo, |ora quand’io vo vidi |piagnea io si duramente, 
554|555|556|557|558|559|560|561|562|563|564	kar certes ele estoit une des plus cortoises damoiseles ! del monde |et une des plus vaillans. |— |Or me dites, |damoisele, |fet Lancelos, |et s’ele trovoit demain |qui la deffendist, |dont ne seroit ele quite del jugement |que l’en a fet ? |— 	Car certes ele est une des plus cortoises damoileles dou monde et une des plus uaillans. |Or me dites damoisele fait lanc̃. |se le trouoit |qui la desfendist |dont ne seroit ele quite del iugement |que len li a fait. sire fait ele ie ne sai. 	car elle estoit une des plus uaillans et des plus courtoises damoiseles du monde |De celle mesmes matiere dessus dicte. |Or me dictes damoisele fait lancelot et selle trouuoit demain |qui la deffendist ne seroit alle pas quicte du iugenent |que lon a fait. 	car elle estoit une des plus haultes damoiselles du monde: |et des plus uaillantes. |OR me dictes damoiselle fait lancelot |se elle trouuoit demain |qui la deffendist ne seroit elle pas quicte du iugement. 	Car elle estoit vne des plus hautes damoiseles del monde |et des plus uaillans |CAr me dites |dont damoisele fait lancelot. |se elle trouoit demain |O qui le desfendist dont: |ne seroit elle quite del iugement. 	porque aquella es vna delas altas donzellas del mundo |agora me deçid |donçella dixo lançarote si ella fallase |tras quien la defendiese |seria ella quita del todo 	ché certo ella era una delle più belle e delle più cortesi damigelle del mondo |e una delle più valentri». |Or mi dite, damigella, |disse Lancellotto, |s’ella trovasse domane chi ne la difendesse, |dunque non sarebbe ella cheta del giudicamento |che l’uomo l’à fatto? - 
565|566|567|568|569	Sire, |fet ele, |je ne sai. |— |Et est ce, 		Sire fait elle ie ne scay. 	Sire dit elle |ie ne scay. 	Sire fait elle iou ne sai. 	señor dixo ella no se |E es muy lexos de aqui 	Sire, |disse ella, |i' non sO. |— Est ciò, diss’elli, 
570|571|572|573|574|575	fet il, |gaires loing |que ele est ? — |Sire. |fet ele, |il n’i a que. VI. lieues englesches. 	et esse fai il gaires long. |sire il ni a |que .ui. lieues englesches. 	et est ce fait il gueres loing quelle est. |Sire fait elle il ny a que six lieues anglesches. 	Et esse fait il gaires loingz dicy. |Sire dit elle il ny a que six lieues anglesches/ 	Et est chou fait il loing de ci. |Sire fait elle il ni a que vi lieues englesches. 	ado ella esta dixo lançarote |señor dixo ella |no ay mas de aqui alla de seis leguas ynglesas 	guari lungi |dov’ella est? |— |Sire, |disse ella, |e' non ci à che sei leghe 
576|577|578|579|580|581|582|583|584|585|586|587|588|589	Se vos leviés demain matin, |vos i seriés ains prime. |— |Ou le porrai je, |fet il, trover ? — |Al chastel a, |fet ele, de Floego et cis chemins |vos i menra droit, |se vos le volés tenir. |— |Or vos commant a Dieu, |damoisele », |fet il. |Si s’em part atant 	se uous leuiez demain matin uus i seriez ains tierce. |Ou la porroie ge fait il trouer. |Au chastel fait ele de floego. |et ciz chemins uos i merroit se uos le uoliez tenir. |Or uos comant a dieu damoisele fait il. |si sen part. 	se uous leuiez demain matin uous y seriez auant prime |Ou la pourray |ie fait il trouuer |ou chastel de fleago fait ella |et ce chemin uous y mennra droit |se uous le uoulez tennir. |Oe uous commande |ie a dieu damoisele fait il. |si sem part atant 	et se uous partiez demain matin |uous y seriez demain a prime. |Et ou la pourroie |ie fait il trouuer. |En la forest de florega: |et ce chemin icy uous y menera tout droit |se uous le sauez tenir. |Il se part de la damoiselle |et la commande a dieu. 	Se vous moues demain matin vous y seres dedens prime |Et ou le porroie iou fait il trouuer. |En la forest fait elle de floregas. |Et chis chemins vous y menra tot droit |se vous le saues tenir |Or vous commanch iou a dieu damoisele fait il. |si sen torne atant. 	e si quisieredes Bien podedes yr alla a ora de Prima |Ado la podre fallar dixo lançarote |enla floresta de |donseglorega dixo la donçella |e este camino vos lleuara alla |si lo supieredes guardar |Pues a dios vos encomiendo dixo el |e luego se partio el vno del otro |e la donçella yua llorando 	inghilesche:se vo' vi levate domane mattino vo' |vi sarete inanzi prima. |—E ove la potrò io, |disse, |trovare?-Al castello, diss’ella, di Fleego, |e questo camino vo' vi menerà tutto diritto |se voi il volete tenere. |— |Or vo comando a dDio, |damigella, diss’ell». |Si si parte atanto, 
590|591|592	et cele s’en vet faisant son duel. |Et il chevalche tant |qu’il vint fors de la forest, 	et sele sen ua faisant son duel. |et il cheuauche |tant quil uient fors de la forest. 	et elle sen uait faisant son deul. |Et il cheuauche tant quel uient hors de la fourest 	Et celle sen reua faisant son deul. |et il cheuauche |tant quil uint hors de la forest 	Et cele sen uait faisant son doel. |Et lancelot cheualche |tant que il vint hors de la forest. 	e la donçella yua agora tanto porsu camyno |fastaque salio dela floresta 	ed ella se ne va faccendo suo duolo, |ed e' cavalca tanto |che viene fuori della foresta, 
593	si vit devant lui une maison de religion 	Si uoit deuant lui une maison de religion. 	si uoit deuant luy une maison de religion. 	si uoit deuant lui une maison de 	si voit deuant lui vne maison de religion. 	e llego avna casa de Religion 	si vide davanti lui una magion di riligion. 
594|595|596	et il torne cele part por herbergier.|Et quant il i vint, |si trueve a la porte IlII. des freres 	et il torne cele part por herbreger. |et quant il i est uenus si trueue a la porte iiii freres. 	et il tourne celle part pour herbrega. |Et quant il y uint |si treuue a la porte quatre des freres 	religion.Il tourne celle part pour hebergier. |Et quant il uint la |si trouua deux freres	si torne cele part pour herbergier. |Et quant il vint la si trouua. ij. freres 	e el fue alla por aluergar |e fallo ala puerta dos frailes 	Elli torna in quelle parti per albergare |e quand’e' vi viene, |si truova alla porta quatro de' frati di là entro 
597	qui ja avoient chanté complie 	qui ia auoient chantee complie 	qui ia auoient chante complies.	qui auoient chantee complie: 	qui auoient cante complie. 	que auian dicho conpletas 	che avieno già cantato compieta 
598	et estoient venu hors? al serain; 	et estoient uenu au serain. 	et estoient uenuz au serain. 	et ilz estoient uenus hors au serain 	Si estoient venu au serain. 	e estauan al ayre |e ellos fueron contrael 	e erano venuti di fuori al sereno. 
599|600	si saillent encontre lui |por fere descendre 	Si saillent encontre lui |por liu dessandre. 	si saillent encontre luy |pour le descendre 	si saillent encontre lui |pour le descendre 	si saillent sus encontre lui |por lui desarmer. 	porlo ayudar a desçender 	S salgono incontro a-llui per lui discendere 
601	et dient 	Oroient 	et dient 	et dient 	et dient 	e dixeron 	e dicono 
602	que bien soit il venus; 	que bien soit il uenus. 	que bien soit il uenu. 	que bien soit il uenu. 	que bien soit il venus. 	que vien fuese venido 	che bene sia elli venuto; 
603|604|605|606|607|608	si le font entrer laiens |et li demandent |s’il a mengié, |et il dist |que nenil, |et il font erraument mettre la table, 	sire font entrer laiens. |et li demandent cil a mengue |et il dit |que nennil. |et il font erraumet mestre la la table. 	si le font entrer leans. |et luy demandent sil a mange |et il dit |que non. |Et ilz font erraument mectre la table. 	aprez lui demandent sil menga huy. |Il dit |que nenny. |et ilz font incentinent mettre la table le pain et le uin dessus 	si le font entrer laiens |et li demandent sil manga hui. |Et il dist |que nenil. |Et il font maintenant metre la table a lor sergans et la nape ; |et puis le pain et le vin dessus. 	e Metieronlo enel monesterio |e los frailes le dixeron |señor auedes / oy comido no señores dixo el |e luego mandaron ellos |quele pusiesen la mesa mas lançarote no quiso luego comer 	sì 'l fanno entrare là entro |e lo domandano s’egli à mangiato, |ed e' dice che non, |ed e' fanno isnellamente mettere le tavole, 
609|610	mais il dist |qu’il ne mengera 	mais il dit |quil ne mangera deuant 	Mais il dit |quil ne mangera deuant 	mais il dit |qu il ne mengera deuant 	Et il dist |quil ne mangera mie deuant 	ante dixo |que entraria enla yglesia 	ma e' dice che non mangerà davanti 
611	devant qu’il ait esté al mostier, 	quil ait este en mostier. 	ce quel ait este au monstier. 	quil ait este au monstier dire ses oraisons 	ce quil ait este el moustier. |si y dira sez orisons. 	por fazer oraçion 	ch’egli abbia stato nel mestieri, 
612|613|614|615	lar il n’i entra hui. |Lors entre en l’eglise. |por orer |et en ce qu’il se fu agenoilliés, 	Car il ni entra encor hui. |Lors entre lanceloz en lesglise por orer |et en ce quil se fu agenoilliez 	Car il ny entra huy. |Lors entre en leglise pour orer |Et ainsi quil sen fu agenouille 	car il ny auoit huy este |Lors entre en leglise |et ainsi quil fut agenoullons 	Car il ni auoit hui este. |Lors sen entre en leglise pour orer. |Et en ce quil su a genoillons 	e desque el entro enla yglesia finco los ynojos |e el façiendo oraçion cato asu diestro 	ché non v’entrò tre giorni avea. |Allora entrò nella chiesa per adorare, |e'n ciò che si fu aginocchiato, 
616	si regarde a destre 	si garde a destre 	si regarde a destre 	si regarde a dextre partie 	si regarde deuers destre partie |et voit. j. prones de fer 	e vio vnos arcos de plata 	si riguarda a destra 
617	et voit unes prones d’argent trop richement fetes a floretes d’or et a oisials et a bestes, 	si uoit unes prones de fer dargent trop richemet faites et florestes dor. et a oisiax et a bestes. |et dedans auoit u.. 	et uoit unes prones dargent trop richement faute a flouretes dor et a oiseaux et a bestes. 	et uoit unes prones dargent moult bien faictes a florectes dor a bestes et a oiseaulx de diuerses manieres 	et dargent moult bien faites a flor cestes: |dor et a bestes et a oisiaus de diuerses manieres 	muy Ricamente fechos |a flores de oro 	e vide uno intagliamento d’argento |troppo riccamente fatto a fioretti d’oro e a uccelli e a bestie, 
							e di dentro avea v. cavalieri armati. ? 
							Elli isguarda lo ntagliamento, 
							che troppo est ricco, 
					et dedens auoit. v. 		
618|619	et dedens avoit V. chevaliers armés, les hialmes es testes, les espees es mains, |ausi apresté de deffendre 	cheualiers tous armes les hiaumes laciez les espees es mains ausi aprestes de desfandre: 	et dedans auoit cincq cheualiers armez ses heaumes es testes les espees es mains aussi aprestez de deffendre 	Dedens auoit cinq cheualiers armez de toutes armes les espees en leurs mains |ainsi prestz a deffendre 	Cheualiers armes de toutes armes |si com de heaumes en testes et despees es mains |et aussi pres de euls desfendre 	e a bestias de diuersas maneras |e ante ellos estauan çinco caualleros armados de todas armas |elos yelmos enlas cabezas |e las espadas enlas manos 	molto lungamente, |si vide ch’e cavalieri avieno gli elmi in testa, le spade in mano, |altresi aprestati 
620	que se l’en les volsist asaillir. 	comme se len les uosist asaillir. 	commen se len les uoulsist assaillir . 	comme se len uoulsist assaillir. 	que se on les volsist assaillir. 	como si quisiesen defender de algunos |quelos quisiesen acometer 	d’asalire come se l’uomo gli dovesse manomettere. 
621|622	De ce se merveilla molt Lancelos ; |si se drece erraument 	Si se meruilla mout lanc̃. |si se dresce erraument. 	De ce se merueille moult lancelot. |si se drece erranment 	De ce se merueille lancelot |si se dresse sur piez 	Ne chou sesmerueille moult lancelot. |et se drece em pies 	Desto se marauillo mucho lançarote 	api ciò si maraviglia molto Lancellotto, |si diriza isnellamente 
623|624	et vet cele part, |si salue les chevaliers 	et ua cele part |et salue les cheualiers. 	et uait celle part |si salue les cheualiers. 	et ua celle part |et salue les cheualiers. 	si vait cele part |et salue lez cheualiers. 	e fue alla contraellos 	e va in quelle parti, |si saluta i cavalieri, 
625	et il dient 	et il dient 	et ilz dient 	Et ilz dient 	Et il li dient 	e ellos le dixeron 	e dicono che ben sia elli venuto. |Ed elli entra di dentro el chiuso, 
626	que bien soit il venus. 	que bien soit il uenus . 	que bien soit il uenu. 	que bien soit il uenu. 	que bien soit il venus. 	señor bien seades venido 	ov'era lo nta. 
627|628	Et il entre dedens les prones par un petit huisselet a |et esgarde les prones 	et il entre dedens les prones par .i. petit usselet. |et esgarde les prones 	Et il entre parmy ung petit huisset dedans les proues. |Et regarde les prones 	et lancelot entre dedens les prones par ung petit huysset |et regarde les prones 	Et lancelot entre dedens les prones 	e el les rrindio sus saludes |e lançarote cato vn poco los arcos 	elli ella glio, |per un piccolo uscio di ferro, |e guarda lo ntaglio 
629	qui tant sont riches 	qui tant sont riches 	qui sont tant riches 	qui tant sont belles et riches 	qui tant sont beles et riches. 	Porque heran muy Ricos |e muy fermosos 	che tanto est ricco 
					Et regarde lez prones 		
630	qu’il ne cuide pas 	quil ne cuide pas 	que il ne cuide pas 	quil ne cuide pas 	quil ne quide pas 	que vien cuidaua 	che non crede passo 
631	que nus rois les peust esligier; 	que uus rois les poist eligier. 	que ung roy les peust esliger. 	que ung roy les peust esligier. 	que vns roys lez peust esligier. 	Que vn Rey No los podia tales façer 	che nullo re il potesse fare fare, 
632|633	puis voit delés les chevaliers une tombe, la plus riche |qui onques fust fete par home, 	et puis uoit deles les cheualiers une tonbe la plus riche qui onques fust ueue. par home . 	Et puis uoit de la les cheualiers une tombe la plus riche |qui oncquez fust ueue par hom̃e. 	et uoit delez les cheualiers une tombe la plus riche |que encques feust ueue de nul homme: 	Et voit deles lez cheualiers vne tombe la plus riche |que onques fust ueue de nul cheualier 	e el asi Catando vio dentro enlos arcos vna muy Rica tumba |qual nunca tal viera el ni ome del mundo 	e vide dallato il cavaliere una tomba, |la più ricca |ch’unque fosse veduta per huomo, 
634	kar ele ert tote d’or fin a chieres pierres precioses 	Car ele ert tote dor fin a pierres precieusez 	car elle estoit toute dor fin a pierres precieuses 	car elle estoit de fin or a pierres precieuses 	Car elle estoit toute de fin or a pierres precieuses 	que hera toda de oro fino |e de piedras preçiosas 	ch’ell’era tutto d’oro fine a pietre 
635	qui molt valoient miels d’un grant roialme. 	qui plus ualoient dun roiamne. 	qui plus ualoient dung grant royaume 	qui plus ualloient que ung grant royaume. 	qui valoient. j. grant royalme. 	que estaua toda labrada de diuersas maneras |e de muy muchas cosas de figuras 	pretiose che più valieno d’uno gran reame. 
636|637	Se la tumbe fu de grant bialté, |nient ne monte la bialtés envers la richece 	et dee la conbe fu de grant biaute. |Noiant monte a la richesce 	De la tombe fu de grant beaute |riens ne monte la biaute enuers la richece 	Et se la tombe fut de grant beaute/ ce nestoit riens enuers la grant richesse: 	Et se la tombe estoit de grant biaute. |noient fu de la grant rikece 	e de otras cosas |que tal tumba de tal manera nunca viera ni ome del mundo |que la non ouiese visto |no podria asmar la fermosura 	Se-lla tomba fu di gran biltà, |niente fu della biltà inverso la riccheza 
638|639	dont ele estoit |et avec ce estoit ele la greignor 	dont ele estoit. |et auec ce estoit ele la grignors 	dont elle estoit. |et auec ce estoit elle sa plus grant 	et auec ce estoit elle la greigneure 	dont elle estoit. |Et auec tout chou estoit elle la plus grande 	que enella auia de tales cosas 	dond’ella era piena e Pntorniata, |e con esso ciò era ella la 
640	que Lancelos eust onques veue : 	que lanc̃. ueist onques. 	que lancelot eut oncquez ueue 	qu il uist encques. 	quil eust ao onques mais veue. 	como enella estauan |e don lançarote se marauillo 	magiore che Lancellotto avesse unque veduta. |Molto lungamente riguarda Lancellotto la tomba 
641	si se merveille molt 	Si se merueille mout 	si se merueille moult 	si est moult esmerueillie 	Si sen est trop merueillies 	e dixo entresi mesmo 	che troppo gli sembia |oltragiosamente piena di gran riccheza, 
642	qui puet estre li princes 	qui pot estre li princes 	qui puet estre le prince 	qui pouoit estre le prince 	qui li princes pooit estre 	Quien podria ser el prinçipe 	si sarebbe a suo aviso al re Artù, |e molto si maraviglia chio può essere el principe 
643	qui dedens fu mis. 	qui dedens fu mis. 	qui dedans fu mis 	qui fut illec mis. 	qui illueques estoit mis 	que enella yaçia 	che di dentro fu messo. 
							Quand’egli à molto isguardato, 
644|645|646|647|648	Il demande as chevaliers |qui sont iluec. « |Sire, |font il, |nos gardons le cors 	si demande as cheualiers |que il font illuec. |Sire font il nos garoons le cors 	Il demande es cheualiers |quilz font ilecquez. |Sire font ilz nous gardons le corps 	Et il demande aux cheualiers |qui illec sont |de quoy ilz seruent. |Sire nous gardons le corps 	Et il demande as cheualiers |que il font illueques. |Sire font il nous gardons le cors 	e lançarote pregunto alos caualleros e dixo |señores que estades aqui façiendo |señor dixeron los caualleros |nos guardamos el cuerpo 	si domanda e cavalieri |che fanno nel luogo. |Sire, dicono elli, |noi guardiamo il corpo 
649	qui en ceste tumbe est. 	qui est dedens ceste tonbe 	qui est en ceste tombe 	qui gist dedens ceste tombe 	qui chi gist en ceste tombe 	que yaze enesta tumba 	che in questa tomba giace 
650	qu'il n’en soit portez fors de çaiens; si somes. V. 	que il nen soit portes hors de saiens. |Si i somes .u. 	quil nen soit porte de ceans. |si y sommes u. 	qu il ne soit porte hors de ceans. |Si sommes cinq 	quil nen soit portes de chaiens. |Si sommes. v. 	quelo no lleuen dende aqui 	che no ne sia portato fuori di qua entro; |sì siamo qui v. 
651	por garder le de jors, 	por le garder chascun ior. 	pour le garder chascun iour. 	pour le garder chacun iour: 	por lui garder cascun ior. 	e nos lo guardamos çinco caualleros de dia 	per lui guardare ciascuno giorno, 
652	par nuit en i a autres. V. 	et par nuit en i a autre .u. 	Et de nuyt en y a autre cincq 	et par nuit en y a autres cinq 	Et la nuit en y a autres. v. 	e otros çinco de noche 	e per la notte ce n’à altri cinque 
653|654	qui font autretel servise |comme nos faisons de jors. — 	qui font autretel seruise |com uos faisons de ior. 	qui y font tel seruice |comme nous faisons chascun iour. 	qui font autel seruice |comme nous faisens de iour. 	qui font autretel seruice |comme nous faisonz de ior. 	que no façemos 	che fanno |altrettale servigio come noi facciamo il giorno. 
655|656	Et por quoi, |fet Lancelos, 	et porcoi fait lanc᷑. 	Et pour quoy fait elle auez uous paour 	Et pour quoy auez uous paour fait lancelot 	Et de coi aues vous paor fait lancelot. 	y al Auedes miedo dixo Lançarote 	— E perché, |disse Lancellotto, 
657|658	avez vos poor |qu’il n’en soit portés? — 	auez uos pa our |que il nen soit portes. 	quil en soit ouste. 	quil ne soit emporte. 		que voslo lleuen de aqui 	avete voi paura che non ne sia tratto? — 
659|660|661	Sire, |font il, |por ce que uns des freres de çaîens 	SIre font il |por ce que uns freres de saiens 	Sire font ilz |pour ce que ung des freres de ceans 	Sire fent ilz pource 	Sire font il vnz des freres de chaiens 	señor dixeron ellos |si que vn fraile de aqui 	Sire, |dicono elli, |per ciò che uno de frati di qua entro, 
