micha-iv-75-5	fr333-iv-75-5	fr111-iv-75-5	sommer-iv-75-5	inc-iv-75-5	fr751-iv-75-5	lanzarote-iv-75-5	lancellotto-iv-75-5
et Lanceloz le fiert si durement a ce qu’il l’ataint bas 	Et lanc̃. le fiert si durement a ce  quil lataint bas.	et lancelot le fiert si roidement et lataint si bas 	Et lancelot le fiert si durement a ce  quil lataint bas 	et lancelot le frappa si durement par bas 	et lanc̃. le fiert si durement 	mas don lançarote le firio tan tiesto dela lança 	e-lLancelotto il fiede si duramente, 
qu’il porte lui  et le cheval el fossé en cel leu meismes 	quil porte lui et le cheual el fosse. en celui meismes ou il auoit lanc̃. abatuz. 	quil porte luy  et le cheual on fousse  ou lieu mesmes 	quil le porte a terre lui et le cheual.  si que cil vole el fosse en io celui meismes 	qu il le porta luy et le cheual au millieu du fosse en celle place mesmement/ 	quil porte lui et le cheual el fosse 	que dio conel y con su cauallo dentro dela carcaua 	acciò  che-ll’agiugne basso,  ch’egli porta lui e l cavallo nella fossa, in quel luogo medesimo 
ou il avoit Lancelot abatu ; 		ou il auoit abatu lancelot 	ou il auoit lancelot abatu. 	ou il lauoit lui mesmes le iour de deuant abatu/	ou il anoit este abatus. 	donde el cayera 	ov’egli ebbe Lancelotto abattuto. 
et s’îl n’eust aide, noiez i fust a ce  qu’il i ot planté de eve. 	et sil neust eu aide il i fust noiez. a ce  quil y auoit grant plete dyaue. 	et sil neust eu aide il fust noye a ce  quil auoit plante 	Et sil neust eu hastieument  aieue noies fust a ce  quil y ot plente daigue :  ANsi com uous poes oir fu li cheualiers del pont abatus el fosse. 	et qui ne luy eust aidie noye eust este pour ce  quil y auoit plante deaue. 	et cil neust aide il fust noiez. et lanc̃. atant tant quil est ostes del fosse. 	ante que estaua llena de agua  y luego fuera afogado  sino quelo acorrieron 	Es’egli non avesse aiuto, egli fosse stato anegato,  acciò  che v’avea gran quantità d’acqua: 
Et Lanceloz atant tout belement 	et lanc̃. atent tout belement 	et lancelot actend bellement.	Et quant lancelot le uit cheu.  si atent tout belement 	Si attendit lancelot tout bellement 		e don lançarote estubo quedo 	e-lLancelotto attende tutto bellamente 
tant que l’an ait celui traist del fossé  et li demande 	tant quil out celui tret del fosse.  adont li demande lancelot. 	tant quil soit traict de leaue et du fousse  et luy demande	tant que on ait A celui trait de laigue.  puis si li demande 	que len leust tire hors du fosse/  Et puis apres luy demanda 	et li demande 	fasta quelo sacaron y dixole Cauallero habemos aqui mas que fazer 	tanto ch’egli abiano tratto colui del fosso,  si gli domanda 
s’îl en voldra plus fere,  et il dist: «  Ha, sire,  por Deu merci,  certes je ne cuidoie pas 	sil en uoldra plus fere.  Ha: sire fet cil. pour dieu merci. Ie ne cuidoie mie. 	sil en ueult plus faire.  haa sine pour dieu mercy.  certes ie ne cuidoye pas 	sil en uoldra plus fere  Et cil del pont li dist  ha : sire pour dieu merci. iou ne quidoie mie 	se il en uoulloit plus faire.  Et il luy dist  Ha ha sire pour dieu mercy/  Certes ie ne cuidoie mie 	se il en uodra plus faire.  et cil li dit sire por dieu merci Ie ne cuidoie mie 	ay  por dios señor merçed  dixo el cauallero  por el tuerto 	s’egli ne vorà più fare.  »aAil, sire, diss’egli, per Dio mercé,  ch’i' non credea mica 
que ce fussiez vos  et veez ci m’espee,  car je me rant a vos  et me met del tout en vostre menaie. » 	que ce fussiez uous.  Et uesci mespee. Car ie me rent a uous.  et me met del tout en uostre manoie. 	que ce fust uous  et uez cy mespee ie me rens a uous  et me menez du tout en uostre mercy	que ce fuissies vous.  Et uees chie messpee  quar ie me rench a vous  et me mech del tout en vostre manaie. 	que ce fussiez uous uoyez cy mon espee/  car a uous me rens/  si me metz du tout en uostre mercy. 	que ce fussiez uos. et Ie uos ren mespee  et me met en uostre merci. 	que vos fize  que no Cuide  que vos herades  y tomad aqui mi espada y pidovos merçed 	che ciò foste voi;  e vedete qui mia spada,  ch’i' m’arendo a voi e mi metto del tutto in vostra manos. 
Et Lanceloz le prant 	Et lanc̃̃. le prent 	et lancelot la prent 	Et lancelot le prent 	Et Lancelot le print 	et cil la prant 	y el tomo la espada 	eE llancelotto il prende 
et le fait monter derrier lui et s’en est entrez el chastel, 	et le fet monter derriere lui. et sen est entrez el chastel. 	et le fait moncter derriere luy  et sen est entre ou chastel 	et le fist monter derriere lui  et sen est entres el castel 	et le fist menter derriere lui  puis sen entrerent ou chastel 	et le fait monter derier lui  et entre el chastel	y fizolo subir enel Cauallo  y fuese parael Castillo 	e l fa montare di dietro allui; essi entrò nel castello, 
car il voldra savoir,  s’il puet estre, la verité de lui et d’Estor. 	Car il uouldra  sil puet sauoir la uerite de lui. et dector. 	car il ueult sauoir  sil puet la uerite de luy et de hector. 	quar il voldra sauoir  se cest uerites  que on li a dit de hector. 	pour scauoir a la damoiselle la uerite de lui et de hector. 	car il uelt sauoir la uerite de lui  et destor 	que deseaua mucho de sauer la verdad de estor 	ché egli vorà sapere,  s’egli puote, la verità di lui e d’Astore. 
						Como don Lançarote y la madre de estor de mares se conoçieron 	
Quant il vint au mestre palais,  si descent li chevaliers 	Et quant il uint au mestre pales.  si descent li cheualier. 	Et quant il uint au maistre palays si descent le cheualier 	Quant lancelot fu uenus au maistre palais  si descent	Quant il uint au maistre palais/ si descendit le cheualier/ 	et quant il uiennent au maistre palais  si descemdent. 	Quando ellos llegaron al gran palaçio el cauallero desçendio luego 	E quand’e' venne al mastro palagio,  si discende il cavaliere 
							e disse alla dama di là entro: aBella sirocchia, 
et dist a la dame de laienz : « Bele sulcler, je vos amaing mon signor Lancelot, le mieldre chevalier del monde  qui est frere Hestor vostre fil.  Or li faites tel joie  com vos devez. » 	et dist a la dame de laienz. Bele suer. Ie uous amainig misire lanc̃. del lac. le meilleur cheualier. del monde.  qui est freres hector uostre fuiz.  Or li fetes si grant ioie comme uous deuez. 	et dist a la damoisile de leans Belle seur ie uous ameine messire lancelot le meilleur cheualier du monde  qui est frere de hector uostre filz  or luy faictes telle chiere  que uous deuez 	et dist a la damoisele de laiens. Bele suer. iou vous amaine monseignor lancelot le meillor cheualier del monde  qui est freres hector vostre fil.  or li faites tel ioie  comme vous deues. 	puis dist a la dame de leans/ Belle seur ie uous ameine menseigneur lancelot du lac le meilleur cheualier du mende/  qui est frere hector uostre filz/  or lui faictes telle ioye comment uous deuez/ 	et li sires dit a la dame de laiens. Dame ueci lanc̃. del lac le frere uostre fil  si li faites tel Ioie com uos deues. 	y dixo ala señora del castillo  que hera su madre de estor ay my buena hermana  yo vos traigo a don lançarote de lago el mejor Cauallero del mundo  y es hermano de vuestro fijo estor 	i' vo meno monsignor Lancelotto di Lac, miglior cavaliere del mondo e fratello d’Astore vostro figliuolo:  or li fate tal gioia  come vo' dovete». 
Ele le fait descendre et desarmer; et quant ele le vit a descouvert, 	et ele le fet descendre et desarmer. Et quant ele le uit  si descouuert le uis. 	Et elle le fait descendre et desarmer.  et quant elle se uit descouuert 	Et elle le fait descendre et desarmer,  Et quant elle le voit a descouuert. 	et incentinent celle le fist descendre  Et puis quant elle le ueit a descouuert 	et celle le fait dessandre et desarmer.  et quant ele le uit a descouert. 	y fazedle mucha honrra y ella fue luego parael 	E el fa discendere e disarmare,  e quando ella el vide a discoperto il suo viso e l suo mento,
si li sambla  qu’ele veist le roi Ban de Benoyc, 	Si li sembla quele ueist le roy ban de beuoyc. 	si luy sembla  quelle ueist le roy ban de benoic. 	si li sambloit  que elle ueist le Roy ban de benoyc. 	si lui sembla ueoir le roy Ban de benoic/ 	si li est auis que ce soit li rois ban. de benouc. 	y Resçiuiolo muy bien 	si l’è aviso  ch’ella vedesse il re Bando di Benoic, 
car il n’a home el monde, 	Car il nest home sil eust ueu le roy ban. 		Car il nest nus homs uiuans 	Car il ny auoit homme au monde 	Car il na home el monde 	y fizolo luego desarmar 	ch’egli non è huomo, 
s’il eust veu le roi Ban et puis Lancelot,  qu’il ne deist  qu’il fust ses filz. 	et lanc̃.  qui ne deist  quil fust son filz. 	car il sembloit tresfort son pere. 	sil eust veu le Roy ban  et puis lancelot.  quil ne deist  que il fust sez fiex. 	se il ueoit lancelot  quil ne dist urayement  quil estoit son filz/ 	ce il eust ueu le roi ban et ueist lanc̃.  quil ne deist uraiement  que ce fust ses fis	y quando lo vio desarmado Paresçiole todo al Rey van su padre  Ca no hauia cosa enel mundo que asi paresçiese como a don lançarote 	s’egli avesse veduto il re Bando e veduto Lancelotto,  che non dicesse  che fusse suo figliuolo. 
Et quant ele voit celut 	Et quant ele uoit celui 	Et quant elle uoit celui	Et quant elle voit celui. 	Et en regardant cellui 	quant ele tint celui 	y ella con gozo 	E quando ella vide colui
qu’ele ot tant desirré, si li baise la bouche et les ieuz  et plore de joie et de pitié  et l’enmoinne en son maistre palais  et li dist tout em plourant: « 	qui tant ert desirrez.  Si li baise la bouche et les iex.  et pleure de ioie et de pitie.  et le maine en son pales.  et li dit tout en plorant. 	qu elle a tant desire a uoir  si luy baise la bouche et les yeulx  et pleure de ioye et de pitie et lemmaine en son palays.  et luy dist tout en plourant 	que elle ot desire tant longement  si le baise en la bouche  et pleure de pitie et de ioie  Et lenmaine el palais  et li dist. 	que tant auoit de sire lui baisa la bouche et les yeulx/  puis ploura de ioye et de pitie/  sy lemmeine sur au maistre pallaiz  puis lui dist 	quele desiroit tant a ueoir.  si le baisse de ioie  et le mainne el pallais 	que vbo conel comenzole de abrazar muy de Corazon  y tomolo porla mano  y asentaronse enel estrado y ella le dixo 	che tanto est disiderato,  si gli bacia la bocca e gli occhi e piange di gioia e di piatà,  e mena in su' palagio e lli disse tutto piangendo: 
Certes, sire, ne! me merveil je mie se vos estes bons chevaliers et preuz. 	Certes sire: Ie ne me merueil  mie 	Certes sire ie ne me merueille pas  se uous estes bon cheualier 	Sifrel iou ne mesmerueille mie  se vous estes boins cheualiers et preus 	Certez sire ie ne me merueille pas se uous estes bon cheualier et preux/ 	et li dit. Sire ie ne me merueil pas  ce uos estes bons cheualiers. 	señor sodes vos buen cauallero no me marauillo yo 	Certo, sire, non mi maraviglio mica se vo' siete buon cavaliere e pro', 
		et preu 					
car vos estes filz au millor chevalier  que je onques veisse de son aage,  ce fu li rois Bans de Benoïc.»  Lors s’asiet sus l’erbe vert 	se uous estes bons cheualiers et preuz.  Car uous fustes filz au meillor cheualier.  que ie onques ueisse.  Ce fu li rois bans de benoyc.  Et lors sassient sus lerbe uert 	car uous estes filz au meilleur cheualier  que ie cogneusse oncquez ce fut le roy ban de benoic .  Lors sassiet sur lerbe uert 	quar vous fustes fils au meillor cheualier  que iou onques veisse de son tamps.  Lors sassistrent sor lerbe uert 	car uous feustes filz au meilleur cheualier de son aage  que ie ueisse oncques en ma uie ce fut le roy ban de benoyc  Lors se assirent sur lerbe uert/ 	Car uos fustes fiz au millor cheualier del monde.  Lors sacient sor lerbe uert 	Porque vuestro padre fue el mejor Cauallero  que ome vido en su tiempo  y esto fue el Rey van de benoit señora dixo don lançarote 	ché vo foste figliuol del miglior cavaliere  ch’i' unque vedessi,  ciò fu il re Bando di Benoic. Allor s’asegono sopra l’erba verde 
dont la sale estoit jonchie : 	dont la sale fu ionchiee. 	dont la sale fu ionchee 	dont li palais estoit ioncies. 	dent la sale estoit ionchee/ 	dont la salle estoit Ionchie 		donde il palagio fu tutto giuncato,
si parolent ensemble  et il li prient por Deu 	si parolent ensemble. Et il li prie pour dieu 	si parlent ensemble  et elle le prie pour dieu 	si parolent ensamble de moult de choses.  Et lancelot li prie pour dieu. 	si parlerent ensemble de plusieurs choses. Et lancelot lui pria pour dieu/ 	et lanc̃. li prie 	yo vos Ruego Pordios 	si parlano insieme.  E Lancelotto la priega, per Dio, 
qu’ele li die verité de lui et d’Estor, «  car l’an m’a fait antandant, fait il, 	quele li die la uerite de lui et de hector.  quar hom ma fet entendant fet il. 	quil luy die nouuielles de hector.  Len ma fait entendre fait il 	quele li die la verite de lui et de hector  Car on ma fait a entendre 	que uerite lui dist de lui et de hector.  Car len me a fait entendant fist il/ 	quele Li die La uerite destor.  Car on me fait antandant 	que me digades La verdad de estor 	ch’ella li dica la verità di lui e d’Astore,  schéll’uomo m’à fatto intendere 
qu’il est mes freres 	quil est mes freres. 	que il est mon frere 	que il est mes freres 	quil est mon frere. 	quil est mes freres. et	que me dizen 	ch’egli è mio fratello: 
et s’il est voirs, je n’oi onques si grant joie  com je avroie de ceste chose. — Si m’aïst Diex, fait ele, il est vostre freres,  car li rois Ban de Benoyc l’engendra. » 	Et sil est uoirs fet il ge noi onques si grant ioie comme iauroie de ceste chose.  Si mait diex fet ele. il est uostre frere.  Car li rois bans de benoyc lengendra	et sil est uoir oncquez neu si grant ioye  comme iay de ceste chose.  Si maist dieu fait elle il est uostre frere.  car le roy ban de benoic lengendra	et se chest voirs Iou noi onques mais si grant ioie de chose  que iou oisse.  Si mait diex fait elle il est vostres freres.  quar li roys bans lengendra. 	Et ce cella estoit uray/  ie ne euz oncques si grant ioye  comme ie auroye de ceste chose/  Si maist dieu fist elle il est uostre frere/  Car le roy Ban de benoic lengendra en moy/ 	se celt uois fait  lanc̃ Ie nai mout grant loie. Sire fait ele il est uostre freres sans faille.  Car li rois bans de benoic. lengendra 	que es mi hermano  si me salue dios dixo ella el es vuestro hermano 	s’jelli è vero,  e' non ebi unque mai si gran gioia  com’io avrei di questa cosa.  — e me m’aiuti lddio, diss’ella, egli è vostro fratello,  ché il re Bando di Benoic lo ngenerò». 
Et lors li conte conment  et li dist tout ce  que ses ostes li avoit dit  et en tele maniere,  tant qu’il set vraiement 	et li conte comment.  Et li dit tout ce  que ses hostes li auoit dit et en tel maniere.  tant quil set bien uraiement	si luy compte comment  et luy. dit tout cc  que son hoste luy auoit dit.  Et il sceit tout de uoir 	Lors li conte  comment tout ensi  que sez ostes li auoit dit.  Tant que il set vraiement 	et lors lui compta  comment  Et luy dist tout ce  que son hoste luy auoit dit et en telle maniere,  tant quil sceut de uray 	et si uos dirai coument.  Lors li conte  si com li centes li fu dis par son oste.  tant quil sot bien	y direvos como y entonzes le conto todo el fecho  segund selo hauia contado su huesped 	E-lli conta come: li disse  tutto ciò che su oste li disse in tal maniera  tanto ch’elli seppe veracemente 
que ce est voirs. « 	que ce est uoirs. 	quil est uerite : 	quil est voirs. 	que ainsi estoit. 	que cest uoirs. 		che-cciò era vero.
Et encor, sire, fait ele,  vos en mousterrai je tel chose  que vos connoistroiz bien. »  Lors vait en sa chambre et desferme J. suen escrin	Et encore sire fet ele uous mousterrai ge tel chose  que uous connoistrez bien  Lors uet en sa chambre. et desferme .i. sien escrin. 	Et encor sire uous monsterray ie tel chose  que uous cognoistrez bien.  Lors uait en sa chambre  et defferme ung sien escrin et en trait ung anel dor a ung saphir 	Encore sire fait elle vous en mousterai iou te chose  que vous connisteres bien.  Lors uait en sa cambre et desfreme Vn sien escrin 	Et encore sire fist elle uous en menstreray telle chose/  que uous congnoistrez bien.  Lors ua en sa chambre/  si defferma ung sien coffret/ 	et encore sire fait ele en mousteroie ie uraies ensangnes  que uos quenoisteriez bien au mien escie̶ent.  Lors entre en sa chanbre et desferme .I. sien escrin. 	señor  dixo ella 	«Ancora, sire, diss’ella,  vo mosterò tal cosa  che vo' conoscerete benes.  Allor se ne va in sua camera,  e diserra un forziere 
				et en tira hors ung anel dor/ 			
et en trest fors I. sien annel d’or a J. safir ou il avoit entaillié II. serpentiax ;  si vient a Lancelot et li dist : « Sire, veez vos 	Et en trait hors .i. sien anel dor. A .i. saphir.  ou il auoit entaillie .iii. serpentiax.  Et en uient a lanc̃.  et li dit. Sire : ueez uous 	ou il auoit deux serpenteaux entaillez et dist a lancelot. Sire uoyez uous 	et en traist hors vn anel dor a .i. saffir  ou il auoit entaillie. ij . serpentiaus.  Et quant elle lez ot  si revient a lancelot, 	ou y auoit ung saffir  et y estoit entaillie deux serpenteaux/  si uint a lancelot  et lui dist. Sire uoyez uous ce	et en trait .i. ennel dor a i. saphir auques grosset.  Quil auoit entaillie .ii. serpantiax.  Si uient a lañc et li mostre 	yo vos mostrare tales señales 	e ne trae fuori un suo anello d’oro con un zaffiro  ov’egli avien tagliati tre serpantegli,  e se ne viene a Lancelotto  e gli disse: edete voi ciò 
que je tieng? — Dame, oül. fait il. —  Si m’arst Diex, fait ele, li rois Bans le me donna, 	que ie tieng. Dame fet il oil.  Se diex mait fet ele. li rois bans le me dona. 	que ie tien. Dame fait il ouil.  Si maist dieu fait elle le roy ban le me donna 	et li dist. Sire uees vous cest aniel.  si mait diex li roys bans le me donna: 	que ie tiens/ dame oy.  Se maist dieu fist elle le roy ban le me donna/ 	et li dit. Sire uees uos ce que ie tieng.  Certes uostres peres le me dona 	que lo entenderedes mejor 	ch’io tegno?  —Oil.  — Se Dio m’aiuti, diss’ella, il re Bando il mi donò 
quant il parti de cest païs  et me dist 	quant il parti de cest pays.  et me dist	quant il se party de ce pays.  et me dist 	quant il se parti de cest pais.  et me dist 	quant il partit de ce pais/  si me dist 	quant il parti de cest pais.  et me dit 	entonçes saco vna sortija convn çafi enlaçonado 	quand’e' si parti di questo paese,  e mi disse 
que la roine vostre mere li donna 	que la royne uostre mere li dona. 	que uostre mere luy auoit donne 	que vostre mere la royne li auoit donne 	que la royne uostre mere lui auoit donne/ 	que uostre mere li auoit done		che-lla reina vostra madre gliel donò, 
et que ele en avoit I. de tel façon.  Et je sai bien 	et que ele en auoit .i. de tel fachon.  Et ie sai bien 	et quelle en auoit ung de tel facon  et ie scay bien 	et que elle en auoit. i. autretel. Et iou sai bien 	et que encores en auoit il ung de ceste facon/  et ie scay bien 	et quele en auoit .I. de ceste fason.  et ie sai bien	y enel zafi estauan dos serpientes figuradas 	ch’ella n’avea uno di tal fazione:  e-sso bene 
qu’il me dist voir,  car il n’a mie granment  que je chevauchai par mi Gaule  por parler a I. mien oncle  qui est conseillier le roi Claudas  et tant que mes chemins me mena au Roial Moustier  ou vostre peres gist. S. i demourai l. nuit  et trouvai illuec vostre mere, la millor dame  qui soit el siecle et la plus sainte,  si me fis connoistre a li  et qui je estoie et de quel païs;  et ele me demanda molt de vos 	quil me dist uoir. Car il na mie gramment  que ie cheuauchoie parmi la terre de Gaulle.  pour parler a .i. mien oncle  qui estoit escuiers le roy clauains.  si me mena mes chemins au moustier roial ou uostre mere. gist.  Si trouuai illec uostre mere la meilleur dame et la plus sainte del monde.  Si me fis connoistre a li.  et li dis que iestoie de cest pays.  Et ele me demanda molt de uous.	quil me dist uoir. et il na pas gueres guere cheuauchoye parmy gaule  pour parler a ung mien oncle  qui est escuier au roy claudas  si me mena mon chemin au monstier royal  ou uostre pere gist.  si trouuay ilec uostre mere la meilleur dame  qui soit ou siecle et la plus sainte si me feis cognoistre a lie  et luy dis  que iestoye de ce pays.  et elle me demanda molt de uous. 	quil me dist voir.  quil na encore mie moult granment  que iou cheualchoie parmi Gaule  pour aler a vn mien oncle sese al  qui est conseillieres: le Roy claudas.  Et tant que mes chemins me mena au royal moustier  ou vostres peres gist.  Si y demorai vne nuit  et trouai illuec vostre mere  qui est la meillor dame  qui soit el siecle et la plus sainte.  Lors quant iou vic la noble dame  si me fis connoistre a li et elle me demanda moult  qui iou estoie  et iou li dis.  Apres me demanda de vous. 	quil me dist uray/  Car il ny a pas grandement  que ie cheuauchoie parmi la marche de gaulle  pour aller a ung mien oncle  qui estoit conseillier au roy claudas.  Et tant que mon chemin me mena au royal monstier  ou uostre pere est enterre/  si y demouray une nuyt,  et trouuay illec uostre mere/ la meilleur dame  qui soit au siecle/ et la plus sainte/  si me feiz congnoistre a elle/ et efle me demanda  dont ie estoie et de quel pays/  et ie lui feiz assauoir/  puis me demanda moult de uous/ 	que il me dit uerite.  Que il na gaires  que ie aloie parmi Gaule  por parler a i mien oncle  qui est consilliers le Roi claudas.  tant que mes chemins memmena au moustier roial  ou uostres peres gist  si i demorai une nuit.  si i trouai uostre mere la millor dame del monde  Si me fis quenoistre alues ele me demanda mout de uous. 	y mostrolas a don lançarote  y dixole  señor esta sortija me dio vuestro padre y el me dixo  que otra diera avuestra madre yo se la vi  que ella mela amostro poco a enel monasterio Real  a do esta vuestro padre 	ch’elli mi disse vero,  ché non à mica gravemente  ch’io cavaleava per me Gaule per andare a uno mio zio ch’è donzello del re Gaudas,  si mi menò mi camino al Munistero Reale,  ove vostra madre giace:  si trovai nel luogo vostra madre, la miglior dama e-lla più sancta del mondo,  si mi fece conoscere a llei elle disse  ch’io era di questo paese;  e ella mi domandò molto di voi, 
et je l’an dis ce  que je avoie oi dire  sanz i ce 	Ge len diz ce  que gen auoie dire.  sanz ce 	et ie li oy deis ce  que ien auoye  ouy dire.  sans ce 	Et iou len dis ce  que iou en auoie oy dire.  sans ce 	et ie lui en diz ce  que ie en sauoie  et que ie en auoye ouy sans ce 	et ie len dis ce  que len en auoit dit deuant moi 	y pasando yo por y fable conella 	e io ne le dissi ciò  ch’io n’avea udito di voi dire, sanza ciò 
que je ne vos avoie onques veu  et li dis  que vos estiez li mieudres chevaliers del monde. Je avoie cest anel an mon doi, 	que onques ne uous auoie ueu  et dis que uos estiez li mieldres cheualiers del monde.  Et ie auoie cest anel en mon doi 	que ie ueus eusse ueu.  et luy deis  que uous estes le meilleur cheualier du monde.  Iauoye cest anel en mon doy. 	que iou ne vous auoie onques veu. et li dis  que vous esties li mieldres cheualiers del monde. et iou auoie cest anel en mon doit. 	que ie uous eusse oncques ueu  si lui deiz que uous estiez le meilleur cheualier du monde.  Si auoye ce mien anel en mon doy/ 	par maintes fois a maintes gens  et ie li dis  que uos estiez li mieudres cheualiers del monde 	y ella vidomela enel dedo 	che non voi avia unque veduto, e-lle disse  che voi eravate il miglior cavaliere del mondo.  E io avea questo anello in dito, 
si le vit par aventure; ele me demanda 	si le uit.  et ele me demanda 	se le uit.  et me demanda  et enquist 	si le vit par auenture Lors me demanda elle 	et elle le ueit dauenture/  si me demanda	et ie auoie cest ennel en mon doi tant 	y preguntome 	si ch’ella il vide  e ella il domandò 
qui le m’avoit donné  et je li voil celer;  quant ele? le me dist  qu’ele savoit bien  de qui je l’avoie eu,  si me monstra maintenant le suen de son doi 	qui le mauoit donne.  Et ie li uoil celer.  quant elle dist  quele le sauoit bien.  dont ie lauoie eu.  Si me remoustͣ maintenant le sien de son doit. 	qui le mauoit donne  et ie luy uoulu celer  mais elle dist  quelle sauoit bien  dont ie lauoye eu.  et lors me monstra le sien de son doy 	qui le mauoit donne.  et iou li voel celer  de qui iou lauoie eu  Et lors me moustra elle le sien de son doit 	qui me lauoit donne/  et ie le lui uoulu celler/  quant elle me dist  que elle sauoit bien  de qui ie lauoye eu.  Si me monstra incentinent cellui de son doy 	quele le connut par auanture. Si me demanda  qui le mauoit done  Si me moustra le cien	que quien mela diera  y yo encubrime  y ella mostrome otra tal  y ella luego entendio quien mela diera y portanto entendi yo 	chi m’avea donato  e io gliel volli celare,  quand’ella mi disse ch’ella il sapea bene  dond’io l’avea avuto:  si mi mostrò immantanente il compagno, 
qui ert de cele façon meismes :  et par ce connois je bien que vostre peres m’avoit dit verité. »  De ceste chose fu Lanceloz moult liez et moult joianz plus 	qui estoit de tele fachon. meismes comme cestui.  Et pour ce connois ie bien que uostre pere mauoit dit uerite. de ceste chose  et lanc̃. en fu molt liez.  et molt ioianz. plus 	qui est de telle facon.  et par ce cogneu ie bien  que uostre pere mauoit dit uerite  De ceste choss est lancelot plus lie et ioyeux 	qui ert de tele facon.  Et pour chou connois iou bien  que vostres peres mauoit dit uerite. de ceste chose est lancelot moult lies et moult ioians. ele nuit furent cil de laiens moult lie 	qui estoit de telle facen Adenc cengneu ie bien  que uostre pere me auoit dit uerite de ceste chose.  Si en fut plus ioieux lancelot 	qui estoit de ceste fason  et par ce sai ge bien  que l̶e̶ m̶a̶u̶o̶i̶t̶ d̶ ur̃es peres mauoit dit uerite de ceste chose.  Et lanc̃ fu mout liez.  et dist 	que me dixo verdad vuestro padre  y desto fue don lançarote muy alegre 	ch’è di questa fazione medesima,  perciò conosch’i? bene  che vostro padre m’avea detto veritàs.  vDi questa cosa fu Lancelotto molto gioioso  più che
					quil ne fust pas si liez		
que qui li donnast la millor cité  que li rois avoit. 	que se len li donnast la meilleur cite.  que li rois artur ait. 	que quil y eust donne la meilleur cite  que le roy ayt. 		que qui lui eust donne la meilleur cite  que le roy Artus eust 	qui li eust done la millor cite del monde 	e dixo porla mejor çiudad  que el Rey artur a no quisiera hauer dexado de sauer esto  que oy se 	se ll’uomo li donasse la miglior città  che l re Artù avesse.
Cele nuit furent cil de laienz moult lié  et firent moult grant joie  et moult furent lié de la venue Lancelot 	CEle nuit firent cil de laienz molt .u. grant ioie grant ioie  et molt furent liez de la uenue lanc̃. 	Celle nuyt furent ceulx de leans trop liez.  et firent moult grant ioye de lauanture a lancelot. 	et moult firent grant ioie  et moult furent lie de la uenue lancelot. 	Celle nuyt furent ceulx de leans moult ioyeulx/  et firent moult grant feste de la uenue lancelot. 	CElui Ior firrent laiens grant Ioie de lanc̃. 	e aquel dia ouieron todos muy gran alegria  conla venida de don lançarote 	Quella notte feciono quelli di là entro molto gran festa  e furono lieti della venuta di Lancelotto. 
et moult estoit la dame engrant de demander  conment Hestor ses filz le faisoit,  car ja avoit passé Il. anz  qu’ele ne l’avoit veu ; 	Et molt estoit la dame en grant de demander  comment hector son filz le fesoit.  Car ia auoit passe .ii. anz.  que ele ne lauoit ueu. 	et moult estoit la dame en grant esmoy de demander  comment hector son filz le faisoit.  Car il auoit passe deux ans  que elle ne lauoit ueu. 	Si estoit la damoisele de laiens moult engrant de sauoir  comment hector sez fils le faisoit.  quar bien auoit passe. ij .  ans  quele ne lauoit ueu. 	Si est la dame en grande pensee  comment Hector son filz le faisoit/  car ia auoit deux ans passez  que elle ne lauoit ueu. 	et mout estoit la dame en grans de sauoir  que hestors ses fis faisoit. 	y la dueña demando nuebas  por su fijo estor adon lançarote que hauia gran tiempo  que no le viera 	E molto era la dama ingrande di domandare  come Astor su' figliuolo il facea,  ch’elli avea due anni passati  ch’ella non l’avea veduto: 
et Lanceloz dist 	Et lanc̃ dit. 	Et lancelot dit 	Et lancelot dist 	Et lancelot dist 	et lanc̃. dit 	y el le dixo 	e Lancelotto le disse 
qu’il n’avoit mie Il. mois 	quil na mie .ii. mois 	quil na pas deux moys 	quil nauoit encore mie passe. ij .  mois 	quil ny auoit pas deux mois 	quil na pas plus de .ii. mois 	señora non a dos meses  que me parti del 	che non avea mica due mesi passati 
qu’il le vit sain et haitié.  Aprés vespres firent mestre les tables et mangierent a joie et a leesce 	que il le uit sainz et hetiez.  Et apres uespres firent metre les tables.  et mengierent a ioie et a liesce: 	quil la ueu sain et haitie.  Apres uespres firent les tables mectre  et mangerent a ioye et a liesce. 	quil lauoit ueu sain et haities. Et tant ont parle ensamble  quil fu pres de uespres.  si font metre lez tables.  et mangierent a grant ioie. 	quil lauoit ueu sain et ioyeulx. Aprez ung pou de temps  quil fut uespre firent mettre les tables/  et repeurent a grant ioye et a grant lyesse/ 	quil le uit sain et haitie. Apres uespres firrent les tables mestre 	y lo dexe sano y alegre y desto ouo ella gran plazer  y luego fueron puestas las mesas  y comieron y folgaron a gran plazer desi 	ch’elli il vide sano e atato. Apresso feciono mettere le tavole  e mangiarono  e a letizia, 
		Quant il fu myt 					
