micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
et conte a cele de Honguefort comment ses ostes s’en estoit alez	et conte a cele de honguefort comment ses ost en est alez	et conte a cele de hongrefort comment sez ostes sen estoit partis de laiens	Et compte a celle de hunguefort comment son hoste sen est alle	et compte a celle de henguesford comment son hoste sen est alle puys demande a ceulx de leans	ansi ala donzella de hongeforte Como su huesped hera ydo	e conta a quella d’Unguelforte come suo oste se n’è andato
puis demande a cels de laiens Bials seignors	et puis demande a ciax de laiens oiez signor	Puis demande a chiaus de laiens Biau seignor	et puis demande a ceulx de leans beaux seigneurs	Beaux seigneurs	e la donzella les pregunto	Poscia domanda a que di là entro Be' signori
quant s’em parti il — Par foi dame font il si tost com il vos en vit aler et dist qu’il revendroit tost — Par foi fet ele gabez nos a Lors demanda cele de Honguefort quels armes il portoit et ele li devise En non Dieu	quant sen ala il Par foi dame si tost com il uous en uit aler et dit quil reuandroit tost par foi signor gabe nos A Et lors demanda cele de honguefort ques armes il a et cele li deuise	et quant se parti il de chaiens Dame ce dient cil si tost comme se il vous en vit aler et dist quil reuenroit tantost par foy fait elle gabe nous a ors demande cele de hongrefort queles armes il portoit	quant party il par foy dame font ilz si tost quil uous en uit aller il dist que il reuendroit tantost Certes fait elle uous uous gabez Lors demande celle de hunguefort quelz armes il portoit et elle luy deuise	quant sen parti il par ma foy si tost que uous feustes partie et dist quil reuendroit tantost par ma foy dist la dame il nous a gabes Lors demande celle de honguesford quelles armes il portoit et elle luy deuise	quando se fue Pordios buena señora luego que vos de aqui partistes Mas dixonos que luego venia Por buena fee dixo ella bien nos a engañado	e quando se ne parti elli Per fé dama dicono elli si tosto come ve ne vide andare e disse che riverebbe tosto — Per fé diss’ella il vorre giàb sAllor domanda quella d'Unguelforte che arme elli portava e la damigella gliel divisa
fet ele je te trovai hui matin a l’entree d’une forest mes il ne portoit mie tel escu com cil que je quier — Bele cosine fet cele de laiens il le puet bien avoir changié	En non dieu fait Se ioe lencontrai hui matin a lantree dune forest mais il ne portoit mie tel escu comme cil que ie quier bele cousine fait cele de Iaiens il le puet bien auoir changie	Et elle li deuise Enon dieu fait elle iou le trouuai hui matin a lentree dune forest mais il ne portoit mie tels armes comme cils que iou quier Bele cousine fait cele as de laiens il lez puet bien auoir cangies	Certes fait elle ie le trouuae huy matin a lentree dune fourest mais il ne portoit pas tel escu comme cil que ie quier Belle cousine fait celle de leans il le puet bien auoir despuis change	Eu nom dieu fait elle ie le trouuay huy matin a lentree de une forest mes il ne portoit mye telles armes come celuy que ie quiers belle cousine fait celle de leans il les peult bien auoir changiez	Que armas traia dixo la donçella de hongeforte e la donçella selas deuiso Pordios dixo ella yo lo falle oy demañana envna floresta mas no traia el tales armas Como aquel que yo ando buscando Buena Parienta dixo la donçella del castillo el las puede auer bien trocado	“Al nome di Dio diss’ella io il trovai ogi mattino all’entrata d’una foresta ma e' non porta mica tale scudo come colui ch’io cheggio —eBella cugina disse quella di là entro elli il potrebbe poscia bene avere cambiato
et je vos di al mien cuidier	puis et ie uos di au mien cuidier	Et iou quit bien a mon escient	et ie cuide bien a mon cuider	et ie cuide bien a mon aduiz	e yo vos digo ami cuidar	e vo dico al mio credere
que ce est cil que vos querez : si vos prie	que cest ciz que uus querez Si uous pri	que che soit cil que vous queres Si vous pri	que cest cil que uous querez si uous pry	que cest celuy que uous queres sy uous prie	Que este es el que bos buscades e Ruego vos	che ciò est quelli cu' voi chiedete Si vi priego
que vos me laissiés o vos aler tant que trové l’aions et lors savrai l’acheison por quoi il laissa mon ostel a tel ore	que uous me laissiez a uos Aler tant que troue laions et lors saurai locoson por coi il a laisier mon ostel a tel eure	que vous me laissies aler aueques vous tant que nous laions trouue Et lors si nous dira locoison pourcoi il a laissie mon ostel en tel maniere	que me lessez aller o uous tant que nous layons trouue Et lors scauray lachoison	que me lessiez aller auecques uous tant que laurens trouue	que me dexedes convos yr fasta Quelo fallemos e sepa la rrazon	che voi mi lasciate con voi andare tanto che trovato l’abiate allora saprò io la cagione per ch’egli à mio ostello lasciato a tale ora
— Il m’est molt bel fet cele de Honguefort	il met mout bel fait cele de hongefort	Il men est bel fait cele de hongrefort	pour quoy il a lesse mon houstel a telle heure Il mest moult bel fait celle de hunguefort	Il mest monlt bel dyt celle de honguesfort	Porque se fue demi castillo ental manera Mucho me Plaze dixo la donzella de ongeforte	— E' me n’è molto bello disse quella d’Unguelforte
que vos i viegniés puis qu’il vos plest	que uous i uangnerez de que il uos plait	que vous y ueignies puis quil vous plaist	que uous y uieguez quant il uous plaist	que uous uiengnies auec moy puis quil uous plaist	Que vengades Pues vos plaze	che vo' vegniate da che vo piace
Ensi remistrent la nuit laiens et al matin	Ainsi remesent laiens la nuit et au matin	Ensi remestrent cele nuit laiens et lendemain	Ainsi demeurent la nuyt leans Et au matin	ainsi demeurent la nuyt leans et au matin	ansi fincaron toda aquella noche enla mañana tanto Como fue de dia se leuantaron	lnsi rimasono la notte là entro e al mattino
si tost com eles ! virent le jor si leverent	si tost comme eles uirent le ior: se leuerent	quant il virent le ior sen alerent	si tost quelles uirent le iour se leuerent	quant ilz uirent le iour		si tosto com'elle vidono il giorno si levarono
et se partirent del chastel et entrerent en la queste de lor chevalier	et se partirent del chastel Si entrent en la quese de lor cheualier	et partirent del castel et entrerent en la queste del cheualier	et se partirent du chastel si entrent en la queste de leur cheualier	si sen partirent du chastel et entrerent en la queste de leur cheualier	e fueronse del castillo enla demanda del buen cauallero Agora dexa el cuento de fablar dellas	e si partirono dal castello si entrarono nella chesta del loro cavaliere
Mais or laisse atant li contes a parler d’eles	mais or laisse li contes a parler atant deles	Mais ore laisse li contes a parler daus	Mais or laisse le compte a parler deulx	Or lessons maintenant le compte de boors		Ma or lascia il conto atanto a parlare di loro
et de Boort	et de behort	et de bohort	et de boort	et des deux dames	e de boores	e di Boordo
et retorne a parler de Lancelot la ou il est entrez en la forest de Sarpenic	et retorne a parler de lancͣ la ou il est entrer en la forest de sarpenic GRant chaut cedit li contes fist le ior	et retorne a parler de lancelot del lac si comme il entra en la forest de la sapine	et retourne a parler de lancelot quant il entra en la fourest de sarponie sicomme le compte a deuise	et retourons a parler de lancelot du lac le quel est entre en la forest de la sapine	e torna A Lançarote Que entro enla floresta Serpentina	e ritorna a parlare di Lancellotto là ov’elli est entrato nella foresta di Sapernic
si com li contes a devise ariers Or dist li contes qu’il fist grant chaut le jor que Lancelos entra en la forest de Sarpenic	que lanc̃ entra en la foret de sarpenic	si comme li contes a deuise Ne dist li contes que trop grant chaut fist celui ior que lancelot fu entres en la forest de la sapine	Cy fine le comte Et parle de lancelot du lac Or dit le conte quil faisoit grant chault le iour que lancelot entra en la fourest de serpeme	Comment lancelot emporta le corps de gallehaut que plusieurs cheualiers gardoient:	Asi como el cuento lo a deuisado Dize el cuento que gran calentura façia el dia que lançarote entro enla floresta mas poreso no finco	si come il conto à divisato Gran caldo ciò dice il conto fece il giorno che Lancellotto entrò nella foresta di Sarpenic
et por ce ne remest il mie qu’il ne chevalchast jusqu’à none; si li avint ensi qu’il n’encontra home ne feme jusqu’al vespre; mais lors sans faille si com il dut issir de forest qui tot le jor li ot duré encontra une damoisele qui molt faisoit grant duel	et por ce ne remest il pas que lanc̃ ne cheuanchast iusques a none Si auint quil nancontra home ne fame iuscau uespre mais lors sans faille Si comme il dut issir de la forest qui tote ior li ot dure Si encontra une damoisele qui mout faissoit grant duel	Et por chou ne remest il mie quil ne cheualchast iusques a nonne Si li auint ensi quil nencontra ne homme ne femme iusques a uespres Mais lors sans faille si comme il dut issir de la forest si encontra vne damoisele qui moult faisoit grant doel	et pour ce ne demoura il pas quil ne cheuauchast iucqua nonne Si luy aduint quil nencontra homme ne femme iucqua uespres mais lors quil deut yssir de la fourest qui tout le iour luy auoit dure il encontra une damoisele qui moult faisoit grant deul	et comment il rescouist la seur de meleagant que len uouloit ardre iiii xx	que el no andubiese todo el dia fasta nona que no encontro ome ni muger mas a hora de visperas sin falta quando queria salir dela floresta que todo el dia le auia durado encontro vna donzella que mucho façia gran duelo	e per ciò e' non rimase passo che non cavalcasse infin qua a nona si gli avenne insi che non incontrò huomo né femina insino a vespero Ma allora sanza fallo si come dovea uscire della foresta che tutto giorno gli avea durata si incontrò elli una damigella che molto facea gran duolo
et chevalchoit I palefroi noir a molt riehe lorain	et cheuauchoit i palefroi noir a mout riche lomin	si cheualchoit vn moult riche palefroy a vn moult cointe lorain	et cheuauchoit ung palefroy noir a moult riche loram	xiiii	e andaua envn palafren morçillo	e cavalcava in uno palafreno nero a molto ricca sambuca
et a molt cointe sele de l'oevre d’Engleterre Il salue la damoisele	et a mout riche cele de lueure dangeterre Il salue la damoisele	et a vne sele dengletere Il salue la damoisele	et a moult cointe sele de lueure de angleterre Il salue la damoisele	Grant chault fist dit le compie le iour	que traia vna muy Rica silla y freno e el saluo la donçella	e a molto bella sella dell’opera d’Inghilterra
et ele lui Damoisele fet il kar me dites s’il vos plest por quoi vos plorés	et ele autresi lui Damoisele fait lanc̃ car me dites ore ce il uos plait	et elle li rent son salut Damoisele fet il sil vous plaisoit iou sauroie volentiers pourcoi vous plores	et elle aussi luy Damoisele fait il or me dictes pour quoy uous plourez	que lancelot fut entre en la sapinoie et pour ce ne demoura il pas quil ne cheuauchast iusques a uespres sans rencentrer homme ne femme Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy	e ella ael donzella dixo lançarote deçidme porque llorades si vos plaze çierto dixo la donçella si yo supiese que me vernia Prouecho enello yo voslo diria muy de grado çierto dixo donçella enmelo deçir no aueredes vos daño si auos pluguiere e vos dezidmelo por conuenençia	e a molto ricco freno uno capelletto foderato di zendado in sua testa per lo caldo E'saluta la damigella ed ella gli rende suo saluto molto cortesemente Damigella disse Lancellotto ch’or mi dite ora perché vo piagnete
— Certes sire fet ele	que uos auez	Sire certes dist elle se iou y	Certes fait elle	Il salue la damoiselle et lui dit	que vos ayude yo a todo mi Poder en todas las cosas que hubieredes menester	— Certo sire diss’ella s’i vi credesse avere pro
se je i' cuidoie avoir preu je le vos diroie — Damage fet il ll’i avrez vos ja se Dieu plest mais dites le moi par covent que	et por coi uus plorez Certes sire fait ele se ie i cuidoie auoir preu ie le uos diroie Damage fait il ni aurez uos ia se dieu plait Mais dites le moi par couant	qui doie auoir aucun preu iou le vous diroie Damage fait il ni aurois vous ia se dieu plaist Dites le moi par tel conuent	si ie y cuidoye auoir preu ie le uous diroye Dommaige fait il ny aurez uous pas si dieu plaist Mais dictes le moy par conuent	Dame dictes moy pour quoy uous plourez sil uous plaist Certes sire se ie y cuidoie auoir prouffit ie uous le diroie Dommage fait il ny aurez uous ia se dieu plaist	e espeçialmente enesta por que vos llorades Ca yo porne enello el mejor Remedio que puede ser	si 'l vo dire' io — Damaggio disse Lancellotto non ci arete vo' già se Dio piace ma ditelme per convento che s’i vo ne posso aiutare o consigliare io vo n’atrò di tutto mio podere
se je vos puis aidier a vos esleecier je vos aiderai a mon pooir — En non Dieu sire fet ele donc le vos dirai je ll est voirs	que ie uos en aiderai a eslaicier a mon paoir ce ie uos en puis aidier En non dieu sire fait ele dont ie uos dirai ge Il est uoirs	que se iou vous puis aidier a esclairier vostre cuer iou le ferai a mon pooir Enon dieu sire fet elle dont le vous dirai iou IL fu voirs	que si ie uous puis aider a uous aider it uous aideray a mon pouoir En nom dieu sire fait elle dont uous diray ie Il est uoir	car se ie uous puis aider ie uous aideray a esclercir uostre cueur a mon pouoir Par dieu sire denc fait elle le uous diray ie Il fut uoir	si es cosa que vos pueda ayudar Enel nombre de dios dixo la donçella pues vos os afincades tanto que vos diga enque manera es	— ll A nome di Dio diss’ella dunque il vo dirò io Egli è vero
que Meleagans li fiz al roi Baldemagu ala a la cort le roi Artu por la roine Genievre conquerre s’il peust; et endementiers fist tant une damoisele	que meleagant li fiz le roi bademagu ala oan a la cort le roi artu Por la roine reconquerre ce il peust et andementiers fist tant une damoisele	que melyagans li fiex au roy baudemagu ala a la cort au roy artu pour la royne genieure conquiere Et endementres fist tant vne damoisele	que meleagant le filz du rop bandemagu alla a la court du roy artus pour conquerre la royne genieure sil eust peu Cependant fist tant une damoisele	que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre En dementiers fist tant une damoiselle	e que cosa es lo porque yo lloro yo voslo dire asi es que fiço tanto vna donçella Que hera hermana de Meliangas	che Meleagante il figliuolo del re Bando di Maguzo andò uguanno alla corte del re Artù per la reina Ginevra conquidere se potesse
qui estoit sa suer qu’ele geta Lancelot d’une tor ou Meleagans l’avoit mis en prison ne sai por quoi	qui estoit suers meleagan: que ele ieta lanc̃ dune tor ou meleagans lauoit mis en prison	qui sa suer estoit que elle geta lancelot de prison dune tour ou il estoit mis : iou ne sai porcoi Ouant elle lot deliure	qui estoit sa seur quelle gecta lancelot du lac dune tour ou meleagant lauoit mis en prison ie ne scay pour quoy	qui sa seur estoit que elle iecta lancelot hors de prison de une tour la ou il lauoit mis	que saco dela prision a lançarote quelo tenia envna torre Meliangas no sabia porque e	eE dimentre fece tanto una damigella ch’era sua serocchia ch’ella gittò Lancellotto di Lac d’una torre ove Meleagante l’avea messo in pregione non so perché
Quant ele l’ot delivré si le tint avec li tant qu’il fu garis kar molt avoit eu mesaise en la prison et puis l’envoia a la cort le roi Artu ou il ocist Meleagan ce savons nos or bien	et puis lenuoia a la cort le roi artu ou il ocit mel̾ ci sauons nos ore bien	si le tint aueques li tant quil fu garis Car moult auoit eu mesaise en la prison Et Io puis quant il fu garis si lenvoia a la cort au roy artu ou il ochist melyagant chou sauons nous bien Mais si tost	Quant elle leut deliure si le tint auecquez luy tant quil fu guery car moult auoit eu mesaise en la prison Et puis lenuoya a la court du roy artus ou il occist meleagant ce scauons nous ores bien	Quant elle leust deliure elle le tint auec elle tant qu il fut gary: et moult y auoit eu mesaise et puis lenuoia a la court du roy artus la ou il occist meleagant	quando el fue libre ella lo tubo en su poder fastaque fue guarido ca mucho auia enpeorado dela prision e des que fue guarido fuese ala corte del Rey Artur e Mato alla a meliangas segund cuido que oystes mas tan ayna	Quand’ella l’ebbe dilivero si l tenne con esso lei non so quanto tanto ch’ella el guari ché molto avea avuto misaggio nella prigione Quand’e fu tornato a guarigione sillo inviò alla corte del re Artù ov’elli uccise Meleagant ciò sapiamo noi ora bene
Mais si tost com li parent sorent qu’ele avoit Lancelot osté de la prison si distrent qu’ele l’avoit fait por Meleagan ocirre;	mais si tost com cil parent sorrent que ele auoit iete lanc̾ de prison; si dirrent que ele lauoit fait por mes ocirre	que si parent le sorent que elle auoit lancelot gete de prison Si distrent que elle lauoit fet pour melyagant ocirre	mais si tost que les parens meleagant sceurent quelle auoit oste lancelot de la prison si distrent quelle lauoit fait pour occire meleagant	mais tantost	como sus parientes lo supieron que ella auia hechado dela prision a lançarote Dixeron quelo auia fecho por amor de Meliangas delo matar e tomaronla afuerça	Ma si tosto come i parenti di Meleagante seppono ch’ella avea tratto di pregione Lancellotto sì dissono ch’ella l’avea fatto per Meleagante uccidere si lla presono a forza
si le pristrent a force et l’acheisonerent de sa mort et distrent que	Si la prissent a force et locoisonent de sa mort et dirent	Si le pristrent a force et locoisonnerent de sa mort Et distrent	Et la prindrent a force et laccuserent de sa mort et distrent	que ses parens sceurent que elle auoit iecte lancelot hors de prison ilz la occuperent de la mort de meleagant et fut dit	e pusieronla en prision e dixeron	e la cagionarono di sua morte
s’ele ne trovoit qui l’en desfendist qu'il feroient de lui justice si grant com l’en doit fere de cele	que cele ne trouoit qui la desfandit quil feroient de li iustice tele com len deuoit faire de fame	que se elle ne trouuast qui len deffendist que on feroit de li autel iustice com on deueroit faire de femme	que selle ne trouuoit qui la dessendist quilz feroient telle iustice de lie que len deuroit faire de femme	que se elle ne trouuoit qui la deffendist que len feroit de elle telle iustice que len deuoit faire de femme	que si no fallare quien la defender de aquesto que farian della grand justiçia Como deuen de fazer de muger	e dissono che s’ella non trovasse chilla difendesse ch’elli farebono giustitia di lei si grande come l’uomo dee fare di femina
qui son frere ocist Et ele dist qu’ele troveroit bien qui la desfendroit: si mist jor d’amener I	qui son frere ocist et ele dist que le troueroit bien qui la desfanderoit Si mist ior damener i	qui son frere auoit ocis Et elle dist quele le trouueroit bien Si mist iour dun cheualier amener auant	qui son frere a occis Et elle dist quelle trouueroit bien qui la defendroit si a mis iour damener auant ung cheualier	qui son frere auoit occis Et elle dit que elle trouueroit bien qui len deffendroit Si lui fut iour determine de trouuer ung cheualier	que asu hermano auia muerto e ella dixo	che suo fratello uccide Ed ella disse ch’ella il troverebbe bene chi ne la difenderebbe sì ànno messo giorno d’a menare uno cavaliere per lei difendere
chevalier por li desfendre si s’est	cheualier por li desfandre Si cest	pour li desfendre Si sen est	pour la deffendre si sest	pour elle deffendre Et elle a depuis	que bien fallaria quien la defendiese	
puis porchaciee en Pluisors liex mais onques ne trova chevalier	puis porchacie en plusors lieus mais onques ne troua cheualier	puis pourchascie en pluisors lieus mais onques ne troua cheualier	puis pourchacee en plusieurs lieux mais oncquez ne trouua cheualier	pour chasse en plusieurs lieux mais oncques ne trouua cheualier	e luego pusieronle dia señalado Parase defender	si se n’è poscia procacciata in più luogora ma unque non trovò ancor cavaliere
qui ses armes en osast prendre contre celui qui apelee l’avoit	qui ses armes en ossast prandre encontre celui qui apelee len auoit	qui sez armes en osast prendre encontre celui qui apelee len auoit	qui armes en osast prendre encontre celuy qui lauoit appellee	qui ses armes osast prendre centre celui qui lauoit appelle	Por cauallero	che sue armi osasse imprendere incontro a colui che apellato l’à
Or si est tant la chose alee	Or si est tant la chose alee	Ore est la chose tant alee	Ores est tant la chose alee	Or est tant la chose allee	e ella ymbio a buscar	IOr si è tanto la cosa andata
que li jors est aterminés a hui ; si n’a trové la pucele nul desfendeor	que li iors fu A termines a hui Si ne trueue la pucele nul desfandeor	que li iors fu atermines a hui si na trouue nul desfendeour	que le iour est termine a huy si na encor trouue la pucele nul deffendeur	que le iour est ennuy termine: si na trouue nul desfendeur	por muchos lugares quien le defendiese mas nunca a podido fallar Cauallero	che 'l giorno est aterminato a oggi si non à ancor trovato la pulcella difenditore
et por ce dient li un	et por ce dient et li un	Et pour chou dient li vn	Et par ce dient les ungs			e perciò dicono gli uni
et li autre qu’ele est atainte del meffet que l’en li met sus : si l’ont jugiee ce m’est vis a ardoir le matin et por ce qu’il m’en membroit or em ploroie je si durement kar certes ele estoit une des plus cortoises damoiseles ! del monde et une des plus vaillans — Or me dites damoisele fet Lancelos et s’ele trovoit demain	et li autre que ele est atainte dou meffait : que len li met sus Si lont iugie ce mest uis le matin a ardoir et por ce quil men menbroit ore ploroie ge si durement Car certes ele est une des plus cortoises damoileles dou monde et une des plus uaillans Or me dites damoisele fait lanc̃ se le trouoit	et li autre quele est atainte del mesfait que on li a mis sus si lont iugiee lal ardoir le matin Et pour chou quil men ramenbroit ore ploroie iou Car elle estoit vne des plus hautes damoiseles del monde et des plus uaillans CAr me dites dont damoisele fait lancelot se elle trouoit demain O	et les autres quelle est atainte du meffait que len luy mect sus si lont iugee si mest aduis a ardoir le matin Et pour ce quil men menbroit ores plouroye ie si fort car elle estoit une des plus uaillans et des plus courtoises damoiseles du monde De celle mesmes matiere dessus dicte Or me dictes damoisele fait lancelot et selle trouuoit demain	et pource lont iugiee a estre arse au matin et cest la cause qui me fait plourer car elle estoit une des plus haultes damoiselles du monde: et des plus uaillantes OR me dictes damoiselle fait lancelot se elle trouuoit demain	que armas quiera tomar contra aquel Cauallero que deste pleito la a Reptado e el Plazo se cumple Mañana ental manera	e gli altri ch’ella è agiunta del misfatto che l’uomo le mette suso Si ll’anno giudicata ciò m’è aviso ad ardere domattina e per ciò che me ne ricordo ora quand’io vo vidi piagnea io si duramente ché certo ella era una delle più belle e delle più cortesi damigelle del mondo e una delle più valentri
qui la deffendist dont ne seroit ele quite del jugement	qui la desfendist dont ne seroit ele quite del iugement	qui le desfendist dont: ne seroit elle quite del iugement	qui la deffendist ne seroit alle pas quicte du iugenent	qui la deffendist ne seroit elle pas quicte du iugement	que si fasta ora de terçia no falla defensor tomaran della	Or mi dite damigella disse Lancellotto s’ella trovasse domane chi ne la difendesse dunque non sarebbe ella cheta del giudicamento
que l’en a fet — Sire	que len li a fait		que lon a fait		luego vengança	che l’uomo l’à fatto
fet ele je ne sai —	sire fait ele ie ne sai	Sire fait elle iou ne sai	Sire fait elle ie ne scay	Sire dit elle ie ne scay	e la vengança sera tal	Sire disse ella i' non sO
Et est ce fet il gaires loing que ele est — Sire	et esse fai il gaires long sire il ni a	Et est chou fait il loing de ci	et est ce fait il gueres loing quelle est	Et esse fait il gaires loingz dicy	que la Quemaran e poresto lloro yo	— Est ciò diss’elli guari lungi dov’ella est
fet ele il n’i a que	que	Sire fait elle il ni a	Sire fait elle il ny a	Sire dit elle il ny a	asi tan fuertemente	— Sire disse ella e' non ci à
VI lieues englesches	ui lieues englesches	que vi lieues englesches	que six lieues anglesches	que six lieues anglesches	porque aquella es vna delas altas donzellas del mundo agora me deçid donçella dixo lançarote	che sei leghe inghilesche
Se vos leviés demain matin vos i seriés ains prime	se uous leuiez demain matin uus i seriez ains tierce	Se vous moues demain matin vous y seres dedens prime	se uous leuiez demain matin uous y seriez auant prime Ou la pourray ie fait il trouuer ou chastel de fleago fait ella	et se uous partiez demain matin uous y seriez demain a prime	si ella fallase tras quien la defendiese seria ella quita del todo señor dixo ella no se	se vo' vi levate domane mattino vo' vi sarete inanzi prima
— Ou le porrai je fet il	Ou la porroie ge fait il trouer	Et ou le porroie iou fait il trouuer		Et ou la pourroie ie fait il trouuer	E es muy lexos de aqui ado ella esta dixo lançarote señor dixo ella no ay mas de aqui alla de seis leguas ynglesas	—E ove la potrò io disse trovare
trover — Al chastel a					e si quisieredes Bien podedes yr alla a ora de Prima Ado la podre fallar dixo lançarote enla floresta de donseglorega dixo la donçella	
fet ele de Floego	Au chastel fait ele de floego	En la forest fait elle de floregas		En la forest de florega:		Al castello diss’ella di Fleego
et cis chemins vos i menra droit se vos le volés tenir — Or vos commant a Dieu damoisele fet il Si s’em part atant et cele s’en vet faisant son duel Et il chevalche tant qu’il vint fors de la forest	et ciz chemins uos i merroit se uos le uoliez tenir Or uos comant a dieu damoisele fait il si sen part et sele sen ua faisant son duel et il cheuauche tant quil uient fors de la forest	Et chis chemins vous y menra tot droit se vous le saues tenir Or vous commanch iou a dieu damoisele fait il si sen torne atant Et cele sen uait faisant son doel Et lancelot cheualche tant que il vint hors de la forest	et ce chemin uous y mennra droit se uous le uoulez tennir Oe uous commande ie a dieu damoisele fait il si sem part atant et elle sen uait faisant son deul Et il cheuauche tant quel uient hors de la fourest	et ce chemin icy uous y menera tout droit se uous le sauez tenir Il se part de la damoiselle et la commande a dieu Et celle sen reua faisant son deul et il cheuauche tant quil uint hors de la forest	e este camino vos lleuara alla si lo supieredes guardar Pues a dios vos encomiendo dixo el e luego se partio el vno del otro e la donçella yua llorando e la donçella yua agora tanto porsu camyno fastaque salio dela floresta	e questo camino vo' vi menerà tutto diritto se voi il volete tenere — Or vo comando a dDio damigella diss’ell Si si parte atanto ed ella se ne va faccendo suo duolo ed e' cavalca tanto che viene fuori della foresta
si vit devant lui une maison de religion	Si uoit deuant lui une maison de religion	si voit deuant lui vne maison de religion	si uoit deuant luy une maison de religion	si uoit deuant lui une maison de religion	e llego avna casa de Religion e el fue alla	si vide davanti lui una magion di riligion
et il torne cele part por herbergier Et quant il i vint	et il torne cele part por herbreger et quant il i est uenus	si torne cele part pour herbergier Et quant il vint la	et il tourne celle part pour herbrega Et quant il y uint	Il tourne celle part pour hebergier Et quant il uint la	por aluergar	Elli torna in quelle parti per albergare e quand’e' vi viene
si trueve a la porte IlII des freres	si trueue a la porte iiii freres	si trouua ij freres	si treuue a la porte quatre des freres	si trouua deux freres	e fallo ala puerta dos frailes	si truova alla porta quatro de' frati di là entro
qui ja avoient chanté complie	qui ia auoient chantee complie	qui auoient cante complie	qui ia auoient chante complies	qui auoient chantee complie:	que auian dicho conpletas	che avieno già cantato compieta
et estoient venu hors al serain;	et estoient uenu au serain	Si estoient venu au serain	et estoient uenuz au serain	et ilz estoient uenus hors au serain	e estauan al ayre	e erano venuti di fuori al sereno
si saillent encontre lui por fere descendre	Si saillent encontre lui por liu dessandre	si saillent sus encontre lui por lui desarmer	si saillent encontre luy pour le descendre	si saillent encontre lui pour le descendre	e ellos fueron contrael porlo ayudar a desçender	S salgono incontro a llui per lui discendere
et dient	Oroient	et dient	et dient	et dient	e dixeron	e dicono
que bien soit il venus;	que bien soit il uenus	que bien soit il venus	que bien soit il uenu	que bien soit il uenu	que vien fuese venido	che bene sia elli venuto
si le font entrer laiens et li demandent s’il a mengié et il dist que nenil et il font erraument mettre la table mais il dist qu’il ne mengera devant qu’il ait esté al mostier lar il n’i entra hui	sire font entrer laiens et li demandent cil a mengue et il dit que nennil et il font erraumet mestre la la table mais il dit quil ne mangera deuant quil ait este en mostier Car il ni entra encor hui	si le font entrer laiens et li demandent sil manga hui Et il dist que nenil Et il font maintenant metre la table a lor sergans et la nape ; et puis le pain et le vin dessus Et il dist quil ne mangera mie deuant ce quil ait este el moustier si y dira sez orisons Car il ni auoit hui este	si le font entrer leans et luy demandent sil a mange et il dit que non Et ilz font erraument mectre la table Mais il dit quil ne mangera deuant ce quel ait este au monstier Car il ny entra huy	aprez lui demandent sil menga huy Il dit que nenny et ilz font incentinent mettre la table le pain et le uin dessus mais il dit qu il ne mengera deuant quil ait este au monstier dire ses oraisons	e Metieronlo enel monesterio e los frailes le dixeron señor auedes oy comido no señores dixo el e luego mandaron ellos quele pusiesen la mesa mas lançarote no quiso luego comer ante dixo	sì 'l fanno entrare là entro e lo domandano s’egli à mangiato ed e' dice che non ed e' fanno isnellamente mettere le tavole ma e' dice che non mangerà davanti ch’egli abbia stato nel mestieri ché non v’entrò tre giorni avea
Lors entre en l’eglise por orer	Lors entre lanceloz en lesglise por orer	Lors sen entre en leglise pour orer	Lors entre en leglise pour orer	car il ny auoit huy este Lors entre en leglise	que entraria enla yglesia por fazer oraçion	Allora entrò nella chiesa per adorare e'n ciò
et en ce qu’il se fu agenoilliés	et en ce quil se fu agenoilliez	Et en ce quil su a genoillons	Et ainsi quil sen fu agenouille	et ainsi quil fut agenoullons	e desque el entro enla yglesia finco los ynojos	che si fu aginocchiato
si regarde a destre	si garde a destre	si regarde deuers destre partie	si regarde a destre	si regarde a dextre partie	e el façiendo oraçion cato asu diestro	si riguarda a destra
et voit unes prones d’argent trop richement fetes a floretes d’or et a oisials et a bestes	si uoit unes prones de fer dargent trop richemet faites et florestes dor et a oisiax et a bestes	et voit j prones de fer et dargent moult bien faites a flor cestes: dor et a bestes	et uoit unes prones dargent trop richement faute a flouretes dor et a oiseaux et a bestes	et uoit unes prones dargent moult bien faictes a florectes dor a bestes	e vio vnos arcos de plata muy Ricamente fechos a flores de oro e a bestias de diuersas maneras	e vide uno intagliamento d’argento troppo riccamente fatto a fioretti d’oro e a uccelli e a bestie
		et a oisiaus de diuerses manieres				
et dedens avoit V chevaliers armés	et dedans auoit u	et dedens auoit v Cheualiers armes de toutes armes		et a oiseaulx de diuerses manieres Dedens auoit cinq cheualiers armez de toutes armes les espees en leurs mains ainsi prestz a deffendre comme se len uoulsist assaillir	e ante ellos estauan çinco caualleros armados de todas armas elos yelmos enlas cabezas	e di dentro avea v cavalieri armati
