	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
357	qui molt faisoit grant duel	qui mout faissoit grant duel. 	qui moult faisoit grant doel. 	qui moult faisoit grant deul 		que mucho façia gran duelo 	che molto facea gran duolo, 
358	et chevalchoit I. palefroi noir a molt riehe lorain 	et cheuauchoit .i. palefroi noir a mout riche lomin 	si cheualchoit vn moult riche palefroy a vn moult cointe lorain 	et cheuauchoit ung palefroy noir a moult riche loram 		e andaua envn palafren morçillo |que traia vna muy Rica silla y freno 	e cavalcava in uno palafreno nero a molto ricca sambuca e a molto bella sella dell’opera d’Inghilterra e a molto ricco freno, uno capelletto foderato di zendado in sua testa per lo caldo. |E'saluta la damigella 
359|360|361|362	et a molt cointe sele de l'oevre d’Engleterre. Il salue la damoisele |et ele lui. « Damoisele, fet il, |kar me dites, |s’il vos plest, 	et a mout riche cele de lueure dangeterre. Il salue la damoisele |et ele autresi lui. Damoisele fait lanc̃ |car me dites ore ce il uos plait 	et a vne sele dengletere Il salue la damoisele |et elle li rent son salut. Damoisele fet il |sil vous plaisoit iou sauroie volentiers 	et a moult cointe sele de lueure de angleterre Il salue la damoisele|et elle aussi luy. Damoisele. fait il or me dictes 	et lui dit. Dame dictes moy |pour quoy uous plourez |sil uous plaist	e el saluo la donçella e ella ael donzella dixo lançarote deçidme |porque llorades |si vos plaze çierto dixo la donçella |si yo supiese 	ed ella gli rende suo saluto molto cortesemente. Damigella, disse Lancellotto, |ch’or mi dite ora 
363|364	por quoi vos plorés. — |Certes, sire, fet ele, 	que uos auez. |et por coi uus plorez. |Certes sire fait ele 	pourcoi vous plores. Sire certes dist elle se iou y 	pour quoy uous plourez. |Certes fait elle 	Certes sire 	que me vernia Prouecho enello |yo voslo diria muy de grado çierto dixo donçella enmelo deçir |no aueredes vos daño |si auos pluguiere 	perché vo piagnete? — |Certo, sire, diss’ella, 
365|366|367|368	se je i' cuidoie avoir preu, je le vos diroie. — Damage, fet il, ll’i avrez vos ja, se Dieu plest, |mais dites le moi par covent |que, |se je vos puis aidier a vos esleecier, je vos aiderai a mon pooir. — En non Dieu, sire, fet ele, 	se ie i cuidoie auoir preu ie le uos diroie. Damage fait il ni aurez uos ia |se dieu plait. |Mais dites le moi par couant |que ie uos en aiderai a eslaicier. a mon paoir 	qui doie auoir aucun preu iou le vous diroie Damage fait il ni aurois vous ia se dieu plaist. Dites le moi par tel conuent |que se iou vous puis aidier a esclairier vostre cuer iou le ferai a mon pooir. Enon dieu sire fet elle	si ie y cuidoye auoir preu ie le uous diroye. |Dommaige fait il ny aurez uous pas |si dieu plaist. |Mais dictes le moy par conuent |que si ie uous puis aider a uous aider. it uous aideray a mon pouoir. |En nom dieu sire fait elle 	se ie y cuidoie auoir prouffit ie uous le diroie. Dommage fait il ny aurez uous ia se dieu plaist. |car se ie uous puis aider ie uous aideray a esclercir uostre cueur a mon pouoir. 	e vos dezidmelo |por conuenençia |que vos ayude yo a todo mi Poder en todas las cosas |que hubieredes menester e espeçialmente enesta 	s’i vi credesse avere pro, |si 'l vo dire' io.— Damaggio, disse Lancellotto, non ci arete vo' già, |se Dio piace, |ma ditelme per convento che, s’i vo ne posso aiutare o consigliare, io vo n’atrò di tutto mio podere. — ll A nome di Dio, diss’ella, 
				dont uous diray ie. Il est uoir 			
369	donc le vos dirai je. ll est voirs que Meleagans, li fiz al roi Baldemagu, ala a la cort le roi Artu por la roine Genievre conquerre, s’il peust; 	ce ie uos en puis aidier. 	dont le vous dirai iou IL fu voirs |que melyagans li fiex au roy baudemagu ala a la cort au roy artu pour la royne genieure conquiere. 	que meleagant le filz du rop bandemagu alla a la court du roy artus |pour conquerre la royne genieure sil eust peu. 	Par dieu sire denc fait elle le uous diray ie. Il fut uoir |que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre. 	por que vos llorades 	dunque il vo dirò io. Egli è vero|che Meleagante, il figliuolo del re Bando di Maguzo, andò uguanno alla corte del re Artù per la reina Ginevra conquidere, se potesse. 
370	et endementiers fist tant une damoisele 	En non dieu sire fait ele 	Et endementres fist tant vne damoisele 	Cependant fist tant une damoisele 	En dementiers fist tant une damoiselle 	Ca yo porne enello el mejor Remedio 	eE dimentre, fece tanto una damigella 
371	qui estoit? sa suer 	dont ie uos dirai ge. Il est uoirs 	qui sa suer estoit. 	qui estoit sa seur 	qui sa seur estoit 	que puede ser 	ch’era sua serocchia 
372|373	qu’ele geta Lancelot d’une tor |ou Meleagans l’avoit mis en prison, ne sai por quoi. 	que meleagant li fiz le roi bademagu ala oan a la cort le roi artu. 	que elle geta lancelot de prison dune tour |ou il estoit mis : iou ne sai porcoi 	quelle gecta lancelot du lac dune tour |ou meleagant lauoit mis en prison ie ne scay |pour quoy	que elle iecta lancelot hors de prison de une tour la |ou il lauoit mis. 	si es cosa que vos pueda ayudar Enel nombre de dios dixo la donçella |pues vos os afincades tanto |que vos diga enque manera es |e que cosa es lo 	ch’ella gittò Lancellotto di Lac d’una torre |ove Meleagante l’avea messo in pregione, non so perché. 
374|375	Quant ele l’ot delivré, |si le tint avec li tant 	Por la roine reconquerre ce il peust. |et andementiers fist tant une damoisele 	Ouant elle lot deliure.|si le tint aueques li. 	Quant elle leut deliure |si le tint auecquez luy 	Quant elle leust deliure elle le tint auec elle 	porque yo lloro |yo voslo dire |asi es que fiço tanto vna donçella 	Quand’ella l’ebbe dilivero, |si l tenne con esso lei non so quanto, tanto 
376	qu’il fu garis, 	qui estoit suers meleagan: 	tant quil fu garis 	tant quil fu guery. 	tant qu il fut gary: 	Que hera hermana de Meliangas |que saco dela prision a lançarote 	ch’ella el guari, 
						quelo tenia envna torre Meliangas no sabia 	
						porque 	
						e quando el fue libre ella lo tubo en su poder 	
377	kar molt avoit eu mesaise en la prison, 	que ele ieta lanc̃ dune tor ou meleagans lauoit mis en prison. 	Car moult auoit eu mesaise en la prison. 	car moult auoit eu mesaise en la prison. 	et moult y auoit eu mesaise. 	fastaque fue guarido |ca mucho auia enpeorado dela prision 	ché molto avea avuto misaggio nella prigione. 
378	et puis l’envoia a la cort le roi Artu 	et puis lenuoia a la cort le roi artu 	Et Io puis quant il fu garis |si lenvoia a la cort au roy artu 	Et puis lenuoya a la court du roy artus 	et puis lenuoia a la court du roy artus la 	e des que fue guarido fuese ala corte del Rey Artur 	Quand’e fu tornato a guarigione, sillo inviò alla corte del re Artù, 
379	ou il ocist Meleagan, ce savons nos or bien. 	ou il ocit .mel̾. |ci sauons nos ore bien. 	ou il ochist melyagant chou sauons nous bien. 	ou il occist meleagant ce scauons nous ores bien. 	ou il occist meleagant. 	e Mato alla a meliangas 	ov’elli uccise Meleagant, ciò sapiamo noi ora
380	Mais si tost com li parent sorent 	mais si tost com cil parent sorrent 	Mais si tost |que si parent le sorent 	mais si tost |que les parens meleagant sceurent 	mais tantost que ses parens sceurent 	segund cuido que oystes mas tan ayna como sus parientes lo supieron 	bene.Ma si tosto come i parenti di Meleagante seppono 
381|382	qu’ele avoit Lancelot osté de la prison, si distrent |qu’ele l’avoit fait por Meleagan ocirre; 	que ele auoit iete lanc̾ de prison; |si dirrent |que ele lauoit fait por mes. ocirre. 	que elle auoit lancelot gete de prison |Si distrent |que elle lauoit fet pour melyagant ocirre 	quelle auoit oste lancelot de la prison si distrent |quelle lauoit fait pour occire meleagant. 	que elle auoit iecte lancelot hors de prison ilz la occuperent de la mort de meleagant. 	que ella auia hechado dela prision a lançarote Dixeron |quelo auia fecho |por amor de Meliangas delo matar 	ch’ella avea tratto di pregione Lancellotto, |sì dissono |ch’ella l’avea fatto per Meleagante uccidere, 
383|384	si le pristrent a force |et l’acheisonerent de sa mort 	Si la prissent a force |et locoisonent de sa mort. 	Si le pristrent a force |et locoisonnerent de sa mort. 	Et la prindrent a force |et laccuserent de sa mort 		e tomaronla afuerça e pusieronla en prision 	si-lla presono a forza |e la cagionarono di sua morte, 
385	et distrent 	et dirent 	Et distrent 	et distrent 	et fut dit 	e dixeron 	e dissono 
386	que, s’ele ne trovoit qui l’en desfendist. 	que cele ne trouoit |qui la desfandit 	que se elle ne trouuast |qui len deffendist 	que selle ne trouuoit |qui la dessendist 	que se elle ne trouuoit |qui la deffendist 	que si no fallare quien la defender de aquesto 	che, s’ella non trovasse chilla difendesse, 
387	qu'il feroient de lui justice si grant com l’en doit fere de cele	quil feroient de li iustice tele com len deuoit faire de fame 	que on feroit de li autel iustice |com on deueroit faire de femme 	quilz feroient telle iustice de lie |que len deuroit faire de femme 	que len feroit de elle telle iustice |que len deuoit faire de femme 	que farian della grand justiçia |Como deuen de fazer de muger 	ch’elli farebono giustitia di lei si grande |come l’uomo dee fare di femina 
388	qui son frere ocist. 	qui son frere ocist. 	qui son frere auoit ocis. 	qui son frere a occis. 	qui son frere auoit occis.	que asu hermano auia muerto 	che suo fratello uccide. 
389	Et ele dist 	et ele dist 	Et elle dist 	Et elle dist 	Et elle dit 	e ella dixo 	Ed ella disse 
390|391	qu’ele troveroit bien |qui la desfendroit: 	que le troueroit bien |qui la desfanderoit. 	quele le trouueroit bien 	quelle trouueroit bien |qui la defendroit 	que elle trouueroit bien |qui len deffendroit. 	que bien fallaria quien la defendiese 	ch’ella il troverebbe bene |chi ne la difenderebbe, 
392	si mist jor d’amener I. chevalier por li desfendre, 	Si mist ior damener .i. cheualier por li desfandre. 	Si mist iour dun cheualier amener auant. |pour li desfendre.	si a mis iour damener auant ung cheualier pour la deffendre. 	Si lui fut iour determine de trouuer ung cheualier |pour elle deffendre. 		sì ànno messo giorno d’a- menare uno cavaliere |per lei difendere, 
393|394	si s’est puis porchaciee en Pluisors liex,|mais onques ne trova chevalier 	Si cest puis porchacie en plusors lieus. |mais onques ne troua cheualier 	Si sen est puis pourchascie en pluisors lieus. |mais onques ne troua cheualier 	si sest puis pourchacee en plusieurs lieux. |mais oncquez ne trouua cheualier 	Et elle a depuis pour chasse en plusieurs lieux |mais oncques ne trouua cheualier 	e luego pusieronle dia señalado Parase defender Por cauallero e ella ymbio a buscar por muchos lugares quien le defendiese mas nunca a podido fallar Cauallero 	si se n’è poscia procacciata in più luogora, |ma unque non trovò ancor cavaliere 
395	qui ses armes en osast prendre contre celui 	qui ses armes en ossast prandre encontre celui 	qui sez armes en osast prendre encontre celui 	qui armes en osast prendre encontre celuy 	qui ses armes osast prendre centre celui 	que armas quiera tomar contra aquel Cauallero 	che sue armi osasse imprendere incontro a colui 
396	qui apelee l’avoit. 	qui apelee len auoit.	qui apelee len auoit. 	qui lauoit appellee. 	qui lauoit appelle. 	que deste pleito la a Reptado 	che apellato l’à. IOr 
397|398	Or si est tant la chose alee |que li jors est aterminés a hui ; 	Or si est tant la chose alee |que li iors fu A termines a hui. 	Ore est la chose |tant alee |que li iors fu atermines a hui. 	Ores est tant la chose alee |que le iour est termine a huy. 	Or est tant la chose allee |que le iour est ennuy termine: 	e el Plazo se cumple Mañana ental manera 	si è tanto la cosa andata |che 'l giorno est aterminato a oggi, 
399|400	si n’a trové la pucele nul desfendeor |et por ce dient li un et li autre 	Si ne trueue la pucele nul desfandeor. |et por ce dient et li un et li autre 	si na trouue nul desfendeour |Et pour chou dient li vn et li autre 	si na encor trouue la pucele nul deffendeur. |Et par ce dient les ungs et les autres 	si na trouue nul desfendeur. 	que si fasta ora de terçia no falla defensor tomaran della luego vengança 	si non à ancor trovato la pulcella difenditore, |e perciò dicono gli uni e gli altri 
401|402	qu’ele est atainte del meffet |que l’en li met sus : 	que ele est atainte dou meffait : |que len li met sus. 	quele est atainte del mesfait |que on li a mis sus. 	quelle est atainte du meffait |que len luy mect sus. 		e la vengança sera tal 	ch’ella è agiunta del misfatto |che l’uomo le mette suso. 
403|404	si l’ont jugiee, |ce m’est vis, a ardoir le matin 	Si lont iugie ce mest uis le matin a ardoir. 	si lont iugiee lal ardoir le matin. 	si lont iugee |si mest aduis a ardoir le matin. 	et pource lont iugiee a estre arse au matin 	que la Quemaran 	Si-ll’anno giudicata, ciò m’è aviso, ad ardere domattina, 
405|406	et por ce qu’il m’en membroit, |or em ploroie je si durement, 	et por ce quil men menbroit ore ploroie ge si durement. 	Et pour chou |quil men ramenbroit ore ploroie iou 	Et pour ce quil men menbroit ores plouroye ie si fort. 	et cest la cause |qui me fait plourer 	e poresto lloro yo asi tan fuertemente 	e per ciò che me ne ricordo, |ora quand’io vo vidi piagnea io si duramente, 
407|408	kar certes ele estoit une des plus cortoises damoiseles ! del monde et une des plus vaillans. — |Or me dites, damoisele, fet Lancelos, 	Car certes ele est une des plus cortoises damoileles dou monde et une des plus uaillans. |Or me dites damoisele fait lanc̃. 	Car elle estoit vne des plus hautes damoiseles del monde et des plus uaillans CAr me dites |dont damoisele fait lancelot. 	car elle estoit une des plus uaillans et des plus courtoises damoiseles du monde De celle mesmes matiere dessus dicte. |Or me dictes damoisele fait lancelot 	car elle estoit une des plus haultes damoiselles du monde: et des plus uaillantes. |OR me dictes damoiselle fait lancelot 	porque aquella es vna delas altas donzellas del mundo agora me deçid donçella dixo lançarote 	ché certo ella era una delle più belle e delle più cortesi damigelle del mondo e una delle più valentri». |Or mi dite, damigella, disse Lancellotto, 
409|410|411|412|413|414	et s’ele trovoit demain |qui la deffendist, |dont ne seroit ele quite del jugement |que l’en a fet ? — Sire, fet ele, je ne sai. — |Et est ce, fet il, gaires loing |que ele est ? — Sire. fet ele, il n’i a que. VI. lieues englesches. 	se le trouoit|qui la desfendist |dont ne seroit ele quite del iugement |que len li a fait. sire fait ele ie ne sai. |et esse fai il gaires long. sire il ni a que .ui. lieues englesches. 	se elle trouoit demain O qui le desfendist |dont: ne seroit elle quite del iugement. Sire fait elle iou ne sai. |Et est chou fait il loing de ci. Sire fait elle il ni a que vi lieues englesches. 	et selle trouuoit demain |qui la deffendist ne seroit alle pas quicte du iugenent |que lon a fait. Sire fait elle ie ne scay. |et est ce fait il gueres loing |quelle est. Sire fait elle il ny a que six lieues anglesches. 	se elle trouuoit demain |qui la deffendist ne seroit elle pas quicte du iugement. Sire dit elle ie ne scay.|Et esse fait il gaires loingz dicy. Sire dit elle il ny a que six lieues anglesches/ 	si ella fallase |tras quien la defendiese |seria ella quita del todo |señor dixo ella no se E es muy lexos de aqui ado ella esta dixo lançarote |señor dixo ella no ay mas de aqui alla de seis leguas ynglesas 	s’ella trovasse domane |chi ne la difendesse, |dunque non sarebbe ella cheta del giudicamento |che l’uomo l’à fatto? - Sire, disse ella, i' non sO. — Est ciò, diss’elli, guari lungi |dov’ella est? — Sire, disse ella, |e' non ci à 
415|416	Se vos leviés demain matin, vos i seriés ains prime. — |Ou le porrai je, fet il, trover ? — Al chastel a, fet ele, de Floego 	se uous leuiez demain matin uus i seriez ains tierce. |Ou la porroie ge fait il trouer. Au chastel fait ele de floego. 	Se vous moues demain matin vous y seres dedens prime |Et ou le porroie iou fait il trouuer. |En la forest fait elle de floregas. 	se uous leuiez demain matin uous y seriez auant prime |Ou la pourray ie fait il trouuer ou chastel de fleago fait ella 	et se uous partiez demain matin uous y seriez demain a prime. |Et|ou la pourroie ie fait il trouuer. En la forest de florega: 	e si quisieredes Bien podedes yr alla a ora de Prima Ado la podre fallar dixo lançarote enla floresta de donseglorega dixo la donçella 	che sei leghe |inghilesche:se vo' vi levate domane mattino vo' vi sarete inanzi prima. |—E ove la potrò io, disse, trovare?-Al castello, diss’ella, di Fleego, 
417	et cis chemins vos i menra droit, 	et ciz chemins uos i merroit 	Et chis chemins vous y menra tot droit 	et ce chemin uous y mennra droit 	et ce chemin icy uous y menera tout droit 	e este camino vos lleuara alla 	e questo camino vo' vi menerà tutto diritto 
418	se vos le volés tenir. — 	se uos le uoliez tenir. 	se vous le saues tenir	se uous le uoulez tennir. 	se uous le sauez tenir. Il se part de la damoiselle 	si lo supieredes guardar 	se voi il volete tenere. — 
419|420	Or vos commant a Dieu, damoisele », fet il. |Si s’em part atant 	Or uos comant a dieu damoisele fait il. |si sen part. 	Or vous commanch iou a dieu damoisele fait il. |si sen torne atant. 	Oe uous commande ie a dieu damoisele fait il. |si sem part atant 	et la commande a dieu. 	Pues a dios vos encomiendo dixo el |e luego se partio el vno del otro 	Or vo comando a dDio, damigella, diss’ell». |Si si parte atanto, 
421	et cele s’en vet faisant son duel. 	et sele sen ua faisant son duel. 	Et cele sen uait faisant son doel. 	et elle sen uait faisant son deul. 	Et celle sen reua faisant son deul. 	e la donçella yua llorando 	ed ella se ne va faccendo suo duolo, 
422|423	Et il chevalche tant |qu’il vint fors de la forest, 	et il cheuauche|tant quil uient fors de la forest. 	Et lancelot cheualche tant que il vint hors de la forest. 	Et il cheuauche tant|quel uient hors de la fourest 	et il cheuauche |tant quil uint hors de la forest 	e la donçella yua agora tanto |porsu camyno |fastaque salio dela floresta 	ed e' cavalca tanto |che viene fuori della foresta, 
424|425	si vit devant lui une maison de religion |et il torne cele part por herbergier.	Si uoit deuant lui une maison de religion. |et il torne cele part por herbreger. 	si voit deuant lui vne maison de religion. |si torne cele part pour herbergier. 	si uoit deuant luy une maison de religion. |et il tourne celle part pour herbrega. 	si uoit deuant lui une maison de religion.Il tourne celle part pour hebergier. 	e llego avna casa de Religion 	si vide davanti lui una magion di riligion. Elli torna in quelle parti per albergare 
426|427	Et quant il i vint, |si trueve a la porte IlII. des freres 	et quant il i est uenus si trueue a la porte iiii freres. 	Et quant il vint la si trouua. ij. freres 	Et quant il y uint si treuue a la porte quatre des freres 	Et quant il uint la si trouua deux freres 	e el fue alla |por aluergar |e fallo ala puerta dos frailes 	e quand’e' vi viene, |si truova alla porta quatro de' frati di là entro 
428	qui ja avoient chanté complie 	qui ia auoient chantee complie 	qui auoient cante complie. 	qui ia auoient chante complies. 	qui auoient chantee complie: 	que auian dicho conpletas 	che avieno già cantato compieta 
429	et estoient venu hors? al serain; 	et estoient uenu au serain. 	Si estoient venu au serain. 	et estoient uenuz au serain. 	et ilz estoient uenus hors au serain 	e estauan al ayre |e ellos fueron contrael 	e erano venuti di fuori al sereno. 
430|431	si saillent encontre lui por fere descendre |et dient 	Si saillent encontre lui por liu dessandre. |Oroient 	si saillent sus encontre lui |por lui desarmer. |et dient 	si saillent encontre luy |pour le descendre |et dient 	si saillent encontre lui |pour le descendre |et dient 	porlo ayudar a desçender e dixeron 	S salgono incontro a-llui |per lui discendere |e dicono 
432|433	que bien soit il venus; |si le font entrer laiens 	que bien soit il uenus. sire font entrer laiens. 	que bien soit il venus. |si le font entrer laiens 	que bien soit il uenu. |si le font entrer leans. 		que vien fuese venido |e Metieronlo enel monesterio 	che bene sia elli venuto; |sì 'l fanno entrare là entro 
434|435	et li demandent s’il a mengié, |et il dist 	et li demandent cil a mengue |et il dit 	et li demandent |sil manga hui.|Et il dist 	et luy demandent |sil a mange |et il dit 	que bien soit il uenu. aprez lui demandent sil menga huy. Il dit 	e los frailes le dixeron señor auedes 	e lo domandano |s’egli à mangiato, |ed e' dice 
436	que nenil, 	que nennil. 	que nenil. 	que non. 	que nenny. 	/ oy comido no señores dixo el 	che non, 
437	et il font erraument mettre la table, 	et il font erraumet mestre la la table. 	Et il font maintenant metre la table a lor sergans et la nape ; |et puis le pain et le vin dessus. 	Et ilz font erraument mectre la table. 	et ilz font incentinent mettre la table le pain|et le uin dessus 	e luego mandaron ellos quele pusiesen la mesa 	ed e' fanno isnellamente mettere le tavole, 
438|439|440|441	mais il dist |qu’il ne mengera devant |qu’il ait esté al mostier, |lar il n’i entra hui. 	mais il dit |quil ne mangera deuant quil ait este en mostier. |Car il ni entra encor hui. 	Et il dist|quil ne mangera mie deuant ce |quil ait este el moustier. |si y dira sez orisons. |Car il ni auoit hui este. 	Mais il dit |quil ne mangera deuant ce quel ait este au monstier. |Car il ny entra huy. 	mais il dit |qu il ne mengera |deuant quil ait este au monstier dire ses oraisons |car il ny auoit huy este 	mas lançarote no quiso luego comer |ante dixo 	ma e' dice |che non mangerà davanti |ch’egli abbia stato nel mestieri, |ché non v’entrò tre giorni avea. 
442	Lors entre en l’eglise. por orer 	Lors entre lanceloz en lesglise por orer 	Lors sen entre en leglise pour orer. 	Lors entre en leglise pour orer 	Lors entre en leglise	que entraria enla yglesia |por fazer oraçion 	Allora entrò nella chiesa per adorare, 
443|444	et en ce qu’il se fu agenoilliés, |si regarde a destre 	et en ce quil se fu agenoilliez |si garde a destre 	Et en ce |quil su a genoillons |si regarde deuers destre partie 	Et ainsi quil sen fu agenouille |si regarde a destre 	et ainsi quil fut agenoullons |si regarde a dextre partie 	e desque el entro enla yglesia finco los ynojos e el façiendo oraçion cato asu diestro 	e'n ciò |che si fu aginocchiato, |si riguarda a destra 
445|446|447	et voit unes prones d’argent trop richement fetes a floretes d’or et a oisials et a bestes, |et dedens avoit V. chevaliers armés, les hialmes es testes, les espees es mains, |ausi apresté de deffendre 	si uoit unes prones de fer dargent trop richemet faites et florestes dor. et a oisiax et a bestes. |et dedans auoit u.. cheualiers tous armes les hiaumes laciez les espees es mains ausi aprestes de desfandre: 	et voit. j. prones de fer et dargent moult bien faites a flor cestes: dor et a bestes et a oisiaus de diuerses manieres et dedens auoit. v. Cheualiers armes de toutes armes |si com de heaumes en testes et despees es mains |et aussi pres de euls desfendre	et uoit unes prones dargent trop richement faute a flouretes dor et a oiseaux et a bestes. |et dedans auoit cincq cheualiers armez ses heaumes es testes les espees es mains |aussi aprestez de deffendre 	et uoit unes prones dargent moult bien faictes a florectes dor a bestes et a oiseaulx de diuerses manieres Dedens auoit cinq cheualiers armez de toutes armes les espees en leurs mains |ainsi prestz a deffendre 	e vio vnos arcos de plata muy Ricamente fechos a flores de oro |e a bestias de diuersas maneras |e ante ellos estauan çinco caualleros armados de todas armas elos yelmos enlas cabezas |e las espadas enlas manos |como si quisiesen defender de algunos 	e vide uno intagliamento d’argento troppo riccamente fatto a fioretti d’oro e a uccelli e a bestie, |e di dentro avea v. cavalieri armati.? Elli isguarda lo ntagliamento, che troppo est ricco, molto lungamente, |si vide |ch’e cavalieri avieno gli elmi in testa, le spade in mano, altresi aprestati d’asalire 
448	que se l’en les volsist asaillir. De ce se merveilla molt Lancelos ; 	comme se len les uosist asaillir. |Si se meruilla mout lanc̃. 	que se on les volsist assaillir. |Ne chou sesmerueille moult lancelot. 	commen se len les uoulsist assaillir . De ce se merueille moult lancelot. 	comme se len uoulsist assaillir. De ce se merueille lancelot 	quelos quisiesen acometer |Desto se marauillo mucho lançarote 	come se l’uomo gli dovesse manomettere. api ciò si maraviglia molto Lancellotto, 
449|450	si se drece erraument et vet cele part, |si salue les chevaliers 	si se dresce erraument. |et ua cele part |et salue les cheualiers. 	et se drece em pies |si vait cele part |et salue lez cheualiers. 	si se drece erranment |et uait celle part |si salue les cheualiers. 	si se dresse sur piez |et ua celle part |et salue les cheualiers. 	e fue alla contraellos e ellos le dixeron señor bien seades venido 	si diriza isnellamente|e va in quelle parti, |si saluta i cavalieri, 
451|452	et il dient |que bien soit il venus. 	et il dient|que bien soit il uenus . 	Et il li dient |que bien soit il venus. 	et ilz dient |que bien soit il uenu. 	Et ilz dient |que bien soit il uenu. 	e el les rrindio sus saludes 	e dicono |che ben sia elli venuto. 
453|454|455	Et il entre dedens les prones par un petit huisselet a |et esgarde les prones|qui tant sont riches 	et il entre dedens les prones par .i. petit usselet. |et esgarde les prones |qui tant sont riches 	Et lancelot entre dedens les prones |qui tant sont beles et riches. 	Et il entre parmy ung petit huisset dedans les proues. |Et regarde les prones |qui sont tant riches 	et lancelot entre dedens les prones par ung petit huysset |et regarde les prones |qui tant sont belles et riches 	e lançarote cato vn poco los arcos |Porque heran muy Ricos e muy fermosos 	Ed elli entra di dentro el chiuso, |ov'era lo nta. elli ella glio, per un piccolo uscio di ferro, |e guarda lo ntaglio |che tanto est ricco 
			Et regarde lez prones 				
456	qu’il ne cuide pas 	quil ne cuide pas 	quil ne quide pas 	que il ne cuide pas 	quil ne cuide pas 	que vien cuidaua 	che non crede passo 
457	que nus rois les peust esligier; 	que uus rois les poist eligier. 	que vns roys lez peust esligier.	que ung roy les peust esliger. 	que ung roy les peust esligier. 	Que vn Rey No los podia tales façer 	che nullo re il potesse fare fare, 
458	puis voit delés les chevaliers une tombe, la plus riche 	et puis uoit deles les cheualiers une tonbe la plus riche 	Et voit deles lez cheualiers vne tombe la plus riche 	Et puis uoit de la les cheualiers une tombe la plus riche 	et uoit delez les cheualiers une tombe la plus riche 	e el asi Catando vio dentro enlos arcos vna muy Rica tumba 	e vide dallato il cavaliere una tomba, la più ricca 
459	qui onques fust fete par home, kar ele ert tote d’or fin a chieres pierres precioses 	qui onques fust ueue. par home . |Car ele ert tote dor fin a pierres precieusez 	que onques fust ueue de nul cheualier |Car elle estoit toute de fin or a pierres precieuses 	qui oncquez fust ueue par hom̃e. |car elle estoit toute dor fin a pierres precieuses	que encques feust ueue de nul homme: |car elle estoit de fin or a pierres precieuses 	qual nunca tal viera el ni ome del mundo que hera toda de oro fino e de piedras preçiosas 	ch’unque fosse veduta per huomo, |ch’ell’era tutto d’oro fine a pietre pretiose 
460|461	qui molt valoient miels d’un grant roialme. |Se la tumbe fu de grant bialté, nient ne monte la bialtés envers la richece 	qui plus ualoient dun roiamne. |et dee la conbe fu de grant biaute. |Noiant monte a la richesce 	qui valoient. j. grant royalme. |Et se la tombe estoit de grant biaute. noient fu de la grant rikece 	qui plus ualoient dung grant royaume De la tombe fu de grant beaute riens ne monte la biaute enuers la richece 	qui plus ualloient que ung grant royaume. |Et se la tombe fut de grant beaute/ |ce nestoit riens enuers la grant richesse: 	que estaua toda labrada de diuersas maneras |e de muy muchas cosas de figuras e de otras cosas |que tal tumba de tal manera nunca viera ni ome del mundo |que la non ouiese visto no podria asmar la fermosura 	che più valieno d’uno gran |reame.Se-lla tomba fu di gran biltà, niente fu della biltà inverso la riccheza 
462|463	dont ele estoit |et avec ce estoit ele la greignor 	dont ele estoit. |et auec ce estoit ele la grignors 	dont elle estoit. |Et auec tout chou estoit elle la plus grande 	dont elle estoit. |et auec ce estoit elle sa plus grant 	et auec ce estoit elle la greigneure 	que enella auia de tales cosas 	dond’ella era piena e Pntorniata, |e con esso ciò era ella la magiore 
464|465	que Lancelos eust onques veue : |si se merveille molt 	que lanc̃. ueist onques. |Si se merueille mout 	quil eust ao onques mais veue. |Si sen est trop merueillies 	que lancelot eut oncquez ueue |si se merueille moult 	qu il uist encques. |si est moult esmerueillie 	como enella estauan e don lançarote se marauillo 	che Lancellotto avesse unque veduta.Molto lungamente riguarda Lancellotto la tomba |che troppo gli sembia oltragiosamente piena di gran riccheza, |si sarebbe a suo aviso al re Artù, 
466	qui puet estre li princes 	qui pot estre li princes 	qui li princes pooit estre 	qui puet estre le prince 	qui pouoit estre le prince 	e dixo entresi mesmo Quien podria ser el prinçipe 	e molto si maraviglia chio può essere el principe |che di dentro fu messo. 
467	qui dedens fu mis. Il demande as chevaliers 	qui dedens fu mis. |si demande as cheualiers 	qui illueques estoit mis |Et il demande as cheualiers 	qui dedans fu mis Il demande es cheualiers 	qui fut illec mis. |Et il demande aux cheualiers 	que enella yaçia |e lançarote pregunto alos caualleros 	Quand’egli à molto isguardato, |si domanda e cavalieri 
468	qui sont iluec. « Sire, font il, nos gardons le cors 	que il font illuec. Sire font il nos garoons le cors 	que il font illueques. Sire font il nous gardons le cors 	quilz font ilecquez. Sire font ilz nous gardons le corps 	qui illec sont de quoy ilz seruent. Sire nous gardons le corps 	e dixo señores |que estades aqui façiendo señor dixeron los caualleros nos guardamos el cuerpo 	che fanno nel luogo. Sire, dicono elli, noi guardiamo il corpo 
469	qui en ceste tumbe est. 	qui est dedens ceste tonbe 	qui chi gist en ceste tombe 	qui est en ceste tombe 	qui gist dedens ceste tombe 	que yaze enesta tumba 	che in questa tomba giace 
