,micha_iv-75.txt,inc-iv-75.txt,lanzarote-iv-75.txt,sommer_tome_5_iv-75.txt,lancellotto-iv-75.txt
2069|2070,et crioit Lasse mes freres|Si la monte devant sor son cheval,Sy la mente deuant soy sur son cheual,e Rascauase,& disoit assel mes freres|Si le monte li cheualiers par deuant lui sor son cheual,Allor mise ciascheduno i piè a terra|e trassono le selle a llor cavalli
2071,et s en torne a tout li tout le chemin qu il estoient venu,et sen retourne par le chemin quil estoit uenu|QUant la pucelle,,si senretorne a tout li tout le chemin quil estoit venus,e l freno|e lloro lasciarono pascere de l erba per me' l bosco
,,,,,e abatterono lor ventaglia per ricogliere il vento
2072,Quant la damoisele s an voit ainsi mener maugré suen,si uoit|que celluy la maine ainsi maulgre elle,,A tarnt la damoisele sen voit ensi mener del cheualier,si si coricaro di sotto l ombra d un pome|E Lancelotto non avea unque la notte dormito ché troppo avea fatto gran caldo
2073,si commance a crier Sainte Marie aide,si commence a crier saincte marie aide,e dezia ay sancta maria,si commence a crier sainte marie aide,si gli avenne|ch elli s indormi acciò
2074,et fet,Si fait,,et fait,ch elli trovò la fredura de l erba|e l dolzore del vento
2075,si tres grant duel,si grant deul,,si tres grant duel,;|e Lyon veghiò
2076|2077,que nus ne le veist|qui pitié n en eust,que nul ne la ueist|qui pitie nen eust,que muertos son mis hermanos y,que nus ne le ueist|qui nen peust auoir pitie,che non avea passo talento di dormire
2078|2079,Einsinc s en vait li chevaliers|et enmoinne cele,,entonçes la tomo el Cauallero y pusola antesi enel cauallo y fuese conella,Ensi sen vait li cheualiers|qui enmaine cele,;
2080,qui ne fine de plourer,,por do viniera,qui pleure durement,e non dimora guari
2081,et de duel faire,,e quando ella,& ne fine de duel faire,che vide venire tutto il gran camino battuto alquanto lungi di lui due cavalieri armati|che menavano con esso loro una damigella
2082,Et quant Lion voit qu il s em part en tel manniere,Et quant lyonnel uoit|que le cheualier sen part en telle maniere,,Et quant lyoniaus voit|que cil sen part en tel maniere :,e andavano gran gioia faccendo|si riguardarono di dietro loro
2083|2084,si dist|que or a il trop atandu,si dist|que ores a il trop attendu,ansi se vido lleuar,si dist|que trop a il ore soffert,e tanto|che l un di lor disse
2085|2086|2087,quant il en voit einsi la damoisele mener;|si ne l an volt pas einsi laissier aler ne esveillier Lancelot|car il a paor,si ne le ueult pas ainsi laisser aller|et si ne ose lan,Por fuerça dezia sancta maria baledme|e fazia gran duelo y non habia ome enel mundo quelo viese,quant il en voit ensi enmener la damoisele|ne|si ne veult mie esueillier lancelot|Car il a paour quil ne ne le tenist a couardise,e vide apresso costoro venire un cavaliere armato sopra un destrieri nero|; “ma l cavaliere era magior di corpo|e di membra
,,esueillier pour ce quil ne le tenist pour couart:,,,
2088|2089,que il nel tiengne a couart ne il ne doutoit rien autant comme lui|Quant Lion est armez au mielz qu il puet,et riens ne doubtoit autant comme lui QUant lyonnel est arme au mieulx qu il peut,que non hubiese dello duelo Como el gran cauallero lleuo antesi a Leonel enel Cauallo aunque no quiso,Ne il ne doutoit nulle riens autant comme lui|Lors sarme,che Lion non vide unque mai
2090|2091|2092,et il est montez en cheval|si prant son escu|et sa lance,si monte sur son cheual|et prent son escu|et sa lance,Ansi lleuo el gran cauallero ala donzella segund,& puis est montes sor son cheual|& prent son escu|& son glaiue,:si rasembiava in su' venire folgore
2093|2094,et laisse Lancelot dormant a|et s an torne aprés le chevalier quanque li chevaux puet aler:,si laisse lancelot dormant|et sen tourne apres le cheualier,que auedes oydo y lionel quelo vido todo ouo gran pesar y non quiso despertar a don lançarote,& sen vait apres le cheualier|quanque li cheuaus puet aler,che discendesse del cielo
2095|2096,si l aconsuit a l avaler d un tertre|Et quant il est pres se li escrie qu il est morz,Si la consuit a laualler dun tertre|Et quant il est pres|si lui escrie quil est mort,porque lo non tubiese,si le consieut a laualer dun tertre|Et quant il est pres de lui|si eserie quil est mors,sol “E l un di loro li volge lo scudo per giostrare
2097|2098,Et cil le resgarde|et voit,Et celui le regarde|et uoit,por cobarde y enlaço su yelmo y enfreno su cauallo y Caualgo y tomo su escudo y su lança y fuese enpos del cauallero,Et cil le regarde|& voit,e quelli il fiede
2099|2100,que joster le covient;|si met jus la damoisele,que iouster le conuient|si met ius la damoiselle,quanto el cauallo lo pudo lleuar y tanto andubo quelo alcanço al pie devn otero,que iouster li conuient|Si met ius la damoisele,si che li mette la lancia per me l corpo
2101|2102|2103,et sache l espee|et met l escu devant soi|et ganchist le cheval au chevalier,et met lescu deuant son pis|puis tire son espee,e dixo cauallero poned la donzella en tierra y,& trait lespee|& met lescu deuant soi|& guenchist le cheual vers le cheualier,e l abatte lui|e l cavallo a tterra
2104|2105,Et cil li vient acourant|et le fiert,et lyonnel uient a lui courant|et le fiert,quando lo vio el gran cauallero puso la donzella en tierra y torno ael y lionel lo firio de toda su fuerça quele falso el escudo y la loriga,& lyoniaus li vient acorant|& le fiert,e ricorre a l altro|che no l osa attendere anzi|si torna fuggendo
2106,si que par mi l escu,si durement parmi lescu,,si que parmi lescu,mE elli il viene ategnendo per di dietro
2107|2108|2109,et par mi l auberc li met le glaive sanz plus de mal faire|Et cil l ataint sor le hiaume|et li donne tel cop de l espee qu il le fant a destre partie:,et le haubert qu il lui met le glaiue sans plus mal faire|Et celui lactaint sur le heaume|si lui denne tel coup quil lui fent tout a destre partie,que otro mal no le fizo y el cauallero mirandole dio tan gran espadada Porçima del yelmo|que todo,& parmi le hauberc li met la glaiue|sans plus de mal faire|Et cil li doune tel cop de lespee sour son heaume quil li fent a destre partie,e ebbe alzata la spada per fedirlo|e quando que' vide venire il colpo
2110|2111,si l eust occis sanz falile mes l espee li torna en la main|et li cox fu granz,Si leust occis sans faulte|mais lespee lui tourna en la main:|et le coup fut,quanto alcanço lo derriuo atierra y el golpe fue detan gran fuerça,Si leust l ocis sanz faille|mais lespee li tourna en la main|Et li cops fu grans,si à paura
2112,et de force feruz;,si grant,,& de force ferus,si si lascia cadere a tterra
2113|2114,si fu Lions|si estordiz qu il chiet a la terre touz pasmez,que lyonnel cheut a terre tout estendu,que leonel cayo en tierra amortesçido y el cauallero fizo ala dueña caualgar enel cauallo de lionel mal desu grado y el cauallero tomo a lionel antesi atreuesado enel Cuello del Cauallo y,Si en fu lyoniaus|si estordis quil chai a terre tous pasmes,che su' colpo non può ritenere fiede ne l arcione dinanzi
,,et se pasma de langoisse quil sentist,,,
2115|2116|2117,Et li chevalier remet l espee el fuerre|et fait la damoisele monter el cheval Lion ou ele volsist ou non|Si le contredist ele assez,Et le cheualier remist lespee au fourreau|et fist monter la damoiselle sur le cheual de lyonnel: uoulsist ou non:,ansi lleuo al gran cauallero a lionel y ala dueña Mas el Cuento dexa de fablar agora dellos y de don lanzarote,Et li cheualiers remist lespee el fuerre|& fait la damoisele remonter sour le cheual lvonel ou elle uolsist ou non|Si le contredist elle asses,si che colpa il cavallo sopra il cavaliere
2118,mais toutes voies li couvint il a fere,,,mais toutes voies li conuient il faire a force,
2119|2120,et il s abaisse vers terre|et prant Lion par les espaules tout ainsi com il estoit armez,puis se abessa uers terre|et print lyonnel ainsi arme comment il estoit,que yazia durmiendo so el mançano y quenta de estor de mares Agora dexa el quento de fablar dellos y de don Lançarote y torna a estor de mares Agora quenta la historia,Lors sabaisse uers terre|& prent lyonel pai Io lez espaulles tout ensi armes comme il estoit,che si fu lasciato cadere
2121|2122|2123,et le trousse devant lui|et l amporte|et anmoinne la damoisele en tel manniere,et le trousse deuant lui|et lemporte|et emmaine la damoiselle en telle maniere,que quando estor se partio de tegidel|do mato a motigran el grande y libro ala dueña,& le torse par deuant lui sour larchon de sa sele|Et lenporte en tel maniere,
2124,Si se test ore atant li contes de lui,Si se taist atant le compte de lui,,Si se taist ore li contes a parler de lui,
,,,,& de lyonel,
2125|2126|2127,et retorne a Hestor des Mares|Or dit li contes|que quant Hestor se fu partiz de Ragidel le chastel,et retourne a hector des mares Comme hector des mares se partist du chasteau de radigel|quant il eust marigart occis|et uint deuant le chasteau de terriquen:|et fut par terriquant conquis|et mis en prison auecques plusieurs autres|OR dit le compte|que quant hector fut parti de radigel le chasteau ou il auoit conquis marigart le roux,que estaua enla Cueba,& retorne a parler de hector des mares OR dist li contes|que quant hectors se fu partis de radigel le castel il ot marigart: le rous ocis,
2128,et il ot la damoisele delivree des lion,et la damoiselle deliuree des lyons,do la guardauan dos leones,Et il ot la damoisele deliuree dez|ij K yons,
2129|2130|2131|2132|2133,qui cousine germaine Lancelot estoit|que il chevaucha touz seus einsi comme aventure le portoit|et|tant que il vint en la forest|que l en apeloit Terique,qui cousine germaine estoit a lancelot qu il cheuaucha tout seul ainsi|que auanture le portoit tant qu il uint en la forest|que len appelloit terriquen,que andubo tanto|por sus auenturas|que vn dia llego aquella floresta,qui estoit cousine germaine a lancelot|quil cheualcha tous seuls ensi comme auenture le menoit|tant que il vint en la forest|que on apeloit terique,
2134|2135|2136|2137,et ce fu endroit none|Lors encontra I|damoisele montee sor I|palefroi,et se fut uers nonne: lors encontra une damoiselle montee sur ung pallefroy laquelle faisoit trop merueilleux deul,do fuera lleuado lionel|que hauia nombre la floresta carrian y fallo vna donzella,Et ce fu endroit nonne|Et lors encontra vne damoisele montee sor|j|palefroy,viPoscia viene alla damigella
2138|2139,qui faisoit mervilleux duel|Il la salue,Il la salue:,que fazia muy gran duelo y preguntola,qui faisoit merueillous duel|Il le salue,che facea troppo gran duolo
2140|2141|2142|2143|2144,et ele lui ausi|Damoisele fait il|car me dites|por quoi vos plourez|— Sire fait ele,et elle lui aussi|Damoiselle fist il or me dictes pour quoy uous plourez Sire fist elle pour ung des meilleurs cheualiers du mende|que iay maintenant ueu mener trop uillainement a ung des plus desloiaulx cheualiers du mende|Cest fist elle le pire de tous|Damoiselle par la foy,porque lloraua señor dixo ella porvno delos mejores caualleros del mundo|que vi llebar agora avno delos,& elle lui ausslsi|Damoisele fet ill|quar me dites pourcoi vous plores : Sire fait elle iou pleur,e gridava Lassa miei fratelli son mortil
2145|2146,por I|des bons chevaliers del monde —,que uous me deuez,mas desleales Caualleros del mundo,por vn dez meillors cheualiers del monde,
2147|2148,Et qui est cil bons chevaliers|? fait il,qui est ce bon cheualier,que vi lleuar agora y quien es dixo estor señor dixo ella alos quarringuan el señor de aquella torre,que iai orendroit ueu mener trop laidement al plus desloial cheualier|qui soit en cest siecle|Damoisele fet hector,
2149|2150|2151,— Ce est fait ele Lion le cousin Lancelot|que uns des plus desleaux chevalier del monde l anmainne e|—,Sire fist elle cest lyennel le cousin de monseigneur lancelot du lac,e mostrosela,qui est cils bons cheualiers Sire fet elle ce est lyoniaus li cousins germains lancelot,eEd
2152,Et qui est fait il cil desleaux chevaliers,Qui est fist il ce desloial cheualier,,Et qui est cils desloiaus cheualiers fet il,
,,,,qui lenmaine,
2153|2154|2155|2156|2157|2158|2159,? — Ce est fait ele Tericam li sires de cel tertre|qui l aporta orandroit sor son cheval ne sai dont|et le fist despoillier devant moi tout nu en braies|et le fist tant batre a ses sergenz de poingnans espines qu il m an souvandra a touz les jorz de ma vie;|et aprés le fist geter en sa prison|si com j ai veu:|si en ai,Cest fist elle terriquen le seigneur de ce tertre lassus|qui le apporta orendroit dessus son cheual|mais ie ne scay dont:|et le fist despouillier en sa chemise deuant moy|et le fist tant batre par ses sergans despines poingnans quil men souuendra tous les iours de ma uie|et ap̃s le fist iecter en sa prison comme iay ueu|Si en ay,que hera çerca dende y lleuolo dixo ella atrauesado enel Cuello de su Cauallo y a nombre lionel y es primo Cormano de don lançarote y agora desque llego ala torre fizolo desarmar|e desnudar en paños menores estando yo ay delante y fizolo ferir muy mal convnas baras y|porque lo vi yo,Che est fait elle tericans li sires de cel tertre|qui le porte sor le col de son cheual|ne sai|dont il laporte|Et le fist despoillier deuant moi tout en braies|& puis le fist tant batre a sez sergans de poignans espines|que il lene souendra tous lez iours de sa vie|et apres le fist geter en sa prison|si comme iai ueu|si en ai,e la monta davanti a ssé sopra su' cavallo|si se ne torna con tutta la damigella il ll gran camino|ch egli era venuto
2160,si grant pitié,si grant pttie,,si grant pitie,
2161,que je ne m en,que ie ne men,,que iou ne men,
2162|2163,puis tenir de plourer|— Or me dites damoisele fait Hestor,puis tenir de plourer OR me dictes damoiselle se ie alloie celle part a quelles enseignes cengnoistroie ie le cheualier,asi estar fago yo este duelo donzella dixo estor,puis tenir de plorer Or me dites damoisele fait hector,si comincia a gridare
2164,et se je cele part aloie a quelz enseingnes connoistroie je le chevalier,,si yo fuese y,et se iou cele part aloie|a quels enseignes connistroie iou le cheualier,
2165|2166|2167|2168,que vos dites|? — De l aler|fait ele ne vos entremetez vos ja par mon lox|car il vos occirroit s il vos pooit tenir,que uous dictes|De y aller dit elle ne uous entremectez ia par mon conseil|car il uous occiroit sil uous pouoit tenir,como lo podria conoçer|por dios amigo dixo ella dios vos guarde de yr alla,que vous me dites|De la aler fait cele ne vous entremetes vous ia par mon los|quar il vous ocirroit sil vous pooit tenir,Santa Maria aiutab
2169|2170,Et neporquant l an le puet bien connoistre a ce qu il est li greingnors chevaliers dou monde|et porte unes armes noires,et a ce le peut on bien cengnoistre|car il est le greigneur cheualier du monde:|et porte unes armes noires,ca creed,Et neporquant on le puet bien connoistre a ce quiest li graindres cheualiers del monde|& porte vnes armes noires,
2171|2172,— Or vos commant fait il a Deu|que n an quier plus oïr parler,Or uous commande ie a dieu damoiselle|car ie nen|puis plus ouir,que si alla ydes,Or vous commanch iou a dieu fet hector|quant iou nen|puis plus sauoir,
2173|2174,Et cele s am part maintenant|et il chevauche cele part ou ele li ot enseignié;,Et celle sen part incontinent|et hector cheuauche celle part ou elle lui auoit enseignie,que el vos matara,Elle sen part maintenant|Et hectors cheuauche cele part ou cele li ot enseignie,
2175|2176|2177,si a tant alé qu il vint au tertre|Et lors trouva une tor haute|et fort,Si alla tant quil uint au tertre|et lors trouua une tour haulte|et forte:,que el es|mas fuerte y,Si a tant ale quil vint el tertre|& y troua vne tor,e fa
2178,qui estoit close put entour de bons murs,et close tout entour de bons murs,mas gran cauallero,qui estoit close de bons murs tot entour,
2179|2180,et de hauz|et devant la porte a mains d unne archiee avoit une fontainne,et haulx|Deuant la porte a mains de une archiee auoit une fontaine,que yo sepa y anda envn cauallo morçillo y tiene vnas armas negras y,& de haus|Et par dehors la porte a mains dune archie auoit vne fontaine,
2181|2182|2183,qui sordoit pa tuel d argent|et chaoit en I|perron de marbre,qui sourdoit par ung tueau dargent:|et cheoit en ung perron de marbre,quando estor aquello oyo non quiso|mas tardar y partiose,qui sourgoit par|i|tuiel dargent|qui cheoit sour vn perron de marbre,
2184|2185|2186|2187,et del perron aloit en J|vaissel de plom|et pooit estre ausi granz com I|tonne,et du perron alloit en ung uaisseau de plomb:|et pouoit estre aussi grant comme ung tenneau,luego dela donzella y fuese contra alla|do la donzella le mostro y andando llego ala torre del cauallero|que la donzella le mostrara y era muy fuerte y ante el estaua vna fuente,Et du perron aloit en|vaissel de plom|si pooit bien estre aussi grant comme vne tonne,
2188|2189,Delez la fontainne avoit III|pins l un delez l autre,Emprez la fontaine auoit trois pins lun empres lautre:,que salia porvn Caño de plata y caya el agua en vna piedra,Nles la fontaine auoit trois pins|et estoient li vns les lautre,
2190,qui erent,et estoient,que hera,et Destoient,
2191|2192,si grant|et si haut,si grans,como pila de marmor y el agua,si grant|et si haut,si trasgran duolo
2193,que des branches,que des fueilles,,que des branches,
2194|2195,et des foilles estoit toute la fontainne couverte ;|si pandoient par mi les guiches dusqu a XL,et des branches estoit la fentaine toute couuerte|Si y pendoient par les guiges plus de xlu,que dende salia caia envna tina de cobre tamaña,& des fuelles estoit la fontaine toute couerte|Si y pendoient par lez guiches|lx,
,,glaiues,,,
,,et plus de xlu,,,
2196|2197,escuz|et LX,escus|et bien xlu,como vn tonel y çerca desta pila estauan tres pinos,escus &|Ix,
2198|2199|2200|2201|2202|2203,hiaumes|et LX|espees|Il resgarde les hiaumes|et les escuz|et les espees,heaumes|et xlu espees|Il regarde les heaumes les escus|et les espees,que toda la Cubrian y estor vido estar colgados delos pinos quarenta escudos y otros tantos yelmos y otras tantas espadas y|quando estor esto uio marauillose mucho y paro mientes alos escudos y vidolos escudos de sagramor el derranchador|e de agra ual,heaumes|&|lx|espees|il regartdel lez escus|& lez heaumes|& les espees,che nullo non la vedesse
2204|2205,et se merveille|por quoi l an les i a mises,et se merueille pour quoy len les y a mis,e de don quia el mayordomo,et sest moult esmeruellies porcoi on les y auoit mises,che piatà non avesse
2206,puis resgarde les essarz a,puis regarde les escus,,puis regarde lez escus,
2207,et voit l escu Agloval,si uoit lescu de agloual,,Si y connoist lescu agloual,
2208,et l escu Saigremor le Desreé,et lescu de sagremor le desree,,& lescu saigremor le desree,
2209,et le Keu le senechal,et celui de keux le seneschal,,& lescu keu le senescal,e ne mena colei
2210,et le Gocenain d Estranglot,et celui de gossentin destrangot:,e de gasconais destrangat,& le Gosenain destrangort,
2211,et le Brandeliz mes des autres ne puet il nus connoistre,et celui de monseigneur brandelis|mais des autres ne peut il nul congnoistre,e de blandalis|mas los otros no los conosçio,& le brandelis|mais de tous lez autres nen puet il plus connoistre,
2212,Et il vait derriere la fontainne,Et il regarde derriere la fontaine,e vido,Lors sen uait deuers la fontaine,
2213,et troeve lestres escrites,si treuue unes lettres escriptes,mas envn padron letras escriptas,& trueue lettres escriptes,
2214|2215,qui dient Ce sont i li non de ceaux|qui ceanz sont em prison,qui dient|Cy sont les noms de ceulx|qui ceans sont en prison,que dezian aqui yaze tal cauallero,qui disoient chi sont li non de ceuls|qui laiens sont en prison,
2216,et veez en la lor armeures,et ueez en la les armes,e vedes alli su escudo,Et uees la lor armeures,
2217,Et il conmance a lire,et lors commenca a lire,e ansi dezia de todos los otros Como el gran Cauallero lleuo preso a estor de mares aunque no quiso asu Castillo Despues,Et il lez commence a lire,
2218,et troeve lestres,si trouua les lettres,que estor leyo las letras|e vio,Et trueue lettres,
2219,qui disoient El vintequatriesme an aprés le couronnement le roi Artu a conquis Teriquam de la Forest toz les chevaliers,,que dezian asy enlos veinte y quatro años despues|que el Rey artur Reyno conquisto totigran enla floresta denegada a todos los caualleros,qui dient el vintetroisime: an en apres le coronement le roy artu|a conquis terican de la forest desuoiable tous lez cheualiers,
2220|2221,dont li non sont ci escrit|Et il conmance a lire les nons,qui disoient ainsi,que sus nombres son aqui escriptos y estor leyo los nombres y fallo y beinte y quatro nombres sin los çinco,dont li non sont chi escrit|Et il commence a lire lez nons,che non fina di piagnere
,,,,Si connut de telz en y a,
2222,et an connoit ja assez,,,et de teuls y a,e di duol fare
2223|2224|2225,et de tex i a qu il ne connoist mie ainsi com il estoient la venu des estranges terres :|si i trove dusqu a XXIIII|chevaliers de la meson le roi Artu sanz les V,Au uingtquatriesme an aprez le couronnement du roy artus terriquen de la forest desuoiable a cenquis tous les cheualiers dent les noms sent icy escriptz,que heran compañeros dela tabla Redonda,que il ne connut mie|ensi comme il estoient la uenu destranges terres|Si y trueue iusques a|Xxiiij|cheualiers de la maison le roy artu|sans lez compaignons,
2226,qui erent compaingne de la queste,,e todos heran compañeros,qui estoient de la queste,
2227|2228|2229|2230,et sanz Lion|Et quant il voit cel escrit sì s esmerveille plus|que de riens|que il eust veu onques mes ;,Si sen merueille plus|que de riens quil eust oncques ueu,e sin leonel|que no estaua aun escripto su nombre nin su escudo colgado enel pino non vbiera|e marauillose mucho,?|et sans lyonel|Et quant il voit cest escrit|si sen esmerueille plus|que de riens quil eust onques|mais veu,VE quando Lionel vide
2231|2232,si ne croit mie|que ce soit voirs,et ne croit mie|que ce soit uoir,e non podia creer,Si ne croit mie|que ce soit voirs,
2233|2234,que I|chevalier seul poïst tant de prodomes conquerre se il n i avoit traïson,que ung seul cheualier peult tant de cheualiers conquerre se il ny auoit traison,que vn solo cauallero pudiese conquerir tantos buenos caualleros quantos nombres estauan alli escriptos,que vns seuls cheualiers peust tant de preudommes auoir conquis se il ni auoit traison,
2235|2236,Lors retorne a la fontainne|por faire boivre son cheval,LOrs tourne en la fentaine pour faire boire son cheual,,Iors retorne a la fontaine pour faire boire son cheual,
2237,qui grant mestier en avoit;,,,qui moult grant Lmestiers en auoit,
2238,et en ce qu il trestornoit,Ainsi qu il retournoit,si por traiçion no fuese y,Et en ce quil retornoit,
2239,si oit ouvrir l'uis de la porte de la tor,si ost ouurir la porte de la tour:,entonçe se llego ala fuente,si uoit ourir la porte de la tor,
2240|2241,et an voit issir le grant chevalier|dont la damoisele li ot dit,et en uoit issir le cheualier|donc la damoiselle luy auoit parle,por dar agua asu cauallo y el dandole a beuer oyo abrir la puerta del castillo y vio salir vn cauallero muy grande todo armado quele dixo don cauallero en mal punto distes ay aveuer vuestro cauallo enmi fuente,et en voit issir le grant cheualier|dont la damoisele li ot dit,
2242,et fu toz couverz de fer ;,,,et fu tous couuers de fer,
,,,,Et escrie a hector,
2243|2244,si crie a Hestor Danz chevaliers je la vos desfant la fontainne|Par mon chief mar i abuvrastes vostre cheval! Vos avez ce fait,sy crie a hector|sire cheualier ie la uous deffens la fontaine|par mon chief mal y abruuastes uostre cheual|uous aues telle chose fait,ca vos fezistes lo,dans cheualiers|ie vous desfens la fontaine|Par mon chief mar y abeurastes vostre cheual|vous aues ce fet,
2245|2246,que nus chevaliers n osast fere|Lors laisse corre le cheval,que nul aultre ne osast faire|lors luy laisse courre le cheual,que otro Cauallero non oso fazer,que nus cheualiers nosast faire|Lors laisse corre le cheual,
,,Et quant hector le uoit,,,
2247,et besse le glaive,si sen esbahist,,& baisse le glaiue,
2248|2249,et cil li vient|si roidement qu il failli,et nen pourtant il luy adreche le glaiue|et celluy luy uint|si uistement quil le faillit,que se ende non fallase mal y,et as li vint|si roidement quil failli a lui ferir,
2250,Et Hestor l ataint bas,et hector lattaint bas,,Et hector lataint bas,
2251|2252,que molt i ot mise s antante|por ce,qui menlt y auoit mis son entente|pour ce,entonçes se dexo correr contra estor y,qui moult y ot mise sentente|por ce,che si parte in tal maniera
2253|2254|2255|2256,que trop le redoutoit|si le fiert|si qu il le porte del cheval a terre tout anvers|Et quant il s an quide outre passer,que trop se redoubtoit|si le fiert sy durement qu il le porte du cheual a terre tout enuers|Et il cuide oultre passer,quando lo estor vio yr|ansi contrael fue muy espantado,que trop la redoute|Si le fiert|si que il le porte del cheual a terre tout enuers|Et quant il sen quide outre passer,
2257|2258|2259,et cil resaut sus em piez|et prant Hestor par les espaules a II|mains,celluy ressault sus ses pies|et prent hector parmy les espaulles aux deux mains:,ca nunca tan gran cauallero viera y dexose yr ael y errole el golpe y estor quedo espantado,cil saut sus em pies|& prent hector par lez espaulles a|ij|mains,
2260,et le trebuche del cheval,et le trebuche ius du cheual,,& le trebuche del cheual,
2261|2262,si felonnessement|que a poi qu il ne li a le col brisié,si fellonneussement|que a poy quil na se col brisie,que mucho le dubdaua pero firiole de corazon,si felenessement|que a poi quil ne li a le col brisie,si dice
2263|2264,puis le lieve contremont|et le trousse sor son col,puys le lieue centrement|et le trousse sur son col,que dio conel en tierra y piso sobre el y el cauallero se leuanto muy ayna y trauo a estor porlas Riendas del cauallo y tomolo porlos brazos,puis le lieue contremont|& le torse sor son col,
2265|2266,si l amporte en sa tor|et commande a cels de laienz qu il le desarment,et lemporte puys commande a ceulx de leans quilz le desarment,e dio conel en tierra gran cayda,si le porte en sa tour|& commanda a ceuls de laiens|que il le a desarmaissent,
2267|2268|2269,et cil le font tantost|Et il estoit ausi comme touz morz de ce qu il l ot abatu|Mes,et si font il tantost:|et il estoit encore aussi comment tont estourdi de ce|que celluy lauoit abbatu,e desi tomolo|e pusolo antesi ensu Cauallo y lleuolo asu torre conlos otros,Et il|si font|Et il estoit aussi comme mors|de ce quil auoit este abatus,ch or à elli troppo attenduto quand
2270,quant il s aperçoit,Mais il se apperchoit,,Et quant il saperchut,
2271|2272|2273,et il se voit desarmé|et an la main son anemi|si a tel duel qu il voldroit bien estre morz,et il uoit quil est es mains de son ennemy|si uouldroit bien estre mort,e fizolo desarmar|e quando estor se vido desarmado y estar en poder desus enemigos ouo tan gran pesar,& il se uoit desarme|& en la main son anemi|si en a|si grant doel quil volsist bien estre mors Car il not onques,e ne vede insi la damigella menare
2274,car il n oti onques courouz,car oncques neust couroust,,mais courous,
2275,qui a cestui li tornast,qui a celluy luy tournast,que quisiera ser muerto,qui a cestui li tornasts,
2276,Lors dist Teriquam Sire chevaliers je vos tieng a molt prodome,LOrs luy dist terriquen|sire cheualier ie uous tienn menlt a preudomme,e toturquin le dixo amigo yo vos preçio mucho|mas que a otro cauallero,Lors li dist terrican|Sire cheualiers ie vous tieng a moult preudomme,
2277|2278,quar onques|mais ne trouvai je chevalier,car onques mes ne trouuay cheualier,que viese|porque nunca falle Cauallero,quar onques|mais ne trouai iou cheualier,
2279|2280,qui me poïst faire les arçons vuidier :|si vos pris plus,qui les archens me peult faire uuyder|si uous prise plus,que me derribase dela silla sino vos y,qui lez archons me feist widier|Si vous pris plus,
2281|2282,que chevalier|que je onques veisse,que cheualier|que ie encques mes ueisse,porque sodes buen cauallero no vos metere en prision,que cheualier|que ie onques|mais ueisse,
2283|2284|2285|2286,et por la prouesce|qui est en vos vos meterai je ja em prison se vos ne me volez fiancer|que vos de ceanz n istroiz sanz mon congié|Et il dist qu il ne li fiancera ja,et pour la prouesse|qui est en uous|ne uous mettray ie ia en prison se uous de ceans par uostre fiance ne yssies sans cengie|Et il dist quil ne luy fianchera ia,si me jurades|que non vos partiredes de aqui sinmi mandado çierto dixo estor yo no lo fare,Et pour la proece|qui est en vous ne vous metrai iou ia en prison|se vous me voles fianchier|que vous de chaiens nisteres mie sans mon congie|Et il dist|que il nen jo fiancera ia,
2287,car il velt mielz estre a malaise o ses compaignons,car il ueult mieulx estre a malaise auec ses compaignons,que antes quiero ser lisiado con mis compañeros,quar il aime miex a estre a malaise auec sez compaignons,
2288,que avoir touz les biens del siecle avec lui,que auoir tous les biens du mende auecques luy,que ser viçioso convos,que auoir tous lez biens del siecle auec lui,
2289,Lors le fet mestre em prison avec les autres chevaliers ;,lors le fait mettre en prison auec les aultres cheualiers,e luego lo mando el cauallero meter enla prision conlos otros,Lors le fait mettre en prison auec lez autres compaignons,
2290,et quant il est laienz,Et quant il est leans,e sus compañeros,Et quant il fu laiens,
2291|2292,et cil de la meson le ror Artu le voient venir|si conmancerent a plourer de pitié,et ceulx de la maisen du roy artus le uoient uenir|si commenchent a plourer de pitie,quando lo vieron y lo conoçieron començaron a llorar con duelo,et cil de la maison le roy artu|le voient uenir|si commencent tot a plorer de ioie|& de pitie,
2293,et Saigremor li Desraez li dist Ha Estor certes je ne vos cuidai jamés veoir,Et saigremor le desree luy dist|haa hector,e sagramor dixo ay amigo estor nunca Cuide veros,Et saigremors li desrees li dist ha : hector biaus compains : iou ne vous cuidai iamais veoir,
,,ie ne cuidoir iamais uoir leure,,,
2294,et si vos ai je mainte foiz regreté,que ie uous ueisse ceans|si uous ay ie bien regrette de,e muchas vezes vos mente despues,et si VOus ai iou par maintes fois regrete,
2295,puis que je ving ceanz em prison,puis que suys ceans en prison,que aqui esto,puis que iou ving chaiens en prison,
2296,Mais por Deu savez vos encore nule nouvele de Lancelot,mes pour dieu sauez uous encore nouuelle de lacelot,mas pordios amigo dezidme supistes despues algunas nuebas de don lançarote,mais por dieu dites moi se vous saues encore nulle noueles de lancelot,
