	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
271|272|273|274|275|276|277	si a le reçoit a bele chiere |et le desarme il meismes, |puis vet cueillir de l’erbe al cheval |et por fere lit al chevalier.|Ensi est Boors remés chiés l’ermite, |et la damoisele de Glocedun chevalcha tant a |qu’ele encontra cele de Honguefort; 	et le resoit a mout bele chiere. |et le desarme il meismes |et puis ua cuillir de lerbe il meismes por le cheual. |et por faire lit au cheualier |Ainsi est boh̾ retrais chies lermite. et la damoisele de glocdon cheuauche |quant ele fu partie de son chastel |tant que ele encontre la damoiselle de honguefort 	Et hermites le rechoit a bele chiere. |et le desarme il meismes. |et|puis vait coillir de lerbe pour le cheual |et fait le lit au cheualier, |Nsi est remes bohoors chies le prodomme. |Et la damoisele de Glochedon tcheualche tant |que elle encontre cele de hongrefort. 	et lermite luy euure |et le recoit a belle chiere. |Ainsi est demoure |Comme boot demoura chex lermite. |che tant quelle fu partie de son chastel |et quelle encontra celle boort chex lermite et la damoisele de glossedin cheuaude hunguefort. 	et lermite le rechoit a belle chere et le desarma |et puys cueillit de lerbe uerte pour le cheual |et fist le lyt au cheualier. |Insi est boort demoure auec lermite et la damoiselle de glacedon a tant alle |quelle encentra celle de honguesfort/ 	porque vido que hera cauallero andante |e el mesmo lo ayudo a desarmar |e desque lo ovo desarmado cogio dela yerua Parael cauallo Ansi finco enla hermita |e la donçella de glaçedon andubo tanto |fastaque encontro ala señora de ongeforte 	si-llo riceve a bella cera e l disarmò elli |medesimo; poscia va a cogliere dell’erba al cavallo lel|per fare el letto del |cavaliere. ilnsi rimase Boordo a casa il|romito, |e la damigella di Locidin cavalca |tanto |ch’ella fu partita di suo castello |ch’ella trovò quella 
278	si s’entresaluent, 	si sentre saluent. 	si sentrefont moult grant ioie. 	si sentresaluent. 	si sentresalluerent. 	e ellas se saluaron 	d’Unguelforte.Si si trasalutano, 
279	mais molt se merveille cele de Glocedun, 	mais mout ce merueille la damoisele de glocedun 	Si sesmerueille moult cele de glochedon. 	mais celle de glossedin se merueille moult 	Et quant celle de glacedon uoit sa cousine et toute sa mesgnie 	e la donzella De glazedon se marauillo mucho 	ma molto si maraviglia quella di Glocedin 
280|281	quant ele voit sa cosine si atornee et tote sa maisnie: |si li demande l’acheison 	quant ele voit sa cosine si atornee. et tote sa mainiee ausi. |Si li a demande lacoison. 	quant elle voit sa cousine ensi atornee et toute sa maisnie. |Si li demande locoison.	quant elle uoit sa cousine si atournee et toute sa mesgniee. |si luy en demande lachoison. 	ainsi atournee elle sen merueille monlt sy lui demande lachoison 	quando vido asi venir asu parienta e a todas su conpaña |e preguntaronle la Razon 	quand’ella vide sua cugina |si aconcia e tutta sua|masnada, |si non si può tenere |ch’ella non la domandi la cagione.
282|283	et cele li conte de chief en chief |et dist 	et cele len conte la uerite de chief en chief |et dit 	Et elle li conte lauenture de chief en chief |Et dist 	et elle luy comta de chief en chief. |et dist 	et celle luy compte toute la uerite |et dist	porque hera aquello asi 	E quella le conta di capo in capo |e dice 
284|285|286	que jamés ne finera d’errer |jusqu’el ait le chevalier trové, « |et bien sachiés, fet ele, bele cosine, 	que iamais ne finera derrer |tant que ele ait le cheualier troue. |et bien sachiez bele cosine 	que iamais ne finera desrer. |deuant que elle aura troue le cheualier. 	que iamais ne finera derrer iucqua |tant quelle ait trouue le cheualier. |et bien sachez fait elle belle cousme 	que iamaiz ne finera de errer iusques a |tant quelle aura trouue le cheualier/ |et sachiez belle cousine 	e la donzella de ongeforte selo conto todo de cabo a cabo Como le contesçio conel cauallero |e mi buena parienta bien sabed 	che giamai non finirà d’andare infino a tanto ch’ella abbia il cavaliere trovato, |e ben sapiate, bella |cugina, 
287|288	que c’est li plus bials chevaliers et li mieldres |que je onques mes veisse, 	que cest li muxdres cheualiers et li plus biax dou monde. 	Car cest li plus biaus et li mieudres |que iou onques veisse. 	que cest le plus bel cheualier et le meilleur |que ie ueisse oncquez mais. 	que cest le plus beau et le meilleur |que ie ueisse on ques 	que el es el mas fermoso cauallero |que nunca vi 	che ciò è il più bel cavaliere e l miglior |ch’io unque |vedessi, 
289	et si est encore jovenes enfés; 	et si est encore iones enfes. 	et|si est iouenes enfes 	et si est encores ienne enfant. 	et sy est encore ione enfant/ 	e nunca quedare de andar 	si è ancora giovane |infante; sì ò tal duolo qualunche ora mi ricordo della villania 
290	si ai tel duel, 	Si ai tel duel 	Si ai tel doel 	si ay tel deul	si ay tel deul 	asi fasta quelo falle ca sabed |que el es el mejor cauallero Del mundo 	ch’io gli |feci, 
291	quant il me membre de la vilenie 	quant ie mamenbre de la uilenie 	quant il me membre de la vilonnie 	quant il me menbre de la uilenie |que ie luy feis 	quant il me souuient de la uillanie	e mas cortes |e es muy niño 	ch’a poco |che l cuore non mi 
292	que je fis, 	que ie li fis: 	que iou li fis |que a poi 	qua|pou 	que ie luy feiz 	e quando me mienbro dela descortesia e dela villania 	si sface nel 
				que le cuer ne me part 			
293	qu’a poi que li cuers ne me part el ventre. — En non Dieu, bele cosine, fet cele de Glocedun, 	ca pou Li cuers ne me part. |En non dieu bele cosine fait cele de glocedun. 	que li cuers ne me part del uentre. |Enon dieu bele cousine fait cele de glochedon 	ou uentre |Certes belle cousine fait celle de glocedin. 	que a pou que le cueur ne me part du uentre. Eu nom dieu belle cousine fait celle de glacedon/	que contrael fiz el corazon seme quiere quebrar enel cuerpo |Pardios mi buena parienta dixo la dueña 	ventre. — A nome di Dio, bella |cugina, 
294	s’il vos avint bele aventure, il ne m’est pas hui avenue mains bele. » 	Si uos auint bele auanture: il ne mest pas hui auenue mains bele. 	sil vous est auenue bele auenture elle ne mest mie auenue mains bele. 	sil uous aduint belle auanture il ne mest pas |huy aduenue belle. 	sy uous est aduenu belle auanture/ il ne men est pas aduenue une moins belle. 	de glozendo mucho vos a acasesçido buena ventura |e ami non a venido menor 	s’elli voi avenne bella |aventura, e' non m’è oggi passo avenuta men bellab. i-lle contò tutto 
295|296	Si li conte tot ensi |com il li estoit avenu 	Si li conte coument il li est auenu. 	Si li conte |comment il li estoit auenu.	Si luy compte tout ainsi |comme il luy est aduenu. 	Sy luy compte tout ainsi |comment il luy estoit aduenu/ 	e luego le conto como auia acaesçido conel Cauallero 	insi come l’era avenuto 
297|298|299	et dist |qu’ele a le chevalier herbergié; « |mais bien sachiés, fet ele, 	et dit|que ele a le cheualier herbregre. |et bien sachiez 	Et li dist |que elle auoit le cheualier herbergie mais bien sachies 	et dist |quelle a herbrege le cheualier. |Mais bien sachez fait elle 	et dist |quelle auoit herbegie le cheualier/ |et uous dys bien	que conella albergara |mas bien sabed 	e disse |ch’ella ha albergato il |cavaliere, |«ma ben sapiate 
300|301|302|303	que c’est li plus bials chevaliers |que je onques mes veisse |et jovenes durement » ; |si li devise sa façon et son grant et sa mesure 	que cest li plus biax cheualiers |que ie onques ueisse. |et iosnes durement. |Si li deuisse sa fason et son grant et sa mesure. 	que cest li plus biaus cheualiers del monde. |et iouenes est il durement. |Si li deuise sa fachon et son grant. 	que cest le plus bel cheualier |que ie ueisse oncque mais et fort ienne. |si luy deuise sa facon sa grandeͬ et sa mesure 	que cest le plus beau cheualier du monde/ |sy lui deuise sa facon 	que es el mas fermoso cauallero |Que Nunca vi |e es muy mançebo |e luego le conto las façiones del tanto 	ch’egli è el più bel giovane |ch’io unque mai vedessi a mi' sciente, si risembra gentile huomo |duramente». |Si-lle divisa sua fazione e suo grande e sua misura 
304	tant qu’a cele de Honguefort est avis 	Tant que a cele de honguefort est auis 	Tant que a celer de hongrefort samble 	tant quil est aduis a celle de hunguefort	tant quil est aduiz a celle de honguesfort 	quela dueña de ongeforte entendio 	tanto che a quella d’Unquelforte est aviso 
305	que c’est cil 	que ce est cil 	que che soit cils 	qui cest cil 	que cest celuy	que hera el cauallero 	che ciò è quelli 
306	qu’ele quiert, 	que ele quiert.	que elle quiert.	quelle quiert. 	quelle quiert/ 	que ella andaua buscando 	ch’ella |chiede, 
307	si li tarde molt 	si li tarde mout 	Si li est moult tart 	si luy tarde moult 	si luy tarde 	e mucho sele tardaua delo ver 	si'lle tarda molto 
308|309|310|311	qu’ele le voie. |Ensi chevalchent jusqu’al chastel, |si descendent la damoisele molt honorement |et molt font grant joie de li	quele le uoie. |ainsi cheuauchent tant |que au chastel sont uenues. |Si dessandent la damoisele de honguesfort mout honorablement. |et mout font grant ioie de li. 	que elle le voie. |Si cheuauchent tant|que elles sont uenues au castel 	quelle ne le uoit. |Ainsi cheuauchent |tant quilz sont uenuz au chastel. |si descendent la damoisele moult honnoureement |et moult font grant ioye de luy 	quelle le uoie En telle magniere cheuauchent|tant quilz sont uenues au chastel |si decendent la damoiselle monlt hounourablement|et font grant ioye de celle de honguesford. 	asi fueron ental manera fablando |Que llegaron al castillo e rresçibieron todos ala donçella de ongeforte muy honrradamente |e fizieron gran gozo conella 	ch’ella il vega. Insi cavalcano tanto ch’al castello sono |venuti, |si discendono la damigella molto honoratamente e molto fanno grande gioia di 
312|313	Et lors sont montees el palés; |si demande cele de laiens 	et lors sont montees el palais amont. |Si demande cele de laiens 	et puis montent el palais.|Si denande la damoisele de laiens 	Et lors sont montez ou palays. |si demande celle de leans 	lors sont mentees au pallaiz |si demande la damoiselle de leans 	e la donçella del castillo pregunto luego porsu huesped 	lei. |Allor sono montate nel palagio,|si domanda quella di Glocedin 
314|315	ou ses ostes est. « |Par foi, font si chevalier, ¡l s’en vet orrendroit tos armés fors de cest chastel, 	ou ses ostes est. |par foi font cil cheualier il sen ua maintenant tous armes |fors de cest chastel. 	ou sez ostes estoit. |Par foy dame font li cheualier de laiens il sen va orendroit tous armes hors de chest chastel. 	ou est son hoste. |par foy font ces cheualiers il sen uait orendroit tout arme hors de ce chastel. 	ou est son hoste/ deuray dirent les cheualiers de leans Il sen ua orendroit tout seul arme hors de ce chastel 	Por buena fee dixeron los caualleros que auian fincado conel tomo sus armas 	ove suo oste |est: |Per fé, dissono suo' |cavalieri, 
316|317|318|319	mais il nos dist |qu’il revendroit tantost; |n’onques |por nul pooir ne volt soffrir 	mais il nous dit |que il reuanroit tantost. |ne onques por nul pooir ne uost souffrir 	mais il nous dist |quil reuendroit tantost. ne onques pour nul pooir ne volt soffrir 	mais il nous a dit |quil renuiendra tantost.	mes il nous dist |quil reuendroit tantost/ |ne onques ne uolt souffrir 	e fuese a deportar a aquel montezillo |mas luego dixo que se vernia |Mas nunca por alguna manera Podimos que nos sufriese 	e' se ne va oraindiritto tutto armato fuori di questo|castello, |ma e' no disse |che ritornerebbe tantosto, né unque per preghieri non volle soferire 
320|321	que nus de nos alast avec lui. — |Quel part s’en ala il ? fet ele. — Dame, font il, vers cel boschel. — 	que nus alast auec lui. |que part|sen |ua il fait ele Dame font il uers cest bochet. 	que nus alast aueques lui.|Et quel part ala il fait elle. Dame font il vers chest bosket. 	Quelle part est il alle fait la dame. Dame font ilz uers ce boys. 	que nul allast auec luy |si a prins sen chemin uers ce bochel. 	que fuesemos conel a qual parte fue dixo la donçella del castillo 	che nullo di noi andasse con esso |lui. —elln quale parte se ne |va?, diss’ella.— |Dama, dicono elli, inverso quello bosco. — 
322	Or tost, fet ele, montés, alés aprés lui, 	Or tost montes illec apres 	Or tost fait elle montes |si ales apres lui 	Or montez tost fait elle allez apres 	Or tost dyt la dame montes sy alles apprez luy 	aquel montezillo dixeron ellos |e luego mando alos diez caualleros 	Or tosto, |diss’ella, montate 
							e andate apresso 
323|324	si le nos ramenés. » |Lors sont monté li X. chevalier 	si le nous ramenez. |Loes sont monte .x. cheualier. 	si le me amenes arriere. |LOrs sont monte tout li cheualier 	et le ramenez|Lors sont montez tous les dix cheualiers 	et le ramenes arriere. |Lors montent tous les cheualiers	quelo fuesen alla a buscar 	lui, |si l noi rimenate» ll |Allora sono montati tutti e dieci i cavalieri e vengono 
325|326	et vienent jusqu’al boschel, |si le cerchent amont et aval, 	et uiennent iuscau bochet |si le serchent amont et aual. 	et sont uenu au boskel |et cerkent amont aual mais le cheualier 	et uiennent au boys si le sercherent amont et aual 	et uiennent iusques au bochel |et le chercent ament et aual/ 	e ellos lo fiçieron ansi ca anduuieron todo el mon-teçillo arriba e ayuso 	Sin qua quel |bosco, |si 'l cercano a monte e a|valle, 
327|328|329	mes del chevalier ne pueent riens trover, |si en sont molt irié et dolent |et mandent a lor dame 	mais del cheualier ne pueent point trouer. 	quil quierent ne poent trouuer. |Lors reuienent a lor dame |et li dient 	mais le cheualier ne peuent ilz pas trouuer |si le mandent a leur dame 	mais ne le peuent trouuer/ 	Mas nunca lo pudieron fallar |e tornaron e contaronselo ansi asu señora Pordios dixo la donçella 	ma del cavaliere non possono elli unque |trovare. |eSi ne sono molto adirati e molto |crucciati, |e mandano a-llor dama 
330|331	qu’il ne le pueent trover. « En non Dieu, fet ele, |ensi ne remandra il pas. » 	En non dieu fait ele ainsi ne remandra il pas. 	que il ne seuent |quil est deuenus. Enon dieu fait elle |ensi ne remandra il mie 	quilz ne le peuent trouuer En nom dieu fait elle |anisi ne demeurra il pas. 	Eu nen dieu fait elle il ne demoura pas ainsy 	ni poresto no fincara e luego Caualgo con toda su conpaña 	che nol possono|trovare. |“h«A nome di |Dio, |diss’ella, insì non rimarrà |e' passo». 
332|333|334|335	Si monte |et tote sa maisnie |et commande a cerchier le bois de totes pars |et il en font son commandement.	si mente ele |et coure sa mainie et comande a cenhier le bois de toutes pars. |Et il font son commandement. 	Si monte et toute sa maisnie aueques li. |si com menchent a cerkier le bois de toutes pars 	si monte elle et toute sa mesgniee |et commande a sercher le boys de toutes pars |et ilz font son commandement. 	si monte elle et sa mesgnie |et commencent a chercer le bochel de toutes pars |et prie aulx cheualiers |quilz le chersacent	e fuese Al montezillo |e fizolo çercar de todas partes 	Si monta ella e tutta sua |masnada, |si vi viene |e comanda a cercare il bosco di tutte |parti. sEd e fanno suo |comandamento, 
336|337	Mais tot ce ne lor valt riens, |kar il n'em puent avoir nul asenement a, 	Mais tout ce ne lor uaut rien. |Car il ne pueent trouer nul a lanement dou monde 	mais che ne lor valut riens |Car il nen pueent oir nulles enseignes vraies.	mais tout ce ne leur uault riens |car ilz nen peuent |ouyr nul assignement du monde.	mes ce ne leur ualust riens/ |car ilz nen porent ouyt nulle uraie enseigne. 	mas nunca lo pudieron fallar 	ma tutto ciò no lle vale |nulla, |ch’elli non ne possono ora avere nullo asennamento del |mondo. 
338|339	Quant ele vit ce, |si s’en retorne en son chastel dolente et corociee 	quant ele uoit ce: |si en retorne en son chastels 	Et quant la damoisele voit chou. |si sen retorne a son castel dolante et corouchie. 	Et quant elle uoit ce |si sen retourne en son chastel doulente et couroucee 	Quant elle uoit ce |si sen retoure en son chastel dollente et courroucee/ 	e quando ella aquello vido tornose asu castillo muy triste e muy sañuda 	eE quand’ella vide |ciò, |si se ne torna in suo castello dolente e |crucciata, 
340|341|342|343	et conte a cele de Honguefort |comment ses ostes |s’en estoit alez, |puis demande a cels de laiens: « Bials seignors, 	et conte a cele de honguefort |comment ses ost en est alez. |et puis demande a ciax de laiens oiez signor 	et conte a cele de hongrefort |comment sez ostes sen estoit partis de laiens |Puis demande a chiaus de laiens. |Biau seignor 	Et compte a celle de hunguefort |comment son hoste sen est alle |et puis demande a ceulx de leans beaux seigneurs 	et compte a celle de henguesford |comment son hoste sen est alle puys demande a ceulx de leans. Beaux seigneurs 	e contolo ansi ala donzella de hongeforte |Como su huesped hera ydo |e la donzella les pregunto 	e conta a quella d’Unguelforte |come suo oste se n’è andato. |Poscia domanda a que di là entro: Be' signori, 
344|345|346|347	quant s’em parti il — |Par foi, dame, font il, |si tost |com il vos en vit aler et dist 	quant sen ala il. |Par foi dame |si tost |com il uous en uit aler. |et dit 	et quant se parti il de chaiens. |Dame ce dient cil|si tost comme se il vous en vit aler. 	quant party il. |par foy dame font ilz si tost |quil uous en uit aller il dist 	quant sen parti il/ |par ma foy |si tost |que uous feustes partie/|et dist 	quando se fue Pordios buena señora |luego que vos de aqui partistes 	e quando se ne parti elli?-Per fé, |dama, dicono elli,|si tosto come ve ne vide |andare, 
348	qu’il revendroit tost. — 	quil reuandroit tost 	et dist |quil reuenroit tantost. 	que il reuendroit tantost. 	quil reuendroit tantost. 	Mas dixonos |que luego venia 	e disse |che riverebbe tosto. — 
349|350|351	Par foi, fet ele, gabez nos a. » |Lors demanda cele de Honguefort |quels armes il portoit 	par foi signor gabe nos A. |Et lors demanda cele de honguefort |ques armes il a 	par foy fait elle gabe nous a . ors demande cele de hongrefort |queles armes il portoit. 	Certes fait elle uous uous gabez. |Lors demande celle de hunguefort |quelz armes il portoit. 	par ma foy dist la dame il nous a gabes. |Lors demande celle de honguesford |quelles armes il portoit	Por buena fee dixo ella |bien nos a engañado |Que armas traia dixo la donçella de hongeforte 	Per fé, |diss’ella, il vorre giàb. sAllor domanda quella d'Unguelforte |che arme elli |portava, 
		et cele li deuise. 					
352	et ele li devise. « En non Dieu, fet ele, je te trovai hui matin a l’entree d’une forest, 	En non dieu fait |Se ioe lencontrai hui matin a lantree dune forest 	Et elle li deuise Enon dieu fait elle iou le trouuai hui matin a lentree dune forest.	et elle luy deuise. |Certes fait elle ie le trouuae huy matin a lentree dune fourest, 	et elle luy deuise. Eu nom dieu fait elle ie le trouuay|huy matin a lentree de une forest/ 	e la donçella selas deuiso Pordios dixo ella |yo lo falle oy demañana envna floresta 	e la damigella gliel divisa. “Al nome di Dio,|diss’ella, io il trovai ogi mattino all’entrata d’una 
							foresta, 
353|354|355	mes il ne portoit mie tel escu |com cil|que je quier. — Bele cosine, fet cele de laiens, il le puet bien avoir changié 	mais il ne portoit mie tel escu. comme cil |que ie quier bele cousine fait cele de Iaiens il le puet bien |auoir changie puis 	mais il ne portoit mie tels armes |comme cils |que iou quier Bele cousine fait cele as de laiens. il lez puet bien auoir cangies. 	mais il ne portoit pas tel escu |comme cil|que ie quier Belle cousine fait celle de leans il le puet bien auoir despuis change. 	mes il ne portoit mye telles armes |come celuy |que ie quiers/ belle cousine fait celle de|leans il les peult bien auoir changiez 	mas no traia el tales armas |Como aquel que yo ando buscando Buena Parienta dixo la donçella del castillo el las puede auer bien trocado 	ma e' non porta mica tale scudo come colui |ch’io |cheggio. —eBella |cugina, disse quella di là 
							entro, elli il potrebbe 
							poscia bene avere 
356	et je vos di al mien cuidier 	et ie uos di au mien cuidier 	Et iou quit bien a mon escient 	et ie cuide bien a mon cuider 	et ie cuide bien a mon aduiz 	e yo vos digo ami cuidar 	cambiato, |e vo dico al mio credere 
357|358	que ce est cil |que vos querez : 	que cest ciz |que uus querez. 	que che soit cil|que vous queres 	que cest cil |que uous querez. 	que cest celuy |que uous queres 	Que este es el que bos buscades 	che ciò est quelli |cu' voi |chiedete.
359	si vos prie 	Si uous pri 	Si vous pri 	si uous pry 	sy uous prie 	e Ruego vos 	Si vi priego 
360|361|362|363	que vos me laissiés o vos aler |tant que trové l’aions |et lors savrai l’acheison |por quoi il laissa mon ostel a tel ore. — Il m’est molt bel, fet cele de Honguefort, 	que uous me laissiez a uos Aler |tant que troue laions |et lors saurai locoson |por coi il a laisier mon ostel a tel eure. il met mout bel fait cele de hongefort. 	que vous me laissies aler aueques vous tant |que nous laions trouue. |Et lors si nous dira locoison pourcoi il a laissie mon ostel en tel maniere. Il men est bel fait cele de hongrefort 	que me lessez aller o uous tant |que nous layons trouue. |Et lors scauray lachoison pour|quoy il a lesse mon houstel a telle heure Il mest moult bel fait celle de hunguefort 	que me lessiez aller auecques uous tant |que laurens trouue. Il mest monlt bel dyt celle de honguesfort 	que me dexedes convos yr |fasta Quelo fallemos e sepa la rrazon |Porque se fue demi castillo ental manera |Mucho me Plaze dixo la donzella de ongeforte 	che voi mi lasciate con voi andare |tanto che trovato |l’abiate, allora saprò io la cagione |per ch’egli à mio ostello lasciato a tale |ora. — 
364|365|366|367|368|369	que vos i viegniés, |puis|qu’il vos plest. » |Ensi remistrent la nuit laiens |et al matin. |si tost com eles ! virent le jor, 	que uous i uangnerez|de que il uos plait. |Ainsi remesent laiens la nuit. |et au matin |si tost comme eles uirent le ior: 	que vous y ueignies |puis quil vous plaist. |Ensi remestrent cele nuit laiens. |et lendemain |quant il virent le ior sen alerent 	que uous y uieguez |quant il uous plaist. |Ainsi demeurent la nuyt leans. |Et au matin si tost quelles uirent le iour se leuerent 	que uous uiengnies auec moy |puis quil uous plaist. |ainsi demeurent la nuyt leans. et au matin |quant ilz uirent le iour 	Que vengades |Pues vos plaze ansi fincaron toda aquella noche enla mañana tanto Como fue de dia se leuantaron |e fueronse del castillo 	E' me n’è molto |bello, disse quella|d’Unguelforte, |che vo' |vegniate, da |che vo piace». |lnsi rimasono la notte là entro, |e al mattino, |si tosto com'elle vidono il |giorno, 
370|371	si leverent et se partirent del chastel |et entrerent en la queste de lor chevalier.	se leuerent |et se partirent del chastel. |Si entrent en la quese de lor cheualier 	et partirent del castel. |et entrerent en la queste del cheualier 	et se partirent du chastel. |si entrent en la queste de leur cheualier. 	si sen partirent du chastel |et entrerent en la queste de leur cheualier. 	enla demanda del buen cauallero 	si levarono |e si partirono dal |castello, |si entrarono nella chesta del loro cavaliere. 
372	Mais or laisse atant li contes a parler d’eles et de Boort	mais|or laisse li contes a parler atant deles et de behort. 	Mais ore laisse li contes a parler daus et de bohort 	Mais or laisse le compte a parler deulx et de boort. 	Or lessons maintenant le compte de boors et des deux dames 	Agora dexa el cuento de fablar dellas e de boores 	Ma or lascia il conto atanto a parlare di loro e di Boordo 
373|374|375|376	et retorne a parler de Lancelot la |ou il est entrez en la forest de Sarpenic, |si com li contes a devise ariers. |Or dist li contes 	et retorne a parler de lancͣ. la |ou il est entrer en la forest de sarpenic GRant chaut cedit li contes fist le ior 	et retorne a parler de lancelot del lac. |si comme il entra en la forest de la sapine |si comme li contes a deuise. |Ne dist li contes 	et retourne a parler de lancelot |quant il entra en la fourest de sarponie |sicomme le compte a deuise. Cy fine le comte. |Et parle de lancelot du lac. |Or dit le conte 	et retourons a parler de lancelot du lac le|quel est entre en la forest de la sapine. |Comment lancelot emporta le corps de gallehaut |que plusieurs cheualiers gardoient: |et comment il rescouist la seur de meleagant 	e torna A Lançarote Que entro enla floresta Serpentina |Asi como el cuento lo a deuisado Dize el cuento 	e ritorna a parlare di |Lancellotto, là ov’elli est entrato nella foresta di |Sapernic, |si come il conto à divisato. Gran caldo, ciò dice il 
377|378	qu’il fist grant chaut le jor |que Lancelos entra en la forest de Sarpenic 	que lanc̃. entra en la foret de sarpenic. 	que trop grant chaut fist celui ior |que lancelot fu entres en la forest de la sapine 	quil faisoit grant chault le iour |que lancelot entra en la fourest de serpeme. 	que len uouloit ardre iiii.xx. xiiii. Grant chault fist dit le compie le iour |que lancelot fut entre en la sapinoie 	que gran calentura façia el dia |que lançarote entro enla floresta 	conto, fece il giorno |che Lancellotto entrò nella foresta di |Sarpenic, 
379|380|381|382|383|384	et por ce ne remest il mie|qu’il ne chevalchast jusqu’à none; |si li avint ensi |qu’il n’encontra home ne feme jusqu’al vespre; |mais lors sans faille, |si com il dut issir de forest 	et por ce ne remest il pas |que lanc̃ ne cheuanchast iusques a none. |Si auint |quil nancontra home ne fame iuscau uespre. |mais lors sans faille |Si comme il dut issir de la forest 	Et|por chou ne remest il mie |quil ne cheualchast iusques a nonne|Si li auint ensi |quil nencontra ne homme ne femme iusques a uespres. |Mais lors sans faille |si comme il dut issir de la forest 	et pour ce ne demoura il pas |quil ne cheuauchast iucqua nonne. |Si luy aduint |quil nencontra homme ne femme iucqua uespres. |mais lors quil deut yssir de la fourest 	et pour ce ne demoura il pas |quil ne cheuauchast iusques a uespres |sans rencentrer homme ne femme. 	mas poreso no finco que el no andubiese todo el dia fasta nona |que no encontro ome ni muger |mas a hora de visperas sin falta |quando queria salir dela floresta 	e per ciò |e' non rimase passo |che non cavalcasse infin qua a |nona, |si gli avenne insi |che non incontrò huomo né femina insino a vespero. |?Ma allora sanza |fallo, |si come dovea uscire della foresta 
385|386|387	qui tot le jor li ot duré, |encontra une damoisele |qui molt faisoit grant duel et chevalchoit I. palefroi noir a molt riehe lorain 	qui tote ior li ot dure|Si encontra une damoisele |qui mout faissoit grant duel. et cheuauchoit .i. palefroi noir a mout riche lomin 	si encontra vne damoisele |qui moult faisoit grant doel. |si cheualchoit vn moult riche palefroy a vn moult cointe lorain 	qui tout le iour luy auoit dure il encontra une damoisele |qui moult faisoit grant deul 	Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy. Il salue la damoiselle 	que todo el dia le auia durado encontro vna donzella |que mucho façia gran duelo |e andaua envn palafren morçillo 	che tutto giorno gli avea |durata, |si incontrò elli una damigella |che molto facea gran |duolo, |e cavalcava in uno palafreno nero a molto ricca sambuca e a molto bella sella dell’opera d’Inghilterra e a molto ricco freno, uno capelletto foderato di zendado in sua testa per lo |caldo. 
388	et a molt cointe sele de l'oevre d’Engleterre. Il salue la damoisele 	et a mout riche cele de lueure dangeterre. Il salue la damoisele 	et a vne sele dengletere Il salue la damoisele 	et cheuauchoit ung palefroy noir a moult riche loram et a moult cointe sele de lueure de angleterre Il salue la damoisele		que traia vna muy Rica silla y freno 	E'saluta la damigella |ed ella gli rende suo saluto molto cortesemente. 
389|390|391	et ele lui. « Damoisele, fet il, |kar me dites, |s’il vos plest, 	et ele autresi lui. Damoisele fait lanc̃ |car me dites ore ce il uos plait 	et elle li rent son salut. Damoisele fet il |sil vous plaisoit iou sauroie volentiers 	et elle aussi luy. Damoisele. fait il |or me dictes 	et lui dit. Dame dictes moy pour quoy uous plourez |sil uous plaist 	e el saluo la donçella e ella ael donzella dixo lançarote deçidme |porque llorades |si vos plaze çierto dixo la donçella |si yo supiese 	Damigella, disse |Lancellotto, |ch’or mi dite ora |perché vo piagnete? — Certo, sire, |diss’ella, |s’i vi credesse avere 
392|393|394	por quoi vos plorés. — |Certes, sire, fet ele, |se je i' cuidoie avoir preu, je le vos diroie. — Damage, fet il, ll’i avrez vos ja, 	que uos auez.|et por coi uus plorez. |Certes sire fait ele |se ie i cuidoie |auoir preu ie le uos diroie. |Damage fait il ni aurez uos ia 	pourcoi vous plores. Sire certes dist elle |se iou y |qui doie auoir aucun preu iou le vous diroie Damage fait il ni aurois vous ia	pour quoy uous plourez. |Certes fait elle |si ie y cuidoye |auoir preu ie le uous diroye. |Dommaige fait il ny aurez uous pas 	Certes sire |se ie y cuidoie auoir prouffit ie uous le diroie. |Dommage fait il ny aurez uous ia 	que me vernia Prouecho enello |yo voslo diria muy de grado çierto dixo donçella enmelo deçir no aueredes vos daño 	pro, |si 'l vo dire' io.— |Damaggio, disse |Lancellotto, non ci arete vo' 
395|396	se Dieu plest, |mais dites le moi par covent 	se dieu plait. |Mais dites le moi |par couant 	se dieu plaist. Dites le moi 	si dieu plaist. |Mais dictes le moy par conuent 	se dieu plaist. 	si auos pluguiere |e vos dezidmelo |por conuenençia 	già, se Dio |piace, |ma ditelme per convento 
397|398	que, |se je vos puis aidier a vos esleecier, je vos aiderai a mon pooir. — En non Dieu, sire, fet ele, 	que ie uos en aiderai a eslaicier. a mon paoir |ce ie uos en puis aidier. |En non dieu sire fait ele 	par tel conuent |que se iou vous puis aidier a esclairier vostre cuer iou le ferai a mon pooir. Enon dieu sire fet elle 	que si ie uous puis aider a uous aider. |it uous aideray a mon pouoir. |En nom dieu sire fait elle 	car se ie uous puis aider ie uous aideray a esclercir uostre cueur a mon pouoir. 	que vos ayude yo a todo mi Poder en todas las cosas que hubieredes menester e espeçialmente enesta 	che, |s’i vo ne posso aiutare o |consigliare, io vo n’atrò di tutto mio podere. — ll A nome di 
							Dio, 
