micha-iv-75-4	inc-iv-75-4	fr111-iv-75-4	fr751-iv-75-4	fr333-iv-75-4	sommer-iv-75-4	lanzarote-iv-75-4	lancellotto-iv-75-4
et la prant par les braz 	et print la pucelle par les bras 	et la prent par les deux bras 	et la prent par la main 	si la prent par la main. 	et prent la damoisele par lez bras 	y tomola porla mano 	
et la met fors, 	et la leua hors de la cuue.	et la mect hors 	et la met hors. 	et la met hors. 	et le met hors de la cuue aussi legierement  comme sil ne li greuast noient. 	y sacola fuera 	
Et quant ele se voit delivre,  si li chiet as piez 	Et quant elle se ueit ainsi deliuree:  si lui cheut aux piez	Et quant elle se uoit deliure  si luy cheit aux piez 	et quant ele ce uoit deliure si li chiet as piez 	Et quant ele se uoit deliuree.  si li chiet aus piez. 	Et quant cele se uoit deliure  si li chiet as pies. 	y quando la donzella se vido fuera dela cuita 	
et li baise la jambe  et le soler 	et lui baisa la iambe 	et luy baise la iambe et le soler	et li baisse la Ianbe et le soler 	Et li bese la iambe et le soller. 	si li baise la iambe et le soler si li dist 	enque yazia fincolos  ynojos ante el 	
et li dist: «  Ha, sire, beneoite soit l’eure  que vos fustes nez,  car vos m’avez gité de la greingnor dolor ou fame fust onques. » 	en lui disant. Sire cheualier benoitte soit leure  que uous fustes ne/  car uous mauez gettee de la greigneur douleur  ou oncques femme fut. 	et luy dist.  haa beneiste soit leure  que uous fustez ne.  Car uous maue gecte de la plus grant douleur  ou dame fu oncquez.	et li dit. Sire beneoite soit leure  que uos futes nez. Car uos maues iete de la dolor plus grande  ou fame fust onques mais. 	et li dist. Ha: sire beneoite soit leure  que uous fustes nez.  Car uous mauez ostee de la greigneure doleur.  ou fame fust onques. 	ha : sire beneoite soit leure  que vous fustes nes quar vous maues gete de la greignour dolor 	y dixole  señor vendito sea el dia enque naçistes  Ca vos me librastes dela mayor Cuita  que nunca muger sufrio 	ch’ellode, 
Mais maintenant conmance la sale a emplir de dames et de chevaliers 	Cella fait toute la sale fut remplie de dames damoiselles et de cheualiers 	Mais adonc commence a emplir la sale de dames de pucelles et de cheualiers 	Maintenant commensa a enplir la salle de dames et de cheualiers. 	Maintenant commence la sale a emplir de dames et de cheualiers. 	ou femme fust onques Quant lancelot ot getee la damoisele de la cuuee ensi 	y besole el pie  y luego entraron muchas dueñas e Caualleros enel palaçio 	
et si assemblent tuit cil de la vile por veoir la damoisele 	pour ueoir ces merueilles.  Si uestirent la damoiselse 	et si assemblent tous ceulx de la uille  pour uoir la damoisele 	et si assenblerent tuit cil del chastel  por ueoir la grant merueille 	Et si assemblent tuit cil du chastel  pour ueoir la merueille. 	com vous poes oir  Lors commencent a assambler entour lancelot tout cil de la uille. dames et cheualiers por veoir la damoisele 	por ver aquella marauilla  Ca luego dieron de vestir ala donzella 	
			Si uestent la damoisele 				
et la mainnent en une chapele  por randre graces a Nostre Seingnor. 	et la menerent en une chappelle  pour rendre graces a dieu. 	et la mainent en una chappelle  pour rendre graces a nostre ssͬ. 	et la mainnent a .I. chapele por rendre graces a nostre signor. 	Et uestent la damoisele et lamoinent a une chapele.  pour rendre graces a nostre seignor. 	si lenmainent en vne capele  pour rendre graces a nostre seignor. 	y lleuaronla avna capilla de san-cta maria  por dar graçias de aquella merçed quele fazia 	
Lors moinnent Lancelot en I. cimetiere desouz la tor 	Lors menerent lancelot en ung cymetiere  lequel estoit desoubz la tour	Lors mainnent lancelot en ung cimetiere pres de la tour	et lors menerent lanc̃ a une c̶h̶a̶ cimetere deiouste aluec seant. 	Et lors moinent lanc̃. en .i. cimetiere.  qui illec deiouste estoit. 	Et lors enmainent lancelot en vne cymentiere desouz la tour 	e otrosi lleuaron a don lanzarote a vn çiminterio  que hera so la torre grande 	
et li monstrent I. tombe molt riche  ou il avoit lestres escrites 	puis lui monstrerent une tombe  ou il y auoit lettres escriptes 	et luy monstrent une tour mout belle  ou il y auoit lectres	et li mostrerent une tombe mout riche ou il auoit lestres escrites mout riches. 	et li moustrent une tombe molt riche.  ou il auoit lectres escriptes. 	et li moustrent vne tombe moult riche. ou il auoit lettres escriptes 	y mostraronle vn munumento muy fermoso e muy Rico en que hauia letras 	
qui disoient: «  Ja ceste tombe ne sera levee devant 	qui disoieut ainsi. Ia ceste tombe ne sera leuee 	qui disoient Ia ceste tombe ne sera leuee 	qui dissoient Ia ceste tonbe ne cera leuee 	Qui disoient. ia ceste tombe. ne sera leuee par home. 	qui disoient ia ceste tombe ne sera leuee 	que dezian de aqui ya esta tumba no sera alçada 	
			deuant que li serpans 				
que li lieparz i mestra main,  de qui li granz lions doit issir, et cil la levera legierement, 	deuant que celui y mettera la main:  duquel le lyon roial doit yssir/  et icelui la leuera legierement 	deuant ce que le liepart y mectra la main  dont le gnt lion doit yssir:  et cil la leuera legierement 	dont li grans lyons istera. i metra la main.  mais ciz la leuera legierement. 	deuant que li liepart dont li granz lyons istra metra la main.  Et cil la leuera legierement.	deuant ce que li lupars  de qui li grans lyons istera y uenra  Et cil la leuera legierement 	si non porel leon pardo dequien a de salir el gran leon mas este la alzara muy ligeramente 	
et lors sera engendrez li granz lions en la bele fille au roi de la Terre Forainne. » 	Et dicelui sera engendre le grant lyon roial en la belle: fille au roy de la terre foraine. 	et lors sera engendre le grant lion en la belle fille au roy de la terre foraine. 	et lors cera engendres li lyons en la bele fille au roi de la terre forainne.	Et lors sera engendrez li granz lyons. en la bele fille au roy de la terre foraine. 	Et cils grans lyons sera: engendres en la bele fille le roy de la terre foraine. 	ca entonçes se engrandezera el gran leon  enla fija del Rey dela tierra forana 	
Quant il a les lestres leues,  si n’entant pas  qu’eles vuelent dire et cil  qui entor lui sont li dient: « Sire, nos cuidons bien	Quant lancelot eut les lettres ueues: il nentendit pas de prime face  quelles uouloient dire. Adonc les assistans luy dirent. Sire nous croions fermement et sans doubte 	Quant il a leu les lectres  si nentend pas  que ce ueult dire.  Et ceulx qui sont entour luy. luy dient. Sire nous cuidons 	Qnent il a leues les lettres  si ne atant mie bien  qu eles dient.  et cil  qui entor lui sont Li dient. Sire nous cuidons bien 	Et quant il a les letres leues Si nentent mie ce  que eles ueulleut dire.  Et cil  qui sont eutour li dient. Sire nous cuidons bien. 	Cuant lancelot ot les lettres leuees.  si nentent mie ce  que elles uoloient dire.  Et cil  qui entor lui estoient li dirent Sire nous quidons bien 	Como don lançarote alço la tumba  y mato la serpiente Puesque lançarote leyo las letras  y no entendio lo que querian dezir  y los que estauan alderredor del dixeron  señor nos sauemos bien 	
que ce soiez vos  dont ces letres parolent,  car nos savons bien par la damoisele 	que ce soyez uous par ce  que uous auez deliure la damoiselle: 	que ce soit uous  dont ces lectres parlent.  car nous sauons bien par la damoisele	que ce soit uos  dont les lectres parolent .  Car nos sauons bien par la damoisele 	que ce serez uous de qui ces letres parolent.  Car nous le sauons bien par la damoisele	que ce soies vous  dont ces lettrez parolent.  Car nous sauons par la damoisele 	que vos sodes este leon Pardo que estas letras fablauan  y no entendio lo que querian dezir  ca nos entendemos bien porla prueba 	
que vos avez delivree  que vos estes li mieldres chevaliers de touz cels  qui or sont. —  Que volez vos 	ce que na peu faire nul autre.  Que uoulez uous dist lancelot 	que uous auez deliuree  que uous estes le meillieur cheualier du monde de tous ceulx  qui ores sont.  Que uoulez uous fait il 	que uos auez deliuree.  que uos estes li muedres cheualiers del monde.  et que uoles uos fait il	que uous auez deliuree  que uous estes li mieldres cheualiers. del monde. Et que uolez uous fet il 	que vous aues deliuree.  que vous soies li mieldres cheualiers  qui ore soit.  Que uoles vous fait lancelot  que iou vous face. 	que vos feçistes enla donzella  que librastes dela tina ardiente  enque ella estaua que vos sodes el mejor cauallero del mundo  amigos dixo el  no me digades esto 	
que je face? Je sui pres de faire totes voz volentez. — Nous volons. font il,  que i vos levez ceste tombe 	que ie face ie suis prest dacomplir toutes uoz uoulentez. Sire nous uoulons que uous leuez ceste tombe 	que ie face ie suys prest de faire toutes uoz uoulentez. nous uoulons font ilz  que uous leuez ceste tombe 	que ie face ie sui aparilliez a fai uos uolentes. Nous uolons font il  que uos leuez ceste tonbe. 	que ie face. Ie sui touz prez de fere uos uolentez.  et nous uolons font il.  que uous ceste tombe leuez. 	Iou sui tous pres de faire vostre volente  Nous uolons font il  que vous leues ceste tombe 	mas dezidme y mostradme lo que tengo de fazer 	
et veoiz  qu’il a desouz. »  Et il met la main au plus gros chief et la lieve trop legierement 	et que uoyez  quil y a dessoubz: Il mist donc la main a la tombe au plus gros chief	pour ueoir  quil y a dessoubz  et il mect la main au plus gros chief et la lieue trop legierement. 	et que uos uoiez  qu il a dedans.  et il met la main au plus gros chief et la lieue legierement 	et uoiez  quil a dedenz.  Et il met la main au gros chief.  Et la lieue trop legierement. 	et regardes quele chose il a desouz  Et il met maintenant la main au plus gros chief si le lieue assez legierement. 	y fazerlo  he como vos quisieredes Nos queremos dixeron ellos  que alzedes esta tumba y bedlo que yaze so ella  y don lançarote tomo luego la tumba  porel cauo mas grueso 	
et voit dedenz le plus hideuz serpent et le plus felon par samblant 	et la leua legierement  si ueit dessoubz le plus grant serpent et le plus hydeux par semblant 	et il uoit dessoubz le plus hideux serpent et le plus felon 	Et uoit dedans le plus hideus serpant par semlant et le plus hideus et felon 	Et uoit dedenz le plus hisdeus serpent et le plus felon par semblant 	et voit desouz le plus hideus serpent 	y alçola luego muy ligeramente y vio dentro vna serpiente la mas fuerte 	
dont il oïst onques parler. 	dont il eust encques ouy parler. 	dont il ouy oncquez parler. 	dont il onques mais ost parler. 	dont il onques oist parler. 	dont il oist onques mais parler. 	que el nunca viera 	
Et quant il voit Lancelot, 	Si lui getta le serpent feu ardant 	Et quant il uoit lancelot 	et quant il uoit lanc̃ 	Et aquant il uoit lanc̃. 	Et quant li serpens voit lancelot 	e quando ella vido a don lançarote alçose contrael 	
si li gete feu si ardant  qu’il li brule tout son haubert et ses armes  et se lance fors de la tombe en mi le cimetiere 	tellement  quil luy brula son haubert et ses armeures/  puis se lanca hors de la fosse  emmy le cymetiere 	si luy gecte le feu si ardant  quil luy brulte tout son haubert et ses armes et sa lance fors de la tombe ou cimetiere 	si geste feu ardant  et se lieue contre lui.  et li brule tout son haubert.  et se lance de la fosse enmi la cimetere. 	si se dresce Si li rue parmi la gueule feu ardant.  si quil li brulle tout son hauberc et ses armes  et se lance hors de la fosse. enmi le cimetiere.  et commence a giter feu 	si li giete fu ardant  si que il li brulle son hauberc  et sez armes.  et puis se lance hors de la fosse en mi la cymentiere 	y lanço porla boca vn fuego tan grande que todas las armas les amusco  y desi salto fuera del munumento 	
				et flambe parmi la bouche. 			
si que li arbrisel 	et commenca a getter feu et flande/  si que les arbres de parmp le cymetiere commeneerent a ardoir 	si que les arbresaux 	Et lors comence a gester feu et flame 	Si que li arbres 	si que li arbrissel 	y començo a echar tanto de fuego 	
qui dedenz estoient conmencierent a ardoir por l’ardeur dou feu.  Et cil de laienz tornent en fuie  et montent as fenestres en haut  por veoir  conment il sera  et Lanceloz gete son escu l devant son vis, 	et ceulx de leans tournerent tous en fuitte pour lardeur du feu/  puis monterent aux fenestres pour ueoir  comme il en auiendia.  Alors getterent a lancelot son escu et son glaiue  et il le print  si mist son escu deuant son uiz/ 	qui dedans estoient commencerent a ardoir peut lardeur du feu.  et ceulx de leans tournent en fuye et montent aux fenestres en hault  pour ueoir  comment il le fera Ca lancelot gecte son escu deuant son uis 	si que li arbrisel de la cimetere commencent a ardoir. et cil de laiens sen fuient por lardour  et ce mestent as fenestres  pour ueoir  comment il en cera.  et gestent a lanc̃. son glaiue et son escu. 	qui estoient el cimetiere commenciere commencierent a ardoir de langoisse del feu.  Et cil de laienz sen fuirent pour la dolor del feu.  et monterent aus fenestres en hault . pour ueoir  comment il sera.  Et gietent a lanc̃. son escu et son glaiue  et il le prent.  Et met lescu deuant son piz.	qui el cymentiere estoient commencierent a ardoir  pour le fu  quil getoit.  Et cil  qui illuec estoient commencierent tout ae à fuir  et montent as fenestres en haut  pour ueoir comment il en auendra a lancelot.  Et il giete son escu  deuant son viss. 	que quemo vnos arboles pequeños  que ay estauan  y todos començaron de fuir y fueronse subir sobre vnas finiestras  por ver lo que faria don lançarote  y el puso el escudo delante si 	
puis s’adresce cele part  ou il vit le serpent comme cil 	puis se adreca celle part  et ala tout incontinent  ou le serpent estoit 	puis sadrece celle part ou il uoit le serpent 	et il le prant  et met lescu deuant Son uis. 	puis sadresce cele part  ou il uoit le serpent comme cil 	et sadrece cele part  ou il voit le serpent.  comme cil 	y dexo correr contrala serpiente 	
qui ne doute aventure 	qui ne doubtoit quelque auenture 	et il luy gecte feu enuenime  si	et sadresce la 	qui ne doute  auent᷑e 	qui ne doute nulle auenture 	ca non la dubdaua ni temia ninguna Cosa ni auentura 	
qui avenir li puisse.  Et li serfald]panz li giete feu envenimé 	qui aduenir lui peust, le serpent enuenime lui getta feu 	quil luy abat son escu par dehors.  Et cil 	ou il uoit le serpant.  et li serpens li rue feu 	qui auenir li puisse.  Et li serpent li giete feu enuenime. 	qui auenir li puist.  Et li serpens li giete fu envenime 	quele auiniese  y la serpiente començo a echar fuego  y ponzoña contrael 	
si qu’il li art son escu par defors 	si lui ardit son escu par dehors.	qui ne doute auanture 	et li art tout son escu par desous.	si que il li art son escu par dehors. 	si quil li brulle tout son escu deuant. 	asi que todo el escudo le quemo 	
et Lanceloz le fiert par mi le piz del glaive 	Et lancelot le frappa du glaiue si asprement 	qui luy puisse aduenr le fiert du glayue par le pis	et lanc̃ le fiert del glaiue parmi le pis 	Et lanc̃. le fiert parmi le piz del glaiue. 	Et lancelot le fiert el pis del glaiue. si durement 	e don lançarote le fue a dar vna lançada tan grande porlos pechos 	
si qu’il li met el cors et fer et fust. 	quil lui mist ou corps/ et le fer et le fust. 	si quil luy mect parmy le corps fer et fust. 	si quil li met el cors et fer et fust. 	si quil li met el cors et fer et fust. 	quil li met el cors fer et fust. 	quela lança le paso dela otra parte 	
Et il conmance a batre a la terre de ses eles comme cil  qui est navrez a mort,  et ll met la main a l’espee 	Adonc cheut a terre et commenca a batre de ses aelles  comment cellui  qui naure estoit a mort Lancelot neantmoins mist la main a lespee 	et il commence a batre la terre des esles comme cil  qui estoit naure a mort.  et il mect la mami a lespee 	et li serpans commace la terre abatre de ses eles. comme ciz  qui estoit naures a mort. et lanc̃ hauce lespee 	Et cil commence la terre a batre de ses eles.  comme cil  quil ert naurez a mort.  Et il met la main a lespee 	Et li serpens commence a batre la terre de ses elles  comme cils  qui ert naures a mort.  Et lancelot met main a lespee 	y la serpiente començo a ferir delas alas conla Rauia dela muerte  y don lanzarote metio mano al espada 	
et li donne grant cop la	en lui dennant de grans coupz par tout 	et luy donne grans cops la 	et li done grans cox la 	et li donne granz cox. la	et li donne. j. tel cop 	y començole de dar muy grandes golpes 	
ou il le puet ataindre 	ou il le pouoit attaindre/ 	ou il le puet ataindre 	ou il le puet ataindre 	ou il le puet ataindre. 	quil li fait la testevoler a terre a 	por doquier quela podia alcançar 	
tant qu’il li fait le chief voler.	et tant quil lui fist uoller la teste. 	tant quil lui fait uoler le chief. 	Tant que il li fait le chief uoler. 	tant quil li fet le chief uoler.	Quant lancelot ot ocis le serpent.  qui longement ot este desouz la tombe del cymentiere.	asi que ala çima la tajo la cabeza 	
Lors viennent? avant li chevaliers  qui ja estoit armez  por aidier a Lancelot;  et quant il voient  qu’il l’a ja occis, 	Lors uindrent a lui ceulx de leans qui ia estoient armez  pour lui aider.  Et quant ilz ueirent le serpent occiz 	Lors uient auant le cheualier  qui ia estoit arme pour aider a lancelot.  Et quant il uoyent  quil est ia occis	Lors uiennent li cheualier  qui Ia estoient arme  Pour aidier Lanc̃.  et quant il uoient  quil a le serpent ocis 	Et lors uienuent auant li cheualier.  qui ia estoient arme pour aider. a lanc̃.  Et quant il uoient  quil la ia ocis. 	Lors viennent auant li cheualier  qui ia estoient arme  pour aidier a lancelot.  Et quant il uoient  quil a le serpent ocis. 	entonçes vio venir muchos caualleros armados que venian a ayudar  y quando vieron la serpiente muerta fueron todos muy alegres  y fueron todos contra don lan-zarote 	
si le reçoivent a grant joie  et conmancent li sain a sonner.  Maintenant viennent laienz chevaliers, dames et damoiseles tant  que ce n’est se merveille non a	si commencerent tous a faire grant feste  et senner les cloches.  Si eussiez ueu uenir leans cheualliers dames et damoiselles a si grant abondance  que merueilles. 	si recourent lancelot a grant ioye  et commencent les sains a sonner. et lors uiennet leans cheualiers dames et damoiseles  tant que cest merueilles	si le resoiuent a mout Grant Ioie.  et coumencent tuit li saint del chastel a soner. et maintenant uiennent laiens dames et damoiseles et cheualier.  tant que ce nest ce merueille non. 	si le retornent a grant ioie.  Et commencent tuit li saint a sonner.  Maintenant uiennent laienz cheualiers et dames et damoiseles.  tant que ce nest se merueille non.  Si font a lancelot si grant honneur  que ce nest se merueille non. 	si mainent trop grant ioie.  si quil font tous lez sains del chastel sonner	y Resçiuieronlo con muy gran alegria  y luego començaron de tañer todas las canpanas dela villa  y todos los Caualleros y escuderos  y muchas dueñas y donzellas se llegaron ay  y pasauan porante don lanzarote 	
et li dient  que bien soit il venuz sor touz ceaux dou monde ; 	Puis lui dirent  que bien fust il uenu sur tous ceulx du mende 	et luy dient  que bien soit il uenu sur tous ceulx du monde 	et dient a lanc̃  que bien soit il uenus sor tous ceus del monde 	Et li dient  que bien soit il uenuz sor touz cels del monde. 	et li dient  que bien soit il uenus sor tous lez cheualiers del monde : 	y façianle todos Reuerençia e deçianle todos vos sodes el bien benido sobre todos los Caualleros del mundo 	
si le moinnent el maistre palais  et le desarment. A cels paroles issi de laienz J. granz chevalier. 	Et le menerent sur au pallsis.  puis le desarmerent.  A ces parolles yssirent tous ceulx de leans. 	et lemmainent ou maistre palais  et le desarment A ces paroles yst dune chambre ung grant cheualier 	et le mainnent el palais et le desarment. A ses paroles issi uns cheualiers dune chanbre. 	Si le mainent el mestre pales  et le desarment. A Ces paroles issi dune chambre .i. grant cheualier. 	si le mainent el maistre palais  puis le desarment. Ensi con desarmoit lancelot 	y lleuaronlo al gran palaçio 	
et amenoit o lui grant compaingnie  et estoit I. des plus biaux hom 	Et tant que dune autre chambre uirent sortir ung cheualier.  auec luy grant compaignie dautres cheualiers.  or estoit il ung des beaulx cheualiers/ 	et menoit o luy grant compaignie cestoit ung des plus beaux hommes 	et amenat auec lui grant compangnie.  et estoit li plus biax hons 	et menoit o lui grant compaignie.  Et estoit .i. des plus biaux cheualiers. 	si issi de vne cambre vns grans cheualiers si amenoit aueques lui grant compaignie de cheualiers.  Et il estoit vns dez plus biaus hommes 	y fizieronlo desarmar 	
que Lanceloz eust onques veu,  puis qu’il parti de Kamaalot, 	que oncques lancelot eust ueu/  puis quil estoit parti de kaamalot/ 	que lancelot eust oncquez  mais ueu depuis quil party de camaalot 	quil ueist puis quil parti de kamalot. 	que lanc̃. eult ueuz.  puis quil parti de kamaalot. 	que lancelot eust onques ueu  puis quil se fu partis de camaalot 	entonçes vio don lançarote salir devna camara vn gran Cauallero y conel vna gran compaña de Caualleros 	
et molt resambloit bien gentil home. 	et moult sembloit bien gentil homme. 	si resembloit moult bien gentil homme 	et mout sanbloit gentis hons et uaillant. et	Et molt resembloit bien gentil home. 	et moult resambloit bien gentil homme. 	y hera muy fermoso e muy preçiado amarauilla 	
Et quant cil de laienz le voient venir, 	Et quant ceulx de leans le ueirent uenir 	Et quant ceulx de leans le uirent uenir 	quant cil de laiens le uoient uenir 	Et quant cil de laienz le uoient uenir 	Et quant cil de laiens le virent 	y los del palaçio  quando lo vieron dixeron a don lançarote 	
si se lievent encontre lui  et dient a Lancelot: « Sîre, veez ci le roi qui vient. »  Lors se dresce Lanceloz  et dist 	si se drecerent tous encontre luy/  en disant ueez cy le roy ueez ci le roy.  Lors se dreca lancelot encontre luy en luy disant 	si se lieuent contre luy et distrent a lancelot. Sire uez cy le roy  ou il uient Lors se drece lancelot  et luy dit 	si dient a lanc̃. Sire ueci le roi.  et il se dresce maintenant encontre lui.  et li dit 	si se lieuent encontre lui.  Et dient a lanc̃. Sire uesci le roy  qui uient.  Lors se dresce lanc̃.  et li dit 	si se leuerent -  et dient a lancelot. Sire uees chi le Roy.  Quant lancelot entent  que ce estoit li roys.  si se drece encontre lui  et li dist A 	señor vedes ay el Rey  y qual Rey dixo el  señor dixeron ellos el Rey peles  y luego fue don lançarote contrael  y dixole vos señor seades bien benido  y el Rey lo fue a abraçar  y dixole 	
que bien soit il venuz  et il li rant son salu  et li gete les braz au col  et li dist: « Sire,  tant vos avons desirré a veoir et a avoir 	que bien puisse il uenir/  et il luy rendit son salut/  puis luy getta les bras au col  en luy disant  ha ha sire/  tant uous desiroye a ueoir et a auoir/ 	que bien soit il uenu et le roy luy rent son salu it luy gecte les braz au coul  et luy dist. Sire  tant uous auons desire a ueoir et a auoir 	que bien soit il uenus.  et il li rent son salu et li geste les bras au col  et li dit. Sire tant uos auons desire a ueoir et a auoir 	que bien soit il uenuz.  Et il li rent son salu.  et li giete les braz au col  et li dit. Sire  tant uous auons disirre a ueoir et a auoir 	que bien soit il uenus.  Et li roys li a rendu son salut. puis li giete sez bras au col.  Et li dist Sire tant vous avons desire : 	señor buena ventura vos de dios  ca sabed señor  que mucho vos deseauamos ver 	
que Deu merci or somes nos saisi de vos.  Et sachiez 	et dieu mercy/  or sommes nous saisis de uous/  et sachiez 	que dieu mercy sommes nous saisiz de uous.  et sachez 	que dieu mera or soumes ore saisi de uos. 	que dieu merci or sommes sesis de uus.  Et sachiez 	que ore vous auons. 	e loado sea dios 	
que nos en avions grant mestier, 	que nous en auions grant mestier.	que nous en auons grant mestier. 	et nus en auiez grant mestier.  Car	que nous en auions grant mestier. 	Si en auiemes moult grant mestier. 	que vos Auemos 	
car tant a esté nostre païs deserté et essillié et li povre home perdu lor gaingnage  qu’il ert des ores mais bien droit, 	Car tant a este nosire poure pays desherite et gaste/ et les poures hommes perdu leurs gaignaiges/ il est desormais temps 	Car tant a este nostre pays desherite et essille  et les poures homes perdu leur gaing.  quil est desormais bien temps 	tant a este nr̃es pais desertes et essilliez  et li poure home perdu lor gaangnages  que il est ore bien 	Car tant a este nostre pays deserte et essillie  Et li poure home perdu lor gaaingnage :  quil ert desormes bien droiz. 	quar tant a este nostre pais essillies et desertes  que li poure homme y ont perdu lor gaaingnages.  si est des ore mais bien tamps 	que tanto a estado esta nuestra tierra en Cuita y en pobreza  que todos los que y moran son pobres  e bien seriades oy  mas si a dios pluguiese 	
s’il plest a Nostre Seingnor,  que lor pertes soient restorees 	sil plaisoit a nostre seigneur  que leurs partes leur fussent restaurees 	sil plaist a nostre seigneur  que leurs pertes soyent restorees 	tans ce il plaisoit a nr̃ signor  que lor pertes fussent restorees 	sil plest a nostre seignor  que lor pertes soient restorees. 	puis quil plaist a nostre seignor  que lor pertes soient restorees. 	que cobrasen sus Riquezas Entonze lo tomo porla mano 	
et lor biens restabli 	et leurs biens restabliz/	et leurs biens restabliz 	et lor biens Lor fussent rendu 	Et lor biens restabliz 	Et lor bien 	y fueronse a sentar envn estrado 	
dont il ont esté grant piece soufraiteux. »  Lors s’asiet li uns delez l’autre 	dont ilz ont este grant piece souffreteux.  Lors se asseirent lun pres de lautre En sinterrogant 	dont ilz ont grant piece este souffresteux.  Lors sasseoit lun pres de lautre 	dont il ont asses este grant piece Souffroitous et apouri. Lors sacient li uns delez lautre. 	dont il ont este grant piece souffreteus.  Lors sassiet li uns delez lautre. 	dont il ont este grant piece souffraiteus. Lors sassieent ensamble. 	y el Rey dixo 	
et li demande li rois 	dont ilz estoient.  Adonc le roy demanda a lancelot 	et luy demande le roy	et li rois li demande 	et demande li rois 	si demande li roys a lancelot 	señor como habedes nombre señor 	
dont il est 	comment il auoit a nom/ 	dont il est. 	qui il est 	dont il est. 	dont il est	dixo el 	
					et comment il a a non 		
					Et il dist 		
					quil est de la maison le roy artu et de sez cheualiers. 		
				et comment il a a non. 			
			et comment il a 				
et conment il a non. — Lancelot del Lac, fait il. — 	et il respondit  quil auoit a nom lancelot du lac/ 	et comment il a nom.  et il dit lancelot du lac. 	non.et il li respondi  qu il a non lanc̃. del lac. 	Et il dit  quil a a non lanc̃. del lac. 	et a a non lancelot del lac.  Et li roys li dist 	yo he nombre don lançarote del lago 	
Or me dites, fait li rois, li rois Bans, li prodom 	or me dictes fist le roy/  Ban le preudomme 	Or me dictes fait il le roy 	Or me dites fait li rois Bans li preudons 	Or me dites fet li rois. li rois ban. 	Or me dites douls sires.  En ne fu li roys bans 	e dixo el Rey El Rey ban  que murio 	
qui morut de duel, ne fu il vostre peres? — Sire, fait Lanceloz, oïl. — 	qui mourut de dueil/  ne fut il pas uostre pare/ Sire fist lancelot. ouy. 	ban le preudomme ne fut il pas uostre pere. Sire dist lancelot ouil. 	qui morit de duel  en ne fu il uostres peres. Sire fait il oil. 	qui preudons estoit  qui morut de duel. ne fu il uostre pere. Sire fet lanc̃. oil. 	qui morut de duel uostres peres. Sire fet lancelot oil. 	Con pesar fue vuestro padre  Si señor dixo el 	
Par foi, fait li rois, 	Par ma foy fist le roy/ 	Certes dist le roy. 	En nou dieu fait li rois 	par foi fet li rois. 	Par foy fait li roys 	pordios dixo el Rey 	
dont sui je touz aseur 	or suis ie donc tout asseur/ 	doncquez suys ie tout asseur 	dont sui ge seurs 	dont sui ie tout asseur. 	dont sui iou tout asseur. 	agora  so yo muy ledo 	
que par vos ou par chose 	que par uous ou par chose 	que par uous ou par chose 	que par uos ou par chose 	que par uous. ou par chose 	que par vous ou par cose 	Ca yo se 	
qui de vos istra sera cil pais delivrez des estranges aventures 	qui de uous ystra/ sera ce pays deliure des estranges auentures/ 	qui de uous ystra sera ce pays deliure des estranges auantures	qui de uous cera. Sera cis pais deliures des estranges auantures 	qui de uous istra sera cist pays deliurez des estranges auentures.	qui de vous istera cils pais deliures des estranges auentures 	que porel y por vos saldra a desora esta tierra libre delas estrañas abenturas 	
qui i aviennent jor et nuit. » 	qui y auiennent iour et nuyt. 	qui y aduiennent iour et nuyt. 	qui i a auiennent nuit	qui y auiennent iour et nuit . 	qui y auienent nuit et iour. 	que ay bienen noche y dia 	
Lors vint avant une dame de si grant aage 	Lors uint auant une damoiselle de moult grant eage 	Lors uient auant une dame aagee	et Ior. LOrs uient auant une dame de grant aage 	LOrs uint auant une dame. De si grant aage 	Atant vint illuec vne dame de si grant aage 	Como don lançarote vio el palomo  que traia el ynçensario y la donzella que traia el sancto baso 	
que bien pooit avoir C. anz; si apele le roi, 	qui auoit bien. C. ans.  Sy appella le roy 	qui bien pouoit auoir cent ans 	qui bien pooit auoir .C. ans.  Si apela le roi 	que bien pooit auoir .C. anz.  Si apele le roy. 	que elle pooit bien auoir. C ans 	Ellos ansi fablando entro vna dueña enel palaçio  que hauia mas de çient años  e fuese al Rey  e dixole 	
si li dist: « Sire, je voil a vos parler. » Li rois se part de Lancelot 	et luy dist/ Sire ie uueil parler a uous  Si se partit le roy de Lancelot/	si a parle au roy et luy dist. sire ie uueil parler a uous.  Et le roy se part de lancelot 	et li dit. Sire ie uieng a uous parler. 	et li dit. Sire ie uoil parler a uous.  Et li rois se part de lanc̃. 	Si apela le roy et li dist. Sire iou voel a vous parler a conseil  Et li roys sen part de lancelot 	asi me querria fablar convos y el Rey se leuanto  y dexo a lanzarote 	
et commande a ses chevaliers 	et commanda a ses cheualiers 	et commande a ses cheualiers 	et li rois ce part dilluec et commande a ses cheualiers 	et commande a sses cheualiers. 	et commande a sez cheualiers 	y mando a todos 	
qu’il li facent compaingnie 		quilz luy facent compaignie.	qui facent a lanc̃ compangnie 	quil li facent compaignie. 	quil li facent com paignie. 	que se non partiesen del 	
et il dient  que si feront il. 	quilz lui tinssent compaignie. 	et ilz dient  que si feront ilz. 	et il dient que si feront il. 	Et il dient  que si feront il. 	Et il dient  que si feront il. 	y el fuese conla vieja auna camara 	
