0|1	Einsi fu Lanceloz III. jorz laienz, |si adolez 	Insi fu Lancelotto tre giorni là entro si adolorato 	0
357	et le viengne veoir hastivement, 	ch’elli il vegna domani a vedere tostamente, 	385
358	se il puet en nule manniere. » Li vallez se part de sa dame 	s’elli puote in nulla maniera. mvll valletto |si parte da sua dama 	386|387
359	et vient au roi Baudemagu, 	e viene al re Bando di Maguzzo, 	388
360	si li dist ce 	si gli disse ciò 	389
361	que sa fille li mande. 	che sua figliuola gli manda. 	390
362	Et quant il oit les nouveles de Lancelot, 	E quand’ebbe le novelle di Lancelotto, 	391
363|364	si est tant liez |qu’il ne set mesure; 	sì n’è tanto lieto sanza misura, 	392
365	si pense 	si si pensa	393
366	qu’il l’ira veoir au plus priveement 	ch’egli l’andrà a vedere al più privatamente 	394
367	qu’il porra, 	ch’egli potrà, 	395
368	car par aventure Lanceloz ne voldroit mie	ché per ventura Lancelotto non vuole mica 	396
369	que l’an le conneust au tornoiement. Il eslit III. i de ses plus privez amis, 	che uomo il conoscesse al torniamento. |E egli alegge quattro de suoi più privati amici, 	397|398
370	si en fu li uns dus et li autres quens et li tierz simples chevaliers, 	si mne fu elli l’uno e l’altro dussi, |e l terzo quan, e 'l quarto semplice cavaliere, molto era produomo. 	399|400
371	mes molt estoit prodome. « ll couvient 	E elli conviene, diss’egli, 	401
372	que vos viengniez o moi jusqu’a J. abaie 	che vo' vegniate con esso meco insino a una badia 	402
373	qui ci pres est. » 	che qui presso esto. 	403
374	Et il dient 	Egli dicono 	404
375	que si feront il volentiers, 	che si faranno egli volentieri. 	405
376	si montent erranment; 	Si montarono isnellamente, 	406
377	et quant il sont hors del chastel, li rois les apele	e quand’e sono fuori del castello, il re li chiama 	407
378	et lor dist : «Seingnor, savez vos 	e-llor disse: Signor, sapete voi |ov’i vo meno? 	408|409
379	ou ge vos maing? — Nanil, font il. — Je vos maing, fait il, veoir merveilles, 	-No, dicon |egli.— Vo meno, diss’egli, 	410|411
380	car je vos mousterrai orandroit I. sol chevalier 	a vedere maraviglie, |ch’i' vo mosterò oraindiritto un sol cavaliere 	412|413
381	qui a en soi toutes les vertuz 	ch’à in sé tutte le virtù 	414
382	par quoi bons doit estre loez. 	per che l’uomo dee essere montato; 	415
383	ne nus n’en est si bien garniz 	né nullo no n’è si ben guernito 	416
384	com il est, 	com’egli è, 	417
385	car il est li plus biaux chevaliers dou monde 	ch’egli è un de buon cavalieri del mondo 	418
386	et a or en soi plus de prouesce 	e à in sé più prodeze 	419
387	qu’il n’a en home mortel, 	che non à inn-uom mortale, 	420
388	et de sa valor ne porroit uns autres estre 	e di si nobil core |che più nullo altro, 	421|422
389|390	et est li mieldres chevaliers et li plus desirrez |que je onques veisse, 	e sire: 	423
391|392	Et que vos celeroie je ? |Nus ne vos porroit tant bien dire de lui 	ciò è miglior cavaliere, 	424
393|394	qu’il n’en i eust plus C. tanz.|Si sai bien, onques Diex nel fist fors 	e 'l più disiderato uasaandare c. leghe di terra 	425
395|396	por estre mireor as autres chevaliers. — |Par foi, font il, vos dites merveilles 	per lui vedere. 	426
397|398	et s’il est tex |com vos dites, 	—ePer fé, disse il re, 	427
399	l’an devroit bien aler C. liues loing por veoir le. — 	si à l’uomo molto più andato per lu' vedere: 	428
400	Par foi, fait li rois, 	si vo dirò 	429
401	si a l’an ja fait maîntes fois : je vi ja faire J. queste por lui 	come i’ vidi già fare una chesta per lui, 	430
402	ou il ot deci a LXV. chevaliers 	ov’egli ebbe insino a quindici cavalieri 	431
403	qui tuit estoient prodome et hardi 	che tutti erano molto produomini e arditi; 	432
404	et le quistrent I. an antier 	e lo 'nchiesono uno anno intero 	433
405	por veoir le, 	per vederlo, 	434
406	ne n’i ot nul d’aux 	né non ebbe nullo di loro 	435
407	qui le veist a ceste foiz. 	che l vedesse a quella fiata: 	436
408	Or sachiez	or sappiate 	437
409	que cil en alerent plus de M. liues 	che quelli n’andarono più di mille leghe, 	438
410	et si nel troverent il mie. » 	si nol trovarono elli mica». 	439
411	Tant ont alé 	isTanto ànno andato 	440
412	qu’il vindrent a l’abaie ou Lancelo. estoit ; 	ch’elli venero alla badia |ove Lancelotto era, 	441|442
413	si descendent. 	si discendono; 	443
414	Et li vallez vint avant 	e-valetto vene avanti 	444
415	qui dist a la damoisele: « Dame, mes sires li rois est venuz.» 	che disse alla damigella: |ibaDama, monsignore est venuto», 	445|446
416	Et ele vait encontre lui 	e ella va incontro a llui 	447
417	et le prant par la main et le moinne en une chambre 	e l prende per la mano, |e l mena in una camera 	448|449
418	ou Lanceloz estoit, 	ove Lancelotto era; 	450
419	mes il ne dormoit mie. 	ema elli non dormia mica, 	451
420|421	Et|quant il voit le roi Bademagu venir. 	e quand’e vide il re Bando di Fias. Maguzo venire, 	452
422	si se dresce en estant	si si dirizò in istante 	453
423	et li cort a l’encontre 	e li corre allo 'ncontro 	454
424	et li giete ses braz au col	e lli gitta il braccio a collo, 	455
425	et li dist 	e gli disse 	456
426	que bien soit il venuz; 	che ben sia elli venuto. 	457
427	puis court as autres	poscia alli altri, 	458
428	et lor fait molt bele chiere. 	e-llor fa molta bella 	459
429	Et li rois s’umelie mout et li dist 	cera.E l re s’umilia molto inverso lui |e li disse 	460|461
430	qu’il est ses sergenz et ses amis. « 	ch’egli è suo sergente e suo amico. 	462
431	Ha, sire, fet Lanceloz, 	eeHal, sire, disse Lancelotto, 	463
432	por Dieu merci, ne me dites jamés tex paroles, 	per Dio mercé, non mi dite giamai tali parole, 	464
433	que vos ne me porriez plus couroucier, 	ché vo no mi potreste più crucciare, 	465
434	car uns rois ne doit estre sergenz a nul si povre chevalier 	ché nullo re non dee essere sergente a si povero cavaliere 	466
435	comme je sui, 	com’i' sono, 	467
436	mais sires et commanderres. — 	ma signore e comandatore. 	468
437	Ha, sire, fait il, vos n’estes mie si povres 	— A, sire, diss’elli, vo' non siete mica si povero 	469
438	que je ne chanjasse la moitié de ma richesce a la vostre de tel povreté 	ch’i' non cambiassi ben la metà di mia richeza alla metà di tal povertà 	470
439	com vos avez, 	come vo' avete, 	471
440	se vos m’an voliez faire compaingnon. — Sire, fait il, 	se vo' me ne voleste fare compagno. |— le Sire, diss’egli, 	472|473
441	or laissons cels paroles, 	or lasciamo questa parole, 	474
442	car ce n’est mie comparoison de mestre I. povre chevalier contre J. riche roi puissant, 	chécciò non è mica comparigione di mettere un povero cavaliere contra un rico re e possente. 	475
443	mais dites moi 	Ma diteme 	476
444	comment vos l’avez puis fet 	come vo' l’avete poscia fatta 	477
445	que je ne vos vi. —	ch’i non vo vidi. 	478
446	Certes, sire, fait li rois, je vos ai puis molt desirré a veoir. Ier meismes 	-Certo, bel dolze sire, disse il re, i' vo ho molto poscia disiderato a vedere; |e ieri medesimo, 	479|480
447	quant mi home furent torné de place, vos regretoie je assez, 	quando miei huomini furono cacciati della piazza, |voi compians’io assai, 	481|482
448	car se je tout seul vos tenisse avec moi, je sai bien 	ché s’io tutto solo voj tenessi con esso meco, |i'so bene 	483|484
449	que tuit li autre fussent desconfit. 	che tutti gli altri fossono disconfitti. 	485
450	Et je vos proi por Deu et pour amor et por ce 	eE i’ vo priego, per amore e per ciò 	486
451	que je soie vostre ami a toz jorz 	ch’io sia vostro amico a tutti i giorni |mai, 	487|488
452	mais que vos nos aidiez demain a desconfire le grant orgoil. » 	che voi noi atiate domane, |che voi noi atiate a disconfiggere il grande orgoglio del re di Norgales». 	489|490
453	Et il dist 	Ed e dice 	491
454	que si fera il volentiers, « 	che si farà elli volentieri.	492
455	mais je vos requier, fait il, 	Ma i'vo richegio, sire, 	493
456	que vos ne me faciez connoistre a home 	che vo non mi facciate conoscere a uomo	494
457	qui de moi demant, 	che di me v’adomandi, 	495
458	car se je i estoie conneuz, 	ché s’io fosse conosciuto, 	496
459	tost m’em porroit venir courouz. — 	tosto me ne verebbe cruccio. 	497
460|461	Si m’aïst Diex, fait li rois, ja par moi n’en orra home novele». |Et il dist 	— Se m’aiuti ldio, disse il re, già per me non udirà huomo novelle». 	498
462	que		
463	donc i yra il volentiers. 		
464	Grant piece fu li rois laienz tant	sGran peza fu il re là entro |e tanto	499|500
465	qu’il orent mengié a disner. 	ch’elli ebbono mangiato al desinare; 	501
466	Mais se li III. compaingnon se mervillerent	ma s’e quattro compagnoni del re si maravigliarono 	502
467	et s’il resgarderent volentiers Lancelot, ce ne fet mie a demander, 	e s’elli riguardarono volentieri Lancelotto, 	503
468	car il ne virent onques mes home 	ciò non fa mica a domandare, ché non vidono unque mai huomo 	504
469	qu’il prisasent autretant 	ch’elli pregiassono altrettanto 	505
470|471	com il font lui. |Quant vint a ore de none 	come fanno lui. peeQuando viene a l’ora di nona 	506
472	qu’il orent par loisir mengié, si dist li rois 	ch’egli ebono per lecere mangiato, |si disse il re 	507|508
473	qu’il s’an voloit aler 	ch’egli se ne voleva andare 	509
474	et prist congié a Lancelot 	e prese comiato a Lancelotto, 	510
475|476	et il laisse IlI. de ses chevaliers avec lui |por faire lui compaingnie 	e li lascia tre de suoi cavalieri con esso lui per farli compagnia 	511
477	et por ce qu’il ne viengne pas demain seus au tornoiement. 	e per ciò che non vegna passo doman solo al torniamento. 	512
478	Et li rois s’en ala au chastel de la Herpe ou	E l re se n’andò al castello dell'Arpa 	513
479	si home l’atandoient. 	ove suoi huomini l’atendieno: 	514
480	Quant il fu descenduz, 	ee quand’e fu discenduto, 	515
481|482	si li demandent |si home	si l domandarono suoi huomini 	516
483	ou il avoit tant demouré 	ov’egli aveva tanto dimorato, 	517
484	et il dist en I. tel leu	ed e' lor disse in tal luogo 	518
485	ou il avoit si bien faite sa besoingne 	ov'egli aveva|si ben fatto sua bisogna 	519|520
486	com il voloit, «	come voleva: 	521
487|488	car je vos di vraiement, fait il, |que j’ai puis trové tele aide 	,Ch’i' vo dico, diss’elli, veracemente ch’i' ô poscia trovato tale aiuto 	522
489	dont cil de la seront vaincu : 	donde quel di là saranno uniti,	523
490	si le sai certainnement» ; 	si l so bene certanamentes, 	524
491	ne plus ne lor an vost dire. 	né più non loro ne vuole dire.	525
492	Celui jor firent li dui roi loges drecier en mi les prez 	Quel giorno feciono i due re logge dirizzare nel miluogo del prato,	526
493	ou il avoit fenestres et apoiaux as dames et as damoiseles. 	ov’egli aveva finestre e apoggiatoi di dame e di damigelle. 	527
494	Et il estoit lors acostumé	sE elli era allor costumata 	528
495	que les roines et les hautes dames aloient veoir le tornoiement Il. jornees loing ou III. et touz les chevaliers erranz 	che lle reine e l’altre dame andavano a vedere il torniamento duo giornate lungi o tre; |ee tutti i cavalieri erranti 	529|530
496|497	qui les tornoiemenz sivoient |et amenoient avec aux lor amies 	ch’e torniamenti seguivano avieno con esso loro amiche 	531
498	por veoir les millors chevaliers;	per vedere il miglior cavaliere: 	532
499	et por ce faisoit l’an par tout la 	e perciò facea l’uomo, per tutto là 	533
500	ou li tornoiemenz devoit estre les loges drecier. 	ove il torneamento dovea essere, le logge dirizare. 	534
501|502	Cele nuit fu Lanceloz serviz et honerez tant|com li IlI. baron porent, cels 	Quella notte fu Lancelotto servito e onorato tanto come i tre baroni poterono, 	535
503	que li rois i avoit laissiez. Au matin 	que che l re avea lasciati. Al matino, 	536
504	quant li jorz aparut, 	quando il giorno apparve, 	537
505	ainz que Lanceloz fust levez, vint laienz la damoisele, cele 	anzi che Lancelotto fosse levato venne a llui la damigella, quella 	538
506	por qui il estoit laienz remez, 	per cui era là entro rimaso, 	539
507	et li dist 	e li disse 	540
508	que bon jor li donnast Diex 	che buon giorno li donasse ldio, 	541
509	et il li randi son salu molt tost; 	e elli li rende su' saluto molto tosto. 	542
510|511	si dist: « Sire, je vieng prandre congié a vos |por aler as loges del tornoiement, 	Sire, diss’ella, i' vegno a pigliar comiato a voi per andare alle logge del torniamento, 	543
512	car je ne voil plus demourer por la presse des chevaux 	ch’i' non voglio passo dimorare per la pressa de cavalli 	544
513	qui ja i sera si granz	che già vi sarà si grande 	545
514	que je n’i porroie passer. — 	ch’i' non mi potrei passo andare. 	546
515	Alez a Deu, fait il. — Sire, fait ele, gardez 	— eAdio. diss’elli. |— Sire, diss’ella, 	547|548
516	que je vos i voie, 	guardate ch’i' vo veggia, 	549
517	car si m’atst Diex, je n’iroie ja autrement.» 	ché se m’aiuti Iddio. |i' non v’andrei già altrimenti».	550|551
518	Et il dist 	E elli disse 	552
519	qu’il i ira. 	che v’andrà. 	553
520	Lors s’em part la damoisele de laienz o grant compaingnie de dames et de damoiseles, 	s Allor si parte la damigella di là entro a molto grande compagnia di dame e di |damigelle;e	554|555
521|522	et quant ele vint es prez, |si voit 	quando ella venne nel prato, 	556
523	que les loges sont ja toutes plainnes de dames et de damoiseles 	si venne nelle logge sono tutte piene di dame e di damigelle 	557
524|525	qui ja estoient montees as fenestres |et atandoient tant 	che già erano montate alle finestre e attendieno 	558
526|527	que li tornoior venissent. |Et la fille le roi de Norgales, cele 	tanto che l torniamento venisse. Ella figliuola del re di Norgales, 	559
528	que mes sire Gauvain out eue pucele, 	quella |che monsignor Galvano aveva avuta pulcella, 	560|561
529	si com li contes a devisé, estoit illuec venue o grant compaingnie de dames et de damoiseles. 	si come il conto l’à divisato, era nel luogo venuta con gran compagnia di dame e di pulcelle. 	562
530	Et quant ele voit venir la fille le roi Bademagu, 	E quando ella vide venire la figliuola del re Bando di Maguzo 	563
531	si vait encontre lui 	si va incontro a llei 	564
532	et la reçoit a molt grant joie 	e-lla riceve a molto gran gioia, ella fa allato a llei sedere; ve cominciarono a parlare d’una e d’altra, 	565
533	et la fait lez lui seoir 	e tanto che-lla figliuola del re Bando di Maguzo domanda 	566
534	et conmancerent a parler d’unnes choses et d’autres, 	chi meglio l’avea fatto all’atra asembiata; 	567
535	et tant que la fille Baudemagu une damoisele 	e una damigella, |ch’allato	568|569
536	qui delez lui seoit li dist 	a llei si sedea, le disse 	570
537	que Madors de la Porte, I. des chevaliers le roi Artus, 	che Mador della Porta, un de cavalieri della magion del re Artù, 	571
538	et Mordrez, li frere mon signor Gauvain, avoient tout vaincu. — 	e Mordretto, il fratelo di monsignor Galvano, avieno tutto vinto. 	572
539	Et quels chevaliers est cil Madors ? fait ele. — 	aE qual cavaliere è quel Madore della Porta?,	573
540	Par foi, fait l’autre, 	diss’ella.— Per fé, diss’ella, 	574
541	ce est J. des greingnors chevaliers 	ciò è un de magior cavalieri 	575
542|543	que je onques veisse |et li mielz feranz de lance.»	ch’io unque vedesse, el me' fedente di lancias. 	576
544	Einsi parloient entr’elz des chevaliers. 	eInsi parlavano intra-lloro de cavalieri, 	577
545	Et Lanceloz est vestuz et aparilliez et or messe, 	e Lancelotto est vestito e aparechiato |e à udito messa, 	578|579
546|547	et li III. chevalier orent envoié |querre lor armes au chastel 	e tre cavalieri ânno mandato a chiedere loro armi al castello 	580
548	ou il les orent laissies. 	ove l’avieno lasciate. 	581
549	Et li rois Bademaguz lor manda	vE l re Bando di Maguzo lor manda 	582
550	qu’il ne venissent au tornoiement devant aprés prime 	che non venisono al torniamento davanti apresso prima sel 	583
551	et qu’il baillassent a Lancelot couvertures blanches 	ch’elli donassono a Lancelotto coverture bianche, 	584
552|553	et ausi a son cheval |et l. escu blanc;	a llui e a su' cavallo, e scudo bianco, 	585
554	et il le firent ainsi. 	ed elli il feciono insi.	586
555	Quant vint entor prime 	Quando venne intorno |prima 	587|588
556	qu’il erent tuit armé fors de lor hiaumes, 	ch’elli erano tutti armati forse di loro elmo, 	589
557	si distrent a Lancelot 	si disono a Lancelotto 	590
558	qu’il manjast I. poi pour aler plus seurement; 	ch’elli mangiasse un poco per andare più sicuramente, 	591
559	mais il dist 	ma elli lor disse 	592
560	que no feroit et il a monterent maintenant 	che non farebbe. Elli montano immantanente |e	593|594
561	et se partirent de laienz 	si partirono di là entro, 	595
562	et errerent par la forest 	e andarono tanto per me' la foresta	596
563	tant qu’il vindrent en la place. 	che venono nella piaza. 	597
564	Si erent ja assamblé	Si erano già asembiati, 	598
565|566	que d’unne part que d’autre plus de XX. mile |et le faisoient bien d’ambe JI. parz, 	che d’una parte e che d’altra, più di xxe. cavalieri: il facevano bene d’amindune parti, 	599
567	mais moult avoit plus grant gent li rois de Norgales 	ma troppo aveva più di genti il re di Norgales per diverso lui	600
568	que li rois Bademaguz 	che l re Bando di Maguzo non avea. zol 	601
569	Quant Lanceloz vint pres des jostanz,	Quando Lancelotto venne presso delle giostre, 	602
570	si se traist a une part lui et ses compaingnons 	si ristà a una parte lui e suoi compagnone	603
571	et resgardent liquel le font mielz; 	e riguarda i quali il fanno meglio: 	604
572	si voit III. chevaliers par desus le roi de Norgales 	si vidono tre cavalieri per diverso il re di Norgales 	605
573	qui trop bien le faisoient, 	che troppo bene il facevano, 	606
574|575	car il donnoient hardement as leur par lor bien faire |a: 	ch’elli donavano ardimento a lloro per lo ben fare. 	607
576	si avoient ja tant fet 	Si avieno già tanto fatto	608
577	que la gent Bademagu estoient ja reculé plus d’unne archie. 	che lla gente del re Bando di Marguzo era riculata più d’un'arcata.	609
578	Et la fille au roi de Norgales em parole a ses compaignes 	sE la figliuola del re di Norgales ne parla a sue compagne	610
579	qui illuec estoient	che nel luogo erano, 	611
580	et dist oiant toutes : « 	e disse avendof tutte: 	612
581	Par Dieu, moult fust i ancui biaux cist tornoiemenz, 	aPer Dio, molto fosse stato |qui bel torniamento 	613|614
582	se cil de la poïssent soffrir les noz. 	se que' di là potessono soferire i nostri, ma elli m’è aviso, 	615
583	Mais il m’est? avis, a ce qu’il vont reculant, 	acciò |ch’elli vanno riculando, 	616|617
584	qu’il seront par tans mis a la fuie; 	ch’elli saranno per tempo messi alla 	618
585|586	et ja Diex ne m’aïst, |se molt ne font a prisier. cil IlI. chevalier 	fugga.E già no m’aiuti ldio se molto non fanno a pregiare 	619
587	qui par devers les noz sont,	que' tre cavalieri |che diverso i nostri sono, 	620|621
588	car pour aux sont desconfit cil de Gorre. — Damoisele, fait la fille Baudemagu, 	ché per loro sono disconfitti |que di Gora. 	622|623
		— Damigella, disse la figliuola del re Bando di Maguzo, 	624
589	qui sont il cil 	chi son quelli 	625
590	qui doivent estre prisié ? —	che tanto debono essere pregiati? 	626
591	Par foi, fait ele, li uns en est Mordrez, li freres mon signor Gauvain a ce vermeil escu, 	—Per fé, diss’ella, |l’uno à nome Mordret, il fratello di monsignor Galvano, a quel vermiglio scudo, 	627|628
592	et li autres est Madors de la Porte, li graindres chevaliers 	e l’altro est Mador della Porta, el maggior cavaliere	629
593	qui ci soit, 	che sia qui, 	630
594	et li tierz est Galehodin, mes nies, cil 	e l terzo est Galigandino, mi nepote, quelli 	631
595	qui porte cel escu blanc. 	che porta quello scudo bianco: 	632
596	Ce sont cil	ciò son coloro 	633
597	qui mielz le font de toute ceste place 	che meglio il fanno di tutta questa piaza 	634
598|599	et par cui vostre gent sont desconfit. — |Or ne vos esmaiez, damoisele, fait cele de Gorre, 	e per cui vostra gente est già tutta disconfitta. — Or non voi ismagate, damigella, disse la figliuola del re Bando di Maguzzo, 	635
600	car si m’aïst Diex 	ché se m’aiuti Idio, 	636
601|602	que se li rois vostre peres ne|s’anfuit il verra? ancui donner telz cox 	se l re vostro padre non si fugge, elli vedrà ancor oggi donare tal colpi 	637
603|604	dont il n’atandroit I. |por tote sa terre perdre. — 	donde non atenderebbe uno per tutta sua terra perdere. - 	638
605	He, Diex, fait ele, 	Eil, Dio, diss’ella, 	639
606	qui les donra? — 	chi gli donerà? - 	640
607|608	Par foi, fait ele, veoir le porrez par tans, |car il est venuz 	Per fé, diss’ella, il vedere il potrete per tempo, ché quegli è venuto 	641
609	qui tex cox donne. » 	che ta colpi dona». 	642
610	En ce qu’eles parloient einsi,	ln ciò che parlavano insi, 	643
611	si oïrent le cri lever sor çaux de Gorre 	si udirono il grido levare sopra que' di Gora 	644
612	qui s’anfuioient, 	che si fugivano elli andavano pigliando 	645
613	et les aloient prenant cil de Norgales. 	que' di Morgales. 	646
614	Et Lanceloz apele cels 	E Lancelotto apella que' 	647
615|616	qui avec lui estoient |et lor dist : « Sivez moi, 	che con esso lui sono ellor disse: «Seguiteme, 	648
617	car trop avons atandu. » 	ché ora abiamo noi troppo 	649
618	Lors laisse corre par mi les rans 	attendutob.Allor lascia corere per me l’aringo 	650
619	quanque cheval puet aler, 	quanto che l cavallo puote andare, 	651
620	si fiert si durement le premier 	si fiede si duramente il primaio 	652
621	qu’il encontre 	ch’elli incontra 	653
622	qu’il porte lui et le cheval a terre tout en I. mont 	ch’elli il porta lui e l cavallo sin terral tutto in un monte, 	654
623	et fiert del retor un autre 	si fiede del troncone un altro cavaliere, 	655
624	sì qu’il li fait la sele vuidier. 	si che lli fa la sella votare. 	656
625	Et quant il a son glaive brisié, 	Quand’egli ebbe la lancia rotta, 	657
626	si met la main a l’espee 	si mette la mano alla spada	658
627	dont il se savoit bien aidier, 	donde si sapea molto bene atare, 	659
628	si conmance a ferir tout entor lui	si comincia a fedire tutto intorno lui 	660
629	et a donner granz cox et point amont 	e a donar gran colpi, |e pugne a monte 	661|662
630	et aval ne n’ataint home 	e pugne a valle, né non agiugne huomo 	663
631	qu’il ne le port a terre. Il esrache escuz des cox et hiaumes des testes, 	che non porti a-tterra. |WElli arappa scudi di collo e elmi di testa, 	664|665
632	si fait tant em poi d’ore 	si fa tanto in poca d’ora 	666
633	que touz li tornoiz s’areste sor lui por veoir les merveilles 	che tutto il torniamento s’aresta intorno lui |per vedere le maraviglie	667|668
634	qu’il fet. 	ch’elli fa, 	669
635	qu’il n’i a mais nul, 	ch’elli non agiugne huomo, 	670
636	tant soit hardiz, 	tanto sia pro', 	671
637	qui a cop l’ost atandre:	che non porti atterra o morto o magagnato. 	672
638	si occist 	Si l’ânno conosciuto in poca d’ora quelli |che unque mai non l’avieno veduto, 	673|674
639	et mehaingne touz cels de Norgales 	e tanto il ridotano per le maraviglie |ch’elli fa 	675|676
		che non v’à mai nullo tanto si ardito ch’a colpo l’osi attendere;xi n’ucide tanti e magagia di 	677
640	tant que a fine force les fait retorner plus de IIl. archies. 	que' di Norgales ch’a fine forza li fa ritornare più di tre arcate. 	678
641	Tant fait par sa proesce 	meTanto fa per la sua prodeza 	679
642	que tuit en parolent loing et pres 	che tutti ne parlano |e lungi e presso,	680|681
643	et dient 	e dicono 	682
644	que tout vaint li ehevaliers as armes blanches ?; 	che tutto vince il cavaliere bianco della gente del re Bando di Maguzo. 	683
645	et li III. compaingnon 	etE tre compagnoni 	684
646	qui devant ce avoient mis cels de Gorre a la voie 	che davanti ciò avieno messi alla fuga |que di Gora, 	685|686
647	et qui estoient issu del tornoiement 	ch’eli àno usciti del torniamento 	687
648	por aux reposer I. 	per loro riposare un poco, 	688
649	poi s’an merveillent molt,	si si maravigliarono molto 	689
650	quant il voient lor genz afoïr: 	quand’e vidono lor genti fuggire;	690
651	si demandent 	si domandarono 	691
652	que ce est. «	che ciò est. 	692
653|654	Que ce est ? fait I. vallez. |N’avez vos pas veu les merveilles 	«Che est ciò?, disse un valletto. Non avete vo' passo veduto le maraviglie 	693
655	qu’il i a ? — 	che v’à? - 	694
656	Quels merveilles i a il ? fait Mordrez. — 	Qua' maraviglie?|No, disse Mordaret. 	695|696
657	Par foi il i a l. chevalier a unes blanches armes, I. deable, L. aversier 	— Per fé, dis’egli, |e' v’è un cavaliere a un’arme bianche, uno diavolo, un aversieri 	697|698
658	qui plus occirroit ancui de gent	che più cidrebbe stasera di gente	699
659	que l’an ne porroit d’omes morz enterrer en Il. arpanz de terre. N’alez mie cele part, 	che l’uomo non potrebbe mica sotterare d’uomini morti in due arpens di|terra.Non andate mica in quelle parti, 	700|701
660	se vos ne volez morir. 	se vo'non volete morire; 	702
661	Que ja Diex ne m’aïst se encontre 	che già Dio no m’aiuti 	703
662	s’espee puet durer fers ne aciers!» 	se contro a sua spada può durare né ferro né acciaio». 	704
663	Lors relacent lor hiaumes li III. i compaignon 	Allora lilacciarono loro elmi i tre compagnoni 	705
664	et montent es chevax 	e montarono in lor cavalli 	706
665	et prannent escuz et lances 	e presono scudi e lance, 	707
666	et laissent corre a Lancelot devant 	e lasciarono correre a Lancelotto,	708
667	que cil de Norgales fuient ainsi comme li lievres devant les chiens. 	ma nanzi |che que di Norgales se ne fugissono. 	709|710
668	Et Lanceloz ot lance recouvree 	eE Lancelotto ebbe lancia ricoverata 	711
669	qu’il toli a J. de ceaux 	ch’elli tolse a uno di coloro 	712
670	qui s’anfuioient, 	che si fuggivano,	713
671|672	si s’adrece vers l’un de cels III. chevaliers, |et ce estoit Mordrez, 	si si diriza incontro a l’un di tre compagnoni, 	714
673|674	et le fiert |si qu’il li met par mi l’espaule senestre le fer a tout le fust; il s’ampaint bien 	e-cciò era Mordalet: egli il fiede si che-lli mette per me la spalla manca tutto il ferro e l fusto: lo mpugna bene, 	715
675	et le porte a terre tot anferré. 	si 'l porta a tterra tutto inferrato. 	716
676	Et li rois Bademaguz 	osE il re Bando di Maguzo, 	717
677	qui derrier lui estoit li baille I. autre glaive 	che di dietro lui era, li dona un’altra lancia 	718
678	et li dist: « Sire, tenez, monstrez nos encore conment vos savez lances brisier. » 	e lli disse: «Tenete, sire, mostrate ancora |come voi sapete lance brisciare». 	719|720
679	Et il lesse maintenant corre vers Mador de la Porte, 	egli lascia immantanente corere inverso a Madore della Porta, 	721
680	et cil li brise son glaive en mi le piz, 	e quel li rompe la lancia nel miluogo del petto; 	722
681	et Lanceloz 	ee Lancelotto, 	723
682	qui la soue porte bas le fiert 	che- lla sua lancia porta bassa, il fiede si	724
683	si qu’il li met par mi la cuisse le fer o tout le fust, sì porte lui et le cheval a terre tout en I. mont	che gli mette per me la coscia el ferro con tutto il frusto, |si l porta lui e l cavallo in terra tutto in un monte; 	725|726
684	et s’em passe outre 	e egli passa oltre 	727
685	et trest l’espee 	e trae la spada 	728
686	et fiert Galehodin en l’escu blanc 	e fiede Galiganyn lo scudo bianco, 	729
687	si qu’il en a abatus I. grant chantel : 	si che n’abatte giuso un gran casnjtello; 	730
688	et l’espee descent jus sor le cheval 	e-lla spada discende giuso sopra l cavallo, 	731
689|690	si qu’il li coupe le col par devant les espaules |et abat en I. mont chevalier et cheval. 	sicché-lli colpa il collo dinanzi le spalle e abatte in uno monte el cavallo e 'l cavaliere.	732
691	Quant li rois de Norgales 	Quando il re di Norgales, 	733
692	qui ot ja assez resgardé Lancelot por les merveilles 	ch’ebbe già assai riguardato Lancelotto per le maraviglie 	734
693	qu’il faisoit voit celui cop, 	ch’elli faceva, |e vide chel colpo, 	735|736
694|695	si ne l’ose plus atandre, |ainz torne en fuie 	si no l’osa più attendere, anzi si torna in fuga 	737
696	quanque li chevaux pot aler. 	quanto che l cavallo puote andare. 	738
697	Lors conmance la criee trop mervilleuse, 	eAllor comincia il grido troppo maraviglioso 	739
698	car tuit cil de Norgales s’enfuient 	ché tutti quelli di Norgale si fugivano	740
699	et cil de Gorre les anchaucent 	e quelli di Gora li neacciano 	741
700	et les prannent a lor volenté. 	e lli pigliano tutti a llor volontà. 	742
701	Et quant Lanceloz voit	E quando Lancelotto vide 	743
702	qu’il sont del tout torné a desconfiture 	ch’elli sono tutti ritornati a discofittura e	744
703	et qu’il n’i a mes nul recouvrier, 	che non v’à mai nullo ricoverio, 	745
704	si se fiert en la forest 	si si fiede nella foresta 	746
705	et s’en vait grant oirre, 	e se ne va grande andatura, 	747
706	car il ne velt estre arestez de nelui. 	ch’elli non vuole essere arestato da 	748
707	Assez fu quis et demandé, 	nullo.Assa' fu chiesto e domandato, 	749
708	mais il n’i ot celui 	ma e' non v’ebbe colui 	750
709	qui le poïst trouver. 	che l potesse trovare. 	751
710|711	Et|quant li rois Bademaguz vit 	E quando il re Bando da Maguzo vide 	752
