micha-iv-75-6	inc-iv-75-6	fr751-iv-75-6	sommer-iv-75-6	fr333-iv-75-6	fr111-iv-75-6	lanzarote-iv-75-6	lancellotto-iv-75-6
				Et il len poise molt 			
si li poise moult de ce	si fut moult dolent de ce 	Si li poisse mout de ce 	Si li poise moult de ce 	se il le poist amender.  Si se repent molt de ce 	si leur poise moult de ce 		si  si ripente molto di ciò 
qu’il a fait le conmandement a la vielle. 	qu il a fait le commandement a la uielle:	que il a fait le commandement a la uielle. 	que il a fait le commande ment a la uielle. 	quil a fet le commandement a la uielle. 	quil a fait le commandement a la uieille. 		ch’egli à fatto il comandamento della vecchia. 
Si atant dusqu’au vespre	si attendit ainsi iusques aux uespres 	Si atant iusqu a uespres. 	si atent en tel maniere iusques uers uespres.  Quant mesire ywain ot ensi atendu grant piece 	Si atent einssi dusques apres uespres 	Si actend iucqu a uespres 		Si atende insi insin qua apresso vespero 
et quant il ne voit ame venir, 	quil ne uit oncques ame uenir aux pauillons 	et quant il ne uoit ame uenir. 	et il ne voit ames uenir 	quil ne uoit ame uenir as paueillons. 	Et quant il ne uoit nul uenir 		che non vide anima venire al padiglione. 
si lace son hiaume et monte en son cheval 	si resacha son heaulme  puis remonta sus son cheual en	si lace son hiame et monte en son cheual 	si lache son heaume  et monte sor son cheual 	Si relace son hialme.  et remonte en son cheual 	si lace son heaume 		Si rilaccia suo elmo  e monta in su' cavallo 
et pense  qu’il s’en ira, 	pensant  quil sen iroit 	et pance  qu il sen ira. 	et pense  quil sen ira 	et pense  quil sen ira.  Car o celes 	et monte a cheual 		e si pensa  ch’elli se n’andrà, 
car avec aux ne remaindra il mie.  Quant il est montez, 	car auec elles  qui tel dueil faisoient ne demoureroit en nulle maniere/  et quant il fut monte 	Car auec eles ne remanra il mie  Qnent il est montes 	quar aueques lez damoiseles ne remandra il mie.  Et quant il est montes 	qui tel duel font.  ne remaindroit il en nule maniere.  Et quant il est montez. 	car auec ele ne demourroit il pas		ché con esso coloro che tal duolo fanno non rimarrà elli mica i'nulla maniera.  E quand’egli è montato, 
si conmande les damoiseles a Dieu 	si commanda les damoiselles a dieu 	si commande les damoiseles a dieu. 	si commanda lez damoiseles a dieu. 	si commande les damoiseles adieu. 	si commande les damoiseles a dieu 		si comanda le damigelle a Dio. 
et eles ne li dient mot. 	mais elles ne lui respendirent mot 	et eles ne respondent mot. 	Et elles ne li dient mot. 	et eles ne li dient mot.	et elles ne dient mot. 		e elle non gli dicono nullo motto,  anzi piangono tuttavia. 
				ainz pleurent touteuoies. 			
Et quant il s’en est partiz, 	ains plouroient tousiours Puis quant il fut parti delles ilz commencerent a crier toutes ensemble. Sire cheualier 	et quant il sen est partiz: 	Et quant il Sen est partis 	Et quant il est partiz de eles. 	Et quant il sen est party 		E quand’egli è partito da-lloro, 
si s’escrient: « Sire chevaliers,  a male honte puissiez vos aler ! » 	qui nous auez mises a pourete a honte et a male auenture puissiez uous aller. 	si sescrient.  ha: Sire cheualiers a male heure puissiez uos aler. 	si li escrient toutes a vne vois. Sire cheualiers a male honte puissies aler. 	si li crient toutes ensemble. sire cheualier.  qui a honte nous auez mises et a pourete et a male honte puissiez uous aler. 	si escrient sire cheualier.  mauldite soit leure dont uous feustez 		si gli gridano tutti insieme: Sire cavaliere  ch’a onta noi avete messo e a povertà, a male onta possiate voi andare!». 
Lors conmancent lor duel 	Lors font plus grant dueil  que deuat/	Lors conmancent lor duel. 	Lors commencent lor duel. 	Lors recommencent lor duel greignor 	ne lors commencent leur deul 		eAllor ricominciarono maggior duolo  che davanti, 
				que deuant. 			
				et il cheualche dolenz 			
		et il cheuanche 					
et il chevauche tant qu’il vint a l’entree d’unnes broces  et troeve J. hermitage! clos de haut fossez. Il vint a la porte,  si apele 	et messire yuain cheuauchoit dolent et marri  tant  que la nuyt uint qu il arriua a ung hermitaige tout cloz de hayes espesses et bien auironne de pieulx aguz  et la porte toute neufue forte et espesse  si uint a la porte 	tant quil uint a lentree dunes broces. et trueue .I. hermitage clos de haus foses. Il uint a la porte  si apele 	Et il cheuauche  tant quil vint a lentree dunes broces.  et trueue vn hermitage  qui estoit clos de moult haus fosses.  si vint a la porte  et y apele	et correciez dusques a tant quil li anuite.  Et uient a .i. hermitaige fort clos de haie espesse de peux aguz.  et y auoit porte toute nueue forte et espesse. Il uient a la porte  et y apele. 	et il cheuauche tant quil uint a lentree dunes broces.  et treuue ung hermitage clos de hauts foussez Il aduint a la porte 		e elli cavalca dolente e crucciato  infino a tanto ch’egli anotta.  Si viene a uno romitaggio forte, intorneato di grossa acqua e di pali aguti,  e avea porta tutta nuova, forte e grossa. Elli viene alla porta  e chiama, 
et J. clers li oevre,  et il antre anz,  puis descent.  Et li hermites 	et heurta  si lui fut ouuert luys  et il entra dedens tout a cheual  puis descendit a terre. et lermite 	et uns clers Li uueure. et il entre ens  puis ce desarme.  Et li hermites 	et vns clerz li oeure maintenant  si entre ens  et descent de son cheual et li hermites 	et .i. clerton uient auant.  si li oeure  et il uait enz tout a cheual.  et puis descent.  Et li hermites 	et apelle et ung clerc luy euure luys Il entre dedans  si descent et lermite 		e un cherico ne viene avanti,  e elli va di dentro tutto armato a cavallo.  Poscia discende, 
qui fu fors issus  et avoit dites ses ores reçoit son escu  et li fait ses armes oster, 	qui auoit chantees ses heures yssit de hors de sa chappelle  et lui fist ses armes oster 	qui fu fors issus  et ot dites ses eures resoit son escu. 	qui estoit hors issus  et auoit dites ses heures rechoit son escu et son glaiue  et puis li fait sez armes oster 	qui fu hors issu de sa chapele  et auoit chante ses heures recoit son escu.  et li fet ses armes oster. 	qui fu issu hors  et auoit dictes ses heures  et recoit son escu et luy fait oster ses armes 		e il romito fu fuori uscito della capella  e avea dette sue orationi:  si riceve suo seudo  e-lli fa sue armi trarre, 
si le moinne en sa maison 	puis lenmeine en sa maison	et le mainne en sa maison 	Si lenmaine en sa maison 	et len maine en sa meson 	si li mainne en sa maison 		e lli mena in sua magione 
qui grant estoit et bele por les chevaliers erranz herbergier  qui par illue passoient;	qui forte estoit et belle  pour hebergier les cheualiers errans  qui par la passoient 	qui grans estoit. et bele por les cheualiers errans  qui illuec trespassoient. 	qui grans estoit et bele pour lez cheualiers errans herbergier  qui par illuec passoient. 	qui fors estoit et bele. pour les cheualiers erranz heberger  qui par ilec passoient	qui estoit grant. et belle pour les cheualiers errans herbreger  qui passoient par ilec passoient 	que no venia ninguna auentura despidiose delas donzellas 	che molto era forte e bella per li cavalieri erranti albergare  che per lo luogo passavano: 
et estoit li leus apelez li Hermitages as Erranz.  Quant li mengiers fu aparilliez, 	et pour ce que la maison estoit si belle estoit le lieu appelle la maison aux cheualiers errans/  et quant le souper fut prest 	et fu apeles li hermitages as errans.  quant li mengier fu aparilliez 	si estoit li lieus apeles li hermilpat eltages as errans. vuant li mangiers fu appareillies 	Et pou ce que la meson estoit si bele estoit li liex apelez li hermitaiges as erranz.  Et quant li maingers fu prez tiex	et estoient les lieux appellez les hermitages aux errans  Quant le mangier fu appareille 		e per ciò che lla magione era si bella, era il luogo chiamato il Romitaggio Errante.  ME quando il mangiare fu presto,  tale come il produomo l’avea,
si s’asist mes sires Yvain en I. prael  ou la table ert mise. 	si menga messire yuain en ung preau ou la table estoit mise 	si sacist messires y. en .i. prael. ou la table est misse 	si sassist mesire ywains en vn praiel.  ou la table iert mise. 	con li preudom lauoit.  si sassist misire .y. en .i. prael.  ou la table estois mise. 	si sassist messire yuain en ung prael ou la table estoit mise 		sì s’asede monsignor Yvano in un pratello  ove le tavole erano messe.
Et quant il orent mengié. 	et quant ilz eurent tout par loisir mengie: 	et lors quant il orrent mangie 	Et quant il orent mangie. 	Et quant il orent tout par loisir mengie	Et quant ilz eurent mange 		E quand’egli ebbono tutto per lecere mangiato, 
si demanda li hermites a mon signor Yvain  qui il estoit  et de quel part et il dist 	si demanda lermite a messire yuain de quel pays il estoit  et il lui dist 	si demanda Li ermites a monsign᷑ .y  qui il estoit et de quel pais.	si demanda li hermites a monseignor ywain  dont il estoit et de quel pais.  Et il li dist	Si demande li hermites a monseigneur .y.  qui il estoit.  et de quel pays.  et il dist 	si demande lermite a messire yuain  dont il estoit.  Et il dist 	y fuese y ellas fueronse enpos del 	si domanda il romito a monsignor Yvano  chi elli era  e di qual paese;  ed
							e' li dice 
		et il dit 					
qu’il est de la meson le roi Artus  et compainz de la Table Reonde  et a non Yvain, li filz le roi Urien. — Enon Deu, fait il,  dont sai je bien  qui vos estes. Vostre pere vi je ja maint jor 	quil estoit de la maison au roy artus et compaignon de la table rende  et estoit nomme yuain filz au roy urien. En nom dieu fist lermite  donc scay ie bien  qui uous estez iay ueu autresfoiz uostre pere 	quil estoit de la maison le roi artu. et compains de la table reonde.  et ai non .y. fis le roi urien.  En non dieu fait cil  dont sai ge bine  qui uos estes. uostre  per ui ge ia maint ior. 	que il estoit de la maison le roy artus.  et compains de la table roonde  et auoit non ywains li fils au roy vrien. Enon dieu sire fait li hermites  dont sai ie bien  qui : vous estes 	quil estoit de la meson le roy artus. et compains de la table reonde  Et auoit a non yuains filz le roy urien.  En non dieu fet li hermites  dont sai ge bien  qui uous estes.  uostre pere ui ge ia maint iour.	quil est de la maison du roy artus  et compaing de la table ronde. et ay nom yuain filz. au roy urien.  Certes fait il donc scay ie bien  qui uous estes. 	y dezian ay Cauallero 	ch’eli era della magion del re Artù e compagno della Tavola Ritonda,  e à nome Yvano, il figliuolo del re Arien.A nome di Dio, disse il romito,  i' so ben molto ben di lui davanti il coronamento del re Artù, 
et fui moult ses acointes, 	et ay este bien de lui 	et fui mout ses acointes 	quar iou fui ia moult acointes de uostre pere. 		car ie uy uostre pere. maint iour a fu moult son acointes. 		
quant j’estoie chevaliers erranz devant le couronnement le roi Artu,  et de la Table Reonde eusse je esté compainz, 	deuant le couronnement au roy artus  quant iestoye cheualier errant  Et de la table rende eusse ie este compaignon 	que gestoie cheualiers errans doeuant le comancement del roi artu. et de la table reonde esuse ie este conpains. 	quant iou estoie cheualiers errans deuant le coronement le Roy artus et de la table roonde eusse iou este compains. 	et fui ia bien de lui deuant le coronement artur.  quant ge estoie cheualier errant.  Et de la table reonde eusse ge este compainz	quant iestoye cheualier errant deuant le couronnement du roy artus et de la table ronde eusse ie este compaignon		quand’io era cavaliere errante; e della Tavola Ritonda n’avess’io stato compagno, 
mes je n’i vos entrer por I. chevalier  qui i estoit 	se ne fust ung cheualier  que ie heoye  qui en estoit/ 	Mas ie ni uoloie estre por .i. cheualier  qui i estoit 	mais iou ne vole pour. i. cheualier  qui en estoit 	se ne fust pour .i. cheualier.  qui en estoit 	mais ie ny uueil estre pour ung cheualier  qui y estoit 		se non fusse un cavaliere che n’era 
que je haoie de mort, si que je le mehaingnai puis des braz. 	si que ie luy couppay ung des bras	que ie haoie de mort. Si que ie le mahangnai des bras. 	que iou haoie de mort.  si que ie le gaitai  tant 	que ie haoie. si que ge le mehaignai  puis de [lui] des braz. 	que ie hay de mort  si que ie le mehaignay puis du baz.	que en probeza nos metiste muerte mueras desonrrada 	ch’io odiava  si ch’ïo il magagnai del braccio, 
Et li rois Artus, quant il fu couronnez,  m’an desherita.  Mais or me dites 	par quoy le roy artus me chassa de sa terre/  et me desherita entierement.  Mais ie uous prie 	Et li rois artus  quant il fu coronez men deserita.  Or me dites fait cil ce cil cieent 	que iou le mahaignai de lun des bras et li roys artus  qui moult en fu corocies men desireta.  mais or me dites 	pour quoi li rois artur.  quant il fu coronnez me chassa de sa terre. et me desherita outreement.  Mes por dieu me dites 	Et le roy artus  quant il fu corroucee me desherita.  Or me dictes 	y el no Respondia a Cosa  que le dixesen 	per che il re Artü,  quand’e' fuincoronato, mi cacciò di sua terra  e mi disiretò interamente.  Ma per Dio, tanto mi dite 
se cil de la Table Reonde sont en tel manniere 	que uous me dictes se ceulx de la table ronde y seyent en telle coustume 	mais en tel maniere a la table reonde 	se cil de la table roonde sont en tel maniere 	se cil de la table reonde. issieent par autel maniere 	se ceulx de la table ronde sont en tel maniere 		se que' della Tavola Ritonda segono per tal maniera 
comme jes i vi jadis. »  Et mes sire Yvain li demande 	comment ilz souloient seoir/  et messire yuain lui demanda 	com ie les ui seoir iadis.  et messires y li demande 	comme il estoient iadis.  Et mesire ywain li demande 	comme il i soloient seoir. Et misire .y. li demande 	que ie uy iadis.  Et messire yuain luy demande 	Como el hermitaño contaua a don yban 	come sogliono sedere».  E monsignor Yvano li conta 
conment il les vit dont. «  Par foi, fait il,  ce vos dirai ge bien. 	comment il les auoit ueu Cella uous diray ie bien fist il. 	comment il le suit seoir.  Par foi fait il ce uos dirai ge bien. 	comment il estoient adont.  par foy fait il ce vous dirai iou bien. 	comment il les i uit seoir.  Ce uous dirai ge bien fist il uolentiers. 	comment il les uoit. Certes fait il  ce uous diray ie bien 		come li vide sedere:  Ciò vo dirò i’ ben, diss’egli.
Quant li rois Uterpandragon soloit ses corz tenir as hautes festes  et li compaingnon de la Table Reonde estoient assis au mengier, li clerc de laienz 	Quant le roy uterpandragon soulloit sa court tenir aux festes annuelles et les compaignons de la table ronde estoient assiz a table: 	quant li rois uterpandragons soloit ses cors tenir a ses hautes festes.  et li compangnon sestoient assis au mengier. Li clerc de laiens 	Lors li commence a dire en tel maniere. Sire fait il  quant li Roys vterLpandragonz soloit sez  cors tenir as hautes festes et li compaignon de la table roonde estoient assis au mangier.  et li clers de laiens 	QUant li rois uterpendragon soloit ses cors tenir as festes anuiex.  et li compaignon de la table reonde estoient assis au mainger. li clerc de laienz 	Quant le roy uterpandragon souloit tenir son cours aux haultes festes et les compaignons de la table ronde estoient assis au manger les clers de leans 		sOuando il re Uterpadragone solea tenere sue corti alle gran feste,  si come a Natale,  e compagnoni della Tavola Ritonda erano asseduti a mangiare, e e cherici di là entro, 
qui metoient les aventures en escrit,  einsi com li prodome les contoient  a cui eles estoient avenues, estoient  dont tuit aparillié 	et les clers de leans  qui mettoient les auentures en escript aux cheualiers 	qui metoient les auantures en escrit.  ainsi com li preudomes les contoient a cui eles estoient auenues.  et estoient adont tuit aparillie. 	qui metoisenlt lez auentures en escript. ensi  comme li preudomme les contoient  a qui elles estoient auenues estoient adont tout appareilliet 	qui les auentures metoient en escrit.  si comme li cheualier les contoient  a qui eles estoient auenues erent tantost apareillie. 	qui mectoient les auantures en escript  ainsi  comme le cheualiers les comptoient  a qui elles estoient aduenues estoient adonc tous appareillez  et regardoient par les tables pour ueoir 		che mettevano l’aventure in iscritto  si come i cavalieri li contavano  a cui ell’erano avenute, erano tanto tosto aparechiati 
et aloient adont resgardant par les tables savolr s’aucuns i fust assis 	qui lors estoient auenues alloient regardant parmi la table rende  se aucun y estoit assiz 	et aloient regardant par les tables. sauoir  s aucuns i fust assis 	et aloient regardant par toutes lez tables.  pour sauoir saucuns y fust assis 	et aloient regardant par la table reonde. pour sauoir 	se aucun  se y fust assis 		e andavano guardando per me' la Tavola Ritonda  per sapere se nullo vi fusse posto a ssedere 
qui n’eust plaie en mi le vis : 	qui ne eust playe emmy le uisaige/ 	qui neust plaie enmi le uis. 	qui neust plaie en mi le vis. 	se aucun i fust assis  qui neust plaie enmi le uis 	qui neust playe  ou uis 		che nonn-avesse piaga per me l viso, 
car a cel tans estoient coustumes que nus n’i aseoit,  s’il n’estoit navrez. 	car en cellui temps estoit a coustume  que nul ny seoit  se il nestoit naure. 	et a cest tans estoit coutume  que nus ne ci asseoit ce il nestoit naurez. 	quar a cel tamps estoit coustume que nus ni asseoit  sil nestoit naures 	Car a celui tens estoit costume  que nus ni seoit.  Sil niert naurez. 	Car il estoit de coustume a ce temps  que nul ny asseoit  sil nauoit este naure. 	porque las donzellas fazian el duelo 	ch’a quel tempo era acostumato  che nullo non vi sedea se non fosse fedito. 
Si en vi la une aventure avenir  qui moult dut estre chierement comparee  et fu a I. Noël. Li rois  si tenoit sa cort a Cardueil en Gales, li vaillant? Uterpandragon  qui plus ama povres chevaliers  que nus, Ia et ot mandé grant gent. 	si y ueiz une auenture aduenir qui moult durement fut chier achetee  et ce fut a ung noel que le roy tenoit sa feste a querdueil en galles et le uaillant uterpandragon le plus uaillant homme du monde  et qui plus ama poures cheualiers auoit mande moult grant compaignie de gens/ 	Et en ui la une auanture auenir  qui mout dut estre chierement  comparee.et fu a i noe̶el li rois tenoit sa cort a i̶ carduel en gales Li uaillans uterpandragons  qui plus ama poures cheualiers  que nus autres  et ot mande grant gent et	Si y ui vne auenture auenir  qui moult dust estre chierement comparee.  Et ce fu a vn noel.  si tenoit li roys sa cort a cardoele  qui moult amoit poures cheualiers. 	donc  ge ui ia une auenture auenir.  qui molt dut estre cher achetee.  Et ce fu a .i. noel  que li rois tint sa court a carduel en gales.  Et li uaillanz uterpendragon li plus gentilz hom del monde  et  qui plus ama poures cheualiers. ot mande molt grant gent. 	si y uy uenir une auanture  qui moult deut estre comparee.  ce fu a ung noel  que le roy tenoit sa court a carduel en gales. uterpandragon  qui plus amoit poures cheualiers  que nul autre  si eut mande grans gens 	Don Yban andubo tanto despues  que se partio delas donzellas 	Dond’io vidi già una aventura avenire  che molto dee essere cara acattata, ercciò fu per u-Natale  che l re tenea sua corte a Carduel in Gaule.  eE l valentre Uterpadragon, il più gintile huomo del mondo  e che più amò poveri cavalieri del mondo, v’ebe mandato molto gran gente; 
Et quant il furent tuit assamblé et assis au mengier par les tables,  si vindrent li clerc  avant qui de ce servoient  et troverent entre les autres I. chevalier jone home, preu de cors et hardi de cuer et de haut lignage, 	et quant ilz furent tous assiz  si uindrent auant les clers  qui de ce seruoient que ie uous ay dit deuant/  si trouuerent entre les aultres ung ieune homme preux et hardy de corps/  et si estoit de moult hault lignaige 	quant il furent tuit assamble. det assis au mangier par les tables si uinrent auant li clerc  qui de ce seruoient.  et trouerent entre les autres .i. Iuene home cheualier preu de cors et hardi de cuer et de haut lignage 	Et ensi comme li clerc aloient regardant lez tables  si trouerent entre lez autres cheualiers. j. iouene cheualier preudomme de cors et hardi de cuer 	Et quant il furent assis.  si uindrent auant li clerc  qui de ce seruoient  que ie uous ai dit.  si trouerent entre les cheualiers .I. cheualier. Ioene home  et preus de cors et hardiz. 	et quant ilz furent assis au manger  si uindrent les clers auant  qui de ce seruoyent  et trouuerent entre deux autres ung ienne cheualier preux de corps et hardy de cuer et de hault lignage 	que llego ala noche avna hermita 	e quand’e' furono posti a sedere,  si venono avanti' cherici  che di ciò servivano  ch’io v’ò detto,  si l trovarono intra'cavalieri un cavaliere, giovan uomo e pro' di corpo e ardito, e si era di molto alto legnaggio, 
				si estoit de molt hault lignage 			
si n’avoit sor lui ne plaie ne sanc. 	mais il ne auoit sur lui  ne playe ne sang/	si nauoit sor lui plaie ne sanc.	si nauoit sor lui plaie ne sans. 	mes il nauoit sor lui ne plaie ne sanc. 	si nauoit ne playe ne sang. 		ma egli non avea di sopra a-llui né piaga né sangue. 
Quant il le virent,  si le monstrerent as autres 	et quant ilz le uirent.  si le monstrerent aux aultres 	Si le mostrerent as austres 	Et quant il le virent  si le moustrerent as autres 	Et quant il le uirent  si le mostrerent as autres. 	quant ilz le uirent  si le monstrerent aux autres. 		eE quand’egli il vidono,  si mostrarono agli altri 
et cil esgarderent 	si regarderent entre eulz 	et cil esgarderent 	Et cil dirent 	et es garderent 	et ilz le regarderent  et distrent 		e lo sguardarono 
qu’il n’i devoit pas aseoir, 	quil ne y deuoit mie seoir 	quil ni deuoit pas seoir 	quil ni deuoit pas seoir 	quil ni deuoit mie seoir 	qu il ny deuoit pas seoir 		che non vi dovea mica sedere 
puis qu’il ne portoit le signe de la Table : 	puis quil ne portoit le signe de la table ronde 	puis quil nauoit lensangne de la table. 	puis quil ne pooit moustrer le signe de la table roonde 	puis quil ne portoit le signe de la table. 	puis qu il ne portoit le signe de la table 		poscia che non portava il segno della Tavola Ritonda. 
si l’an firent lever et aler hors. 	si le firent leuer et aller hors. 	Si len firrent leuer	si len firent leuer et aler hors. 	si le firent leuer et aler hors. 	si le firent leuer.  et aller hors 		Si feciono levare e andare fuori. 
Et quant li chevaliers vit ce, 	Et quant le cheualier uit ce 		Quant li cheualiers voit  que on lot ensi mis hors del siege 	et quant li cheualiers uit ce. 	et quant le cheualier uit ce 		E quando il cavaliere vide ciò, 
si en ot moult grant duel,  si dist 	si en eut moult grant dueil et dist 	et aler hors. une autre fois 	si en ot moult grant duel si dist 	si en ot molt grant duel.  et dist 	si en eut trop grant honte et grant deul si dist 	a donde fue ospedado devn ome bueno 	si n’ebbe molto gran duolo  e disse 
que por defaute de plaie ne seroit il mie ostez une autre foiz; 	que pour deffaulte de playes nen seroit il iamais oste/ 		que pour faute de plaie nen seroit il mie ostes vne autre fois. 	que pour desfaute de plaies nen seroit il mie ostez une autre foiz. 	que pour deffault de playe ne seroit il pas oste une autre foiz 		che per piaghe non sarebbe  e' mica tratto giamai un’altra fiata, 
si ala a son ostel et prist ses armes, 	et promptement sen alla en sen hostel  et print ses armes	si ala a son ostel et prist ses armes 	Lors sen ala a son ostel  et prist sez armes 	Si sen ala a lostel et prist ses armes. 	si ala a fon houstel  et print ses armes 		si se ne va arssuo ostello  e prese sue 
							armi.E
puis ala a la cort  et vit une pucele	puis reuit a la court  et uit une damoiselle 	puis uint a la court.  et uit une pucele	et puis retorna en la sale et prist vne pucele 	puis reuint a la cort  et uit une pucele	et sen retourna a la court  et uit une pucelle 		quand’e' fu armato,  si ritorna a corte  e vide una pulcella 
qui servoit devant le roi,  si la prist voiant touz cels de laienz 	qui de uin seruoit  si la print uoyant tous ceulx de leans 	qui seruoit deuant le roi.  Si la prist deuant tous ceus de laiens 	qui deuant le roy seruoit voiant tous ceuls de laiens 	qui del uin. seruoit.  si la prist uoiant touz cels de laiens.	qui estoit deuant le roy  si la prist uoyans tous ceulx de leans 		che servia del  vino:si-lla prese, veggendo tutti 
et la mist desus le col de son destrier,  si l’amporta; ne nus ne fust si hardiz por aventure 	et la mist sur le col de son cheual  si lemporta.  Or estoit la coustume telle  que nul nestoit leans tant hardy 	et la meist sor le col de son destrier  si len porta ne nus ne fu si hardis por auanture 	et le mist sor son cheual.  si lenporta ne nus ne fust si hardis pour auenture 	et la mist sor le col de son cheual  et lem porta en tel maniere  Ne nus niert laiens tant hardiz.  qui por auenture	et la mist sur le col de son destrier.  ne nul ne fu si hardy  si non la royne 		que di là entro, ella mise sopra il collo di suo cavallo  e ne la porta in tal maniera.Né niuno non era tanto ardito là entro  che, per aventura 
qui avenist, 	qui pour auenture 	qui auenist 	qui y auenist: 	qui auenist 	qui se remua 		che avenisse, 
se del cors meismes le roi ne fust,  qui se remeussent devant 	qui auenist se du corps du roy mesmes ne fust/  se osast remuer  deuant	que nus se meust se por le propre cors le roi 	se del cors le roi meismes ne fust  qui se remuast 	se del cors le roy ne fust.  se remuast deuant	deuant que les tables feussent leuees. La damoisele auoit troys freres compaignons de la table ronde  qui nactendirent pas 		se del corpo del re non fosse,  si rimovesse davanti 
que les tables fussent levees. La damoisele avoit III. freres compaingnons de la Table Reonde 	que les tables fussent ostees, La damoiselle auoit .iii. freres compaignons de la table ronde  qui ne attendirent pas tant 	meismes ne fust deuant que les tables fussent otees. La damoisele auoit trois freres compains de la table reonde.  qui natandirent mie 	deuant que lez tables fuissent leuees. La pucele auoit trois freres.  qui tout estoient compaignon de la table roonde. 	que les tables fussent ostees. La damoiseie auoit .iii. freres compaingnons de la table reonde.  qui natendirent mie 	que les autres eussent mange. 		che-lle tavole fossono levate.  cLa damigella avea tre fratelli compagnoni della Tavola Ritonda
				tant que li autre eussent maingie.			
		tant que li compangnon eussent mengie. 					
	que les aultres eussent acheue leur repas 						
qui n’atandirent mie lor sieges 	ains se leuerent de leurs sieges 	Ains se leuerent de lor sieges 	qui natendirent mie  tant que li autre eussent mangiet ains se leuerent de leur sieges 	ainz se leuerent de lor sieges. 	Ains se leuerent de leurs sieges 		che non atesono mica tanto  che gli altri aveono mangiato, 
							anzi si levarono di loro sedi 
et alerent querre lor armes. 	et sen allerent querre leurs armes/ 	et alerent querre lor armes 	et alerent querre lor armes. 	et alerent querre lor armes. 	et alerent querre leurs armes. 		e andarono a chiedere loro armi. 
Quant li rois vit  qu’il orent ce fait, 	et quant le roy uit  quilz auoient ainsi fait	Qnent li rois uit ce  quil auoient fait 	Et quant li roys vit  quil orent chou fet 	quant li rois uit  quil auoient einssi fet. 	Et quant le roy uit ce 		Quando il re vide  ch’elli avieno insi fatto, 
si les fait oster des escriz et dist 	si les fist oster hors de lescript:  en disant 	si les fist oster de lor sieges.  et dit 	si les fist oster de lescrit  et dist 	Si les fist oster de lescrit.  Et dist 	si les fait oster des estriz  et dit 		si gli fece trare della scritta e disse 
que jamais a la Table ne serroient tant com il vesquist 	que iamais a la table ronde ne serroient tant 	que iamais ne seroient compains de la table reode  tant com il uesquist. 	que iames ne seroient a la table  tant comme il uesquist. 	que iames a la table reonde ne serroient tant comme il uesquist. 	que iamais ne seront mis a la table ronde. 		che giamai della Tavola Ritonda non sarebbono,  tanto com’e vivesse.
et il suirent tant celui  qui lor suer emportoit 	comme il uiuroit.  tou tesfoiz suyuirent ilz tant cellui  qui leur seur emportoit 	et il suirent tant celui qui lor suer portoit 	Et il sieuirent tant celui  qui lor seur emportoit 	Et il siuirent tant cil  qui lor suer emportoit	et ilz suyrent tant cil  qui emportoit leur fait 	e desque hubieron çenado 	Ed e' seguirono tanto colui  che lor serocchia ne portava
qu’il l’ataindrent a l’entree d’unne forest;  si li coururent sus. 	quilz lattaignirent a lentree dune forest:  si lui coururent sus et lui 	quil latangnirent a lentre dune forest.  Si li corirent sus. 	quil lataindrent a lentree dune forest.  Si li corurent sus 	quil latainstrent a lentree dune forest.  et li corurent sus. 	qu ilz laconceuostret a lentree dune forest  Si luy coururent sus 	contole don yban al hermitaño la auentura 	che ll’agiunsono all’entrata duna foresta. Elli li corsono suso, 
Et il estoit de grant prouesce, 	qui estoit plain de moult grande prouesce 	et il estoit de grant proesce. 	et il fu de grant proece 	Et il estoit de molt grant proesce. 	et il estoit de grant prouesce 		e elli erano di gran prodeza, 
si se deffandi tant  qu’il les occist touz les IlI., 	si les occist tous troys 	si se desfendit tant qu il les ocist tous .iii. 	et se desfendi  tant  quil lez ocist tous. iij.	si les ocist touz .iii. 	si les occist tous troys. 		si gli uccise tutt’e tre. 
mais il reçut tant de plaies 	mais il eut tant de playes 	Mais il resut tant de plaies	mais il rechut tant de plaies 	mes il recut tant de plaies 	Mais il y receut tant de playes 		PMa egli ricevette tante di piaghe 
qu’il ne pot avant aler, ainz chei jus pasmez ausi conme touz morz  por le sanc 	que retourner ne sen peult/  ains cheut ius de son cheual paume ainsi comme mort pour le sang 	qu il chai Ius ne ne pot auant aler.  et estoit ausi com mors por le sanc 	quil ne pot en auant aler ains chai de son cheual armes comme mors  por le sanc 	quil ne pot auant aler.  ainz chai ius del cheual touz pasmes aussi comme mors.  pour le sanc 	qu il ne peut allier auant ains chey ius pasme comme mort pour le sang 	quele auiniera conlas donzellas 	che non puote in avanti andare,  anzi cade immantanente giuso di sucavallo tutto ispasimato,  altresi come morto per lo sangue 
