	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
328|329	si le nos ramenés. » |Lors sont monté li X. chevalier 	si le nous ramenez. |Loes sont monte .x. cheualier. 	si le me amenes arriere. |LOrs sont monte tout li cheualier 	et le ramenez|Lors sont montez tous les dix cheualiers 	et le ramenes arriere. |Lors montent tous les cheualiers	quelo fuesen alla a buscar 	si l noi rimenate» ll|Allora sono montati tutti e dieci i cavalieri 
330|331	et vienent jusqu’al boschel, |si le cerchent amont et aval, 	et uiennent iuscau bochet |si le serchent amont et aual. 	et sont uenu au boskel |et cerkent amont aual mais le cheualier 	et uiennent au boys si le sercherent amont et aual 	et uiennent iusques au bochel |et le chercent ament et aual/ 	e ellos lo fiçieron ansi ca anduuieron todo el mon-teçillo arriba e ayuso 	e vengono Sin qua quel bosco, |si 'l cercano a monte e a valle, 
332|333|334	mes del chevalier ne pueent riens trover, |si en sont molt irié et dolent |et mandent a lor dame 	mais del cheualier ne pueent point trouer. |En non dieu fait ele ainsi ne remandra il pas. 	quil quierent ne poent trouuer. |Lors reuienent a lor dame 	mais le cheualier ne peuent ilz pas trouuer |si le mandent a leur dame 	mais ne le peuent trouuer/ 	Mas nunca lo pudieron fallar |e tornaron e contaronselo ansi asu señora 	ma del cavaliere non possono elli unque trovare. |eSi ne sono molto adirati e molto crucciati, |e mandano a-llor dama 
335|336	qu’il ne le pueent trover. « En non Dieu, fet ele, |ensi ne remandra il pas. » 	si mente ele 	et li dient |que il ne seuent |quil est deuenus. Enon dieu fait elle ensi ne remandra il mie 	quilz ne le peuent trouuer En nom dieu fait elle anisi ne demeurra il pas. 	Eu nen dieu fait elle il ne demoura pas ainsy 	Pordios dixo la donçella |ni poresto no fincara e luego Caualgo con toda su conpaña 	che nol possono trovare. “h«A nome di Dio, diss’ella, |insì non rimarrà e' passo». 
337|338|339	Si monte et tote sa maisnie |et commande a cerchier le bois de totes pars |et il en font son commandement.	et coure sa mainie et comande a cenhier le bois de toutes pars. |Et il font son commandement. 	Si monte et toute sa maisnie aueques li. |si com menchent a cerkier le bois de toutes pars 	si monte elle et toute sa mesgniee |et commande a sercher le boys de toutes pars |et ilz font son commandement. 	si monte elle et sa mesgnie |et commencent a chercer le bochel de toutes pars |et prie aulx cheualiers |quilz le chersacent	e fuese Al montezillo |e fizolo çercar de todas partes 	Si monta ella e tutta sua masnada, |si vi viene |e comanda a cercare il bosco di tutte parti. |sEd e fanno suo comandamento, 
340|341	Mais tot ce ne lor valt riens, |kar il n'em puent avoir nul asenement a, 	Mais tout ce ne lor uaut rien. |Car il ne pueent trouer nul a lanement dou monde 	mais che ne lor valut riens |Car il nen pueent oir nulles enseignes vraies.	mais tout ce ne leur uault riens |car ilz nen peuent ouyr nul assignement du monde.	mes ce ne leur ualust riens/ |car ilz nen porent ouyt nulle uraie enseigne. 	mas nunca lo pudieron fallar 	ma tutto ciò no lle vale nulla, |ch’elli non ne possono ora avere nullo asennamento del mondo. 
342|343	Quant ele vit ce, |si s’en retorne en son chastel dolente et corociee 	quant ele uoit ce: |si en retorne en son chastels 	Et quant la damoisele voit chou. |si sen retorne a son castel dolante et corouchie. 	Et quant elle uoit ce |si sen retourne en son chastel doulente et couroucee 	Quant elle uoit ce |si sen retoure en son chastel dollente et courroucee/ 	e quando ella aquello vido tornose asu castillo muy triste e muy sañuda 	eE quand’ella vide ciò, |si se ne torna in suo castello dolente e crucciata, 
344|345|346	et conte a cele de Honguefort |comment ses ostes s’en estoit alez, |puis demande a cels de laiens: « Bials seignors, 	et conte a cele de honguefort |comment ses ost en est alez. |et puis demande a ciax de laiens oiez signor 	et conte a cele de hongrefort |comment sez ostes sen estoit partis de laiens |Puis demande a chiaus de laiens. |Biau seignor 	Et compte a celle de hunguefort |comment son hoste sen est alle |et puis demande a ceulx de leans beaux seigneurs 	et compte a celle de henguesford |comment son hoste sen est alle puys demande a ceulx de leans. Beaux seigneurs 	e contolo ansi ala donzella de hongeforte |Como su huesped hera ydo e la donzella les pregunto quando se fue 	e conta a quella d’Unguelforte come suo oste se n’è andato. |Poscia domanda a |que di là entro: |Be' signori,
347	quant s’em parti il — 	quant sen ala il. 	et quant se parti il de chaiens. 	quant party il. 	quant sen parti il/ 		e quando se ne parti 
348	Par foi, dame, font il, 	Par foi dame 	Dame ce dient cil	par foy dame font ilz si tost 	par ma foy si tost 	Pordios buena señora luego 	elli?-Per fé, dama, dicono elli, 
349	si tost com il vos en vit aler et dist 	si tost com il uous en uit aler. |et dit 	si tost comme |se il vous en vit aler. et dist 	quil uous en uit aller il dist 	que uous feustes partie/|et dist 	que vos de aqui partistes |Mas dixonos 	si tosto|come ve ne vide andare, 
350|351|352|353	qu’il revendroit tost. — |Par foi, fet ele, gabez nos a. » |Lors demanda cele de Honguefort |quels armes il portoit 	quil reuandroit tost par foi signor gabe nos A. |Et lors demanda cele de honguefort |ques armes il a 	quil reuenroit tantost. |par foy fait elle gabe nous a . ors demande cele de hongrefort |queles armes il portoit. 	que il reuendroit tantost. |Certes fait elle uous uous gabez. |Lors demande celle de hunguefort |quelz armes il portoit. 	quil reuendroit tantost. |par ma foy dist la dame il nous a gabes. |Lors demande celle de honguesford |quelles armes il portoit	que luego venia |Por buena fee dixo ella |bien nos a engañado |Que armas traia dixo la donçella de hongeforte 	e disse |che riverebbe tosto. |— Per fé, diss’ella, il vorre giàb. |sAllor domanda quella d'Unguelforte |che arme elli portava, 
		et cele li deuise. 					
354	et ele li devise. « En non Dieu, fet ele, je te trovai hui matin a l’entree d’une forest, 	En non dieu fait |Se ioe lencontrai hui matin a lantree dune forest 	Et elle li deuise Enon dieu fait elle iou le trouuai hui matin a lentree dune forest.	et elle luy deuise. |Certes fait elle ie le trouuae huy matin a lentree dune fourest, 	et elle luy deuise. Eu nom dieu fait elle ie le trouuay huy matin a lentree de une forest/ 	e la donçella selas deuiso Pordios dixo ella |yo lo falle oy demañana envna floresta 	e la damigella gliel divisa. “Al nome di Dio, diss’ella, |io il trovai ogi mattino all’entrata d’una foresta, 
355|356	mes il ne portoit mie tel escu |com cil	mais il ne portoit mie tel escu. comme cil 	mais il ne portoit mie tels armes |comme cils 	mais il ne portoit pas tel escu |comme cil	mes il ne portoit mye telles armes come celuy 	mas no traia el tales armas |Como aquel que yo ando buscando 	ma e' non porta mica tale scudo come colui 
357	que je quier. — Bele cosine, fet cele de laiens, il le puet bien avoir changié 	que ie quier bele cousine fait cele de Iaiens il le puet bien |auoir changie puis 	que iou quier Bele cousine fait cele as de laiens. il lez puet bien auoir cangies. 	que ie quier Belle cousine fait celle de leans il le puet bien auoir despuis change. 	que ie quiers/ belle cousine fait celle de leans il les peult bien auoir changiez 	Buena Parienta dixo la donçella del castillo el las puede auer bien trocado 	ch’io cheggio. |—eBella cugina, disse quella di là entro, elli il potrebbe poscia bene avere cambiato, 
358	et je vos di al mien cuidier 	et ie uos di au mien cuidier 	Et iou quit bien a mon escient 	et ie cuide bien a mon cuider 	et ie cuide bien a mon aduiz 	e yo vos digo ami cuidar 	e vo dico al mio credere 
359|360	que ce est cil |que vos querez : 	que cest ciz |que uus querez. 	que che soit cil|que vous queres 	que cest cil |que uous querez. 	que cest celuy |que uous queres 	Que este es el que bos buscades 	che ciò est quelli |cu' voi chiedete. 
361	si vos prie 	Si uous pri 	Si vous pri 	si uous pry 	sy uous prie 	e Ruego vos 	Si vi priego 
362|363|364|365	que vos me laissiés o vos aler |tant que trové l’aions |et lors savrai l’acheison |por quoi il laissa mon ostel a tel ore. — Il m’est molt bel, fet cele de Honguefort, 	que uous me laissiez a uos Aler |tant que troue laions |et lors saurai locoson |por coi il a laisier mon ostel a tel eure. il met mout bel fait cele de hongefort. 	que vous me laissies aler aueques vous tant |que nous laions trouue. |Et lors |si nous dira locoison pourcoi il a laissie mon ostel en tel maniere. Il men est bel fait cele de hongrefort 	que me lessez aller o uous tant |que nous layons trouue. |Et lors scauray lachoison pour|quoy il a lesse mon houstel a telle heure Il mest moult bel fait celle de hunguefort 	que me lessiez aller auecques uous tant que laurens trouue. Il mest monlt bel dyt celle de honguesfort 	que me dexedes convos yr |fasta Quelo fallemos e sepa la rrazon |Porque se fue demi castillo ental manera |Mucho me Plaze dixo la donzella de ongeforte 	che voi mi lasciate con voi andare |tanto che trovato l’abiate,|allora saprò io la cagione |per |ch’egli à mio ostello lasciato a tale ora. |— E' me n’è molto bello, disse quella d’Unguelforte, 
366|367|368|369|370|371	que vos i viegniés, |puis|qu’il vos plest. » |Ensi remistrent la nuit laiens |et al matin. |si tost com eles ! virent le jor, 	que uous i uangnerez|de que il uos plait. |Ainsi remesent laiens la nuit. |et au matin |si tost comme eles uirent le ior: se leuerent 	que vous y ueignies |puis quil vous plaist. |Ensi remestrent cele nuit laiens. |et lendemain |quant il virent le ior sen alerent 	que uous y uieguez |quant il uous plaist. |Ainsi demeurent la nuyt leans. |Et au matin |si tost quelles uirent le iour se leuerent 	que uous uiengnies auec moy |puis quil uous plaist. |ainsi demeurent la nuyt leans. et au matin |quant ilz uirent le iour 	Que vengades |Pues vos plaze ansi fincaron toda aquella noche enla mañana tanto Como fue de dia se leuantaron |e fueronse del castillo 	che vo' vegniate, da |che vo piace». |lnsi rimasono la notte là entro,|e al mattino, |si tosto com'elle vidono il giorno, |si levarono 
372|373	si leverent et se partirent del chastel |et entrerent en la queste de lor chevalier.	et se partirent del chastel. |Si entrent en la quese de lor cheualier 	et partirent del castel. |et entrerent en la queste del cheualier 	et se partirent du chastel. |si entrent en la queste de leur cheualier. 	si sen partirent du chastel |et entrerent en la queste de leur cheualier. 	enla demanda del buen cauallero 	e|si partirono dal castello, |si entrarono nella chesta del loro cavaliere. 
374	Mais or laisse atant li contes a parler d’eles et de Boort	mais or laisse li contes a parler atant deles et de behort. 	Mais ore laisse li contes a parler daus |et de bohort 	Mais or laisse le compte a parler deulx et de boort. 	Or lessons maintenant le compte de boors et des deux dames 	Agora dexa el cuento de fablar dellas e de boores 	Ma|or lascia il conto atanto a parlare di loro e di Boordo
375|376|377	et retorne a parler de Lancelot la |ou il est entrez en la forest de Sarpenic, |si com li contes a devise ariers. 	et retorne a parler de lancͣ. la |ou il est entrer en la forest de sarpenic GRant chaut cedit li contes fist le ior 	et retorne a parler de lancelot del lac. |si comme il entra en la forest de la sapine |si comme li contes a deuise. 	et retourne a parler de lancelot |quant il entra en la fourest de sarponie |sicomme le compte a deuise.|Cy fine le comte. |Et parle de lancelot du lac. 	et retourons a parler de lancelot du lac le|quel est entre en la forest de la sapine. |Comment lancelot emporta le corps de gallehaut 	e torna A Lançarote Que entro enla floresta Serpentina |Asi como el cuento lo a deuisado 	e ritorna a parlare di Lancellotto, là |ov’elli est entrato nella foresta di Sapernic, |si come il conto à divisato. Gran caldo, 
378|379|380|381|382|383|384	Or dist li contes |qu’il fist grant chaut le jor |que Lancelos entra en la forest de Sarpenic |et |por ce ne remest il mie|qu’il ne chevalchast jusqu’à none; |si li avint ensi 	que lanc̃. entra en la foret de sarpenic. |et por ce ne remest il pas |que lanc̃ ne cheuanchast iusques a none. |Si auint 	Ne dist li contes |que trop grant chaut fist celui ior |que lancelot fu entres en la forest de la sapine |Et por chou ne remest il mie |quil ne cheualchast iusques a nonne|Si li auint ensi 	Or dit le conte |quil faisoit grant chault le iour |que lancelot entra en la fourest de serpeme. |et pour ce ne demoura il pas |quil ne cheuauchast iucqua nonne. |Si luy aduint 	que plusieurs cheualiers gardoient: |et comment il rescouist la seur de meleagant |que len uouloit ardre iiii.xx. xiiii. Grant chault fist dit le compie le iour |que lancelot fut entre en la sapinoie |et pour ce ne demoura il pas |quil ne cheuauchast iusques a uespres 	Dize el cuento |que gran calentura façia el dia |que lançarote entro enla floresta |mas poreso no finco que el no andubiese todo el dia |fasta nona 	ciò dice il conto, fece il giorno |che Lancellotto entrò nella foresta di Sarpenic,|e per ciò e' non rimase passo |che non cavalcasse infin qua a nona, |si gli avenne insi 
385|386|387|388	qu’il n’encontra home ne feme jusqu’al vespre; |mais lors sans faille, |si com il dut issir de forest |qui tot le jor li ot duré, encontra une damoisele 	quil nancontra home ne fame iuscau uespre. |mais lors sans faille |Si comme il dut issir de la forest |qui tote ior li ot dure|Si encontra une damoisele 	quil nencontra ne homme ne femme iusques a uespres. |Mais lors sans faille |si comme il dut issir de la forest |si encontra vne damoisele 	quil nencontra homme ne femme iucqua uespres. |mais lors quil deut yssir de la fourest |qui tout le iour luy auoit dure il encontra une damoisele 	sans rencentrer homme ne femme. |Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy. Il salue la damoiselle 	que no encontro ome ni muger |mas a hora de visperas sin falta |quando queria salir dela floresta |que todo el dia le auia durado encontro vna donzella 	che non incontrò huomo né femina insino a vespero. |?Ma allora sanza fallo, |si come dovea uscire della foresta |che tutto giorno gli avea durata, |si incontrò elli una damigella
389	qui molt faisoit grant duel 	qui mout faissoit grant duel. 	qui moult faisoit grant doel. 	qui moult faisoit grant deul 		que mucho façia gran duelo 	che molto facea gran duolo, 
390|391	et chevalchoit I. palefroi noir a molt riehe lorain |et a molt cointe sele de l'oevre d’Engleterre. Il salue la damoisele 	et cheuauchoit .i. palefroi noir a mout riche lomin |et a mout riche cele de lueure dangeterre. Il salue la damoisele 	si cheualchoit vn moult riche palefroy a vn moult cointe lorain et a vne sele dengletere Il salue la damoisele 	et cheuauchoit ung palefroy noir a moult riche loram et a moult cointe sele de lueure de angleterre Il salue la damoisele		e andaua envn palafren morçillo |que traia vna muy Rica silla y freno |e el saluo la donçella e ella ael donzella dixo lançarote |deçidme 	e cavalcava in uno palafreno nero a molto ricca sambuca e a molto bella sella dell’opera d’Inghilterra |e a molto ricco freno, uno capelletto foderato di zendado in sua testa per lo caldo. |E'saluta la damigella 
392|393|394|395	et ele lui. « Damoisele, fet il, |kar me dites, |s’il vos plest, |por quoi vos plorés. — 	et ele autresi lui. Damoisele fait lanc̃ |car me dites ore ce il uos plait |que uos auez.|et por coi uus plorez. 	et elle li rent son salut. Damoisele fet il |sil vous plaisoit iou sauroie volentiers pourcoi vous plores. Sire certes dist elle 	et elle aussi luy. Damoisele. fait il or me dictes |pour quoy uous plourez. 	et lui dit. Dame dictes moy pour|quoy uous plourez |sil uous plaist 	porque llorades |si vos plaze |çierto dixo la donçella |si yo supiese |que me vernia Prouecho |enello yo voslo diria muy de grado çierto dixo donçella 	ed ella gli rende suo saluto molto cortesemente. |Damigella, disse Lancellotto, |ch’or mi dite ora |perché vo piagnete? |—
396	Certes, sire, fet ele, 	Certes sire fait ele 	se iou y 	Certes fait elle |si ie y cuidoye 	Certes sire 	enmelo deçir no aueredes vos daño |si auos pluguiere 	Certo, sire, diss’ella, 
397	se je i' cuidoie avoir preu, je le vos diroie. — Damage, fet il, ll’i avrez vos ja, 	se ie i cuidoie |auoir preu ie le uos diroie. Damage fait il ni aurez uos ia se dieu plait. 	qui doie auoir aucun preu iou le vous diroie Damage fait il ni aurois vous ia	auoir preu ie le uous diroye. |Dommaige fait il ny aurez uous pas 	se ie y cuidoie auoir prouffit ie uous le diroie. 	e vos dezidmelo por conuenençia |que vos ayude yo a todo mi Poder en todas las cosas 	s’i vi credesse avere pro, |si 'l vo dire' io. 
							— Damaggio, disse Lancellotto, non ci arete vo' già, 
398|399|400|401	se Dieu plest, |mais dites le moi par covent |que, |se je vos puis aidier a vos esleecier, je vos aiderai a mon pooir. — En non Dieu, sire, fet ele, 	Mais dites le moi par couant |que ie uos en aiderai a eslaicier. a mon paoir |ce ie uos en puis aidier. |En non dieu sire fait ele 	se dieu plaist. Dites le moi |par tel conuent |que se iou vous puis aidier a esclairier vostre cuer iou le ferai a mon pooir. Enon dieu sire fet elle 	si dieu plaist. |Mais dictes le moy par conuent |que si ie uous puis aider a uous aider. |it uous aideray a mon pouoir. En nom dieu sire fait elle 	Dommage fait il ny aurez uous ia se dieu plaist. |car se ie uous puis aider ie uous aideray a esclercir uostre cueur a mon pouoir. 	que hubieredes menester |e espeçialmente enesta |por que vos llorades |Ca yo porne enello el mejor Remedio |que puede ser si es cosa |que vos pueda ayudar |Enel nombre de dios dixo la donçella 	se Dio piace, |ma ditelme per convento |che, s’i vo ne posso aiutare o consigliare, io vo n’atrò di tutto mio podere. |— ll A nome di Dio, diss’ella, 
402|403|404|405|406	donc le vos dirai je. ll est voirs |que Meleagans, li fiz al roi Baldemagu, |ala a la cort le roi Artu por la roine Genievre conquerre, |s’il peust; |et endementiers fist tant une damoisele 	dont ie uos dirai ge. Il est uoirs |que meleagant li fiz le roi bademagu ala oan a la cort le roi artu. |Por la roine reconquerre|ce il peust. |et andementiers fist tant une damoisele 	dont le vous dirai iou IL fu voirs |que melyagans li fiex au roy baudemagu ala a la cort au roy artu |pour la royne genieure conquiere. |Et endementres fist tant vne damoisele 	dont uous diray ie. Il est uoir |que meleagant le filz du rop bandemagu alla a la court du roy artus |pour conquerre la royne genieure |sil eust peu. |Cependant fist tant une damoisele 	Par dieu sire denc fait elle le uous diray ie. Il fut uoir |que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre. |En dementiers fist tant une damoiselle 	pues vos os afincades tanto |que vos diga enque manera es |e que cosa es lo 	dunque il vo dirò io. |Egli è vero|che Meleagante, il figliuolo del re Bando di Maguzo, andò uguanno alla corte del re Artù |per la reina Ginevra conquidere, |se potesse. |eE dimentre, fece tanto una damigella 
407|408|409|410|411	qui estoit? sa suer |qu’ele geta Lancelot d’une tor ou Meleagans l’avoit mis en prison, ne sai por quoi. |Quant ele l’ot delivré, |si le tint avec li tant |qu’il fu garis, 	qui estoit suers meleagan: |que ele ieta lanc̃ dune tor 	qui sa suer estoit. |que elle geta lancelot de prison dune tour |ou il estoit mis : iou ne sai porcoi |Ouant elle lot deliure. |si le tint aueques li. tant|quil fu garis 	qui estoit sa seur |quelle gecta lancelot du lac dune tour |ou meleagant lauoit mis en prison ie ne scay |pour quoy|Quant elle leut deliure |si le tint auecquez luy |tant quil fu guery. 	qui sa seur estoit |que elle iecta lancelot hors de prison de une tour la |ou il lauoit mis. |Quant elle leust deliure elle le tint auec elle |tant qu il fut gary: 	porque yo lloro |yo voslo dire |asi es que fiço tanto vna donçella |Que hera hermana de Meliangas |que saco dela prision a lançarote 	ch’era sua serocchia |ch’ella gittò Lancellotto di Lac d’una torre |ove Meleagante l’avea messo in pregione, |non so perché.|Quand’ella l’ebbe dilivero, |si l tenne con esso lei non so quanto, tanto |ch’ella el guari, 
						quelo tenia envna torre Meliangas no sabia porque 	
						e quando el fue libre ella lo tubo en su poder 	
412	kar molt avoit eu mesaise en la prison, 	ou meleagans lauoit mis en prison. 	Car moult auoit eu mesaise en la prison. |Et Io 	car moult auoit eu mesaise en la prison. 	et moult y auoit eu mesaise. 	fastaque fue guarido |ca mucho auia enpeorado dela prision 	ché molto avea avuto misaggio nella prigione. 
413	et puis l’envoia a la cort le roi Artu 	et puis lenuoia a la cort le roi artu 	puis quant il fu garis |si lenvoia a la cort au roy artu 	Et puis lenuoya a la court du roy artus 	et puis lenuoia a la court du roy artus la 	e des que fue guarido fuese ala corte del Rey Artur 	Quand’e fu tornato a guarigione, sillo inviò alla corte del re Artù, 
414|415|416	ou il ocist Meleagan, |ce savons nos or bien.|Mais si tost com li parent sorent 	ou il ocit .mel̾. |ci sauons nos ore bien. |mais si tost com cil parent sorrent 	ou il ochist melyagant chou sauons nous bien. |Mais si tost |que |si parent le sorent 	ou il occist meleagant ce scauons nous ores bien. |mais si tost |que les parens meleagant sceurent	ou il occist meleagant. |mais tantost |que ses parens sceurent 	e Mato alla a meliangas |segund cuido que oystes mas tan ayna como sus parientes lo supieron 	ov’elli uccise Meleagant, |ciò sapiamo noi ora bene. |Ma si tosto come i parenti di Meleagante seppono 
417|418	qu’ele avoit Lancelot osté de la prison, |si distrent 	que ele auoit iete lanc̾ de prison; |si dirrent 	que elle auoit lancelot gete de prison |Si distrent 	quelle auoit oste lancelot de la prison |si distrent 	que elle auoit iecte lancelot hors de prison ilz la occuperent de la mort de meleagant. 	que ella auia hechado dela prision a lançarote Dixeron |quelo auia fecho 	ch’ella avea tratto di pregione Lancellotto, |sì dissono 
419	qu’ele l’avoit fait por Meleagan ocirre; 	que ele lauoit fait por mes. ocirre. 	que elle lauoit fet pour melyagant ocirre 	quelle lauoit fait pour occire meleagant. 		por amor de Meliangas delo matar 	ch’ella l’avea fatto per Meleagante uccidere, 
420|421|422|423|424	si le pristrent a force |et l’acheisonerent de sa mort |et distrent |que, s’ele ne trovoit |qui l’en desfendist. 	Si la prissent a force et locoisonent de sa mort. |et dirent |que cele ne trouoit |qui la desfandit 	Si le pristrent a force |et locoisonnerent de sa mort. |Et distrent |que se elle ne trouuast |qui len deffendist 	Et la prindrent a force |et laccuserent de sa mort et distrent |que selle ne trouuoit |qui la dessendist 	et fut dit |que se elle ne trouuoit |qui la deffendist	e tomaronla afuerça e pusieronla en prision |e dixeron |que si no fallare quien la defender de aquesto 	si-lla presono a forza e la cagionarono di sua morte, |e dissono |che, s’ella non trovasse chilla difendesse, 
425	qu'il feroient de lui justice si grant	quil feroient de li iustice tele 	que on feroit de li autel iustice 	quilz feroient telle iustice de lie 	que len feroit de elle telle iustice 	que farian della grand justiçia 	ch’elli farebono giustitia di lei 
426	com l’en doit fere de cele 	com len deuoit faire de fame 	com on deueroit faire de femme 	que len deuroit faire de femme 	que len deuoit faire de femme 	Como deuen de fazer de muger 	si grande come l’uomo dee fare di femina 
427	qui son frere ocist. 	qui son frere ocist. 	qui son frere auoit ocis. 	qui son frere a occis. 	qui son frere auoit occis. 	que asu hermano auia muerto 	che suo fratello uccide. 
428	Et ele dist 	et ele dist 	Et elle dist 	Et elle dist 	Et elle dit 	e ella dixo 	Ed ella disse 
429|430	qu’ele troveroit bien |qui la desfendroit: 	que le troueroit bien|qui la desfanderoit. 	quele le trouueroit bien 	quelle trouueroit bien |qui la defendroit	que elle trouueroit bien |qui len deffendroit. 	que bien fallaria quien la defendiese 	ch’ella il troverebbe bene |chi ne la difenderebbe, 
431	si mist jor d’amener I. chevalier por li desfendre, 	Si mist ior damener .i. cheualier |por li desfandre.	Si mist iour dun cheualier amener auant. |pour li desfendre. 	si a mis iour damener auant ung cheualier |pour la deffendre. si sest 	Si lui fut iour determine de trouuer ung cheualier |pour elle deffendre. 	e luego pusieronle dia señalado |Parase defender Por cauallero 	sì ànno messo giorno d’a- menare uno cavaliere |per lei difendere, 
432	si s’est puis porchaciee en Pluisors liex,	Si cest puis porchacie en plusors lieus. 	Si sen est puis pourchascie en pluisors lieus. 	puis pourchacee en plusieurs lieux. 	Et elle a depuis pour chasse en plusieurs lieux 	e ella ymbio a buscar |por muchos lugares 	si se n’è poscia procacciata in più luogora,
433	mais onques ne trova chevalier 	mais onques ne troua cheualier	mais onques ne troua cheualier 	mais oncquez ne trouua cheualier 	mais oncques ne trouua cheualier 	quien le defendiese mas nunca a podido fallar Cauallero 	ma unque non trovò ancor cavaliere 
434	qui ses armes en osast prendre contre celui 	qui ses armes en ossast prandre encontre celui 	qui sez armes en osast prendre encontre celui 	qui armes en osast prendre encontre celuy 	qui ses armes osast prendre centre celui 	que armas quiera tomar contra aquel Cauallero 	che sue armi osasse imprendere incontro a colui 
435	qui apelee l’avoit. 	qui apelee len auoit.	qui apelee len auoit. 	qui lauoit appellee. 	qui lauoit appelle. 	que deste pleito la a Reptado 	che apellato l’à. 
436|437	Or si est tant la chose alee |que li jors est aterminés a hui ; 	Or si est tant la chose alee |que li iors fu A termines a hui. 	Ore est la chose |tant alee |que li iors fu atermines a hui. 	Ores est tant la chose alee |que le iour est termine a huy. 	Or est tant la chose allee |que le iour est ennuy termine: 	e el Plazo se cumple Mañana 	IOr si è tanto la cosa andata|che 'l giorno est aterminato a oggi, 
438|439	si n’a trové la pucele nul desfendeor |et por ce dient li un et li autre 	Si ne trueue la pucele nul desfandeor. et por ce dient |et li un et li autre 	si na trouue nul desfendeour |Et pour chou dient li vn et li autre	si na encor trouue la pucele nul deffendeur. |Et par ce dient les ungs et les autres 	si na trouue nul desfendeur. 	ental manera que si fasta ora de terçia no falla 	si non à ancor trovato la pulcella difenditore, |e perciò dicono gli uni e gli altri 
440|441	qu’ele est atainte del meffet |que l’en li met sus : 	que ele est atainte dou meffait : |que len li met sus. 	quele est atainte del mesfait |que on li a mis sus. 	quelle est atainte du meffait |que len luy mect sus. 		defensor tomaran della luego vengança 	ch’ella è agiunta del misfatto |che l’uomo le mette suso. 
442|443	si l’ont jugiee, |ce m’est vis, a ardoir le matin 	Si lont iugie ce mest uis le matin a ardoir. 	si lont iugiee lal ardoir le matin. 	si lont iugee |si mest aduis a ardoir le matin. 	et pource lont iugiee a estre arse au matin 	e la vengança sera tal que la Quemaran 	Si-ll’anno giudicata, ciò m’è aviso, ad ardere domattina, 
444|445	et por ce qu’il m’en membroit, |or em ploroie je si durement, 	et por ce |quil men menbroit ore ploroie ge si durement. 	Et pour chou |quil men ramenbroit ore ploroie iou 	Et pour ce |quil men menbroit ores plouroye ie si fort. 	et cest la cause |qui me fait plourer 	e poresto lloro yo asi tan fuertemente 	e per ciò che me ne ricordo, ora |quand’io vo vidi piagnea io si duramente, 
446|447	kar certes ele estoit une des plus cortoises damoiseles ! del monde et une des plus vaillans. — |Or me dites, damoisele, fet Lancelos, 	Car certes ele est une des plus cortoises damoileles dou monde et une des plus uaillans. |Or me dites damoisele fait lanc̃. 	Car elle estoit vne des plus hautes damoiseles del monde et des plus uaillans |CAr me dites |dont damoisele fait lancelot.	car elle estoit une des plus uaillans et des plus courtoises damoiseles du monde De celle mesmes matiere dessus dicte. |Or me dictes damoisele fait lancelot	car elle estoit une des plus haultes damoiselles du monde: et des plus uaillantes. |OR me dictes damoiselle fait lancelot 	porque aquella es vna delas altas donzellas del mundo agora me deçid donçella dixo lançarote 	ché certo ella era una delle più belle e delle più cortesi damigelle del mondo |e una delle più valentri». |Or mi dite, damigella, disse Lancellotto, 
448|449|450|451	et s’ele trovoit demain |qui la deffendist, |dont ne seroit ele quite del jugement |que l’en a fet ? — Sire, fet ele, je ne sai. —	se le trouoit |qui la desfendist |dont ne seroit ele quite del iugement |que len li a fait. sire fait ele ie ne sai. 	se elle trouoit demain |O |qui le desfendist |dont: ne seroit elle quite del iugement. Sire fait elle iou ne sai. 	et selle trouuoit demain |qui la deffendist ne seroit alle pas quicte du iugenent |que lon a fait. Sire fait elle ie ne scay.	se elle trouuoit demain |qui la deffendist ne seroit elle pas quicte du iugement. Sire dit elle ie ne scay. 	si ella fallase tras quien la defendiese |seria ella quita del todo |señor dixo ella |no se 	s’ella trovasse domane |chi ne la difendesse, |dunque non sarebbe ella cheta del giudicamento che l’uomo l’à fatto? |- Sire, disse ella, i' non sO. |—
452|453	Et est ce, fet il, gaires loing |que ele est ? — Sire. fet ele, il n’i a que. VI. lieues englesches. 	et esse fai il gaires long. |sire il ni|a que .ui. lieues englesches. 	Et est chou fait il loing de ci. Sire fait elle il ni a|que vi lieues englesches. 	et est ce fait il gueres loing |quelle est. Sire fait elle il ny a que six lieues anglesches. 	Et esse fait il gaires loingz dicy. Sire dit elle il ny a que six lieues anglesches/ 	E es muy lexos de aqui |ado ella esta dixo lançarote |señor dixo ella |no ay mas de aqui alla de seis leguas ynglesas 	Est ciò, diss’elli, guari lungi |dov’ella est? |— Sire, disse ella, 
							e' non ci à 
