0	avoir trové. » 	porce |que io le uodroie auoir troue 	0|1
398	se Dieu plest, 		
399	mais dites le moi par covent 	Mais dites le moi par couant 	378
400	que, 	que ie uos en aiderai a eslaicier. a mon paoir 	379
401	se je vos puis aidier a vos esleecier, je vos aiderai a mon pooir. — En non Dieu, sire, fet ele, 	ce ie uos en puis aidier. |En non dieu sire fait ele 	380|381
402	donc le vos dirai je. ll est voirs 	dont ie uos dirai ge. Il est uoirs 	382
403	que Meleagans, li fiz al roi Baldemagu, 	que meleagant li fiz le roi bademagu ala oan a la cort le roi artu. 	383
404	ala a la cort le roi Artu por la roine Genievre conquerre, 	Por la roine reconquerre	384
405	s’il peust; 	ce il peust. 	385
406	et endementiers fist tant une damoisele 	et andementiers fist tant une damoisele 	386
407|408	qui estoit? sa suer |qu’ele geta Lancelot d’une tor ou Meleagans l’avoit mis en prison, ne sai por quoi. 	qui estoit suers meleagan: 	387
409	Quant ele l’ot delivré, 		
410|411	si le tint avec li tant |qu’il fu garis, 	que ele ieta lanc̃ dune tor 	388
412	kar molt avoit eu mesaise en la prison, 	ou meleagans lauoit mis en prison. 	389
413	et puis l’envoia a la cort le roi Artu 	et puis lenuoia a la cort le roi artu 	390
414	ou il ocist Meleagan, 	ou il ocit .mel̾. 	391
415	ce savons nos or bien.	ci sauons nos ore bien. 	392
416	Mais si tost com li parent sorent 	mais si tost com cil parent sorrent 	393
417	qu’ele avoit Lancelot osté de la prison, 	que ele auoit iete lanc̾ de prison; 	394
418	si distrent 	si dirrent 	395
419	qu’ele l’avoit fait por Meleagan ocirre; 	que ele lauoit fait por mes. ocirre. 	396
420|421	si le pristrent a force |et l’acheisonerent de sa mort 	Si la prissent a force et locoisonent de sa mort. 	397
422	et distrent 	et dirent 	398
423	que, s’ele ne trovoit 	que cele ne trouoit 	399
424	qui l’en desfendist. 	qui la desfandit 	400
425	qu'il feroient de lui justice si grant	quil feroient de li iustice tele 	401
426	com l’en doit fere de cele 	com len deuoit faire de fame 	402
427	qui son frere ocist. 	qui son frere ocist. 	403
428	Et ele dist 	et ele dist 	404
429	qu’ele troveroit bien 	que le troueroit bien	405
430	qui la desfendroit: 	qui la desfanderoit. 	406
431	si mist jor d’amener I. chevalier por li desfendre, 	Si mist ior damener .i. cheualier |por li desfandre.	407|408
432	si s’est puis porchaciee en Pluisors liex,	Si cest puis porchacie en plusors lieus. 	409
433	mais onques ne trova chevalier 	mais onques ne troua cheualier	410
434	qui ses armes en osast prendre contre celui 	qui ses armes en ossast prandre encontre celui 	411
435	qui apelee l’avoit. 	qui apelee len auoit.	412
436	Or si est tant la chose alee 	Or si est tant la chose alee 	413
437	que li jors est aterminés a hui ; 	que li iors fu A termines a hui. 	414
438	si n’a trové la pucele nul desfendeor 	Si ne trueue la pucele nul desfandeor. et por ce dient 	415
439	et por ce dient li un et li autre 	et li un et li autre 	416
440	qu’ele est atainte del meffet 	que ele est atainte dou meffait : 	417
441	que l’en li met sus : 	que len li met sus. 	418
442|443	si l’ont jugiee, |ce m’est vis, a ardoir le matin 	Si lont iugie ce mest uis le matin a ardoir. 	419
444	et por ce qu’il m’en membroit, 	et por ce 	420
445	or em ploroie je si durement, 	quil men menbroit ore ploroie ge si durement. 	421
446	kar certes ele estoit une des plus cortoises damoiseles ! del monde et une des plus vaillans. — 	Car certes ele est une des plus cortoises damoileles dou monde et une des plus uaillans. 	422
447	Or me dites, damoisele, fet Lancelos, 	Or me dites damoisele fait lanc̃. 	423
448	et s’ele trovoit demain 	se le trouoit 	424
449	qui la deffendist, 	qui la desfendist 	425
450	dont ne seroit ele quite del jugement 	dont ne seroit ele quite del iugement 	426
451	que l’en a fet ? — Sire, fet ele, je ne sai. —	que len li a fait. sire fait ele ie ne sai. 	427
452	Et est ce, fet il, gaires loing 	et esse fai il gaires long. 	428
453	que ele est ? — Sire. fet ele, il n’i a que. VI. lieues englesches. 	sire il ni|a que .ui. lieues englesches. 	429|430
454	Se vos leviés demain matin, vos i seriés ains prime. — 	se uous leuiez demain matin uus i seriez ains tierce. 	431
455|456	Ou le porrai je, fet il, trover ? — |Al chastel a, fet ele, de Floego 	Ou la porroie ge fait il trouer. Au chastel fait ele de floego. 	432
457	et cis chemins vos i menra droit, 	et ciz chemins uos i merroit 	433
458	se vos le volés tenir. — 	se uos le uoliez tenir. 	434
459	Or vos commant a Dieu, damoisele », fet il.	Or uos comant a dieu damoisele fait il. 	435
460	Si s’em part atant 	si sen part. 	436
461	et cele s’en vet faisant son duel. 	et sele sen ua faisant son duel. 	437
462	Et il chevalche 	et il cheuauche	438
463|464	tant |qu’il vint fors de la forest, 	tant quil uient fors de la forest. 	439
465	si vit devant lui une maison de religion 	Si uoit deuant lui une maison de religion. 	440
466	et il torne cele part 	et il torne cele part 	441
467	por herbergier.	por herbreger. 	442
468	Et quant il i vint, 	et quant il i est uenus 	443
469	si trueve a la porte IlII. des freres 	si trueue a la porte iiii freres. 	444
470	qui ja avoient chanté complie 	qui ia auoient chantee complie 	445
471	et estoient venu hors? al serain;	et estoient uenu au serain. 	446
472|473	si saillent encontre lui |por fere descendre 	Si saillent encontre lui por liu dessandre. 	447
474	et dient 		
475|476	que bien soit il venus; |si le font entrer laiens 	Oroient que bien soit il uenus. sire font entrer laiens. 	448
477|478	et li demandent |s’il a mengié, 	et li demandent cil a mengue 	449
479	et il dist 	et il dit 	450
480	que nenil, 	que nennil. 	451
481	et il font erraument mettre la table, 	et il font erraumet mestre la la table. 	452
482	mais il dist 	mais il dit	453
483	qu’il ne mengera devant 	quil ne mangera 	454
484	qu’il ait esté al mostier, 	deuant quil ait este en mostier. 	455
485	lar il n’i entra hui. 	Car il ni entra encor hui. 	456
486	Lors entre en l’eglise. 	Lors entre lanceloz en lesglise 	457
487	por orer et en ce qu’il se fu agenoilliés, 	por orer et en ce |quil se fu agenoilliez 	458|459
488	si regarde a destre	si garde a destre 	460
489	et voit unes prones d’argent trop richement fetes a floretes d’or et a oisials et a bestes, 	si uoit unes prones de fer dargent trop richemet faites et florestes dor. |et a oisiax et a bestes. 	461|462
490	et dedens avoit V. chevaliers armés, les hialmes es testes, les espees es mains, 	et dedans auoit u.. cheualiers tous armes les hiaumes laciez les espees es mains 	463
491	ausi apresté de deffendre 	ausi aprestes de desfandre: 	464
492|493	que|se l’en les volsist asaillir. 	comme se len les uosist asaillir. 	465
494	De ce se merveilla molt Lancelos ;	Si se meruilla mout lanc̃. 	466
495	si se drece erraument 	si se dresce erraument. 	467
496	et vet cele part, 	et ua cele part 	468
497	si salue les chevaliers	et salue les cheualiers. 	469
498	et il dient 	et il dient	470
499	que bien soit il venus. 	que bien soit il uenus . 	471
500	Et il entre dedens les prones par un petit huisselet a 	et il entre dedens les prones par .i. petit usselet. 	472
501	et esgarde les prones	et esgarde les prones 	473
502	qui tant sont riches 	qui tant sont riches	474
503	qu’il ne cuide pas 	quil ne cuide pas 	475
504	que nus rois les peust esligier; 	que uus rois les poist eligier. 	476
505	puis voit delés les chevaliers une tombe, la plus riche	et puis uoit deles les cheualiers une tonbe la plus riche 	477
506	qui onques fust fete par home, 	qui onques fust ueue. par home . 	478
507	kar ele ert tote d’or fin a chieres pierres precioses 	Car ele ert tote dor fin a pierres precieusez 	479
508|509	qui molt valoient miels d’un grant roialme. |Se la tumbe fu de grant bialté, 	qui plus ualoient dun roiamne. et dee la conbe fu de grant biaute. 	480
510	nient ne monte la bialtés envers la richece 	Noiant monte a la richesce 	481
511	dont ele estoit 	dont ele estoit. 	482
512	et avec ce estoit ele la greignor 	et auec ce estoit ele la grignors 	483
513	que Lancelos eust onques veue : 	que lanc̃. ueist onques. 	484
514	si se merveille molt 	Si se merueille mout 	485
515	qui puet estre li princes 	qui pot estre li princes 	486
516	qui dedens fu mis. Il demande as chevaliers 	qui dedens fu mis. |si demande as cheualiers 	487|488
517	qui sont iluec. « Sire, font il, nos gardons le cors	que il font illuec. Sire font il nos garoons le cors 	489
518	qui en ceste tumbe est. 	qui est dedens ceste tonbe 	490
519	qu'il n’en soit portez fors de çaiens;	que il nen soit portes hors de saiens. 	491
520	si somes. V. 	Si i somes .u. 	492
521	por garder le de jors, par nuit en i a autres. V. 	por le garder chascun ior. et par nuit en i a autre .u. 	493
522|523	qui font autretel servise |comme nos faisons de jors. — 	qui font autretel seruise com uos faisons de ior. 	494
524	Et 	et porcoi fait lanc᷑. 	495
525	por quoi, fet Lancelos, avez vos poor 	auez uos pa our	496
526	qu’il n’en soit portés? — Sire, font il, 	que il nen soit portes. |SIre font il 	497|498
527	por ce que uns des freres de çaîens 	por ce |que uns freres de saiens 	499|500
528	qui molt est preudom et de sainte vie nos dist n’a encor gaires 	qui est mout preudoms et de sainte uie nos dit na encore gaires 	501
529	que uns chevaliers vendroit ceste part 	que uns cheualiers uandroit ceste part 	502
530	qui a force l’en osteroit 	qui a force len osteroit. 	503
531|532	et fors de cest païs l’en feroit porter. |Et nos, gens de ceste terre, voldrions miels morir 	et fors de cest pais len feroit porter et nos gens de ceste terre uodriens miex morir 	504
533	qu’il fust remués d’entre nos : por ce 	quil fust remuez dantre nous. porce 	505
534	si le gardons issi 	si le gardons ensi 	506
535	com vos veez, 	com uos ueez. 	507
536	lar li preudom i nos dist 	Car li preudons nos dit 	508
537	que li chevaliers ne demoreroit pas 	quil ne demorroit mie: 	509
538	qu’il ne venist — 	quil ne uenit. 	510
539	Or me dites. fet Lancelos, 	Or me dites fuit |lanc̃ 	511|512
540	ne fu cil molt haus princes 	ne fu cil mout riche princes 	513
541|542	a cui l’en fist si haute sepulture? — Sire, font cil, haus hom fu il et riches; |avec ce 	a cui si riche sepouture fu faite. Sire font a haus hons et riches fu il. et li plus prendons 	514
543	qu’il fu haus hom fu il li plus preudom 		
544	qui onques fust a son tens. —	qui onques fust a son tans. 	515
545	Ha, Diex, fet Lancelos, 	Ha: diex fait il 	516
546	qui fu il ?— Sire, font il, 	qui fu il. Sire font il 	517
547	se vos conoissiés letres, veoir le porriés, 	se uos quenoisiez lestre sauoir le poez 	518
548	kar ses nons est escris el chief de cele lame. » 	Car ses nons est escris el chief de cele lame. 	519
549	Lors va Lancelos cele part, 	Lors ua lanc̃. cele part 	520
550	si regarde les letres 	et regardent les lestres 	521
551	qui dient: « 	qui dient:	522
552	Ci gist Galehout li fiz a la Jaiande, li sires des Lointaignes Isles a, 	ci gist Gał̾ li fiz a la bele iaiende des longainnes illes et li sires de sorelois. 	523
553	qui por l’amor de Lancelot morut. » 	qui por lanmor lanc̃. del lac morut.	524
554	Et quant il vit ce, 	et quant il uoit ce 	525
555	si chiet pasmés et gist grant piece a terre 	si chiet pasmez |et gist grant piece a terre sans madire. 	526|527
556	sans mot dire; 		
557	et li chevalier le corent relever, 	et li cheualier le corent releuer. 	528
558	si se merveillent molt 	si se merueille mout 	529
559	qu’il puet estre. 	que il puet 	530
560|561	Et quant il revint de pasmison, |si s’escrie: « 	estre.et quant il reuient de pasmissons si sescrie. 	531
562|563	Ha, las! |Quel dolor et quel damage!» 	halas quel dolor et quel damage. 	532
564	Et lors fiert l’un poing en l’autre 	et lors fiert lun pong a lautre 	533
565	et esgratine son viaire	et esgratine son uiaire. 	534
566	si qu’il en fet le sanc salir de totes pars, 	et or fait le sanc de totes pars saillir. 	535
567	si se prent as chevels 	Si se prant as cheuex 	536
568	et se fiert grans cops del poing en mi le front 	et se fiert grant corx del pong |el fronc 	537|538
569	et en mi le pis 	et enmi le piz. 	539
570	et crie si durement 	et crie si durement 	540
571	qu’il n’i a celui 	qul ni a celui 	541
572	qui tote pitiés n’en preigne; 	qui pitie nen prangne. 	542
573	si se laidenge et maldit l’ore 	et maudit leure 	543
574	qu’il fu nes 	quil fu nez 	544
575|576	et dit: « |Ha, Diex ! 	et dit ha diex 	545
577	Quel damage, 	que perte 	546
578	quel perte del plus preudome del monde 	et quel dammage del plus preudome del 	547
579|580	qui mors est por le plus vil chevalier et por le plus malvés |qui onques fust ! 	monde.qui mors est por le plus uil cheualier et por li plus mauuais del monde. 	548
581	Tant fet Lancelos grant duel 	Tant fait Lanceloz grant cri et grant plain 	549
582	que tuit cil de laiens le vienent regarder a merveille; 	que tuit cil de laiens le uon esgarder.	550
583	si li demandent 	Si li demandent 	551
584	qui il est 	qui il est. 	552
585	et il ne puet mot dire, 	et il ne lor uost mo dire 	553
586	ains crie totes voies 	ains crie totesuoies 	554
587	et se debat et descire. 	et se debat et dessire. 	555
588	Quant il a son duel demené grant piece, 	et quant il a son duel mene grant piece. 	556
589	si regarde les letres 	et il regarde les lestres 	557
590	qui dient 	qui dient 	558
591	que por lui est mors Galehout; 	que por lui est mors Galehoz 	559
592	si dist 	si dit 	560
593	que or seroit il trop malvés, 	que or seroit il trop mauuais 	561
594	s’il ausi ne moroit por 	se il ausi ne moroit por lui. 	562
595	lui:si saut maintenant jus des prones 	Si saut mainteuaut hors des prones 	563
596	et pensa 	et panse 	564
597	qu’il iroit querre s’espee 	que il ira querre sespee et	565
598	et qu’il s’en ocirroit, 	quil sen ocirra 	566
599	kar ausi avoit ele esté Galehout a, 	car ausi auoit ele este Gal̾. 	567
600	Et maintenant	maintenant 	568
601	qu’il fu issus del mostier, 	que lanc̃ fu fors del mostier 	569
602	si encontra une des damoiseles del Lac, cele 	Si encontre une damoisele del lac. |Celi 	570|571
603	qui a Boort avoit parlé devant le chastel de Honguefort et ele le conuit bien, 	qui a beh̾. auoit parle deuant le chastel de honguefort. |et ele le quenut bien. 	572|573
604	si le prent par le pan de la cote et l’areste. « 	Si le prant par le pan de la coste et lareste. 	574
605	Qu’est ce ? fet ele. 	Que esce fait ele 	575
606	Ou alés vos ensi ? — 	ou alez uos ainsint. 	576
607	Ha, damoisele, fet il, laissiés moi mes dolors finer, kar jamés n’avroie joie ne repos en cest siecle. — Parlés, fet ele, a moi. » 	ha; damoisele fait il laissiez moi mes dolors finer. |Car iamais nauroye ioie ne repos : en cest siecle. 	577|578
608	Et il ne li dit mot, 	Parles a moi fait ele |et il ne dit mot 	579|580
609	ains se lance outre 	ains se lance outre. 	581
610	si qu’il li eschape des mains. 	si quil li eschape del mains.	582
611	Et quant ele l’en vit aler, 	Et quant ele len uoit aler 	583
612|613	si li crie: « Je vos deffent, |fet ele, par la rien 	si li escrie. Ie uous desfan fait ele par la riens 	584
614	que vos plus amez en cest monde 	que uos plus amez en monde; 	585
615|616	que vos n’ailliés avant tant |que vos aiés parlé a moi. » 	que uos nales auant iusqu atant que uos aiez parle a moi. 	586
617	Et il s’areste, 	Lors sareste 	587
618	si la regarde 	si la regarde 	588
619	et quant il la conut, 	et quant il la quenoit 	589
620	si li dist	si li dit	590
621	que bien soit ele venue. « En non Dieu, fet ele, vos me deuissiés fere plus bele chiere 	que bien soit ele uenue. |En non dienu fait ele uos me deussiez Sire mout plus bele chiere 	591|592
622|623	que vos ne me fetes, |al mains 	que uos ne faites au mains	593
624	por ce que je sui messages vostre dame del Lac. —	por ce |que ie sui mesage uostre dame del lac. 	594|595
625	Ha, damoisele, fet il, 	ha: damoisele fait il 	596
626	por Dieu ne vos poist, 	por dieu ne uos poist. 	597
627	certes je ai tant de dolor 	Certes ie ai tantes dolors	598
628	que nus for Diex ne me porroit conforter, ne a ne cuidiés 	que nus fors dieu ne men porroit reconforter. |Ne ne cuidiez pas	599|600
629	que jamés aie joie por aventure 	que ie iamais aie ioe: por auanture 	601
630|631	qui me puist avenir. — En non Dieu, fet ele, |si avrois. Escotez 	qui me puit auenir. En non dieu fait ele si aurois. escotes 	602
632	que ma dame vos mande. — 	que madame uos mande. 	603
633	Or dites, fet il. — Ele velt, fet ele, 	Or dites fait il. |Ele wet 	604|605
634	que vos ostés le cors Galehout de caiens et le fetes porter en litiere en la Dolerose Garde 	que uos ostes le cors Gal̾ de saiens |et len faites porter en litiere. a la dolereuse garde el chastel. 	606|607
635|636	et iluec soit mis en la tombe meismes |ou vos trovastes vostre non escrit; 	et illuecques soit mis en terre en la tombe meismes ou uos trouastes uostre non escrit. 	608
637	et ele le velt ensi, 	Car ele wet ainsi. 	609
638	por ce qu’ele set bien 	por ce que ele set bien 	610
639	que en cel lieu sera vostre cors enterrez. » 	que illuec sera uostres cors enterres. 	611
640	Et quant il l’ot, 	et quant il|ot se 	612|613
641	si en est molt liés 	si en est mout liez. 	614
642	et dist 	et dit 	615
643	que molt li sont ces noveles plaisans, 	que mout li sont ses noueles plaisans. 	616
644	kar tot ensi le fera il ; 	Et tout ainsi le fera il. 	617
645	puis demande 	pius demande	618
646	comment sa dame le fet. « 	comment sa dame le fait. 	619
647	Par foi, fet ele, ele a esté. VIlI. jors deshaitiee trop durement, 	Par foi fait ele ele a este .uiii. iorls deshaitie. 	620
648	kar ele trova en son sort, 	Car ele troua en son sort 	621
649	si com ele meismes me dist 	si com ele me dit 	622
650|651	puis, |que si tost com vos troveriés la tombe Galehout, 	que si tost com uos trouerrez la tombe Gal̾. 	623
652	que vos vos ocirriés de duel, 	que uos uous ocirriez de duel. 	624
653	se vos n’estiés destornez. 	se uos nen estiez trestornez 	625
654	Por ce m’envoia ele ça a grant besoing, 	et porce menuoia la a grant besong. 	626
655	si vos mande 	si uos mande 	627
656	que vos laissiés le duel ester, 	que uos laissiez le duel ester. 	628
657	qu’il ne vos puet fere se nuire non,	Car il ne uous puet aidier de nuire non. 	629
658	et vos prie par la rien 	et uos prie par la rien 	630
659	que vos plus amés 	que uos plus amez en se monde	631
660	que vos al plus bel 	que uos au plus bel 	632
661	que vos porrois vos reconfortés, 	que uus porrois uos reconfortes. 	633
662	et se vos ensi ne le fetes, bien sachiés 	Et se uos ainsi nel fasiez bien sachiez 	634
663	que al premier besoing 	que au premier afaire 	635
664	que vos avrois de li, ele vos faudroit. » 	que uos ariez |de li ele uos faudroit. 	636|637
665	Et il dist 	et il dit 	638
666	qu’il se confortera,	que ore se confortera il 	639
667	puis qu’ele le velt. « 	puis que madame le wet. 	640
668	Or vos covient, fet ele, vos armes prendre, 	OR uos couuient fait ele uos arme prandre. 	641
669	kar je voi bien 	Car ie sai bien 	642
670	qu’il ne le vos en lairont mie en pes porter 	que cil |qui le gardent nel uos la iront pas en pais porter 	643|644
671	tant com il le porront deffendre.» 	tant comme il le puissent desfandre. 	645
672	Et il dist 	Et il dit 	646
673	qu’il i morroit ançois 	que il i morroit ansois 	647
674	qu’il ne l’ostast de laiens; 	que il lait laiens. 	648
675	si se vet armer 	Si sen ua armer. 	649
676	et la damoisele vient tantost as chevaliers 	et la damoisele uient tandiz as cheualiers 	650
677	qui gardoient la tombe, 	qui le gardoient 	651
678	si lor dist: « Seignor, fet ele, volés vos destorner ce	et lor dit. Signor fait ele uolez uous destorner ce 	652
679	qu’il covient estre a force ?» 	que il couient auenir par force 	653
680	et demandent 	et il li demandent	654
681	por quoi ele le dist. « Je le di, fet ele, 	por coi ele le dit. |gel di fait ele 	655|656
682	por le cors 	por cel cors	657
683	que vos gardez et si savés bien 	que uos Gardes. |et si sauez bien 	658|659
684	qu’il en sera ostez. — Non sera, font il, 	que il en sera ostes. no sera font il 	660
685	que nos puissons. — 	que nos puissons. 	661
686	En non Dieu, fet ele,		
687|688	si iert, |et bien sachiés, fet ele, 	par foi fait ele si sera. 	662
689	que cil est venus 	que ciz est uenus 	663
690	qui l’en ostera. 	qui lostera 	664
691|692	Et se vos le contredites, |vos en morrois tuit: 	et se uos le contredites uos i morres tuit. 	665
693	por ce vos vendroit il miels 	et porte uos uodroit il miex 	666
694	que vos le laississiés atant, 	que uos le laissisiez atant. 	667
695	ains que vos vos en façois ocirre. » 	Ains que uos uous en laisisiez ocirre. 	668
696	Et cil dient 	et cil dient 	669
697|698	que ja tant|com il soient vif n’en sera portés. « 	que ia tant comme il soient uif nen sera portes. 	670
699	Et bien sache, font il, li chevaliers 	et bien saichent font il li cheualiers 	671
700|701	qui venus est |por avoir le, 	qui uenus et por lauoir 	672
702	que s’il estoit encore plus preus 	que cil estoit encore plus preus 	673
703|704	que Lancelos n’est, |si n’en menra il point. —	que lanc̃. nest nen manra il point.	674
705	Or verrons, fet ele, 	Se uerrez uos fait |ele 	675|676
706	comment il vos en avendra. » A ces paroles vint laiens Lancelos tos armés 	coment il uos en auanra iusquaa nagaires A ces paroles uint laiens lanc̃. tous armez 	677
707	et quant li chevalier le voient venir, 	Et quant li cheualier le uoient uenir 	678
708	si li demandent 	si li demandent 	679
709	qu’il velt fere. « Je vueil, fet il, avoir le cors 	que il wet faire. ie weil fait il auoir le cors 	680
710	qui laiens est. — 	qui saiens est. 	681
711	Par foi, font il, vos ne l’avrois mie por nient. Nos ¡ morrons ançois tuit 	Par foi font il uos ne laures pas por noiant. |donc i morrons ansois tuit 	682|683
712	que vos l’enportois. — A morir, fet il, en estes donc tuit, 	que uous lemportoit. Au morir fait il estes uos tuit 	684
713|714	puis|que a mains ne vos en volés soffrir !» 	puis que au mains ne uos en uolez souffrir. 	685
715|716	Si saut dedens les prones |et il li corent sus, 	Lors saut dedens les pronez. et cil li corrent sus 	686
717	kar arrieres le cuident fere sailir 	car arreres le cuident faire flatir 	687
718	por poor de morir; 	por paour de mort 	688
719	si le fierent par la ou il le pueent ataindre 	si le fierent par la 	689
720	et il ot el poing l’espee nue ;	ou il pueent ataindre et il ot el poing lespee nue. 	690
721	si lor done grans cops et pesans 	si lor done grant cox et pesans 	691
722	et fiert le premier 	et fiert le premier 	692
723	qu’il encontre si durement 	quil puet encontre si durement: 	693
724	que por le hialme ne por la coife de fer ne remaint 	que por hiaume ne |por la coiffe ne remaint 	694|695
725|726	qu’il ne li mete l’espee |jusqu’al test; 	que il ne li meste lespee iuscau test. 	696
727	et il le hurte de soi, 		
728|729	Si l’abat a terre. |Et lors saillent molt irieement tuit li autre, 	Si le hurte desor et labat a terre. et lors saillent tuit li autre 	697
730	si depiecent son escu et son hialme et son hauberc 	si li deprirent son haubert et son escu et son hiaume. 	698
731	et le blecent en pluisors lieus. 	et le blecerent en plusors lieus. 	699
732|733	Mais il ne li chaut de rien |qu’il li facent, 	Mais il ne len chaut de rien. 	700
734	kar tant est dolens 	Car tant est dolens 	701
735	que nus plus; 	que nus plus ne puet estre. 	702
736	si lor laisse corre par grant ire 	Si lor laisse corre par grant ire. 	703
737	et lor done de l’espee si grans cops 	et lordone de lespee si grant cox 	704
738	que tos les fet guenchir avant lui.	que toz les fait guenchir auant lui.	705
739	Et lors esgarde celui des IllI. 	Lors esgarde de celui des qͣtre |que miex le faissoit a son essianc. 	706|707
740|741	qui plus li faisoit mal et cil estoit molt grans et molt fors; |et Lancelos 	et cil estoit mout grans cheualiers et mout fors. et lanc̾	708
742	qui le vient ataignant li done par mi le hialme si grant cop 	qui le uient atangnant li done parmi le hiaume si grant cop.	709
743|744	qu’il en fet le feu saillir, |et l’espee glace 	que il en fait le fen saillir. et lespee glace 	710
745	qui de droit ne fu pas ferue. 	qui droit ne fu pas ferue. 	711
746	si descent desus la senestre espaule. 	Si li descent desous la senestre espaule. 	712
747	Li cops fu grans et par ire ferus, 	et li cox fu grans 	713
748	et bien i parut 	et par ire feruset bien i parut 	714
749	que l’espee cola par mi l’espaule a al chevalier, 	que lespee cola parmi lespaule au cheualier. 	715
750	si que li bras a tote l’espaule chiet desus le pavement. 	Si que li bras atout lespee chai seur le pauement. |et cil trebuche a terre 	716|717
		et se pasme: de langoisse 	718
		que il sent. 	719
751	Et lors sont molt esmaié li autre troi, 	Et lors sont mout esmaiet li autre trois. 	720
752	si font molt malvés samblant d’els deffendre por le grant cop	Si font mout mauuais sanblant daus desfandre. |por le grant cop	721|722
753	qu’il ont veu et por l’espee 	quil ont ueu et por lespee 	723
754	que chescuns d’els a ja sentie jusqu’al sanc. 	que chascuns daus a sentie iussqua sanc. et lanceloz 	724
755	Et Lancelos lor cort sus 	qui ne recroit pas lor cor sus. 	725
756	et en fiert I. el hialme 	et en fiert .i. amont el hiaume 	726
757	si qu’il le fet flatir a terre d’ambesdeus les paumes. 	si quil le fait flatir a teree. danbedeus les paumes 	727
758|759	Et|quant li autre dui voient ce, 	et quant li autre dui uoient ce: 	728
760	si tornent en fuies vers l’uis a garison; 	si corret᷑ uers luis |et uiennent a garison. 	729|730
761|762	et Lancelos vint ataignant le deerrain, |si le fiert par entre l’escu et le bras 	et lanc̃ uient atangnant et en fiert a grant uue par entre lescu et le bras 	731
763	si qu’il li trenche le poing 	si quil li tranche le poing. 	732
764	et li escus chiet a terre, 	et li escus chiet a terre. 	733
765	et cil torne en fuies 	et sil torne en fuie 	734
766	qui maheignié se sent. 	qui afolez ce sent. 	735
767	Et Lancelos vient a l’autre 	et lanc̃ uient a lautre	736
768	qui ja se relevoit, sel fiert de l’espee si grant cop 	que ia se releuois. |si le fiert de lespee si grant cop	737|738
769	qu’il li fet le hialme voler en la place. 	que le hiaume li fait uoler en pieces. 	739
770	Et quant cil sent son chief nu, 	et quant cis sent son chief nu: 	740
771	si cria merci 	Si crie merci 	741
772	et dist 	et dit 	742
773	qu’il ne l’ocie pas, 	quil ne locie pas.	743
774	kar il est pres de sa volenté fere. « 	Car il est pres de sa uolente faire. sans contredit 	744
775	Or te covient donc, fet Lancelos, fiancer	Or te couient |dont a fiencier fait lanc̃. 	745|746
776	que tu le cors mon seignor Galehout conduiras a la Dolerose Garde	que tu le cors Galeh̾. condiuras a la dolereuse garde. 	747
777	et iluec le feras garder 	et illuec le feras garder 	748
778	tant que je i viegne; 	tant que ie i uaigne. 	749
779	et se l’en te demande 	et se lon te demande 	750
780	qui t’i envoie, 	qui ti enuoie: 	751
781	si diras « cil 	Si diras|que cil 	752|753
782	qui ot les ames blanches le jor 	qui ot les armes blanches. le ior 	754
783	que li chastials fu conquis. » 	que li chastiax fu conquis 	755
784	Et il li fiance 	et cil li fiance 	756
785	que tot ensi le fera il. 	que tout ainsi le fera il.	757
786	Lors prent Lancelos la lame par le plus gros chief, 	Lors prent lanc̃. la lemme par le plus gros chief. 	758
787	si tire de grant force 	si la tire de si grant force 	759
788	qu’a pou qu’il ne se deront tos, 	que a pou quil ne se desront tous. 	760
789	si que li sans li vole par mi le nes et par mi la boche et li cors li sue d’anguoisse. 	Si que li sans li uole parmi le nes et parmi la boche |et li cors li sue dangoisse 	761|762
790	Mais por tote la destrece ne remaint	mais portoie la destresce ne remaint 	763
791	qu’il n’ait la tombe levee en haut à; mes nule dolors 	que il nait la tombe leuee en haut. |mais nule	764|765
792	qu’il eust 	dolors 	766
793|794	onques ne monte rien a cele dolor |qu’il ot, 	que il eust onques ne monte sur rien. A cele 	767
795	quant il vit le cors Galehout tot ensi armé 	que il ot quant il uit le cors Galehot. |ensi arme 	768|769
796	com il estoit; 	con il estoit. 	770
797	si trova s’espee delés lui 	si troua lespee deles lui 	771
798|799	qui molt estoit et bone et clere; |et sans faille de l’espee meesmes se fust il ocis, 	qui mout estoit bele et bone. et sans faille de lespee meismes 	772
800	se la damoisele ne li eust tolue erraument. 	ce fust il ocis se la damoisele ne li eust tolue. 	773
801	Lors fist Lancelos une biere fere de fust 	Lors fait lanc̃. faire une biere de fust 	774
802|803	et la fist covrir des plus riches pailes de laiens, |et	et la fait courir des plus biax pailes de laiens et	775
804	quant il l’ot atornee al plus richement 	quant il lot atornre au plus richement 	776
805	qu’il pot, li chevaliers prisons li dist: « Sire, fet il, 	que il pot. Li cheualiers prisons dit |si fait il 	777|778
806	se l’en movoit tot de nuis, ce seroit sens. — 	se len mouoit tout de nuit |se seroit sens. 	779|780
807|808	Por quoi ? fet il. — |Por ce	Por ce fait il 	781
809|810	que, |se li chevalier de cest païs savoient 	que ce li cheualier de cest pais sauoient 	782
811	que l’en len deust porter, il feroient gaitier les trespas 	que on le deust laiens |porter: il feroient garder les trespas. 	783|784
812	si qu’il seroit arestés en alcun lieu ; 	si que il seroit arester en aucun lieu. 	785
