a	b	c	d	e
363|364	que vos i viegniés|puis qu il vos plest	que vous y ueignies|puis quil vous plaist	Que vengades Pues vos plaze	che vo' vegniate|da|che vo piace	puis qu il uous plaist
365|366|367|368|369|370	Ensi remistrent la nuit laiens|et al matin|si tost com eles ! virent le jor|si leverent|et se partirent del chastel|et entrerent en la queste de lor chevalier	Ensi remestrent cele nuit laiens|et lendemain|quant il virent le ior sen alerent|& partirent del castel|et entrerent en la queste del cheualier	ansi fincaron toda aquella noche enla mañana tanto Como fue de dia se leuantaron|e fueronse del castillo enla demanda del buen cauallero Agora dexa el cuento de fablar dellas	lnsi rimasono la notte là entro|e al mattino|si tosto com'elle vidono il giorno|si levarono|e si partirono dal castello|si entrarono nella chesta del loro cavaliere	ainsi demeu rent la nuyt leans|et au matin quãt ilz uirẽt le iour|si sen partirent du chastel|et entrerent en la queste de leur cheualier
371	Mais or laisse atant li contes a parler d eles	Mais ore laisse li contes a parler daus		Ma or lascia il conto atanto a parlare di loro	Orlessons maĩ tenant le compte de boors
372	et de Boort	et de bohort	e de boores	e di Boordo	et des deux dames
373|374	et retorne a parler de Lancelot la ou il est entrez en la forest de Sarpenic|si com li contes a devise ariers	& retorne a parler de lancelot del lac|si comme il entra en la forest de la sapine|si comme li contes a deuise	e torna A Lançarote|Que entro enla floresta Serpentina	e ritorna a parlare di Lancellotto|là ov elli est entrato nella foresta di Sapernic|si come il conto à divisato	et retourons aparler de lancel ot du lacle q̃l est entre en la forest de fa sapine
375	Or dist li contes qu il fist grant chaut le jor	? Ne dist li contes|que trop grant chaut fist celui ior	Asi como el cuento lo a deuisado Dize el cuento|que gran calentura façia el dia	Gran caldo|ciò dice il conto	E ꝯmment lancelot emporta le corps de gatlehaut
				fece il giorno	
376	que Lancelos entra en la forest de Sarpenic	que lancelot fu entres en la forest de la sapine	que lançarote entro enla floresta	che Lancellotto entrò nella foresta di Sarpenic	que plusieurs cheualiers gardoient:
377	et por ce ne remest il mie qu il ne chevalchast jusqu à none;	Et por chou ne remest il mie quil ne cheualchast iusques a nonne	mas poreso no finco|que el no andubiese todo el dia fasta nona	e per ciò e' non rimase passo|che non cavalcasse infin qua a nona	et comment il rescouist la seur de mel eagãt|que len uouloit ardrie iiii
378	si li avint ensi qu il n encontra home ne feme jusqu al vespre;	Si li auint ensi quil nencontra ne homme ne femme iusques a uespres	que no encontro ome ni muger	si gli avenne insi|che non incontrò huomo né femina insino a vespero	xx
379	mais lors sans faille	Mais lors sans faille	mas a hora de visperas sin falta	?Ma allora sanza fallo	xiiii
380|381	si com il dut issir de forest|qui tot le jor li ot duré encontra une damoisele	si comme il dut issir de la forest|si encontra vne damoisele	quando queria salir dela floresta|que todo el dia le auia durado encontro vna donzella	si come dovea uscire della foresta|che tutto giorno gli avea durata|si incontrò elli una damigella	rãt chault fist dit le cõpie le iour q̃ lancelot fut entre en la sapinoie
382|383|384|385|386|387	qui molt faisoit grant duel|et chevalchoit I|palefroi noir a molt riehe lorain|et a molt cointe sele de l'oevre d Engleterre|Il salue la damoisele|et ele lui	qui moult faisoit grant doel|si cheualchoit vn moult riche palefroy a vn moult cointe lorain|& a vne sele dengletere Il salue la damoisele|& elle li rent son salut	que mucho façia gran duelo|e andaua envn palafren morçillo|que traia vna muy Rica silla y freno|e el saluo la donçella|e ella ael donzella dixo lançarote deçidme|porque llorades	che molto facea gran duolo|e cavalcava in uno palafreno nero a molto ricca sambuca|e a molto bella sella dell opera d Inghilterra|e a molto ricco freno|uno capelletto foderato di zendado in sua testa per lo caldo|E'saluta la damigella ed ella gli rende suo saluto molto cortesemente	⁊ pour ce ne demoura il pas quil ne heu auchast iusq̃s a uespres sans rẽcõtrer hõ me ne fẽme|Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefrop|Il sal ue la damoiselle|⁊ lui dit
388|389	Damoisele fet il|kar me dites s il vos plest	Damoisele fet il sil vous plaisoit iou sauroie volentiers pourcoi vous plores	si vos plaze çierto dixo la donçella|si yo supiese|que me vernia Prouecho enello yo voslo diria muy de grado çierto dixo donçella enmelo deçir no aueredes vos daño|si auos pluguiere|e vos dezidmelo	Damigella|disse Lancellotto|ch or mi dite ora perché vo piagnete	
				? — Certo	
			por conuenençia		
			que vos ayude yo a todo mi Poder en todas las cosas		
			que hubieredes menester		
			e espeçialmente enesta		
390|391|392	por quoi vos plorés|— Certes sire fet ele se je i' cuidoie avoir preu je le vos diroie|— Damage fet il ll i avrez vos ja se Dieu plest	Sire certes dist elle se iou y|qui doie auoir aucun preu iou le vous diroie Damage fait il ni aurois vous ia se dieu plaist	por que vos llorades|Ca yo porne enello el mejor Remedio	sire|diss ella|s i vi credesse avere pro|si 'l vo dire' io|— Damaggio|disse Lancellotto	Dame dictes me y pour quoy uous plourez sil uous plaist Certes sire se ie y cuidoie auoir prouffit ieuoꝰ le diroie|Dõmage sait il ny aurez uous ia se die u plaist
				non ci arete vo' già	
393	mais dites le moi par covent que se je vos	Dites le moi par tel conuent que|? se iou vous	que puede ser|si es cosa	se Dio piace|ma ditelme per convento che	car se ie uous
394|395	puis aidier a vos esleecier je vos aiderai a mon pooir|	puis aidier a esclairier vostre cuer iou le ferai a mon pooir|Enon dieu sire fet elle	que vos pueda ayudar Enel nombre de dios dixo la donçella pues vos os afincades tanto	s i vo ne posso aiutare o consigliare|io vo n atrò di tutto mio podere|— ll A nome di Dio|diss ella	puis aider ie uoꝰ aideray a esclercir uostre cueur a mon pouoir
396|397	donc le vos dirai je|ll est voirs	dont le vous dirai iou IL fu voirs	que vos diga enque manera es	dunque il vo dirò io|Egli è vero	E ar dieu sire dõc fait elle le uous dicay ie
398|399	que Meleagans li fiz al roi Baldemagu ala a la cort le roi Artu|por la roine Genievre conquerre s il peust;	que melyagans li fiex au roy baudemagu ala a la cort au roy artu pour la royne genieure conquiere	e que cosa es lo|porque yo lloro yo voslo dire	che Meleagante|il figliuolo del re Bando di Maguzo|andò uguanno alla corte del re Artù per la reina Ginevra conquidere|se potesse	Il fut uoit q̃ meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre
400	et endementiers fist tant une damoisele	Et endementres fist tant vne damoisele	asi es|que fiço tanto vna donçella	eE dimentre|fece tanto una damigella	
401	qui estoit	qui sa suer estoit	Que hera hermana de Meliangas	ch era sua serocchia	
402|403	? sa suer qu ele geta Lancelot d une tor ou Meleagans l avoit mis en prison ne sai|por quoi	que elle geta lancelot de prison dune tour ou il estoit mis : iou ne sai porcoi Ouant elle lot deliure	que saco dela prision a lançarote quelo tenia envna torre Meliangas no sabia|porque e	ch ella gittò Lancellotto di Lac d una torre ove Meleagante l avea messo in pregione|non so perché	En dementiers fist tãt une damoisesse qͥ sa seur estoit q̃ elle iecta lan celot hors de prison de une tour la ou illauoit mis
404|405	Quant ele l ot delivré|si le tint avec li tant qu il fu garis	si le tint aueques li	quando el fue libre ella lo tubo en su poder fastaque fue guarido	Quand ella l ebbe dilivero|si l tenne con esso lei non so quanto|tanto	Quantelleleust deliure elle le tint auec clletãt qͥl sut g ary:
				ch ella el guari	
406	kar molt avoit eu mesaise en la prison	tant quil fu garis Car moult auoit eu mesaise en la prison|Et Io	ca mucho auia enpeorado dela prision|e des	ché molto avea avuto misaggio nella prigione	⁊ moult y auoit eu mesai se
				Quand	
407	et puis l envoia a la cort le roi Artu ou il ocist Meleagan ce savons nos or bien	puis quant il fu garis|si lenvoia a la cort au roy artu ou il ochist melyagant chou sauons nous bien	que fue guarido fuese ala corte del Rey Artur|e Mato alla a meliangas segund cuido	e fu tornato a guarigione|sillo inviò alla corte del re Artù	⁊ puis lẽuoia a la court du roy artus la ou il occist meleagant
				ov elli uccise Meleagant	
				ciò sapiamo noi ora bene	
				Ma	
		Mais si tost			
408	Mais si tost com li parent sorent qu ele avoit Lancelot osté de la prison	que si parent le sorent|que elle auoit lancelot gete de prison	que oystes|mas tan ayna	si tosto come i parenti di Meleagante seppono|ch ella avea tratto di pregione Lancellotto	
		Si distrent			
409|410	si distrent qu ele l avoit fait|por Meleagan ocirre;	que elle lauoit fet pour melyagant ocirre	como sus parientes lo supieron|que ella auia hechado dela prision a lançarote Dixeron quelo auia fecho|por amor de Meliangas delo matar	sì dissono	mais tantost
411	si le pristrent a force	Si le pristrent a force	e tomaronla afuerça	ch ella l avea fatto per Meleagante uccidere|si lla presono a forza	
412|413|414	et l acheisonerent de sa mort|et distrent que s ele ne trovoit|qui l en desfendist	et locoisonnerent de sa mort|Et distrent|que se elle ne trouuast|qui len deffendist	e pusieronla en prision|e dixeron|que si no fallare quien la defender de aquesto	e la cagionarono di sua morte|e dissono che|s ella non trovasse chilla difendesse	que ses parens sceurent q̃ elle auoit iecte lancelot hors de prison ilz la occuperẽt dela mort de meleagãt
415|416	qu'il feroient de lui justice|si grant com l en doit fere de cele	que on feroit de li autel iustice com on deueroit faire de femme	que farian della grand justiçia Como deuen de fazer de muger	ch elli farebono giustitia di lei|si grande come l uomo dee fare di femina	⁊ fut dit q̃ se elle ne trouuoit qͥla deffendist q̃ len feroit de elle telle iustice q̃ len deuoit faire de femme
417	qui son frere ocist	qui son frere auoit ocis	que asu hermano auia muerto	che suo fratello uccide	qui sonfrere auoit occis
418	Et ele dist qu ele troveroit bien	Et elle dist quele le trouueroit bien	e ella dixo	Ed ella disse	Et elle dit q̃ elle trouueroit bien
419|420|421|422|423|424	qui la desfendroit:|si mist jor d amener I|chevalier|por li desfendre|si s est|puis porchaciee en Pluisors liex	Si mist iour dun cheualier amener auant|pour li desfendre|Si sen est|puis pourchascie en pluisors lieus	que bien fallaria quien la defendiese|e luego pusieronle dia señalado Parase defender|Por cauallero|e ella ymbio a buscar|por muchos lugares quien le defendiese	ch ella il troverebbe bene chi ne la difenderebbe|sì ànno messo giorno d a menare uno cavaliere per lei difendere|si se n è poscia procacciata in più luogora	qui len deffendroit|Ei lui fut iour determine de trouuer ung cheua|lier pour elle deffendie|Et elle a depuis pour chasse en plusieurs lieux
425	mais onques ne trova chevalier	mais onques ne troua cheualier	mas nunca a podido fallar Cauallero	ma unque non trovò ancor cavaliere	mais oncq̃s ne trou ua cheualier
426	qui ses armes en osast prendre contre celui	qui sez armes en osast prendre encontre celui	que armas quiera tomar contra aquel Cauallero	che sue armi osasse imprendere incontro a colui	qui ses armes osast prendre cõtre celui
427	qui apelee l avoit	qui apelee len auoit	que deste pleito la a Reptado	che apellato l à	qui lauoit appelle
428|429|430|431	Or|si est tant la chose alee|que li jors est aterminés a hui ;|si n a trové la pucele nul desfendeor	Ore est la chose tant alee|que li iors fu atermines a hui|si na trouue nul desfendeour	e el Plazo se cumple Mañana ental manera|que si fasta ora de terçia no falla defensor tomaran della luego vengança	IOr|si è tanto la cosa andata|che 'l giorno est aterminato a oggi|si non à ancor trovato la pulcella difenditore	Or est tãt la chose al lee q̃ le iour est ẽnup termine:|si na trouue nul desfendeut
432|433	et por ce dient li un|et li autre qu ele est atainte del meffet	Et pour chou dient li vn|& li autre quele est atainte del mesfait	e la vengança sera tal	e perciò dicono gli uni|e gli altri|ch ella è agiunta del misfatto	
434	que l en li met sus :	que on li a mis sus	que la Quemaran	che l uomo le mette suso	
				Si ll anno giudicata	
435|436	si l ont jugiee ce m est vis a ardoir le matin|et por ce qu il m en membroit or em ploroie je	si lont iugiee lal ardoir le matin	e poresto lloro yo	ciò m è aviso|ad ardere domattina|e per ciò|che me ne ricordo	⁊ pource lont iugiee a estre arse au matin|⁊ cestl a cause|qui me fait plourer
				ora quand io vo vidi piagnea io	
437|438|439	si durement|kar certes ele estoit une des plus cortoises damoiseles ! del monde|et une des plus vaillans	Et pour chou quil men ramenbroit ore ploroie iou Car elle estoit vne des plus hautes damoiseles del monde|& des plus uaillans CAr me dites	asi tan fuertemente|porque aquella es vna delas altas donzellas del mundo agora me deçid donçella dixo lançarote	si duramente|ché certo ella era una delle più belle|e delle più cortesi damigelle del mondo|e una delle più valentri	car el le estoit une des plꝰ haultes damoiselles du monde:|et des plus uaillantes
440|441|442|443	|et s ele trovoit demain|qui la deffendist|dont ne seroit ele quite del jugement	dont damoisele fait lancelot|se elle trouoit demain O|qui le desfendist dont: ne seroit elle quite del iugement	si ella fallase tras quien la defendiese seria ella quita del todo señor dixo ella no se	Or mi dite|damigella|disse Lancellotto|s ella trovasse domane chi ne la difendesse|dunque non sarebbe ella cheta del giudicamento	ꝑ me dictes damoiselle fait lancelot se elle trouuoit demain|qui la deffẽdist ne seroit elfe pas quicte du iugemẽt
444|445|446|447|448|449|450|451|452|453|454	que l en a fet|? — Sire fet ele je ne sai|—|Et est ce fet il gaires loing|que ele est|? — Sire|fet ele il n i a que|VI|lieues englesches|Se vos leviés demain matin vos i seriés ains prime|— Ou le porrai je fet il trover	Sire fait elle iou ne sai|Et est chou fait il loing de ci|Sire fait elle il ni a|que vi lieues englescshles|Se vous moues demain matin vous y seres dedens prime|Et ou le porroie iou fait il trouuer	E es muy lexos de aqui ado ella esta dixo lançarote señor dixo ella no ay|mas de aqui alla de seis leguas ynglesas|e si quisieredes Bien podedes yr alla a ora de Prima Ado la podre fallar dixo lançarote enla floresta de donseglorega dixo la donçella|e este camino vos lleuara alla|si lo supieredes guardar Pues a dios vos encomiendo dixo el	che l uomo l à fatto||disse ella|i' non sO|— Est ciò|diss elli|guari lungi dov ella est|? — Sire|disse ella|e' non ci à|che sei leghe inghilesche|:se vo' vi levate domane mattino vo' vi sarete inanzi prima|—E ove la potrò io|disse	Sire dit el le ie ne scay|Et esse fait il gaires loingz dicy|Sire dit ille il ny a q̃ six lieues anglesches|Parcie|⁊ se uous partiez demain matin uous y seriez demain a prime|Et ou la pourroic ie fait il trouuer
				trovare	
				? Al castello	
455|456|457	? — Al chastel a fet ele de Floego|et cis chemins vos i menra droit se vos le volés tenir|— Or vos commant a Dieu damoisele fet il	En la forest fait elle de floregas|Et chis chemins vous y menra tot droit se vous le saues tenir Or vous commanch iou a dieu damoisele fait il	e luego se partio el vno del otro|e la donçella yua llorando	diss ella|di Fleego|e questo camino vo' vi menerà tutto diritto se voi il volete tenere|— Or vo comando a dDio|damigella	En la forest de florega:|⁊ ce chemĩ icy uous ꝑ menera tout droitse uous le sauez te nir|Il se part de la damoiselle
				diss ell	
458	Si s em part atant	si sen torne atant		Si si parte atanto	⁊ la comman de a dieu
459|460	et cele s en vet faisant son duel|Et il chevalche tant qu il vint fors de la forest	Et cele sen uait faisant son doel|Et lancelot cheualche|tant que il vint hors de la forest	e la donçella yua agora tanto porsu camyno fastaque salio dela floresta	ed ella se ne va faccendo suo duolo|ed e' cavalca|tanto che viene fuori della foresta	Et celle sen reua faisant son deul|⁊ il cheuauche tant quil uint hors de la forest
461	si vit devant lui une maison de religion	si voit deuant lui vne maison de religion	e llego avna casa de Religion	si vide davanti lui una magion di riligion	si uoit deuant lui une maison de religion
462|463	et il torne cele part|por herbergier	si torne cele part pour herbergier	e el fue alla|por aluergar	Elli torna in quelle parti per albergare	Il tourne celle part pour hebergier
464	Et quant il i vint	Et quant il vint la		e quand e' vi viene	Et quant il uint la
465|466	si trueve a la porte IlII|des freres	si trouua|ij|freres	e fallo ala puerta dos frailes	si truova alla porta quatro de' frati di là entro	si trouua deux freres
467	qui ja avoient chanté complie	qui auoient cante complie	que auian dicho conpletas	che avieno già cantato compieta	qui auoient chã tee complie:
468|469	et estoient venu hors|? al serain;	Si estoient venu au serain	e estauan al ayre	e erano venuti di fuori al sereno	⁊ ilz estoiẽt uenus hors au serain
470|471	si saillent encontre lui|por fere descendre	si saillent sus encontre lui|por lui desarmer	e ellos fueron contrael porlo ayudar a desçender	S salgono incontro a llui per lui discendere	si saillent ẽcontre lui pour le descẽdre
472|473	et dient|que bien soit il venus;	et dient|que bien soit il venus	e dixeron|que vien fuese venido	e dicono|che bene sia elli venuto	⁊ diẽt q̃ bien soit il uenu aprez lui demad ent sil menga huy
474	si le font entrer laiens	si le font entrer laiens	e Metieronlo enel monesterio	; sì 'l fanno entrare là entro	
475	et li demandent s il a mengié	et li demandent ssill malnlga hui	e los frailes le dixeron señor auedes	e lo domandano s egli à mangiato	
476|477	et il dist|que nenil	Et il dist|que nenil	oy comido no señores dixo el	ed e' dice|che non	Il dit|que ne nnp
478	et il font erraument mettre la table a	Et il font maintenant metre la table a lor sergans	e luego mandaron ellos quele pusiesen la mesa	ed e' fanno isnellamente mettere le tavole	⁊ ilz font incõtinẽt mettrefa table le pain|⁊ le uin dessus
		& la nape ;			
		& puis le pain			
479	mais il dist qu il ne mengera devant qu il ait esté al mostier b lar il n i entra hui	& le vin dessus|Et il dist quil ne mangera mie deuant ce quil ait este el moustier	mas lançarote no quiso luego comer ante dixo|que entraria enla yglesia	ma e' dice|che non mangerà davanti	mais il dit qͥl ne mẽgera deuantquil ait este au mo n stier dire ses oraisons
480|481	|por orer	si y dira sez orisons|Car il ni auoit hui este|Lors sen entre en leglise pour orer	por fazer oraçion	ch egli abbia stato nel mestieri|ché non v entrò tre giorni avea|Allora entrò nella chiesa per adorare	car il np auoit huy este Lors entre en leglise
482	et en ce qu il se fu agenoilliés	Et en ce quil su a genoillons	e desque el entro enla yglesia finco los ynojos	e'n ciò|che si fu aginocchiato	⁊ ainsi quil fut agenoul lons
483	si regarde a destre	si regarde deuers destre partie	e el façiendo oraçion cato asu diestro	si riguarda a destra	si regarde a dextre partie
484|485|486	et voit unes prones d argent trop richement fetes a floretes d or|et a oisials|et a bestes	& voit|j|prones de fer|& dargent moult bien faites a flor cestes: dor|& a bestes	e vio vnos arcos de plata muy Ricamente fechos a flores de oro|e a bestias de diuersas maneras	e vide uno intagliamento d argento troppo riccamente fatto a fioretti d oro|e a uccelli|e a bestie	⁊ uoit unes prones dargent moult bien faictes a florectes do: a bestes
		& a oisiaus de diuerses manieres			
487|488	et dedens avoit V|chevaliers armés les hialmes es testes les espees es mains ausi apresté de deffendre	& dedens auoit|v|Cheualiers armes de toutes armes|si com de heaumes en testes	e ante ellos estauan çinco caualleros armados de todas armas elos yelmos enlas cabezas|e las espadas enlas manos	e di dentro avea v|cavalieri armati|? Elli isguarda lo ntagliamento	⁊ a oiseaulx de diuerses manieres Drdẽs auoit cinq cheualiers armez de toutes armes les espees en leurs maĩs ainsi prestz a deffendre comme se len uoulsist assaillir
		& despees es mains			
		& aussi pres de euls desfendre			
489|490	que se l en les volsist asaillir|De ce se merveilla molt Lancelos ;	que se on les volsist assaillir|Ne chou sesmerueille moult lancelot	como si quisiesen defender de algunos quelos quisiesen acometer Desto se marauillo mucho lançarote	che troppo est ricco|molto lungamente|api ciò|si maraviglia molto Lancellotto	De ce se merueillelãcelot
				si vide	
				ch e cavalieri avieno gli elmi in testa	
				le spade in mano	
				altresi aprestati d asalire come se l uomo gli dovesse manomettere	
491	si se drece erraument	& se drece em pies	e fue alla contraellos	si diriza isnellamente	si se dresse sur piez
492|493	et vet cele part|si salue les chevaliers	si vait cele part|et Dsalue lez cheualiers	e ellos le dixeron señor bien seades venido	e va in quelle parti|si saluta i cavalieri	⁊ ua celle part|⁊ salue les cheualiers
494|495	et il dient|que bien soit il venus	Et il li dient|que bien soit il venus	e el les rrindio sus saludes	e dicono|che ben sia elli venuto|	Et ilz dient q̃ bien soit il uenu
				ov'era lo nta	
496|497	Et il entre dedens les prones par un petit huisselet a|et esgarde les prones	Et lancelot entre dedens les prones	e lançarote cato vn poco los arcos	elli ella glio|per un piccolo uscio di ferro|e guarda lo ntaglio	⁊ lancelot ẽtre de dẽs les pro nes par ung petit hupsset|⁊ regar de les prones
498	qui tant sont riches qu il ne cuide pas	qui tant sont beles|et riches	Porque heran muy Ricos|e muy fermosos	che tanto est ricco|che non crede passo	qui tant sont belles|⁊ riches quil ne cuide pas
			que vien cuidaua		
		Et regarde lez prones quil ne quide pas			
499	que nus rois les peust esligier;	que vns roys lez peust esligier	Que vn Rey No los podia tales façer|e el	che nullo re il potesse fare fare	que ung roy les peust esligier
500|501|502	puis voit delés les chevaliers une tombe la plus riche|qui onques fust fete par home|kar ele ert tote d or fin a chieres pierres precioses	Et voit deles lez cheualiers vne tombe la plus riche|que onques fust ueue de nul cheualier Car elle estoit toute de fin or a pierres precieuses	asi Catando vio dentro enlos arcos vna muy Rica tumba qual nunca tal viera el ni ome del mundo|que hera toda de oro fino|e de piedras preçiosas	e vide dallato il cavaliere una tomba|la più ricca|ch unque fosse veduta per huomo|ch ell era tutto d oro fine a pietre pretiose	⁊ uoit delez les cheualiers une tombe la plus riche|que õcq̃s feust ueue de nul homme:|car elle estoit de fin or a pierres piecieuses
		qui valoient			
503	qui molt valoient miels d un grant roialme	j|grant royalme	que estaua toda labrada de diuersas maneras	che più valieno d uno gran reame	qui plus ualloient|que ung grant royaume
504	Se la tumbe fu de grant bialté nient ne monte la bialtés envers la richece	Et se la tombe estoit de grant biaute|noient fu de la grant rikece	e de muy muchas cosas de figuras	Se lla tomba fu di gran biltà|niente fu della biltà inverso la riccheza dond ella era piena	Et sela tõbe fut de grãt beaute|ce nestoit riens enuers la grant riches se:
505|506	dont ele estoit|et avec ce estoit ele la greignor	dont elle estoit|Et auec tout chou estoit elle la plus grande quil eust ao onques	e de otras cosas|que tal tumba de tal manera nunca viera ni ome del mundo|que la non ouiese visto no podria asmar la fermosura	e Pntorniata|e con esso ciò era ella la magiore	⁊ auec ce estoit elle la greigneure qͥl uist õc ques
507	que Lancelos eust onques veue :	mais veue	que enella auia de tales cosas|como enella estauan	che Lancellotto avesse unque veduta	
				Molto lungamente riguarda Lancellotto la tomba	
				che troppo gli sembia oltragiosamente piena di gran riccheza	
				si sarebbe a suo aviso al re Artù	
508	si se merveille molt	Si sen est trop merueillies	e don lançarote se marauillo	e molto	si est moult esmerueillie
509|510	qui puet estre li princes|qui dedens fu mis	qui li princes pooit estre|qui illueques estoit mis	e dixo entresi mesmo Quien podria ser el prinçipe|que enella yaçia	si maraviglia chio può essere el principe|che di dentro fu messo	qui pouoit estie le prince qͥ fut illecmis
511		Et il demande as cheualiers	e lançarote pregunto alos caualleros	Quand egli à molto isguardato|si domanda	Et il demãde aux che ual iers
				e cavalieri	
512	qui sont iluec	que il font illueques	e dixo señores	che fanno nel luogo	qui illec sant de quoy ilz seruent
				Sire	
513|514|515|516|517|518|519	Sire font il nos gardons le cors|qui en ceste tumbe est|qu'il n en soit portez fors de çaiens;|si somes|V|por garder le de jors par nuit en i a autres|V	Sire font il nous gardons le cors|qui chi gist en ceste tombe quil nen soit portes de chaiens|Si sommes|v|por lui garder cascun ior|Et la nuit en y a autres|v	que estades aqui façiendo señor dixeron los caualleros nos guardamos el cuerpo|que yaze enesta tumba quelo no lleuen dende aqui|e nos lo guardamos çinco caualleros de dia	dicono elli|noi guardiamo il corpo|che in questa tomba giace|che no ne sia portato fuori di qua entro|; sì siamo qui v|per lui guardare ciascuno giorno|e per la notte ce n à altri cinque	Si re nous gardons le corps|qui gist dedẽs ceste tombe qͥl ne soit portehors de ceãs|Si sõmes cinq pour le garder chacun iour:|⁊ par nuit en y a autres cinq
520|521	qui font autretel servise comme nos faisons de jors|—	qui font autretel seruice comme nous faisonz de ior	e otros çinco de noche	che fanno altrettale servigio come noi facciamo il giorno|— E perché	qui font autel seruice cõme noꝰ faisõs de iour
522|523|524|525	Et por quoi fet Lancelos avez vos poor qu il n en soit portés|? — Sire font il|por ce|que uns des freres de çaîens	Nt de coi aues vous paor fait lancelot|Sire font il vnz des freres de chaiens	que no façemos y al Auedes miedo dixo Lançarote|que voslo lleuen de aqui señor dixeron ellos|si que vn fraile de aqui	disse Lancellotto|avete voi paura|che non ne sia tratto|? — Sire|dicono elli|per ciò|che uno de frati di qua entro	Et pour quoy auez uoꝰ paour fait lancelot quil ne soit emporte
526|527	qui molt est preudom|et de sainte vie nos dist n a encor gaires	qui moult est de sainte vie Nous dist na encore gaires	que mucho es buen ome|e de sancta vida nos a dicho	che molto est produomo|e di santa vita|no disse	Sirefõt ilz pource q̃ ung des freres de ceãs nous dist na encores gaires
				non à ancora guari	
528|529	que uns chevaliers vendroit ceste part|qui a force l en osteroit	que vns cheualiers vendroit chaiens|qui par sa force len osteroit	que vn cauallero vernia aesta tierra	ch uno cavaliere verebbe in queste parti|ch a forza ne l trarebbe	que ung cheualier uendroit ceste part|qui a force lẽ osteroit
530	et fors de cest païs l en feroit porter	et le feroit mener hors de cest pais	que por fuerça lo lleuaria desta tierra	e 'l manderebbe fuori di questo paese	⁊ hors de ce pais le feroit perter
				a nostri occhi vegendo	
531	Et nos gens de ceste terre voldrions miels morir qu il fust remués d entre nos :	Et nos gens de ceste terre voldroient miex morir quil fust remues dentre nous	e las gentes desta tierra querrian antes ser muertos|que el fuese lleuado de entre nos	E noi di questa terra voremo meglio morire|che fosse rimutato di tra noi	et nos gens deceste terre apmeroient mieulx mourir|que il fust remue dẽtre nous
532|533	por ce|si le gardons issi com vos veez lar li preudom i nos dist	Et por chou le gardons nous ensi comme vous vees	e poreso lo guardamos|asi como vedes	perciò|si l guardiàn noi|insi come vo' vedete	car le preudõme noꝰ dist q̃ le cheualier ne demouroit pas quil ne uenist
				ciascuno giorno	
				e ciascuna notte	
534	que li chevaliers ne demoreroit pas qu il ne venist — Or me dites	car li preudom nous dist ke li cheualiers ne demourroit pas ke il ne uenist Or me dites fait lancelot	ca el ome bueno nos dixo|que no tardaria mucho el buen cauallero	ché l produomo no disse|che l cavaliere non dimorebbe passo a venire	Or me di
				o	
				! ee Or mi dite	
535	fet Lancelos ne fu cil molt haus princes a cui l en fist	& ne fu cils cheualiers moult haus homs a	Que no viniese alo sacar Agora me deçid dixo lançarote quien fue este tan Rico prinçipe	disse Lancellotto|non è quelli molto alto principe a cui l uomo fece	ctes fait lancelot
536|537	si haute sepulture|? — Sire font cil haus hom fu il	qui on fist ceste sepulture|Sire font il haus homs fu il	que yaze entan rrica sepultura Señor Dixeron ellos Mucho fue alto ome	si ricca sepoltura||dicono elli|alto huomo fu elli	Ne feust pas cest cheualier hault prince a qͥ len feist ceste sepulture|Sire font ilz ce fust ung hault hõme
				e ricco	
				e con tutto	
538	et riches; avec ce qu il fu haus hom fu il li plus preudom	et riches|Et auec chou fu il li plus preudoms	e el|mas noble	che fu alto huomo de più del mondo|fu elli el più produomo	et riche|auec ce fust le plus preudõme
539|540|541|542	qui onques fust a son tens|— Ha Diex fet Lancelos|qui fu il|?— Sire font il se vos conoissiés letres veoir le porriés	qui fust a son tamps|Ha : diex fait lancelos|qui fu il|Sire font il se vous connissies point de lettres vous poes bien sauoir	Que nunca fue visto ay dios dixo lançarote quien fue señor dixeron ellos|si sabedes leer vien podedes saber quien es	ch unque fosse a suo tempo|—Ha|!|Iddio|disse Lancellotto|chi fu elli|se vo' conoscete lettere|sapere il potete per tempo	qui onques fust en son temps|Haa dieux faitlancelot qͥ fust il|Sire font ilz sy uous cõg nossies lettres bien pouries scauoir qͥ il fust
				? — Sire	
				dicono elli	
543	kar ses nons est escris el chief de cele lame	qui il fu|Car ses nons est escris el chief de ceste lame	el que aqui yaze|que ala cabezera dela su tumba lo fallaredes escrito	ché suo nome est scritto nel capo di quella lama	car son nõ est escript au chief de celle lame
544|545	Lors va Lancelos cele part|si regarde les letres	ors uait lancelot cele part|et trueue les lettres	e lançarote se fue ala cabeça dela tunba|e fallo las letras	Iiol Allor va Lancellotto in quelle parti|si riguarda le lettere grandi	lors ua lancelot celle part sy treuue les lettres
				e spatiose	
				formate di fino oro	
				che dicieno	
				: “Qui giace Galeotto	
